Time,Value
0.0,-99.98588176795582
179.23641556461246,-99.98588176795582
182.0,-95.92823359418244
182.00001,
192.83120053721072,
192.99999,
193.0,-80.02526333685313
206.83055290144267,-80.02526333685316
208.86366112933925,-99.97112243423227
285.6931966755987,-99.97112243423223
286.999996298464,-90.5000268268127
286.99999999332886,-90.50002682681273
289.0,-99.64665862901053
307.99999999986204,-99.64665862901053
308.87894535506257,-97.15797000985356
311.9999999999724,-97.15797000985364
314.7026673160669,-86.02000000028944
318.9139591035559,-86.02000000028944
320.9274044817642,-97.9999999996296
324.4947398842622,-97.99999999962928
329.99932607144063,-99.9656326798608
388.0007236379676,-99.9656326798608
558.0,-100.01703271841673
