Time(sec),AJE5OG666CBAC
0.0,-99.80299539170508
1.0,-99.36520737327189
2.0,-98.9274193548387
3.0,-98.48963133640554
4.0,-98.05184331797236
5.0,-97.61405529953917
6.0,-92.58184112354618
7.0,-78.99390495086924
8.0,-69.64922480620154
9.0,-68.80943152454779
10.0,-67.96963824289405
11.0,-67.12984496124031
12.0,-51.131176466575134
13.0,7.827420861078596
14.0,69.43398320612137
15.0,97.76915862808146
16.0,97.80399249732048
17.0,97.83882636655949
18.0,97.8736602357985
19.0,97.90849410503752
20.0,97.94332797427653
21.0,97.97816184351555
22.0,98.01299571275456
23.0,98.04782958199357
24.0,98.08266345123259
25.0,98.1174973204716
26.0,98.15233118971062
27.0,98.18716505894963
28.0,98.22199892818864
29.0,98.25683279742766
30.0,98.29166666666667
31.0,98.3265005359057
32.0,98.3613344051447
33.0,98.39616827438371
34.0,98.43100214362273
35.0,98.46583601286174
36.0,98.50066988210077
37.0,98.53550375133977
38.0,98.57033762057878
39.0,98.6051714898178
40.0,98.64000535905681
41.0,98.67483922829584
42.0,98.70967309753485
43.0,98.74450696677386
44.0,98.77934083601288
45.0,98.81417470525189
46.0,96.06595238095238
47.0,94.98690476190475
48.0,94.17473544973545
49.0,93.36256613756613
50.0,93.58776521218277
51.0,95.73579697123587
52.0,95.75389663658737
53.0,95.77199630193888
54.0,95.7900959672904
55.0,95.8081956326419
56.0,95.82629529799343
57.0,95.84439496334493
58.0,95.86249462869644
59.0,95.88059429404795
60.0,95.89869395939947
61.0,95.91679362475097
62.0,95.93489329010248
63.0,95.952992955454
64.0,95.9710926208055
65.0,95.98919228615702
66.0,96.00729195150852
67.0,96.02539161686005
68.0,96.04349128221155
69.0,96.06159094756306
70.0,96.07969061291458
71.0,96.09779027826609
72.0,96.11588994361759
73.0,96.1339896089691
74.0,96.15208927432062
75.0,96.17018893967213
76.0,96.18828860502364
77.0,96.20638827037514
78.0,96.22448793572667
79.0,96.24258760107817
80.0,96.26068726642968
81.0,96.27878693178118
82.0,96.29688659713271
83.0,96.31498626248421
84.0,96.33308592783573
85.0,96.35118559318724
86.0,96.36928525853875
87.0,96.38738492389027
88.0,96.40548458924177
89.0,96.4235842545933
90.0,96.4416839199448
91.0,96.45978358529631
92.0,96.4778832506478
93.0,96.49598291599933
94.0,96.51408258135083
