Time(sec),AKP3LFZWO2RUM
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-86.47375915750915
8.0,-71.02564102564102
9.0,-71.02564102564102
10.0,-69.07330586080586
11.0,-54.14680063539659
12.0,-14.323186813186814
13.0,12.610611819978828
14.0,39.939130434782605
15.0,92.43810185185184
16.0,99.83333333333333
17.0,99.83333333333333
18.0,99.9
19.0,100.0
20.0,100.0
21.0,99.825
22.0,98.19166666666668
23.0,58.16929292929293
24.0,98.01833333333333
25.0,98.38000000000001
26.0,98.2
27.0,98.2
28.0,98.2
29.0,98.2
30.0,98.2
31.0,98.2
32.0,98.2
33.0,98.2
34.0,98.2
35.0,70.38981240981241
36.0,-28.790727605727607
37.0,-41.67615799396682
38.0,43.68013888888889
39.0,68.0
40.0,68.0
41.0,68.0
42.0,68.0
43.0,68.0
44.0,52.06658008658009
45.0,-1.8559982981993854
46.0,-63.370000000000005
47.0,-67.0
48.0,-79.08250000000001
49.0,-85.0
50.0,-85.0
51.0,-85.0
52.0,-85.0
53.0,-85.0
54.0,-85.0
55.0,-70.54390264877881
56.0,-3.5344057971014493
57.0,3.0
58.0,3.0
59.0,12.865140692640693
60.0,40.0
61.0,40.0
62.0,40.0
63.0,70.26102029220779
64.0,97.79166666666667
65.0,97.79166666666667
66.0,97.79166666666667
67.0,97.79166666666667
68.0,97.79166666666667
69.0,97.79166666666667
70.0,97.79166666666667
71.0,97.79166666666667
72.0,97.79166666666667
73.0,97.79166666666667
74.0,99.88958333333333
75.0,100.0
76.0,100.0
77.0,95.4
78.0,93.5
79.0,57.971944444444446
80.0,-9.73611111111111
81.0,-11.0
82.0,-11.0
83.0,-10.975
84.0,36.72692307692308
85.0,47.4625
86.0,-6.592871732026144
87.0,51.82587481962482
88.0,97.42857142857143
89.0,97.42857142857143
90.0,97.42857142857143
91.0,97.42857142857143
92.0,97.42857142857143
93.0,97.42857142857143
94.0,97.42857142857143
95.0,97.42857142857143
96.0,97.42857142857143
97.0,97.42857142857143
98.0,100.0
99.0,97.42857142857143
100.0,94.85714285714286
101.0,71.32451132201132
102.0,3.5283333333333333
103.0,-37.0
104.0,-28.03888888888889
105.0,-22.0
106.0,-22.0
107.0,-22.0
108.0,-17.991666666666667
109.0,-12.0
110.0,-12.0
111.0,-12.0
112.0,-13.997619047619049
113.0,-45.27738095238095
114.0,-77.91875
115.0,-80.0
116.0,-36.50034502262444
117.0,-71.42777777777778
118.0,-74.0
119.0,-73.31863425925926
120.0,-9.366262944916432
121.0,30.597093192382665
122.0,58.0
123.0,58.0
124.0,58.0
125.0,58.0
126.0,57.91111111111111
127.0,4.22975468975469
128.0,-45.727930305561884
129.0,32.31939393939394
130.0,90.48238095238096
131.0,97.95
132.0,97.5
133.0,97.5
134.0,97.5
135.0,97.5
136.0,97.5
137.0,97.5
138.0,97.5
139.0,97.5
140.0,97.5
141.0,77.67545454545454
142.0,-37.57649493050809
143.0,-97.43666666666667
144.0,-20.076299603174604
145.0,4.245833333333334
146.0,10.867611416361417
147.0,94.86160714285714
148.0,58.605069513819515
149.0,34.29105975165186
150.0,67.68830808080807
151.0,-21.065100732600733
152.0,61.29664351851852
153.0,97.125
154.0,97.125
155.0,97.125
156.0,97.125
157.0,97.125
158.0,97.125
159.0,97.125
160.0,97.125
161.0,97.125
