Time(sec),AYTF9Q5TZX4IK
463.0,-97.8215297450425
464.0,-97.84985835694052
465.0,-97.87818696883853
466.0,-97.90651558073654
467.0,-97.93484419263456
468.0,-97.96317280453258
469.0,-97.9915014164306
470.0,-98.01983002832861
471.0,-98.04815864022663
472.0,-98.07648725212465
473.0,-98.10481586402267
474.0,-98.13314447592067
475.0,-98.16147308781869
476.0,-98.18980169971671
477.0,-98.21813031161473
478.0,-98.24645892351275
479.0,-98.27478753541077
480.0,-98.30311614730878
481.0,-98.3314447592068
482.0,-98.35977337110482
483.0,-98.38810198300283
484.0,-98.41643059490085
485.0,-98.44475920679886
486.0,-98.47308781869688
487.0,-96.7471671388102
488.0,-95.0
489.0,-95.0
490.0,-95.0
491.0,-95.0
492.0,-95.0
493.0,-95.0
494.0,-95.0
495.0,-95.0
496.0,-95.0
497.0,-95.0
498.0,-97.39895366218236
499.0,-97.9953288490284
500.0,-97.99159192825113
501.0,-97.98785500747384
502.0,-97.98411808669655
503.0,-97.98038116591928
504.0,-97.97664424514201
505.0,-97.97290732436473
506.0,-97.96917040358744
507.0,-97.96543348281017
508.0,-97.96169656203288
509.0,-97.9579596412556
510.0,-97.95422272047833
511.0,-97.95048579970106
512.0,-97.94674887892377
513.0,-97.94301195814649
514.0,-97.9392750373692
515.0,-97.93553811659193
516.0,-97.93180119581464
517.0,-97.92806427503737
518.0,-97.9243273542601
519.0,-97.92059043348281
520.0,-97.91685351270553
521.0,-97.91311659192824
522.0,-97.90937967115097
523.0,-97.90564275037369
524.0,-97.90190582959642
525.0,-97.89816890881914
526.0,-97.89443198804186
527.0,-97.89069506726457
528.0,-97.88695814648729
529.0,-97.88322122571002
530.0,-97.87948430493273
531.0,-97.87574738415546
532.0,-97.87201046337819
533.0,-97.8682735426009
534.0,-97.86453662182362
535.0,-97.86079970104633
536.0,-97.85706278026906
537.0,-97.85332585949178
538.0,-97.8495889387145
539.0,-97.84585201793723
540.0,-97.84211509715995
541.0,-97.83837817638266
542.0,-97.83464125560538
543.0,-97.8309043348281
544.0,-97.82716741405082
545.0,-97.82343049327355
546.0,-97.81969357249626
547.0,-97.81595665171899
548.0,-97.8122197309417
549.0,-97.80848281016442
550.0,-97.80474588938715
551.0,-97.80100896860986
552.0,-97.79727204783259
553.0,-97.7935351270553
554.0,-97.78979820627804
555.0,-97.78606128550075
556.0,-97.78232436472346
557.0,-97.7785874439462
558.0,-97.77485052316891
559.0,-97.77111360239164
560.0,-97.76737668161435
561.0,-97.76363976083708
562.0,-97.7599028400598
563.0,-97.75616591928251
564.0,-97.75242899850524
565.0,-97.74869207772795
566.0,-97.74495515695068
567.0,-97.7412182361734
568.0,-97.73748131539612
569.0,-97.73374439461884
570.0,-97.73000747384155
571.0,-97.72627055306428
572.0,-97.722533632287
573.0,-97.71879671150973
574.0,-97.71505979073244
575.0,-97.71132286995517
576.0,-97.70758594917788
577.0,-97.7038490284006
578.0,-97.70011210762331
579.0,-97.69637518684604
580.0,-97.69263826606877
581.0,-97.68890134529148
582.0,-97.68516442451421
583.0,-97.68142750373693
584.0,-97.67769058295964
585.0,-97.67395366218236
586.0,-97.67021674140508
587.0,-97.57775464445868
588.0,-97.04166666666666
589.0,-96.44642857142858
590.0,-96.01785714285714
591.0,-96.0
592.0,-96.0
593.0,-96.234375
594.0,-96.75520833333334
595.0,-97.27604166666667
596.0,-97.7252840909091
597.0,-97.99810606060606
598.0,-98.26325757575758
599.0,-98.5284090909091
600.0,-98.79356060606061
601.0,-99.05871212121212
602.0,-99.32386363636364
603.0,-99.58901515151516
604.0,-99.85416666666666
605.0,-100.0
