Time(sec),AYTF9Q5TZX4IK
0.0,-99.9694293478261
1.0,-99.90149456521739
2.0,-99.8335597826087
3.0,-99.765625
4.0,-99.6976902173913
5.0,-99.62975543478261
6.0,-99.5618206521739
7.0,-99.49388586956522
8.0,-99.42595108695653
9.0,-99.35801630434783
10.0,-99.29008152173913
11.0,-99.22214673913044
12.0,-99.15421195652173
13.0,-99.08627717391305
14.0,-99.01834239130434
15.0,-98.95040760869566
16.0,-98.88247282608695
17.0,-98.81453804347827
18.0,-98.74660326086956
19.0,-98.67866847826087
20.0,-98.61073369565217
21.0,-98.54279891304347
22.0,-98.47486413043478
23.0,-98.4069293478261
24.0,-98.33899456521739
25.0,-98.2710597826087
26.0,-98.203125
27.0,-97.21976630434783
28.0,-88.92469662162162
29.0,-79.74141441441442
30.0,-77.0
31.0,-77.0
32.0,-77.0
33.0,-77.0
34.0,-77.0
35.0,-77.0
36.0,-77.0
37.0,-80.74642857142857
38.0,-85.15929292929293
39.0,-86.10763888888889
40.0,-86.59375
41.0,-87.07986111111111
42.0,-87.56597222222223
43.0,-83.01666666666667
44.0,-82.0
45.0,-82.0
46.0,-82.0
47.0,-82.0
48.0,-82.0
49.0,-82.0
50.0,-82.03
51.0,-84.09142857142857
52.0,-99.7
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-98.71666666666667
61.0,-90.41178097345133
62.0,-90.25138274336283
63.0,-90.09098451327434
64.0,-89.93058628318583
65.0,-89.77018805309734
66.0,-89.60978982300885
67.0,-89.44939159292036
68.0,-89.28899336283186
69.0,-89.12859513274336
70.0,-88.96819690265487
71.0,-88.80779867256636
72.0,-88.64740044247787
73.0,-88.48700221238938
74.0,-88.3266039823009
75.0,-88.16620575221239
76.0,-88.00580752212389
77.0,-87.8454092920354
78.0,-87.6850110619469
79.0,-87.5246128318584
80.0,-87.36421460176992
81.0,-87.20381637168143
82.0,-87.04341814159292
83.0,-84.51457126380032
84.0,-78.53829843625763
85.0,-86.67408376770621
86.0,-92.0
87.0,-92.0
88.0,-92.0
89.0,-92.0
90.0,-92.0
91.0,-92.0
92.0,-92.0
93.0,-92.0
94.0,-97.52714285714286
95.0,-98.8875
96.0,-93.23938679245283
97.0,-93.21580188679245
98.0,-93.19221698113208
99.0,-93.1686320754717
100.0,-93.14504716981132
101.0,-93.12146226415095
102.0,-93.09787735849056
103.0,-93.07429245283018
104.0,-93.05070754716982
105.0,-93.02712264150944
106.0,-94.40471160211851
107.0,-98.9843201754386
108.0,-98.96019736842105
109.0,-98.9360745614035
110.0,-98.91195175438597
111.0,-98.88782894736842
112.0,-98.86370614035089
113.0,-98.83958333333334
114.0,-98.81546052631579
115.0,-98.79133771929824
116.0,-98.7672149122807
117.0,-98.74309210526316
118.0,-98.71896929824561
119.0,-98.69484649122806
120.0,-98.67072368421053
121.0,-98.64660087719298
122.0,-98.62247807017545
123.0,-98.5983552631579
124.0,-98.57423245614035
125.0,-98.5501096491228
126.0,-98.52598684210525
127.0,-98.50186403508772
128.0,-98.47774122807019
129.0,-98.45361842105264
130.0,-98.42949561403509
131.0,-98.40537280701754
132.0,-98.38125
133.0,-98.35712719298246
134.0,-98.33300438596491
135.0,-98.30888157894736
136.0,-98.28475877192982
137.0,-98.26063596491228
138.0,-98.23651315789473
139.0,-98.2123903508772
140.0,-98.18826754385965
141.0,-98.1641447368421
142.0,-98.14002192982456
143.0,-98.11589912280701
144.0,-98.09177631578947
145.0,-98.06765350877194
146.0,-98.04353070175439
147.0,-98.01940789473684
148.0,-97.9952850877193
149.0,-97.97116228070175
150.0,-97.94703947368421
151.0,-97.92291666666667
152.0,-97.89879385964912
153.0,-97.87467105263158
154.0,-97.85054824561404
155.0,-97.82642543859649
156.0,-97.80230263157895
157.0,-97.7781798245614
158.0,-97.75405701754386
159.0,-97.72993421052631
160.0,-97.70581140350878
161.0,-97.68168859649123
162.0,-97.6575657894737
163.0,-97.37118421052631
164.0,-90.0375
165.0,-90.0
166.0,-90.0
167.0,-90.0
168.0,-90.0
169.0,-90.0
170.0,-87.30539215686274
171.0,-84.81372549019608
172.0,-84.61764705882352
173.0,-84.42156862745098
174.0,-84.22549019607843
175.0,-84.02941176470588
176.0,-83.83333333333334
177.0,-83.63725490196079
178.0,-83.44117647058823
179.0,-83.24509803921569
180.0,-84.0549019607843
181.0,-90.81944444444444
182.0,-91.40025252525253
183.0,-91.9810606060606
184.0,-92.56186868686868
185.0,-93.14267676767676
186.0,-93.72348484848484
187.0,-96.11287878787878
188.0,-99.0
189.0,-99.0
190.0,-99.0
191.0,-99.0
192.0,-99.0
193.0,-99.0
194.0,-99.0
195.0,-99.0
196.0,-99.0
197.0,-99.0
198.0,-99.0
199.0,-99.0
200.0,-99.0
201.0,-99.0
202.0,-99.0
203.0,-99.0
204.0,-99.0
205.0,-97.37125771604939
206.0,-91.91878858024693
207.0,-92.00752314814817
208.0,-92.0962577160494
209.0,-92.18499228395062
210.0,-92.27372685185186
211.0,-92.36246141975309
212.0,-92.45119598765432
213.0,-98.88921001926784
214.0,-99.95183044315992
215.0,-99.91329479768787
216.0,-99.8747591522158
217.0,-99.83622350674374
218.0,-99.79768786127167
219.0,-99.75915221579962
220.0,-99.72061657032755
221.0,-99.6820809248555
222.0,-99.64354527938343
223.0,-99.60500963391137
224.0,-99.5664739884393
225.0,-99.52793834296725
226.0,-99.4894026974952
227.0,-99.45086705202313
228.0,-99.41233140655106
229.0,-99.373795761079
230.0,-99.33526011560693
231.0,-99.29672447013488
232.0,-99.25818882466281
233.0,-99.21965317919076
234.0,-99.18111753371869
235.0,-99.14258188824662
236.0,-99.10404624277456
237.0,-99.0655105973025
238.0,-99.02697495183045
239.0,-98.98843930635839
240.0,-98.94990366088632
241.0,-98.91136801541425
242.0,-98.87283236994219
243.0,-98.83429672447014
244.0,-98.79576107899808
245.0,-98.75722543352602
246.0,-98.71868978805395
247.0,-98.68015414258188
248.0,-98.64161849710982
249.0,-98.60308285163777
250.0,-98.56454720616571
251.0,-98.52601156069365
252.0,-98.48747591522158
253.0,-98.44894026974951
254.0,-98.41040462427745
255.0,-98.3718689788054
256.0,-98.33333333333334
257.0,-98.29479768786128
258.0,-98.25626204238921
259.0,-98.21772639691714
260.0,-98.17919075144508
261.0,-98.14065510597302
262.0,-98.10211946050097
263.0,-98.0635838150289
264.0,-98.02504816955684
265.0,-96.36763681844302
266.0,-95.85380116959064
267.0,-95.73684210526315
268.0,-95.61988304093568
269.0,-95.50292397660819
270.0,-95.3859649122807
271.0,-95.26900584795321
272.0,-95.15204678362574
273.0,-95.03508771929825
274.0,-94.91812865497076
275.0,-94.80116959064327
276.0,-94.6842105263158
277.0,-94.5672514619883
278.0,-94.45029239766082
279.0,-94.33333333333333
280.0,-94.21637426900585
281.0,-94.09941520467837
282.0,-89.93201754385964
283.0,-86.0
284.0,-86.0
285.0,-86.0
286.0,-86.0
287.0,-86.0
288.0,-86.0
289.0,-86.0
290.0,-86.0
291.0,-86.0
292.0,-86.0
293.0,-86.0
294.0,-86.0
295.0,-86.0
296.0,-86.0
297.0,-86.0
298.0,-86.0
299.0,-86.0
300.0,-86.0
301.0,-86.0
302.0,-86.0
303.0,-86.0
304.0,-86.0
305.0,-86.0
306.0,-86.0
307.0,-86.0
308.0,-86.0
309.0,-86.0
310.0,-86.0
311.0,-86.0
312.0,-88.01354166666667
313.0,-96.0
314.0,-96.0
315.0,-96.0
316.0,-96.0
317.0,-96.0
318.0,-96.0
319.0,-96.0
320.0,-94.58392857142857
321.0,-91.0
322.0,-91.0
323.0,-91.0
324.0,-91.0
325.0,-91.0
326.0,-91.0
327.0,-91.0
328.0,-91.0
329.0,-91.0
330.0,-91.0
331.0,-91.0
332.0,-91.0
333.0,-91.0
334.0,-91.0
335.0,-91.0
336.0,-91.0
337.0,-91.0
338.0,-91.0
339.0,-91.0
340.0,-92.225
341.0,-99.00794797687861
342.0,-99.02239884393063
343.0,-99.03684971098265
344.0,-99.05130057803468
345.0,-99.0657514450867
346.0,-99.08020231213872
347.0,-99.09465317919076
348.0,-99.10910404624278
349.0,-99.1235549132948
350.0,-99.13800578034682
351.0,-99.15245664739885
352.0,-99.16690751445087
353.0,-99.18135838150289
354.0,-99.19580924855492
355.0,-99.21026011560693
356.0,-99.22471098265896
357.0,-99.23916184971098
358.0,-96.14909477587523
359.0,-94.31289308176102
360.0,-93.71540880503144
361.0,-93.11792452830188
362.0,-92.52044025157234
363.0,-90.61414691178842
364.0,-85.625
365.0,-85.04807692307693
366.0,-80.31169230769231
367.0,-75.05666666666666
368.0,-75.12333333333332
369.0,-88.99932055567041
370.0,-98.98154848046309
371.0,-98.95984081041968
372.0,-98.93813314037627
373.0,-98.91642547033285
374.0,-98.89471780028944
375.0,-98.87301013024602
376.0,-98.8513024602026
377.0,-98.82959479015919
378.0,-98.80788712011578
379.0,-98.78617945007235
380.0,-98.76447178002894
381.0,-98.74276410998553
382.0,-98.72105643994212
383.0,-98.6993487698987
384.0,-98.67764109985528
385.0,-98.65593342981187
386.0,-98.63422575976844
387.0,-98.61251808972504
388.0,-98.59081041968162
389.0,-98.5691027496382
390.0,-98.54739507959479
391.0,-98.52568740955137
392.0,-98.50397973950797
393.0,-98.48227206946454
394.0,-98.46056439942113
395.0,-98.4388567293777
396.0,-98.41714905933429
397.0,-98.39544138929088
398.0,-98.37373371924747
399.0,-98.35202604920406
400.0,-98.33031837916063
401.0,-98.30861070911722
402.0,-98.2869030390738
403.0,-98.2651953690304
404.0,-98.24348769898697
405.0,-98.22178002894356
406.0,-98.20007235890014
407.0,-98.17836468885673
408.0,-98.15665701881332
409.0,-98.1349493487699
410.0,-98.1132416787265
411.0,-98.09153400868306
412.0,-98.06982633863966
413.0,-98.04811866859623
414.0,-98.02641099855282
415.0,-98.00470332850941
416.0,-97.982995658466
417.0,-97.96128798842258
418.0,-97.93958031837916
419.0,-97.91787264833575
420.0,-97.89616497829233
421.0,-97.87445730824892
422.0,-97.8527496382055
423.0,-97.83104196816208
424.0,-97.80933429811867
425.0,-97.78762662807526
426.0,-97.76591895803185
427.0,-97.74421128798842
428.0,-97.72250361794501
429.0,-97.70079594790158
430.0,-97.67908827785818
431.0,-97.65738060781476
432.0,-97.63567293777135
433.0,-97.61396526772793
434.0,-97.59225759768451
435.0,-97.57054992764111
436.0,-97.54884225759768
437.0,-97.52713458755427
438.0,-97.00795784686028
439.0,-95.12218045112782
440.0,-95.31015037593986
441.0,-95.49812030075188
442.0,-95.6860902255639
443.0,-95.87406015037594
444.0,-96.06203007518796
445.0,-96.25
446.0,-96.43796992481204
447.0,-96.62593984962406
448.0,-96.8139097744361
449.0,-97.00187969924812
450.0,-97.18984962406014
451.0,-97.37781954887218
452.0,-97.50831860103517
453.0,-97.53824362606233
454.0,-97.56657223796034
455.0,-97.59490084985836
456.0,-97.62322946175638
457.0,-97.65155807365439
458.0,-97.6798866855524
459.0,-97.70821529745042
460.0,-97.73654390934844
461.0,-97.76487252124646
462.0,-97.79320113314448
