Time(sec),A1N90NJVNSUG6
159.0,-84.515750828991
160.0,-84.41864045476078
161.0,-84.32153008053055
162.0,-84.22441970630032
163.0,-84.1273093320701
164.0,-84.03019895783989
165.0,-83.93308858360966
166.0,-83.83597820937943
167.0,-83.73886783514922
168.0,-83.641757460919
169.0,-83.54464708668877
170.0,-83.44753671245856
171.0,-83.35042633822833
172.0,-83.2533159639981
173.0,-83.1562055897679
174.0,-83.05909521553767
175.0,-82.96198484130744
176.0,-82.86487446707721
177.0,-82.76776409284699
178.0,-82.67065371861676
179.0,-82.57354334438655
180.0,-82.47643297015632
181.0,-82.3793225959261
182.0,-82.28221222169589
183.0,-82.18510184746566
184.0,-82.08799147323543
185.0,-81.99088109900522
186.0,-81.893770724775
187.0,-81.79666035054477
188.0,-81.69954997631454
189.0,-81.60243960208433
190.0,-81.5053292278541
191.0,-81.40821885362388
192.0,-81.31110847939365
193.0,-81.21399810516343
194.0,-81.1168877309332
195.0,-81.01977735670299
196.0,-80.92266698247276
197.0,-80.82555660824254
198.0,-80.72844623401231
199.0,-80.6313358597821
200.0,-80.53422548555187
201.0,-80.43711511132165
202.0,-80.34000473709143
203.0,-80.24289436286121
204.0,-80.14578398863098
205.0,-80.04867361440077
206.0,-79.95156324017054
207.0,-79.85445286594032
208.0,-79.75734249171009
209.0,-79.66023211747986
210.0,-79.56312174324964
211.0,-86.14541554818675
212.0,-95.38888888888889
213.0,-89.83333333333334
214.0,-84.27777777777779
215.0,-66.80555555555556
216.0,8.95
217.0,54.35583333333334
218.0,-53.90102739726027
219.0,-67.24372146118722
220.0,-69.62956621004567
221.0,-72.01541095890411
222.0,-74.40125570776256
223.0,-76.787100456621
224.0,-79.17294520547945
225.0,-81.5587899543379
226.0,-83.94463470319634
227.0,-86.33047945205479
228.0,-88.71632420091325
229.0,-91.10216894977168
230.0,-93.48801369863013
231.0,-95.87385844748857
232.0,-98.25970319634703
233.0,-85.49539682539682
234.0,-2.2845652958152955
235.0,33.57924242424242
236.0,24.60889880952381
237.0,1.529139194139194
238.0,-48.449100529100534
239.0,-91.66998525073747
240.0,-92.15320796460176
241.0,-92.07577433628319
242.0,-91.9983407079646
243.0,-91.92090707964601
244.0,-91.84347345132743
245.0,-91.76603982300885
246.0,-91.68860619469027
247.0,-91.61117256637168
248.0,-91.5337389380531
249.0,-91.45630530973452
250.0,-91.37887168141593
251.0,-91.30143805309734
252.0,-91.22400442477877
253.0,-91.14657079646017
254.0,-91.0691371681416
255.0,-90.99170353982302
256.0,-90.91426991150442
257.0,-90.83683628318583
258.0,-90.75940265486726
259.0,-90.68196902654867
260.0,-90.60453539823008
261.0,-89.57787610619468
262.0,-25.85
263.0,63.05
264.0,-1.9583333333333335
265.0,-95.31416349809885
266.0,-95.45674904942966
267.0,-95.59933460076046
268.0,-95.74192015209125
269.0,-95.88450570342205
270.0,-96.02709125475285
271.0,-96.16967680608364
272.0,-96.31226235741444
273.0,-96.45484790874525
274.0,-96.59743346007605
275.0,-96.74001901140684
276.0,-96.88260456273764
277.0,-97.02519011406844
278.0,-97.16777566539925
279.0,-97.31036121673004
280.0,-97.45294676806084
281.0,-97.59553231939164
282.0,-97.73811787072243
283.0,-97.88070342205323
284.0,-98.02328897338404
285.0,-98.16587452471484
286.0,-98.30846007604563
287.0,-98.45104562737643
288.0,-98.59363117870723
289.0,-98.73621673003802
290.0,-98.87880228136882
291.0,-78.19144486692015
292.0,14.75
293.0,68.7
294.0,-40.30161389486628
295.0,-82.54034737165692
296.0,-82.5941438671995
297.0,-82.64794036274209
298.0,-82.70173685828465
299.0,-82.75553335382725
300.0,-82.8093298493698
301.0,-82.86312634491239
302.0,-82.91692284045497
303.0,-82.97071933599753
304.0,-83.02451583154013
305.0,-83.07831232708268
306.0,-83.13210882262527
307.0,-83.18590531816785
308.0,-83.23970181371041
309.0,-83.29349830925301
310.0,-83.34729480479557
311.0,-83.40109130033815
312.0,-83.45488779588074
313.0,-83.5086842914233
314.0,-83.56248078696588
315.0,-83.61627728250845
316.0,-83.67007377805103
317.0,-83.7238702735936
318.0,-83.77766676913618
319.0,-83.83146326467876
320.0,-83.88525976022133
321.0,-83.93905625576392
322.0,-83.99285275130649
323.0,-84.04664924684906
324.0,-84.10044574239164
325.0,-84.15424223793421
326.0,-84.2080387334768
327.0,-84.26183522901937
328.0,-84.31563172456194
329.0,-84.36942822010452
330.0,-84.4232247156471
331.0,-84.47702121118968
332.0,-84.53081770673224
333.0,-84.58461420227482
334.0,-84.6384106978174
335.0,-84.69220719335996
336.0,-84.74600368890256
337.0,-84.79980018444512
338.0,-84.8535966799877
339.0,-84.90739317553029
340.0,-84.96118967107284
341.0,-85.01498616661544
342.0,-85.068782662158
343.0,-85.12257915770059
344.0,-85.17637565324317
345.0,-85.23017214878573
346.0,-85.28396864432833
347.0,-85.33776513987088
348.0,-85.39156163541347
349.0,-85.44535813095605
350.0,-85.49915462649861
351.0,-85.5529511220412
352.0,-85.60674761758376
353.0,-85.66054411312635
354.0,-85.71434060866892
355.0,-85.76813710421149
356.0,-85.82193359975408
357.0,-85.87573009529665
358.0,-85.92952659083923
359.0,-85.9833230863818
360.0,-86.03711958192437
361.0,-86.09091607746696
362.0,-86.14471257300953
363.0,-86.19850906855211
364.0,-86.25230556409467
365.0,-86.30610205963725
366.0,-86.35989855517984
367.0,-86.41369505072241
368.0,-86.467491546265
369.0,-86.52128804180755
370.0,-86.57508453735014
371.0,-86.62888103289272
372.0,-86.68267752843528
373.0,-86.73647402397788
374.0,-86.79027051952043
375.0,-86.84406701506302
376.0,-86.8978635106056
377.0,-86.95166000614816
378.0,-87.00545650169076
379.0,-87.05925299723332
380.0,-87.1130494927759
381.0,-87.16684598831849
382.0,-87.22064248386104
383.0,-87.27443897940363
384.0,-87.3282354749462
385.0,-87.38203197048878
386.0,-87.43582846603137
387.0,-87.48962496157392
388.0,-87.54342145711651
389.0,-87.59721795265908
390.0,-87.65101444820166
391.0,-87.70481094374423
392.0,-87.7586074392868
393.0,-87.81240393482939
394.0,-87.86620043037196
395.0,-87.91999692591455
396.0,-87.97379342145712
397.0,-88.02758991699969
398.0,-88.08138641254227
399.0,-88.13518290808484
400.0,-88.18897940362743
401.0,-88.24277589916998
402.0,-88.29657239471257
403.0,-88.35036889025515
404.0,-88.40416538579773
405.0,-88.45796188134031
406.0,-88.51175837688287
407.0,-88.56555487242545
408.0,-88.61935136796804
409.0,-88.6731478635106
410.0,-88.72694435905319
411.0,-88.78074085459575
412.0,-88.83453735013833
413.0,-88.88833384568092
414.0,-88.94213034122347
415.0,-88.99592683676607
416.0,-89.04972333230863
417.0,-89.10351982785122
418.0,-89.1573163233938
419.0,-89.21111281893636
420.0,-89.26490931447894
421.0,-89.31870581002151
422.0,-89.3725023055641
423.0,-89.42629880110667
424.0,-89.48009529664924
425.0,-89.53389179219182
426.0,-89.5876882877344
427.0,-89.64148478327698
428.0,-89.69528127881955
429.0,-89.74907777436212
430.0,-89.8028742699047
431.0,-89.85667076544728
432.0,-89.91046726098986
433.0,-89.96426375653243
434.0,-90.018060252075
435.0,-90.07185674761759
436.0,-90.12565324316016
437.0,-90.17944973870274
438.0,-90.2332462342453
439.0,-90.28704272978788
440.0,-90.34083922533047
441.0,-90.39463572087304
442.0,-90.44843221641563
443.0,-90.50222871195818
444.0,-90.55602520750077
445.0,-90.60982170304335
446.0,-90.66361819858591
447.0,-90.71741469412851
448.0,-90.77121118967106
449.0,-90.82500768521365
450.0,-90.87880418075623
451.0,-90.93260067629879
452.0,-90.98639717184139
453.0,-91.04019366738395
454.0,-91.09399016292653
455.0,-91.14778665846912
456.0,-91.20158315401167
457.0,-91.25537964955426
458.0,-91.30917614509683
459.0,-91.36297264063941
460.0,-91.41676913618198
461.0,-91.47056563172455
462.0,-91.52436212726714
463.0,-91.57815862280971
464.0,-91.6319551183523
465.0,-91.68575161389487
466.0,-91.73954810943744
467.0,-91.79334460498002
468.0,-91.84714110052259
469.0,-91.90093759606518
470.0,-91.95473409160775
471.0,-92.00853058715032
472.0,-92.0623270826929
473.0,-92.11612357823547
474.0,-92.16992007377806
475.0,-92.22371656932062
476.0,-92.2775130648632
477.0,-92.33130956040578
478.0,-92.38510605594836
479.0,-92.43890255149094
480.0,-92.4926990470335
481.0,-92.54649554257608
482.0,-92.60029203811867
483.0,-92.65408853366122
484.0,-92.70788502920382
485.0,-92.76168152474638
486.0,-92.81547802028896
487.0,-92.86927451583155
488.0,-92.9230710113741
489.0,-92.97686750691669
490.0,-93.03066400245926
491.0,-93.08446049800185
492.0,-93.13825699354443
493.0,-93.19205348908699
494.0,-93.24584998462957
495.0,-93.29964648017214
496.0,-93.35344297571473
497.0,-93.4072394712573
498.0,-93.46103596679987
499.0,-93.51483246234245
500.0,-93.56862895788502
501.0,-93.62242545342761
502.0,-93.67622194897018
503.0,-93.73001844451275
504.0,-93.78381494005534
505.0,-93.8376114355979
506.0,-93.89140793114049
507.0,-93.94520442668306
508.0,-93.99900092222563
509.0,-94.05279741776822
510.0,-94.10659391331079
511.0,-94.16039040885337
512.0,-94.21418690439593
513.0,-94.26798339993852
514.0,-94.3217798954811
515.0,-94.37557639102366
516.0,-94.42937288656626
517.0,-94.48316938210881
518.0,-94.5369658776514
519.0,-94.59076237319398
520.0,-94.64455886873654
521.0,-94.69835536427914
522.0,-94.7521518598217
523.0,-94.80594835536428
524.0,-94.85974485090686
525.0,-94.91354134644942
526.0,-94.967337841992
527.0,-95.02113433753458
528.0,-95.07493083307716
529.0,-95.12872732861975
530.0,-95.1825238241623
531.0,-95.23632031970489
532.0,-95.29011681524746
533.0,-95.34391331079004
534.0,-95.39770980633261
535.0,-95.45150630187518
536.0,-95.50530279741777
537.0,-95.55909929296034
538.0,-95.61289578850293
539.0,-95.6666922840455
540.0,-95.72048877958807
541.0,-95.77428527513065
542.0,-95.82808177067322
543.0,-95.88187826621581
544.0,-95.93567476175838
545.0,-95.98947125730095
546.0,-96.04326775284353
547.0,-96.0970642483861
548.0,-96.15086074392869
549.0,-96.20465723947125
550.0,-96.25845373501383
551.0,-96.31225023055642
552.0,-96.36604672609897
553.0,-96.41984322164157
554.0,-96.47363971718413
555.0,-96.52743621272671
556.0,-96.5812327082693
557.0,-96.63502920381185
558.0,-96.68882569935445
559.0,-96.74262219489701
560.0,-96.7964186904396
561.0,-96.85021518598218
562.0,-96.90401168152474
563.0,-96.95780817706732
564.0,-97.01160467260989
565.0,-97.06540116815248
566.0,-97.11919766369506
567.0,-97.17299415923762
568.0,-97.2267906547802
569.0,-97.28058715032277
570.0,-97.33438364586536
571.0,-97.38818014140793
572.0,-97.4419766369505
573.0,-97.49577313249308
574.0,-97.54956962803566
575.0,-97.60336612357824
576.0,-97.65716261912081
577.0,-97.71095911466338
578.0,-97.76475561020597
579.0,-97.81855210574854
580.0,-97.87234860129112
581.0,-97.9261450968337
582.0,-97.97994159237626
583.0,-98.03373808791885
584.0,-98.08753458346142
585.0,-98.141331079004
586.0,-98.19512757454656
587.0,-98.24892407008915
588.0,-98.30272056563173
589.0,-98.35651706117429
590.0,-98.41031355671689
591.0,-98.46411005225944
592.0,-98.51790654780203
593.0,-98.57170304334461
594.0,-98.62549953888717
595.0,-98.67929603442977
596.0,-98.73309252997232
597.0,-98.78688902551491
598.0,-98.8406855210575
599.0,-98.89448201660005
600.0,-98.94827851214264
601.0,-99.0020750076852
602.0,-99.05587150322779
603.0,-99.10966799877036
604.0,-99.16346449431293
605.0,-99.21726098985552
606.0,-99.27105748539809
607.0,-99.32485398094067
608.0,-99.37865047648324
609.0,-99.43244697202582
610.0,-99.4862434675684
611.0,-99.54003996311097
612.0,-99.59383645865356
613.0,-99.64763295419613
614.0,-99.7014294497387
615.0,-99.75522594528128
616.0,-99.80902244082385
617.0,-99.86281893636644
618.0,-99.91661543190901
619.0,-99.97041192745158
620.0,-100.0
