Time(sec),A1N90NJVNSUG6
0.0,-99.9563003315964
1.0,-99.85918995736617
2.0,-99.76207958313594
3.0,-99.66496920890573
4.0,-99.5678588346755
5.0,-99.47074846044528
6.0,-99.37363808621507
7.0,-99.27652771198484
8.0,-99.17941733775461
9.0,-99.0823069635244
10.0,-98.98519658929418
11.0,-98.88808621506395
12.0,-98.79097584083374
13.0,-98.69386546660351
14.0,-98.59675509237329
15.0,-98.49964471814306
16.0,-98.40253434391283
17.0,-98.30542396968261
18.0,-98.20831359545238
19.0,-98.11120322122217
20.0,-98.01409284699194
21.0,-97.91698247276172
22.0,-97.8198720985315
23.0,-97.72276172430128
24.0,-97.62565135007105
25.0,-97.52854097584084
26.0,-97.43143060161061
27.0,-97.33432022738039
28.0,-97.23720985315018
29.0,-97.14009947891995
30.0,-97.04298910468972
31.0,-96.9458787304595
32.0,-96.84876835622927
33.0,-96.75165798199905
34.0,-96.65454760776882
35.0,-96.55743723353861
36.0,-96.46032685930838
37.0,-96.36321648507815
38.0,-96.26610611084794
39.0,-96.16899573661772
40.0,-96.07188536238749
41.0,-95.97477498815728
42.0,-95.87766461392705
43.0,-95.78055423969683
44.0,-95.68344386546661
45.0,-95.58633349123639
46.0,-95.48922311700616
47.0,-95.39211274277594
48.0,-95.29500236854571
49.0,-95.19789199431548
50.0,-95.10078162008526
51.0,-95.00367124585505
52.0,-94.90656087162482
53.0,-94.8094504973946
54.0,-94.71234012316438
55.0,-94.61522974893415
56.0,-94.51811937470393
57.0,-94.42100900047372
58.0,-94.32389862624349
59.0,-94.22678825201326
60.0,-94.12967787778305
61.0,-94.03256750355283
62.0,-93.9354571293226
63.0,-93.83834675509237
64.0,-93.74123638086215
65.0,-93.64412600663192
66.0,-93.5470156324017
67.0,-93.44990525817148
68.0,-93.35279488394126
69.0,-93.25568450971103
70.0,-93.15857413548082
71.0,-93.0614637612506
72.0,-92.96435338702037
73.0,-92.86724301279015
74.0,-92.77013263855993
75.0,-92.6730222643297
76.0,-92.57591189009949
77.0,-92.47880151586926
78.0,-92.38169114163904
79.0,-92.28458076740881
80.0,-92.18747039317859
81.0,-92.09036001894836
82.0,-91.99324964471813
83.0,-91.89613927048792
84.0,-91.7990288962577
85.0,-91.70191852202747
86.0,-91.60480814779726
87.0,-91.50769777356703
88.0,-91.4105873993368
89.0,-91.3134770251066
90.0,-91.21636665087637
91.0,-91.11925627664614
92.0,-91.02214590241593
93.0,-90.9250355281857
94.0,-90.82792515395548
95.0,-90.73081477972525
96.0,-90.63370440549502
97.0,-90.5365940312648
98.0,-90.43948365703457
99.0,-90.34237328280436
100.0,-90.24526290857413
101.0,-90.14815253434391
102.0,-90.0510421601137
103.0,-89.95393178588347
104.0,-89.85682141165324
105.0,-89.75971103742303
106.0,-89.6626006631928
107.0,-89.56549028896258
108.0,-89.46837991473235
109.0,-89.37126954050214
110.0,-89.27415916627191
111.0,-89.17704879204169
112.0,-89.07993841781146
113.0,-88.98282804358124
114.0,-88.88571766935101
115.0,-88.7886072951208
116.0,-88.69149692089057
117.0,-88.59438654666035
118.0,-88.49727617243013
119.0,-88.40016579819991
120.0,-88.30305542396968
121.0,-88.20594504973947
122.0,-88.10883467550924
123.0,-88.01172430127902
124.0,-87.9146139270488
125.0,-87.81750355281858
126.0,-87.72039317858835
127.0,-87.62328280435813
128.0,-87.5261724301279
129.0,-87.42906205589767
130.0,-87.33195168166745
131.0,-87.23484130743724
132.0,-87.13773093320701
133.0,-87.04062055897678
134.0,-86.94351018474657
135.0,-86.84639981051635
136.0,-86.74928943628612
137.0,-86.65217906205591
138.0,-86.55506868782568
139.0,-86.45795831359546
140.0,-86.36084793936523
141.0,-86.26373756513502
142.0,-86.16662719090479
143.0,-86.06951681667456
144.0,-85.97240644244434
145.0,-85.87529606821411
146.0,-85.77818569398389
147.0,-85.68107531975367
148.0,-85.58396494552345
149.0,-85.48685457129322
150.0,-85.38974419706301
151.0,-85.29263382283278
152.0,-85.19552344860256
153.0,-85.09841307437235
154.0,-85.00130270014212
155.0,-84.9041923259119
156.0,-84.80708195168167
157.0,-84.70997157745146
158.0,-84.61286120322123
