Time(sec),AYYSG3O9FNU15
0.0,-99.99139043381534
1.0,-99.97225806451613
2.0,-99.95312569521691
3.0,-99.93399332591768
4.0,-99.91486095661847
5.0,-99.89572858731925
6.0,-99.87659621802001
7.0,-99.85746384872081
8.0,-99.83833147942157
9.0,-99.81919911012236
10.0,-99.80006674082314
11.0,-99.78093437152391
12.0,-99.7618020022247
13.0,-99.74266963292548
14.0,-99.72353726362624
15.0,-99.70440489432704
16.0,-99.6852725250278
17.0,-99.66614015572858
18.0,-99.64700778642937
19.0,-99.62787541713014
20.0,-99.60874304783093
21.0,-99.58961067853171
22.0,-99.57047830923247
23.0,-99.55134593993327
24.0,-99.53221357063403
25.0,-99.51308120133481
26.0,-99.4939488320356
27.0,-99.47481646273637
28.0,-99.45568409343716
29.0,-99.43655172413794
30.0,-99.4174193548387
31.0,-99.3982869855395
32.0,-99.37915461624026
33.0,-99.36002224694104
34.0,-99.34088987764183
35.0,-99.3217575083426
36.0,-99.30262513904339
37.0,-99.28349276974417
38.0,-99.26436040044493
39.0,-99.24522803114573
40.0,-99.22609566184649
41.0,-99.20696329254727
42.0,-99.18783092324806
43.0,-99.16869855394883
44.0,-99.14956618464961
45.0,-99.1304338153504
46.0,-99.11130144605116
47.0,-99.09216907675196
48.0,-99.07303670745272
49.0,-99.0539043381535
50.0,-99.03477196885429
51.0,-99.01563959955506
52.0,-98.99650723025584
53.0,-98.97737486095663
54.0,-98.95824249165739
55.0,-98.93911012235819
56.0,-98.91997775305894
57.0,-98.90084538375973
58.0,-98.88171301446052
59.0,-98.86258064516129
60.0,-98.84344827586207
61.0,-98.82431590656286
62.0,-98.80518353726362
63.0,-98.78605116796442
64.0,-98.76691879866517
65.0,-98.74778642936596
66.0,-98.72865406006675
67.0,-98.70952169076752
68.0,-98.6903893214683
69.0,-98.67125695216909
70.0,-98.65212458286985
71.0,-98.63299221357065
72.0,-98.6138598442714
73.0,-98.59472747497219
74.0,-98.57559510567297
75.0,-98.55646273637375
76.0,-98.53733036707453
77.0,-98.51819799777532
78.0,-98.49906562847607
79.0,-98.47993325917687
80.0,-98.46080088987763
81.0,-98.44166852057842
82.0,-98.4225361512792
83.0,-98.40340378197997
84.0,-98.38427141268076
85.0,-98.36513904338155
86.0,-98.3460066740823
87.0,-98.3268743047831
88.0,-98.30774193548386
89.0,-98.28860956618465
90.0,-93.13739194139194
91.0,-91.0
92.0,-91.0
93.0,-91.0
94.0,-93.23297413793104
95.0,-99.56551724137931
96.0,-99.87068965517241
97.0,-99.77490421455938
98.0,-99.67911877394636
99.0,-99.58333333333334
100.0,-99.4875478927203
101.0,-99.39176245210727
102.0,-99.29597701149426
103.0,-99.20019157088123
104.0,-99.10440613026819
105.0,-99.00862068965517
106.0,-98.91283524904215
107.0,-98.81704980842912
108.0,-98.72126436781609
109.0,-98.62547892720306
110.0,-98.52969348659005
111.0,-98.433908045977
112.0,-98.33812260536398
113.0,-98.24233716475096
114.0,-98.14655172413794
115.0,-98.0507662835249
116.0,-97.95498084291188
117.0,-97.85919540229885
118.0,-97.76340996168582
119.0,-97.6676245210728
120.0,-97.57183908045977
121.0,-93.7278735632184
122.0,-94.73372710622711
123.0,-95.87063710099424
124.0,-95.91786368393511
125.0,-95.96509026687599
126.0,-96.01231684981686
127.0,-96.05954343275772
128.0,-96.10677001569859
129.0,-96.15399659863945
130.0,-96.20122318158033
131.0,-96.2484497645212
132.0,-96.29567634746206
133.0,-96.34290293040293
134.0,-96.3901295133438
135.0,-96.43735609628467
136.0,-96.48458267922554
137.0,-96.5318092621664
138.0,-96.57903584510727
139.0,-96.62626242804814
140.0,-96.67348901098902
141.0,-96.72071559392988
142.0,-96.76794217687075
143.0,-96.81516875981161
144.0,-96.86239534275248
145.0,-96.90962192569336
