Time(sec),ACM1CEGHXTKZP
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-92.73196803196802
24.0,-88.73076923076923
25.0,-88.73076923076923
26.0,-88.73076923076923
27.0,-88.73076923076923
28.0,-77.6137564102564
29.0,-55.326086956521735
30.0,-55.326086956521735
31.0,-55.326086956521735
32.0,-55.326086956521735
33.0,-55.326086956521735
34.0,-39.916306818181816
35.0,-4.298920786815524
36.0,11.33327380952381
37.0,55.77652777777778
38.0,98.37875
39.0,100.0
40.0,100.0
41.0,100.0
42.0,100.0
43.0,100.0
44.0,100.0
45.0,100.0
46.0,100.0
47.0,100.0
48.0,100.0
49.0,100.0
50.0,100.0
51.0,100.0
52.0,100.0
53.0,100.0
54.0,100.0
55.0,100.0
56.0,100.0
57.0,100.0
58.0,100.0
59.0,100.0
60.0,100.0
61.0,100.0
62.0,100.0
63.0,100.0
64.0,100.0
65.0,100.0
66.0,100.0
67.0,100.0
68.0,100.0
69.0,100.0
70.0,100.0
71.0,100.0
72.0,100.0
73.0,100.0
74.0,100.0
75.0,100.0
76.0,100.0
77.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
87.0,97.28809523809524
88.0,49.54761904761905
89.0,8.32475529100529
90.0,-9.824715909090909
91.0,-41.8375
92.0,-52.5
93.0,-52.5
94.0,-69.45
95.0,-94.15
96.0,-96.5
97.0,-96.5
98.0,-96.5
99.0,-96.5
100.0,-96.5
101.0,-96.5
102.0,-96.5
103.0,-99.65
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-88.18545454545455
151.0,-86.3125
152.0,-86.3125
153.0,-86.3125
154.0,-86.3125
155.0,-74.43011363636364
156.0,-62.5
157.0,-33.38357142857143
158.0,5.01126488095238
159.0,73.55305555555556
160.0,84.0
161.0,67.14636363636365
162.0,14.75609649122807
163.0,-53.3625
164.0,-80.24551820728291
165.0,-82.35714285714286
166.0,-87.71696428571428
167.0,-88.3125
168.0,-88.3125
169.0,-88.3125
170.0,-88.3125
171.0,-88.3125
172.0,-88.3125
173.0,-88.3125
174.0,-94.83333333333334
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
