Time(sec),AM2RT8BYNQFDR
265.0,25.0
266.0,24.99736842105263
267.0,24.82894736842105
268.0,23.173684210526314
269.0,-0.5650000000000001
270.0,-2.0
271.0,-2.0
272.0,-2.0
273.0,-2.0
274.0,-2.0
275.0,-2.0
276.0,-2.0
277.0,-2.0
278.0,-2.0
279.0,-2.0
280.0,-2.0
281.0,-2.0
282.0,-2.0
283.0,-2.0
284.0,-2.981818181818182
285.0,-26.226329966329967
286.0,-38.52962962962963
287.0,-39.34444444444445
288.0,-46.52111111111111
289.0,-72.42134831460675
290.0,-72.46878901373285
291.0,-72.51622971285893
292.0,-72.56367041198503
293.0,-72.61111111111111
294.0,-72.65855181023721
295.0,-72.7059925093633
296.0,-72.75343320848938
297.0,-72.80087390761548
298.0,-72.84831460674158
299.0,-72.89575530586767
300.0,-72.94319600499377
301.0,-72.99063670411985
302.0,-73.03807740324595
303.0,-73.08551810237205
304.0,-73.13295880149813
305.0,-73.18039950062422
306.0,-73.22784019975032
307.0,-73.2752808988764
308.0,-73.3227215980025
309.0,-73.37016229712859
310.0,-73.41760299625469
311.0,-73.46504369538079
312.0,-73.51248439450687
313.0,-73.55992509363297
314.0,-73.60736579275905
315.0,-73.65338327091136
316.0,-73.66666666666667
317.0,-73.66666666666667
318.0,-73.66666666666667
319.0,-73.66666666666667
320.0,-73.66666666666667
321.0,-73.66666666666667
322.0,-73.66666666666667
323.0,-73.66666666666667
324.0,-73.66666666666667
325.0,-72.54895833333333
326.0,-64.33265931372549
327.0,-57.61764705882352
328.0,-53.657588044926705
329.0,-45.62459546925566
330.0,-45.55987055016181
331.0,-45.495145631067956
332.0,-45.43042071197411
333.0,-45.36569579288026
334.0,-45.300970873786405
335.0,-45.236245954692556
336.0,-45.1715210355987
337.0,-45.10679611650486
338.0,-45.042071197411005
339.0,-45.00064724919094
340.0,-44.9375
341.0,-42.02916666666667
342.0,-10.36923076923077
343.0,-6.557692307692308
344.0,-6.1730769230769225
345.0,-6.0
346.0,-6.0
347.0,-6.0
348.0,-6.0
349.0,-6.0
350.0,-6.0
351.0,-6.0
352.0,-6.0
353.0,-6.0
354.0,-6.0
355.0,-6.0
356.0,-6.0
357.0,-6.0
