Time(sec),AOEGJLWFISOZQ
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-96.57371794871794
31.0,-77.87435897435897
32.0,-83.47916666666666
33.0,-91.0
34.0,-81.60125000000001
35.0,-78.0
36.0,-78.0
37.0,-78.0
38.0,-83.4731313131313
39.0,-90.0
40.0,-90.0
41.0,-90.0
42.0,-75.67518115942029
43.0,-62.77203947368421
44.0,-62.184210526315795
45.0,-62.184210526315795
46.0,-62.184210526315795
47.0,-59.318421052631585
48.0,-59.0
49.0,-59.0
50.0,-59.0
51.0,-59.0
52.0,-59.0
53.0,-59.0
54.0,-57.553161764705884
55.0,-46.0
56.0,-46.0
57.0,-46.0
58.0,-46.0
59.0,-56.06934603386809
60.0,-69.81708333333333
61.0,-78.9
62.0,-83.99760334118655
63.0,-41.490038005038
64.0,-36.74555984555984
65.0,-36.74555984555984
66.0,-36.74555984555984
67.0,-32.80409583926031
68.0,9.364959890766343
69.0,16.0
70.0,16.0
71.0,16.0
72.0,16.0
73.0,16.0
74.0,12.894017094017093
75.0,-10.385853510524564
76.0,-53.3
77.0,-54.0
78.0,-38.0534768907563
79.0,-1.7218100118835409
80.0,20.0
81.0,20.0
82.0,20.0
83.0,20.0
84.0,20.0
85.0,20.0
86.0,18.978125
87.0,1.924791666666667
88.0,-13.15
89.0,-43.35861283643892
90.0,-59.37826086956521
91.0,-61.0
92.0,-61.0
93.0,-74.81333333333333
94.0,-65.59682598039215
95.0,-8.3296568627451
96.0,-4.362745098039216
97.0,-4.362745098039216
98.0,-4.362745098039216
99.0,5.404901960784313
100.0,18.5
101.0,27.59166666666667
102.0,12.825
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,-0.9666666666666668
112.0,-25.8
113.0,-41.166666666666664
114.0,-54.65238095238095
115.0,-66.0
116.0,-66.0
117.0,-73.32000000000001
118.0,-81.0
119.0,-73.49444444444444
120.0,-65.0
121.0,-65.0
122.0,-40.21420551378446
123.0,19.761228422520606
124.0,66.86412698412698
125.0,73.76349206349207
126.0,60.07962962962963
127.0,39.080912698412696
128.0,2.9509030321530325
129.0,-35.61674242424242
130.0,-59.8280303030303
131.0,-64.0
132.0,-64.0
133.0,-64.0
134.0,-64.0
135.0,-72.33888888888889
136.0,-79.0
137.0,-79.0
138.0,-79.0
139.0,-79.0
140.0,-79.0
141.0,-78.93791666666667
142.0,-44.791153644888084
143.0,-8.75367891803186
144.0,25.854899267399265
145.0,88.11467171717172
146.0,57.64147727272727
147.0,32.113852813852816
148.0,18.8
149.0,-0.296056721056721
150.0,-23.69918989223337
151.0,-29.681244377811094
152.0,-63.510294117647064
153.0,-67.5
154.0,-77.62098484848484
155.0,-72.24333333333333
156.0,-39.026190025252525
157.0,21.10797619047619
158.0,51.774682539682544
159.0,10.333333333333332
160.0,5.837179487179488
161.0,-6.0
162.0,-12.15
163.0,-32.356785714285714
164.0,-44.0
165.0,-30.95
166.0,-7.98349358974359
167.0,-7.806153846153846
168.0,3.920833333333333
169.0,10.0
170.0,10.0
171.0,7.847321428571429
172.0,-21.931796536796533
173.0,-23.928571428571427
174.0,-23.928571428571427
175.0,-23.928571428571427
176.0,-25.93131868131868
177.0,-55.882948717948715
178.0,-59.0
179.0,-59.0
180.0,-67.52332251082251
181.0,-88.91561771561771
182.0,-94.0
183.0,-94.0
184.0,-94.0
185.0,-99.34166666666667
186.0,-100.0
