Time(sec),AU2980AA60A2C
262.0,-63.733730158730154
263.0,-71.75
264.0,-81.59242424242424
265.0,-83.20454545454545
266.0,-83.88636363636364
267.0,-84.0
268.0,-84.0
269.0,-84.0
270.0,-84.0
271.0,-84.0
272.0,-84.0
273.0,-84.0
274.0,-84.0
275.0,-84.0
276.0,-84.0
277.0,-84.0
278.0,-84.0
279.0,-84.025
280.0,-91.28
281.0,-96.02666666666667
282.0,-98.5875
283.0,-99.8125
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-99.9882100750268
319.0,-99.96677384780278
320.0,-99.94533762057878
321.0,-99.92390139335477
322.0,-99.90246516613077
323.0,-99.88102893890675
324.0,-99.85959271168274
325.0,-99.83815648445874
326.0,-99.81672025723472
327.0,-99.79528403001072
328.0,-99.7738478027867
329.0,-99.7524115755627
330.0,-99.73097534833869
331.0,-99.70953912111469
332.0,-99.68810289389067
333.0,-99.66666666666666
334.0,-99.64523043944266
335.0,-99.62379421221866
336.0,-99.60235798499464
337.0,-99.5807073954984
338.0,-99.54555198285102
339.0,-99.502679528403
340.0,-99.45980707395498
341.0,-99.41693461950697
342.0,-99.37406216505894
343.0,-97.44223050785614
344.0,-95.17021276595746
345.0,-95.17872340425532
346.0,-99.52067669172932
347.0,-99.55808270676691
348.0,-99.58364661654136
349.0,-99.60244360902256
350.0,-99.62124060150376
351.0,-99.64003759398496
352.0,-99.65883458646616
353.0,-99.67763157894737
354.0,-99.69642857142857
355.0,-99.71522556390978
356.0,-99.73402255639098
357.0,-99.75281954887218
358.0,-99.77161654135338
359.0,-99.7904135338346
360.0,-99.8092105263158
361.0,-99.828007518797
362.0,-99.8468045112782
363.0,-99.8656015037594
364.0,-99.8843984962406
365.0,-99.9031954887218
366.0,-99.921992481203
367.0,-99.9407894736842
368.0,-99.9595864661654
369.0,-99.97838345864662
370.0,-99.99605263157895
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-100.0
411.0,-100.0
412.0,-100.0
413.0,-100.0
414.0,-100.0
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-99.31666666666666
454.0,-89.825
455.0,-92.0
456.0,-92.0
457.0,-92.0
458.0,-92.73333333333333
459.0,-99.19621212121213
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-99.99511303191488
476.0,-99.97323803191489
477.0,-99.94996675531914
478.0,-99.9266954787234
479.0,-99.90342420212765
480.0,-99.88015292553192
481.0,-99.85688164893617
482.0,-99.83361037234042
483.0,-99.81033909574468
484.0,-99.78706781914893
485.0,-99.7637965425532
486.0,-99.74052526595744
487.0,-99.7172539893617
488.0,-99.69398271276596
489.0,-99.67071143617021
490.0,-99.64744015957447
491.0,-99.62416888297872
492.0,-99.60089760638297
493.0,-99.57762632978724
494.0,-99.55435505319149
495.0,-99.53108377659575
496.0,-99.5078125
497.0,-99.48454122340425
498.0,-99.46126994680851
499.0,-99.43799867021276
500.0,-99.41472739361703
501.0,-99.39145611702128
502.0,-99.36818484042553
503.0,-99.34491356382979
504.0,-99.32164228723404
505.0,-99.2983710106383
506.0,-99.27509973404256
507.0,-99.2518284574468
508.0,-99.22855718085107
509.0,-99.20528590425532
510.0,-99.18201462765958
511.0,-99.15874335106383
512.0,-99.13547207446808
513.0,-99.11220079787235
514.0,-99.0889295212766
515.0,-99.06565824468086
516.0,-99.04238696808511
517.0,-99.01911569148936
518.0,-98.99584441489363
519.0,-98.97257313829788
520.0,-98.94930186170214
521.0,-98.92603058510637
522.0,-98.90275930851064
523.0,-98.87948803191489
524.0,-98.85621675531915
525.0,-98.8329454787234
526.0,-98.80967420212765
527.0,-98.78640292553192
528.0,-98.76313164893617
529.0,-98.73986037234042
530.0,-98.71658909574468
531.0,-98.69331781914893
532.0,-98.6700465425532
533.0,-98.64677526595744
534.0,-98.6235039893617
535.0,-98.60023271276596
536.0,-98.57696143617021
537.0,-98.55369015957447
538.0,-98.53041888297872
539.0,-98.50714760638297
540.0,-98.48387632978724
541.0,-98.46060505319149
542.0,-98.43733377659575
543.0,-98.4140625
544.0,-98.39079122340425
545.0,-98.36751994680851
546.0,-98.34424867021276
547.0,-98.32097739361703
548.0,-98.29770611702128
549.0,-98.27443484042553
550.0,-96.85349069148936
551.0,-90.29142857142857
552.0,-92.804
553.0,-92.82857142857144
554.0,-89.14666666666668
555.0,-88.58518518518518
556.0,-87.55111111111111
557.0,-86.7375
558.0,-85.0
559.0,-85.0
560.0,-85.05
561.0,-90.65454545454546
562.0,-92.56363636363636
563.0,-93.0
564.0,-93.0
565.0,-93.0875
566.0,-94.6375
567.0,-99.5
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-99.97613636363636
573.0,-99.66193181818183
574.0,-99.26420454545455
575.0,-98.86647727272728
576.0,-98.46875
577.0,-93.91428571428571
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
