Time(sec),AMNMG3DCCC166
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-86.10614718614718
21.0,-56.0
22.0,-56.0
23.0,-61.529059829059825
24.0,-95.16785714285714
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-85.71271073019639
43.0,-67.15288461538462
44.0,-65.1923076923077
45.0,-65.1923076923077
46.0,-65.1923076923077
47.0,-41.72585858585859
48.0,-31.54545454545455
49.0,-21.949545454545454
50.0,-18.95
51.0,-18.95
52.0,-18.802500000000002
53.0,-16.0
54.0,-16.0
55.0,-16.0
56.0,-16.0
57.0,-6.63169191919192
58.0,3.0
59.0,3.0
60.0,3.0
61.0,3.0
62.0,3.0
63.0,1.4065610859728506
64.0,-55.52285931174089
65.0,-85.0
66.0,-85.0
67.0,-86.6564556661925
68.0,-30.470647329723413
69.0,-10.0
70.0,-10.0
71.0,-10.0
72.0,-7.94
73.0,-1.0
74.0,-1.0
75.0,-1.0
76.0,-1.0
77.0,-1.0
78.0,1.1
79.0,4.723232323232323
80.0,30.958333333333332
81.0,32.0
82.0,28.97142857142857
83.0,28.214285714285715
84.0,28.214285714285715
85.0,28.214285714285715
86.0,21.402380952380952
87.0,1.4032967032967032
88.0,-12.166666666666668
89.0,-18.166666666666668
90.0,-24.79656558275484
91.0,-47.616839199447895
92.0,-84.98177310370788
93.0,-96.0
94.0,-96.0
95.0,-96.0
96.0,-96.0
97.0,-96.0
98.0,-96.0
99.0,-96.0
100.0,-96.0
101.0,-96.0
102.0,-96.0
103.0,-96.0
104.0,-96.0
105.0,-96.0
106.0,-96.0
107.0,-96.0
108.0,-96.0
109.0,-94.245
110.0,-63.14027888777889
111.0,-53.416666666666664
112.0,-53.416666666666664
113.0,-53.416666666666664
114.0,-53.416666666666664
115.0,-53.416666666666664
116.0,-53.416666666666664
117.0,-53.416666666666664
118.0,-53.416666666666664
119.0,-39.80166666666666
120.0,-38.0
121.0,-38.0
122.0,-29.647394179894178
123.0,8.241973684210526
124.0,19.0
125.0,19.0
126.0,19.0
127.0,19.0
128.0,4.476313131313131
129.0,-35.185
130.0,-49.51227106227107
131.0,-63.5744939271255
132.0,-77.0780701754386
133.0,-79.89035087719299
134.0,-86.49780701754386
135.0,-92.0
136.0,-92.0
137.0,-92.0
138.0,-92.0
139.0,-92.0
140.0,-92.0
141.0,-89.7904462474645
142.0,-43.264276507572724
143.0,-10.076666666666666
144.0,-4.0
145.0,-4.0
146.0,-4.0
147.0,-4.0
148.0,-4.0
149.0,-5.2
150.0,-22.64107142857143
151.0,-26.436666666666667
152.0,-62.091410256410256
153.0,-67.95
154.0,-73.01625
155.0,-75.1875
156.0,-76.912656641604
157.0,-99.27165032679738
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
