Time(sec),A1O51ZAYABZYI
168.0,-94.0
169.0,-94.0
170.0,-94.0
171.0,-94.0
172.0,-94.0
173.0,-94.0
174.0,-94.0
175.0,-94.0
176.0,-94.0
177.0,-94.0
178.0,-94.0
179.0,-94.0
180.0,-94.0
181.0,-94.0
182.0,-94.0
183.0,-94.0
184.0,-94.0
185.0,-94.0
186.0,-94.0
187.0,-94.0
188.0,-94.0
189.0,-94.0
190.0,-94.0
191.0,-94.0
192.0,-94.0
193.0,-94.0
194.0,-94.0
195.0,-94.0
196.0,-94.0
197.0,-94.0
198.0,-94.0
199.0,-94.0
200.0,-94.0
201.0,-87.3579659882601
202.0,-73.74751984126985
203.0,-60.513392857142854
204.0,-48.81964285714285
205.0,-38.11333333333333
206.0,-27.222500000000004
207.0,-8.780357142857143
208.0,5.63
209.0,13.226785714285715
210.0,22.82190476190476
211.0,35.915595238095236
212.0,48.835
213.0,56.55
214.0,57.875
215.0,47.23285714285714
216.0,28.425238095238097
217.0,9.948147971309735
218.0,-6.871862610428787
219.0,-10.818333333333333
220.0,0.2962121212121213
221.0,4.503787878787879
222.0,10.60909090909091
223.0,27.865
224.0,43.50693277310925
225.0,54.705359917859916
226.0,66.07579885392386
227.0,82.45714285714286
228.0,75.13047619047619
229.0,55.732142857142854
230.0,44.269999999999996
231.0,30.2425
232.0,22.46078431372549
233.0,20.122549019607842
234.0,3.943333333333334
235.0,-15.66
236.0,-32.74666666666667
237.0,-43.67777777777778
238.0,-52.63888888888889
239.0,-62.475
240.0,-73.24166666666666
241.0,-83.15
242.0,-90.98539603960396
243.0,-91.5569306930693
244.0,-91.60643564356437
245.0,-91.6559405940594
246.0,-91.70544554455446
247.0,-91.7549504950495
248.0,-91.80445544554456
249.0,-91.8539603960396
250.0,-91.90346534653466
251.0,-91.95297029702971
252.0,-91.9950495049505
253.0,-92.0
254.0,-92.0
255.0,-92.0
256.0,-92.0
257.0,-92.0
258.0,-92.0
259.0,-92.0
260.0,-92.0
261.0,-92.0
262.0,-92.0
263.0,-92.0
264.0,-92.0
265.0,-92.0
266.0,-92.0
267.0,-92.0
268.0,-92.0
269.0,-92.0
270.0,-92.0
271.0,-92.0
272.0,-92.0
273.0,-92.0
274.0,-92.0
275.0,-92.0
276.0,-92.0
277.0,-92.0
278.0,-92.0
279.0,-92.0
280.0,-92.0
281.0,-92.0
282.0,-92.0
283.0,-92.0
284.0,-92.0
285.0,-92.0
286.0,-92.0
287.0,-92.0
288.0,-92.0
289.0,-92.0
290.0,-92.0
291.0,-92.0
292.0,-92.0
293.0,-92.0
294.0,-92.0
295.0,-92.0
296.0,-92.0
297.0,-92.0
298.0,-92.0
299.0,-92.0
300.0,-92.0
301.0,-92.0
302.0,-92.0
303.0,-92.0
304.0,-92.0
305.0,-92.0
306.0,-92.0
307.0,-92.0
308.0,-92.0
309.0,-92.0
310.0,-92.0
311.0,-92.0
312.0,-92.0
313.0,-92.0
314.0,-92.0
315.0,-92.0
316.0,-92.0
317.0,-92.0
318.0,-92.0
319.0,-92.0
320.0,-92.0
321.0,-92.0
322.0,-92.0
323.0,-92.0
324.0,-92.0
325.0,-92.0
326.0,-92.0
327.0,-92.0
328.0,-92.0
329.0,-92.0
330.0,-92.0
331.0,-92.0
332.0,-92.0
333.0,-92.0
334.0,-92.0
335.0,-92.0
336.0,-92.0
337.0,-92.0
338.0,-92.0
339.0,-92.0
340.0,-92.0
341.0,-92.0
342.0,-92.0
343.0,-92.0
344.0,-92.0
345.0,-92.0
346.0,-92.0
347.0,-92.0
348.0,-92.0
349.0,-92.0
350.0,-92.0
351.0,-92.0
352.0,-92.0
353.0,-92.0
