Time(sec),AOEGJLWFISOZQ
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-98.03268292682927
44.0,-91.24390243902438
45.0,-91.80670731707316
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-97.53333333333333
62.0,-92.0
63.0,-92.0
64.0,-92.0
65.0,-92.0
66.0,-92.0
67.0,-92.0
68.0,-92.0
69.0,-92.0
70.0,-91.58461538461538
71.0,-90.56410256410257
72.0,-87.38852459016394
73.0,-87.30601092896174
74.0,-87.52459016393443
75.0,-87.7431693989071
76.0,-87.96174863387978
77.0,-88.18032786885246
78.0,-91.66229508196722
79.0,-92.5
80.0,-92.5
81.0,-92.5
82.0,-92.5
83.0,-92.5
84.0,-92.5
85.0,-92.5
86.0,-92.5
87.0,-92.5
88.0,-92.3923076923077
89.0,-92.05030314513074
90.0,-91.88916256157636
91.0,-91.74137931034483
92.0,-91.59359605911331
93.0,-91.44581280788177
94.0,-91.29802955665025
95.0,-91.15024630541872
96.0,-91.00246305418719
97.0,-90.85467980295566
98.0,-90.70689655172414
99.0,-90.75985221674877
100.0,-92.50597826086957
101.0,-92.51684782608696
102.0,-92.52771739130435
103.0,-92.53858695652174
104.0,-92.54945652173913
105.0,-92.56032608695652
106.0,-92.57119565217391
107.0,-92.5820652173913
108.0,-92.5929347826087
109.0,-92.60380434782608
110.0,-92.61467391304348
111.0,-92.62554347826088
112.0,-92.63641304347826
113.0,-92.64728260869565
114.0,-92.65815217391305
115.0,-92.66902173913044
116.0,-92.67989130434782
117.0,-92.69076086956521
118.0,-92.70163043478261
119.0,-92.7125
120.0,-92.72336956521738
121.0,-92.73423913043477
122.0,-92.74510869565218
123.0,-92.75597826086957
124.0,-92.76684782608696
125.0,-92.77771739130435
126.0,-92.78858695652174
127.0,-92.79945652173913
128.0,-92.81032608695652
129.0,-92.82119565217391
130.0,-92.8320652173913
131.0,-92.8429347826087
132.0,-92.85380434782608
133.0,-92.86467391304348
134.0,-92.87554347826088
135.0,-92.88641304347826
136.0,-92.89728260869565
137.0,-92.90815217391305
138.0,-92.91902173913044
139.0,-92.92989130434782
140.0,-92.94076086956521
141.0,-92.95163043478261
142.0,-92.9625
143.0,-92.97336956521738
144.0,-92.98423913043477
145.0,-92.99510869565218
146.0,-93.0
147.0,-93.0
148.0,-93.0
149.0,-93.0
150.0,-93.0
151.0,-93.0
152.0,-93.0
153.0,-93.0
154.0,-92.92941176470588
155.0,-90.44705882352942
