Time(sec),ARUXF7MD6PFIJ
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-99.99660326086956
14.0,-99.96773097826087
15.0,-99.93376358695653
16.0,-99.89979619565217
17.0,-99.86582880434783
18.0,-99.83186141304347
19.0,-99.79789402173913
20.0,-99.76392663043478
21.0,-99.72995923913044
22.0,-99.6959918478261
23.0,-99.66202445652173
24.0,-99.62805706521739
25.0,-99.59408967391305
26.0,-99.5601222826087
27.0,-99.52615489130434
28.0,-99.4921875
29.0,-99.45822010869566
30.0,-99.4242527173913
31.0,-99.39028532608695
32.0,-99.35631793478261
33.0,-99.32235054347827
34.0,-99.2883831521739
35.0,-99.25441576086956
36.0,-99.22044836956522
37.0,-99.18648097826087
38.0,-99.15251358695653
39.0,-99.11854619565217
40.0,-99.08457880434783
41.0,-99.05061141304347
42.0,-99.015625
43.0,-98.95720108695653
44.0,-98.88926630434783
45.0,-98.82133152173913
46.0,-95.37462683710962
47.0,-89.31220657276995
48.0,-89.07746478873239
49.0,-88.84272300469483
50.0,-95.47019746980611
51.0,-98.90076335877862
52.0,-98.9909923664122
53.0,-99.04961832061068
54.0,-99.09541984732824
55.0,-99.1412213740458
56.0,-99.18702290076337
57.0,-99.2328244274809
58.0,-99.27862595419847
59.0,-99.32442748091603
60.0,-99.37022900763358
61.0,-99.41603053435115
62.0,-99.46183206106869
63.0,-99.50763358778626
64.0,-99.55343511450381
65.0,-99.59923664122138
66.0,-99.64503816793894
67.0,-99.69083969465649
68.0,-99.73664122137404
69.0,-99.7824427480916
70.0,-99.82824427480917
71.0,-99.87404580152672
72.0,-99.91984732824427
73.0,-99.96564885496183
74.0,-99.99862595419847
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-97.68043154761905
84.0,-97.83333333333334
85.0,-98.5625
86.0,-99.29166666666666
87.0,-97.1601222826087
88.0,-96.04347826086956
89.0,-96.04347826086956
90.0,-96.04347826086956
91.0,-96.04347826086956
92.0,-96.04347826086956
93.0,-96.04347826086956
94.0,-96.04347826086956
95.0,-96.04347826086956
96.0,-95.0360248447205
97.0,-97.75142857142858
98.0,-98.3
99.0,-98.52222222222221
100.0,-98.74444444444444
101.0,-98.96666666666667
102.0,-99.1888888888889
103.0,-99.41111111111111
104.0,-99.63555555555556
105.0,-99.94444444444444
106.0,-99.99317073170732
107.0,-99.96260162601627
108.0,-99.930081300813
109.0,-99.89756097560976
110.0,-99.8650406504065
111.0,-99.83252032520325
112.0,-99.8
113.0,-99.76747967479675
114.0,-99.73512195121951
115.0,-99.7130081300813
116.0,-99.69674796747968
117.0,-99.68048780487804
118.0,-99.66422764227642
119.0,-99.6479674796748
120.0,-99.63170731707316
121.0,-99.61544715447154
122.0,-99.59918699186991
123.0,-99.58292682926829
124.0,-99.56666666666666
125.0,-99.55040650406504
126.0,-99.53414634146341
127.0,-99.51788617886179
128.0,-99.50162601626016
129.0,-99.48536585365852
130.0,-99.46910569105691
131.0,-99.45284552845528
132.0,-99.43658536585366
133.0,-99.42032520325202
134.0,-99.40406504065041
135.0,-99.38780487804878
136.0,-99.37154471544714
