Time(sec),A1EUJEHDI66UT
0.0,-99.08494401492935
1.0,-97.05148627032791
2.0,-95.01802852572646
3.0,-92.98457078112503
4.0,-90.9511130365236
5.0,-88.91765529192216
6.0,-86.88419754732072
7.0,-84.85073980271927
8.0,-82.81728205811784
9.0,-80.78382431351639
10.0,-78.75036656891496
11.0,-76.71690882431352
12.0,-74.68345107971207
13.0,-72.64999333511064
14.0,-70.61653559050919
15.0,-68.58307784590775
16.0,-66.54962010130632
17.0,-64.51616235670488
18.0,-62.48270461210344
19.0,-60.449246867502005
20.0,-58.41578912290056
21.0,-56.38233137829913
22.0,-54.34887363369768
23.0,-52.31541588909624
24.0,-50.2819581444948
25.0,-48.24850039989336
26.0,-46.215042655291924
27.0,-44.18158491069048
28.0,-42.14812716608905
29.0,-40.114669421487605
30.0,-38.08121167688616
31.0,-36.04775393228472
32.0,-34.014296187683286
33.0,-31.980838443081847
34.0,-29.94738069848041
35.0,-27.913922953878966
36.0,-25.880465209277524
37.0,-23.847007464676086
38.0,-21.813549720074647
39.0,-19.78009197547321
40.0,-17.74663423087177
41.0,-15.713176486270328
42.0,-13.679718741668893
43.0,-11.64626099706745
44.0,-9.61280325246601
45.0,-7.579345507864572
46.0,-5.545887763263131
47.0,-3.5124300186616906
48.0,-1.478972274060253
49.0,0.5544854705411879
50.0,2.5879432151426287
51.0,4.621400959744065
52.0,6.6548587043455045
53.0,8.688316448946946
54.0,10.721774193548384
55.0,12.755231938149823
56.0,14.788689682751265
57.0,16.822147427352704
58.0,18.855605171954142
59.0,20.88906291655558
60.0,22.922520661157023
61.0,24.955978405758465
62.0,26.989436150359904
63.0,29.02289389496134
64.0,31.05635163956278
65.0,33.08980938416422
66.0,35.123267128765654
67.0,37.156724873367104
68.0,44.1649016123173
69.0,57.59203463203463
70.0,71.25492941913608
71.0,83.97832442067735
72.0,94.17830002317228
73.0,83.68430656934306
74.0,69.3169099756691
75.0,54.94951338199513
76.0,40.582116788321166
77.0,26.214720194647203
78.0,11.84732360097324
79.0,-2.5200729927007246
80.0,-16.88746958637469
81.0,-31.25486618004866
82.0,-45.62226277372262
83.0,-59.98965936739658
84.0,-74.35705596107054
85.0,-88.72445255474452
86.0,-95.26897810218978
87.0,-87.79850746268656
88.0,-86.2396351575456
89.0,-84.68076285240464
90.0,-83.12189054726369
91.0,-81.56301824212271
92.0,-80.00414593698176
93.0,-78.4452736318408
94.0,-76.88640132669983
95.0,-75.32752902155887
96.0,-73.76865671641791
97.0,-72.20978441127696
98.0,-70.65091210613598
99.0,-69.09203980099502
100.0,-67.53316749585406
101.0,-65.9742951907131
102.0,-64.41542288557214
103.0,-62.856550580431175
104.0,-61.29767827529022
105.0,-59.738805970149244
106.0,-58.179933665008285
107.0,-56.621061359867326
108.0,-55.06218905472637
109.0,-53.50331674958541
110.0,-51.94444444444444
111.0,-50.38557213930348
112.0,-48.82669983416252
113.0,-47.26782752902155
114.0,-45.708955223880594
115.0,-44.150082918739635
116.0,-42.59121061359867
117.0,-41.03233830845771
118.0,-39.473466003316744
119.0,-37.914593698175786
120.0,-36.35572139303482
121.0,-34.79684908789386
122.0,-33.237976782752895
123.0,-31.679104477611936
124.0,-30.120232172470974
125.0,-28.561359867330008
126.0,-27.00248756218905
127.0,-25.443615257048087
128.0,-23.88474295190712
129.0,-22.32587064676617
130.0,-20.766998341625204
131.0,-19.208126036484238
132.0,-17.649253731343276
133.0,-16.09038142620232
134.0,-14.531509121061356
135.0,-12.97263681592039
136.0,-11.413764510779432
137.0,-9.854892205638471
138.0,-8.296019900497505
139.0,-6.737147595356539
140.0,-5.178275290215586
141.0,-3.619402985074622
142.0,-2.060530679933656
143.0,-0.5016583747926944
144.0,1.0572139303482615
145.0,2.6160862354892274
146.0,4.174958540630193
147.0,5.73383084577115
148.0,7.292703150912111
149.0,8.851575456053077
150.0,10.410447761194042
151.0,11.969320066334994
152.0,13.528192371475962
153.0,15.087064676616928
154.0,16.645936981757888
155.0,18.204809286898843
156.0,19.76368159203981
157.0,21.322553897180775
158.0,22.881426202321734
159.0,24.440298507462693
160.0,25.99917081260366
161.0,27.558043117744624
162.0,29.116915422885576
163.0,30.675787728026542
164.0,32.23466003316751
165.0,33.79353233830847
166.0,35.352404643449425
167.0,36.91127694859039
168.0,38.47014925373136
169.0,40.029021558872316
170.0,41.58789386401328
171.0,43.14676616915424
172.0,44.7056384742952
173.0,46.264510779436165
174.0,47.82338308457713
175.0,49.38225538971808
176.0,50.94112769485905
177.0,52.500000000000014
178.0,54.05887230514097
179.0,55.61774461028193
180.0,57.17661691542289
181.0,58.73548922056386
182.0,60.294361525704815
183.0,61.85323383084578
184.0,63.41210613598675
185.0,64.9709784411277
186.0,66.52985074626866
187.0,68.08872305140963
188.0,69.6475953565506
189.0,71.20646766169156
190.0,72.76533996683251
191.0,74.32421227197348
192.0,75.88308457711445
193.0,77.4419568822554
194.0,79.00082918739636
195.0,80.55970149253733
196.0,82.1185737976783
197.0,83.67744610281925
198.0,85.23631840796021
199.0,86.79519071310118
200.0,88.35406301824214
201.0,89.9129353233831
202.0,91.47180762852406
203.0,93.03067993366503
204.0,94.58955223880598
205.0,96.14842454394694
206.0,97.70729684908791
207.0,98.34763681592041
208.0,93.55
209.0,97.39411764705883
210.0,88.04411764705883
211.0,75.98529411764706
212.0,63.92647058823529
213.0,64.26666666666667
214.0,71.29166666666667
215.0,77.58567615658363
216.0,78.87989323843416
217.0,79.6450177935943
218.0,80.41014234875445
219.0,81.17526690391459
220.0,81.94039145907473
221.0,82.70551601423487
222.0,83.47064056939502
223.0,84.23576512455516
224.0,85.0008896797153
225.0,85.76601423487544
226.0,86.53113879003558
227.0,87.29626334519574
228.0,88.06138790035587
229.0,88.82651245551601
230.0,89.59163701067617
231.0,90.35676156583631
232.0,91.12188612099644
233.0,91.88701067615658
234.0,92.65213523131673
235.0,93.41725978647688
236.0,94.182384341637
237.0,94.94750889679715
238.0,95.7126334519573
239.0,96.47775800711744
240.0,97.24288256227757
241.0,98.00800711743773
242.0,98.77313167259787
243.0,98.70205897305541
244.0,96.03558201058202
245.0,95.6005291005291
246.0,95.7063492063492
247.0,95.81216931216932
248.0,95.91798941798942
249.0,96.02380952380952
250.0,96.12962962962963
251.0,96.23544973544973
252.0,96.34126984126985
253.0,96.44708994708995
254.0,96.55291005291005
255.0,96.65873015873015
256.0,96.76455026455027
257.0,96.87037037037037
258.0,96.97619047619048
259.0,97.08201058201058
260.0,97.18783068783068
261.0,97.2936507936508
262.0,97.3994708994709
263.0,97.50529100529101
264.0,97.61111111111111
265.0,97.71693121693121
266.0,97.82275132275132
267.0,97.92857142857143
268.0,98.03439153439153
269.0,98.14021164021165
270.0,98.24603174603175
271.0,98.35185185185185
272.0,98.45767195767196
273.0,98.56349206349206
274.0,98.66931216931218
275.0,98.77513227513228
276.0,98.88095238095238
277.0,98.98677248677248
278.0,99.0925925925926
279.0,99.1984126984127
280.0,99.3042328042328
281.0,99.41005291005291
282.0,98.9686507936508
283.0,97.75833333333334
284.0,93.22244897959183
285.0,85.20918367346938
286.0,77.21598639455783
287.0,69.22278911564626
288.0,61.2295918367347
289.0,53.23639455782313
290.0,45.243197278911566
291.0,37.25
292.0,29.256802721088434
293.0,21.26360544217687
294.0,13.270408163265307
295.0,5.277210884353741
296.0,-2.7159863945578224
297.0,-10.709183673469388
