Time(sec),APWB9BS1SONNS
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-98.56904761904761
19.0,-82.6
20.0,-82.0
21.0,-82.0
22.0,-82.0
23.0,-82.0
24.0,-82.0
25.0,-82.0
26.0,-75.62779283216784
27.0,-46.128750000000004
28.0,-34.056111111111115
29.0,-32.0
30.0,-21.569253246753245
31.0,13.0
32.0,13.0
33.0,8.643888888888888
34.0,-13.526984126984127
35.0,-16.0
36.0,-16.0
37.0,-16.0
38.0,-16.0
39.0,-16.0
40.0,-10.158247549019608
41.0,2.9272727272727272
42.0,3.0
43.0,3.0
44.0,3.0
45.0,9.075757575757574
46.0,13.0
47.0,13.0
48.0,13.0
49.0,13.0
50.0,13.0
51.0,21.617700228832952
52.0,55.59539032567049
53.0,71.0
54.0,71.0
55.0,71.0
56.0,71.0
57.0,85.96143533549784
58.0,100.0
59.0,90.82247469293677
60.0,50.94708916083916
61.0,42.09090909090909
62.0,33.826247086247086
63.0,14.766764346764347
64.0,-8.0
65.0,-8.0
66.0,-8.0
67.0,-8.0
68.0,17.197179862621038
69.0,74.36835282896386
70.0,87.2530415713196
71.0,60.0
72.0,60.0
73.0,60.0
74.0,60.075
75.0,87.8343137254902
76.0,92.0
77.0,97.98636363636363
78.0,90.2945291083634
79.0,100.0
80.0,100.0
81.0,100.0
82.0,65.69624009243574
83.0,34.525
84.0,27.833333333333332
85.0,27.833333333333332
86.0,22.385677655677657
87.0,3.2807692307692307
88.0,-2.0
89.0,-2.0
90.0,-2.0
91.0,-2.0
92.0,-2.0
93.0,-2.0
94.0,-2.0
95.0,-2.0
96.0,-2.0
97.0,-2.0
98.0,1.5976143421795597
99.0,42.37795092838196
100.0,46.144444444444446
101.0,28.05
102.0,28.0
103.0,33.90858585858586
104.0,40.0
105.0,40.0
106.0,63.45
107.0,73.0
108.0,73.0
109.0,73.0
110.0,73.0
111.0,68.46410256410256
112.0,53.0
113.0,53.0
114.0,53.0
115.0,53.0
116.0,53.0
117.0,53.0
118.0,53.0
119.0,53.0
120.0,60.075699300699306
121.0,67.0
122.0,67.0
123.0,67.0
124.0,75.63326086956522
125.0,87.4329365079365
126.0,47.10841992802519
127.0,17.014285714285712
128.0,17.0
129.0,17.0
130.0,17.34285714285714
131.0,24.85595238095238
132.0,14.478481077745784
133.0,-35.0
134.0,-35.0
135.0,-35.0
136.0,-35.0
137.0,-35.0
138.0,-35.0
139.0,-35.0
140.0,-35.0
141.0,-35.0
142.0,-31.080818965517246
143.0,-7.43109649122807
144.0,12.97857808857809
145.0,25.120512820512822
146.0,25.120512820512822
147.0,25.120512820512822
148.0,32.98253205128206
149.0,56.0
150.0,56.0
151.0,59.17222222222222
152.0,63.97727272727273
153.0,33.44883779264214
154.0,30.0
155.0,39.41875
156.0,45.0
157.0,45.0
158.0,45.0
159.0,53.638461538461534
160.0,21.14647444016252
161.0,-5.070833333333333
162.0,-5.070833333333333
163.0,-5.070833333333333
164.0,-5.070833333333333
165.0,-5.070833333333333
166.0,-5.070833333333333
167.0,-5.070833333333333
168.0,-5.070833333333333
169.0,-5.070833333333333
170.0,-5.760178571428571
171.0,-20.76764705882353
172.0,-21.0
173.0,-21.0
174.0,-21.0
175.0,-21.0
176.0,-21.0
177.0,-21.0
178.0,-21.0
179.0,-23.48
180.0,-24.1
181.0,-24.1
182.0,-24.1
183.0,-24.1
184.0,-39.47593406593406
185.0,-44.5175
186.0,-52.0
