Time(sec),A5XU9JZ5IHLA1
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-99.65
14.0,-96.5
15.0,-96.5
16.0,-96.5
17.0,-95.0
18.0,-91.5
19.0,-91.5
20.0,-91.5
21.0,-91.5
22.0,-91.5
23.0,-91.5
24.0,-91.43513513513514
25.0,-91.22567567567567
26.0,-90.95945945945945
27.0,-90.6891891891892
28.0,-77.71234984984986
29.0,-63.08152173913044
30.0,-58.16304347826086
31.0,-58.16304347826086
32.0,-58.16304347826086
33.0,-58.16304347826086
34.0,-41.67845238095238
35.0,-40.0
36.0,-40.0
37.0,-40.0
38.0,-40.0
39.0,-37.849999999999994
40.0,-30.72222222222222
41.0,-29.0
42.0,-29.0
43.0,-29.0
44.0,-24.90909090909091
45.0,-10.278571428571428
46.0,2.0
47.0,2.0
48.0,2.0
49.0,2.0
50.0,2.576923076923077
51.0,22.9474358974359
52.0,29.0
53.0,29.0
54.0,29.0
55.0,29.0
56.0,29.0
57.0,34.49166666666667
58.0,46.70434782608696
59.0,47.06159420289855
60.0,47.13405797101449
61.0,47.20652173913044
62.0,47.278985507246375
63.0,47.35144927536232
64.0,47.423913043478265
65.0,52.09746376811594
66.0,63.0
67.0,63.0
68.0,63.0
69.0,63.0
70.0,63.0
71.0,63.0
72.0,63.0
73.0,63.0
74.0,63.0
75.0,63.0
76.0,63.0
77.0,63.0
78.0,63.0
79.0,63.0
80.0,63.0
81.0,63.0
82.0,63.0
83.0,63.0
84.0,63.0
85.0,63.0
86.0,60.857142857142854
87.0,38.42134848484849
88.0,31.0
89.0,31.0
90.0,30.25
91.0,5.536931818181818
92.0,5.0
93.0,5.0
94.0,5.0
95.0,5.0
96.0,5.0
97.0,5.0
98.0,5.0
99.0,5.0
100.0,5.0
101.0,5.0
102.0,5.0
103.0,5.0
104.0,5.0
105.0,5.0
106.0,5.0
107.0,5.0
108.0,5.0
109.0,5.0
110.0,5.0
111.0,5.0
112.0,4.8549999999999995
113.0,-17.35395833333333
114.0,-20.822767857142857
115.0,-20.831696428571426
116.0,-20.840625
117.0,-20.849553571428572
118.0,-20.858482142857145
119.0,-20.867410714285715
120.0,-20.876339285714288
121.0,-20.885267857142857
122.0,-20.894196428571426
123.0,-20.903125
124.0,-20.912053571428572
125.0,-20.920982142857145
126.0,-20.929910714285715
127.0,-20.938839285714288
128.0,-20.947767857142857
129.0,-20.956696428571426
130.0,-20.965625
131.0,-20.974553571428572
132.0,-20.983482142857145
133.0,-20.992410714285715
134.0,-20.999464285714286
135.0,-21.0
136.0,-21.0
137.0,-21.0
138.0,-21.0
139.0,-21.0
140.0,-21.0
141.0,-21.0
142.0,-21.0
143.0,-21.0
144.0,-21.0
145.0,-21.0
146.0,-21.0
147.0,-21.0
148.0,-21.0
149.0,-21.0
150.0,-21.0
151.0,-21.0
152.0,-21.0
153.0,-21.0
154.0,-21.0
155.0,-21.0
156.0,-21.0
157.0,-21.0
158.0,-21.0
159.0,-21.0
160.0,-21.0
161.0,-23.778125
162.0,-27.0
163.0,-27.0
164.0,-27.0
165.0,-27.0
166.0,-27.0
167.0,-27.0
168.0,-27.0
169.0,-27.0
170.0,-27.0
171.0,-27.0
172.0,-27.0
