Time(sec),AMGFGB2HJHDY1
0.0,-99.8
1.0,-99.36428571428571
2.0,-99.02857142857142
3.0,-99.0
4.0,-99.0
5.0,-98.4
6.0,-92.90555555555555
7.0,-61.209404761904764
8.0,-35.968333333333334
9.0,-43.509647435897435
10.0,-37.214999999999996
11.0,-46.82928571428572
12.0,-49.64724926248353
13.0,-50.178326330532215
14.0,-68.38461258193355
15.0,-38.92272694696608
16.0,-19.333869773486253
17.0,-24.385308441558443
18.0,-23.688766233766234
19.0,-16.0
20.0,-28.229166666666668
21.0,-13.995476190476191
22.0,-9.381515151515151
23.0,-14.354545454545454
24.0,-1.4136363636363636
25.0,-17.54090909090909
26.0,7.9
27.0,7.9
28.0,7.9
29.0,-26.767857142857146
30.0,-28.88309837092732
31.0,-15.973534080298785
32.0,18.666666666666668
33.0,18.666666666666668
34.0,-10.953333333333333
35.0,-0.5929776021080372
36.0,25.27173913043478
37.0,7.860543478260868
38.0,-28.090340909090912
39.0,21.957969924812026
40.0,17.65
41.0,-18.22809523809524
42.0,22.051666666666666
43.0,32.3
44.0,32.3
45.0,32.3
46.0,27.660112781954886
47.0,13.4275
48.0,18.261338874332296
49.0,14.416666666666666
50.0,25.04702380952381
51.0,34.536042311661504
52.0,37.95
53.0,38.42857142857143
54.0,38.42857142857143
55.0,38.42857142857143
56.0,38.42857142857143
57.0,36.46178571428571
58.0,14.485256410256412
59.0,-8.209728777545275
60.0,-1.4208333333333332
61.0,14.620310245310245
62.0,16.90029761904762
63.0,36.59848484848485
64.0,32.38726100288601
65.0,35.55
66.0,56.46041666666666
67.0,60.36666666666666
68.0,69.5
69.0,42.84166666666667
70.0,75.33518518518518
71.0,75.33518518518518
72.0,75.33518518518518
73.0,75.33518518518518
74.0,75.33518518518518
75.0,75.33518518518518
76.0,75.33518518518518
77.0,62.356230158730156
78.0,38.64236111111111
79.0,51.74055555555556
80.0,29.853636363636365
81.0,14.734285714285715
82.0,26.90076923076923
83.0,45.818333333333335
84.0,60.934015151515155
85.0,64.51212121212122
86.0,73.62397435897437
87.0,84.40205176767677
88.0,90.9090909090909
89.0,65.49983294483295
90.0,68.84777777777778
91.0,96.6
92.0,96.6
93.0,96.6
94.0,96.6
95.0,96.6
96.0,96.6
97.0,96.6
98.0,96.6
99.0,96.6
100.0,95.19
101.0,54.557375541125545
