Time(sec),A3BPENSX5EVJ2
0.0,-99.75241312741312
1.0,-99.20222007722008
2.0,-98.65202702702703
3.0,-98.10183397683397
4.0,-97.55164092664093
5.0,-97.00144787644788
6.0,-96.45125482625483
7.0,-95.90106177606177
8.0,-95.35086872586872
9.0,-94.80067567567568
10.0,-94.25048262548263
11.0,-93.70028957528957
12.0,-93.15009652509653
13.0,-92.59990347490347
14.0,-92.04971042471043
15.0,-91.49951737451737
16.0,-90.94932432432432
17.0,-90.39913127413128
18.0,-89.84893822393823
19.0,-89.29874517374517
20.0,-88.74855212355212
21.0,-88.19835907335907
22.0,-87.64816602316603
23.0,-87.09797297297298
24.0,-86.54777992277992
25.0,-85.99758687258688
26.0,-85.44739382239382
27.0,-84.89720077220076
28.0,-84.34700772200772
29.0,-83.79681467181467
30.0,-83.24662162162163
31.0,-82.69642857142857
32.0,-82.14623552123552
33.0,-81.59604247104247
34.0,-81.04584942084942
35.0,-80.49565637065636
36.0,-79.94546332046332
37.0,-79.39527027027027
38.0,-78.84507722007723
39.0,-78.29488416988417
40.0,-77.74469111969111
41.0,-77.19449806949807
42.0,-76.64430501930501
43.0,-76.09411196911196
44.0,-75.54391891891892
45.0,-74.99372586872587
46.0,-74.44353281853282
47.0,-73.89333976833976
48.0,-73.34314671814671
49.0,-72.79295366795367
50.0,-72.24276061776062
51.0,-71.69256756756756
52.0,-71.14237451737452
53.0,-70.59218146718146
54.0,-70.04198841698842
55.0,-69.49179536679537
56.0,-68.94160231660231
57.0,-68.39140926640927
58.0,-67.84121621621622
59.0,-67.29102316602317
60.0,-66.74083011583011
61.0,-66.19063706563706
62.0,-65.64044401544402
63.0,-65.09025096525097
64.0,-64.54005791505791
65.0,-63.98986486486486
66.0,-63.43967181467182
67.0,-62.88947876447876
68.0,-62.33928571428571
69.0,-61.789092664092664
70.0,-61.23889961389962
71.0,-60.68870656370656
72.0,-60.13851351351351
73.0,-59.588320463320464
74.0,-59.03812741312741
75.0,-58.487934362934354
76.0,-57.93774131274131
77.0,-57.387548262548265
78.0,-56.83735521235521
79.0,-56.28716216216217
80.0,-55.73696911196911
81.0,-55.18677606177606
82.0,-54.636583011583014
83.0,-54.086389961389955
84.0,-53.53619691119691
85.0,-52.98600386100386
86.0,-52.435810810810814
87.0,-51.88561776061776
88.0,-51.335424710424704
89.0,-50.78523166023166
90.0,-50.235038610038615
91.0,-49.684845559845556
92.0,-49.13465250965251
93.0,-48.58445945945946
94.0,-48.03426640926641
95.0,-47.484073359073356
96.0,-46.933880308880305
97.0,-46.38368725868726
98.0,-45.83349420849421
99.0,-45.28330115830116
100.0,-44.73310810810811
101.0,-44.182915057915054
102.0,-43.63272200772201
103.0,-43.08252895752896
104.0,-42.532335907335906
105.0,-41.982142857142854
106.0,-41.43194980694981
107.0,-40.88175675675676
108.0,-40.331563706563706
109.0,-39.781370656370655
110.0,-39.23117760617761
111.0,-38.68098455598455
112.0,-38.13079150579151
113.0,-37.580598455598455
114.0,-37.0304054054054
115.0,-36.48021235521235
116.0,-35.93001930501931
117.0,-35.379826254826256
118.0,-34.829633204633204
119.0,-34.27944015444016
120.0,-33.7292471042471
121.0,-33.17905405405405
122.0,-32.628861003861005
123.0,-32.07866795366795
124.0,-31.528474903474905
125.0,-30.97828185328185
126.0,-30.428088803088805
127.0,-29.87789575289575
128.0,-29.3277027027027
129.0,-28.77750965250965
130.0,-28.227316602316602
131.0,-27.67712355212355
132.0,-27.126930501930495
133.0,-26.57673745173745
134.0,-26.026544401544403
135.0,-25.476351351351347
136.0,-24.9261583011583
137.0,-24.375965250965248
138.0,-23.8257722007722
139.0,-23.27557915057915
140.0,-22.7253861003861
141.0,-22.175193050193048
142.0,-21.624999999999996
143.0,-21.07480694980695
144.0,-20.5246138996139
145.0,-19.97442084942085
146.0,-19.424227799227797
147.0,-18.874034749034745
148.0,-18.323841698841697
149.0,-17.77364864864865
150.0,-17.223455598455597
151.0,-16.673262548262546
152.0,-16.123069498069494
153.0,-15.572876447876444
154.0,-15.022683397683398
155.0,-14.472490347490346
156.0,-13.922297297297296
157.0,-13.372104247104243
158.0,-12.821911196911197
159.0,-12.271718146718147
160.0,-11.721525096525095
161.0,-11.171332046332044
162.0,-10.621138996138992
163.0,-10.070945945945944
164.0,-9.520752895752896
165.0,-8.970559845559844
166.0,-8.420366795366792
167.0,-7.870173745173742
168.0,-7.319980694980693
169.0,-6.769787644787644
170.0,-6.219594594594594
171.0,-5.669401544401543
172.0,-5.119208494208491
173.0,-4.569015444015442
174.0,-4.018822393822393
175.0,-3.4686293436293427
176.0,-2.9184362934362924
177.0,-2.3682432432432394
178.0,-1.8180501930501904
179.0,-1.2678571428571417
180.0,-0.7176640926640914
181.0,-0.1674710424710426
182.0,0.38272200772201187
183.0,0.9329150579150607
184.0,1.4831081081081094
185.0,2.0333011583011595
186.0,2.5834942084942085
187.0,3.133687258687263
188.0,3.683880308880312
189.0,4.234073359073361
190.0,4.784266409266411
191.0,5.33445945945946
192.0,5.884652509652513
193.0,6.434845559845563
194.0,6.985038610038612
195.0,7.535231660231662
196.0,8.08542471042471
197.0,8.635617760617764
198.0,9.185810810810814
199.0,9.736003861003862
200.0,10.286196911196914
201.0,10.836389961389962
202.0,11.386583011583015
203.0,11.936776061776065
204.0,12.486969111969113
205.0,13.037162162162165
206.0,13.587355212355215
207.0,14.137548262548265
208.0,14.687741312741315
209.0,15.237934362934364
210.0,15.788127413127416
211.0,16.338320463320464
212.0,16.888513513513516
213.0,17.438706563706567
214.0,17.988899613899616
215.0,18.539092664092667
216.0,19.089285714285715
217.0,19.639478764478767
218.0,20.18967181467182
219.0,20.739864864864867
220.0,21.29005791505792
221.0,21.840250965250966
222.0,22.390444015444018
223.0,22.94063706563707
224.0,23.490830115830118
225.0,24.04102316602317
226.0,24.591216216216218
227.0,25.141409266409266
228.0,25.69160231660232
229.0,26.241795366795373
230.0,26.79198841698842
231.0,27.34218146718147
232.0,27.89237451737452
233.0,28.44256756756757
234.0,28.99276061776062
235.0,29.542953667953668
236.0,30.09314671814672
237.0,30.643339768339775
238.0,31.193532818532823
239.0,31.743725868725868
240.0,32.29391891891892
241.0,32.84411196911198
242.0,33.39430501930502
243.0,33.94449806949807
244.0,34.494691119691126
245.0,35.04488416988417
246.0,35.59507722007722
247.0,36.145270270270274
248.0,36.695463320463325
249.0,37.24565637065637
250.0,37.79584942084942
251.0,38.34604247104248
252.0,38.896235521235525
253.0,39.44642857142857
254.0,39.99662162162163
255.0,40.54681467181467
256.0,41.097007722007724
257.0,41.647200772200776
258.0,42.19739382239383
259.0,42.74758687258687
260.0,43.297779922779924
261.0,43.84797297297298
262.0,44.39816602316603
263.0,44.94835907335907
264.0,45.49855212355213
265.0,46.048745173745175
266.0,46.59893822393823
267.0,47.14913127413128
268.0,47.69932432432433
269.0,48.249517374517374
270.0,48.799710424710426
271.0,49.34990347490348
272.0,49.90009652509653
273.0,50.450289575289574
274.0,51.00048262548263
275.0,51.55067567567568
276.0,52.10086872586872
277.0,52.65106177606178
278.0,53.20125482625483
279.0,53.75144787644788
280.0,54.30164092664093
281.0,54.85183397683397
282.0,55.40202702702703
