Time(sec),A1NRY8F9U4AYE
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-91.41487262737263
17.0,-53.99779761904762
18.0,-12.881042568542568
19.0,27.48
20.0,66.0020634920635
21.0,92.81413703404907
22.0,96.3728434901328
23.0,94.66004716395682
24.0,92.94725083778081
25.0,91.23445451160481
26.0,89.52165818542882
27.0,87.80886185925283
28.0,86.09606553307682
29.0,84.38326920690083
30.0,82.67047288072483
31.0,80.95767655454884
32.0,79.24488022837285
33.0,77.53208390219685
34.0,75.81928757602086
35.0,74.10649124984485
36.0,72.39369492366886
37.0,70.68089859749287
38.0,68.96810227131687
39.0,67.25530594514086
40.0,65.54250961896489
41.0,63.82971329278888
42.0,62.116916966612884
43.0,60.404120640436886
44.0,58.691324314260896
45.0,56.9785279880849
46.0,55.2657316619089
47.0,53.5529353357329
48.0,51.840139009556914
49.0,50.12734268338092
50.0,48.41454635720491
51.0,46.70175003102892
52.0,44.988953704852925
53.0,43.27615737867693
54.0,41.56336105250093
55.0,39.85056472632494
56.0,38.13776840014894
57.0,36.424972073972945
58.0,34.71217574779695
59.0,32.99937942162095
60.0,31.286583095444957
61.0,29.573786769268956
62.0,27.860990443092966
63.0,26.148194116916972
64.0,24.43539779074097
65.0,22.72260146456498
66.0,21.00980513838898
67.0,19.297008812212987
68.0,17.58421248603699
69.0,15.87141615986099
70.0,14.158619833684998
71.0,12.445823507509001
72.0,10.733027181333005
73.0,9.020230855157008
74.0,7.3074345289810125
75.0,5.594638202805018
76.0,3.8818418766290206
77.0,2.1690455504530264
78.0,0.45624922427702896
79.0,-1.256547101898967
80.0,-2.969343428074963
81.0,-4.68213975425096
82.0,-6.394936080426954
83.0,-8.10773240660295
84.0,-9.820528732778946
85.0,-11.533325058954942
86.0,-13.24612138513094
87.0,-14.958917711306935
88.0,-16.671714037482932
89.0,-18.384510363658926
90.0,-20.09730668983492
91.0,-21.81010301601092
92.0,-23.52289934218691
93.0,-25.23569566836291
94.0,-26.948491994538905
95.0,-28.661288320714903
96.0,-30.3740846468909
97.0,-32.0868809730669
98.0,-33.79967729924289
99.0,-35.512473625418885
100.0,-37.22526995159488
101.0,-38.93806627777087
102.0,-40.65086260394688
103.0,-42.36365893012287
104.0,-44.076455256298864
105.0,-45.78925158247486
106.0,-47.50204790865086
107.0,-49.214844234826856
108.0,-50.927640561002846
109.0,-52.64043688717885
110.0,-54.35323321335484
111.0,-56.06602953953084
112.0,-57.778825865706835
113.0,-59.49162219188283
114.0,-61.20441851805882
115.0,-62.91721484423482
116.0,-64.63001117041082
117.0,-66.34280749658681
118.0,-68.0556038227628
119.0,-69.76840014893881
120.0,-71.4811964751148
121.0,-73.1939928012908
122.0,-74.9067891274668
123.0,-76.6195854536428
124.0,-78.33238177981879
125.0,-80.04517810599478
126.0,-81.75797443217078
127.0,-83.47077075834677
128.0,-85.18356708452276
129.0,-86.89636341069877
130.0,-88.60915973687477
131.0,-90.32195606305075
132.0,-92.03475238922675
133.0,-93.74754871540276
134.0,-95.46034504157873
135.0,-97.17314136775474
136.0,-96.54228198974006
137.0,-90.24564624422996
138.0,-89.85433277381452
