Time(sec),AN26GE0GN8DP0
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-97.2240625
6.0,-91.0553125
7.0,-84.8865625
8.0,-78.71781250000001
9.0,-72.54906249999999
10.0,-66.3803125
11.0,-60.21156249999999
12.0,-54.04281249999999
13.0,-47.50393749999999
14.0,-41.7053125
15.0,-35.53656249999999
16.0,-29.367812499999992
17.0,-23.19906249999999
18.0,-17.030312499999994
19.0,-10.861562499999991
20.0,-4.692812499999988
21.0,1.475937500000009
22.0,7.6446875000000105
23.0,13.813437500000015
24.0,19.98218750000001
25.0,26.15093750000001
26.0,32.319687500000015
27.0,38.48843750000001
28.0,44.65718750000001
29.0,50.825937500000016
30.0,56.99468750000002
31.0,63.16343750000001
32.0,71.55293750000001
33.0,83.82875000000001
34.0,92.31999091224822
35.0,88.0938295901829
36.0,85.01094003241491
37.0,81.9280504746469
38.0,78.8451609168789
39.0,75.7622713591109
40.0,72.6793818013429
41.0,69.59649224357489
42.0,67.06852280620514
43.0,65.5116635795323
44.0,63.97021880064828
45.0,62.42877402176428
46.0,60.887329242880284
47.0,59.345884463996285
48.0,57.804439685112285
49.0,56.262994906228286
50.0,54.72155012734428
51.0,53.18010534846028
52.0,51.63866056957628
53.0,50.09721579069228
54.0,48.55577101180828
55.0,47.014326232924276
56.0,45.47288145404028
57.0,43.93143667515628
58.0,42.38999189627227
59.0,40.84854711738827
60.0,39.30710233850427
61.0,37.76565755962027
62.0,36.224212780736266
63.0,34.68276800185227
64.0,33.14132322296827
65.0,31.599878444084265
66.0,30.058433665200265
67.0,28.516988886316266
68.0,26.975544107432267
69.0,25.434099328548264
70.0,23.892654549664265
71.0,22.35120977078026
72.0,20.80976499189626
73.0,19.26832021301226
74.0,17.726875434128257
75.0,16.185430655244257
76.0,14.643985876360256
77.0,13.102541097476257
78.0,11.561096318592254
79.0,10.019651539708253
80.0,8.478206760824254
81.0,6.936761981940251
82.0,5.3953172030562495
83.0,3.8538724241722493
84.0,2.312427645288248
85.0,0.7709828664042476
86.0,-0.7704619124797546
87.0,-2.311906691363757
88.0,-3.8533514702477563
89.0,-5.394796249131758
90.0,-6.936241028015759
91.0,-8.47768580689976
92.0,-10.01913058578376
93.0,-11.560575364667761
94.0,-13.102020143551764
95.0,-14.643464922435765
96.0,-16.184909701319764
97.0,-17.726354480203764
98.0,-19.267799259087766
99.0,-20.80924403797177
100.0,-22.35068881685577
101.0,-23.89213359573977
102.0,-25.43357837462377
103.0,-26.97502315350777
104.0,-28.516467932391777
105.0,-30.057912711275776
106.0,-31.599357490159775
107.0,-33.140802269043775
108.0,-34.682247047927774
109.0,-36.22369182681178
110.0,-37.76513660569578
111.0,-39.306581384579786
112.0,-40.848026163463786
113.0,-42.37405649455894
114.0,-42.92897661495719
115.0,-42.92897661495719
116.0,-42.92897661495719
117.0,-42.92897661495719
118.0,-42.92897661495719
119.0,-42.92897661495719
120.0,-42.92897661495719
121.0,-42.92897661495719
122.0,-42.92897661495719
123.0,-42.944391062746035
124.0,-43.930915721231784
125.0,-45.472360500115784
126.0,-47.01380527899978
127.0,-48.55525005788378
128.0,-50.09669483676779
129.0,-51.63813961565179
130.0,-53.17958439453579
131.0,-54.72102917341979
132.0,-56.2624739523038
133.0,-57.803918731187785
134.0,-59.3453635100718
135.0,-60.8868082889558
136.0,-62.4282530678398
