Time(sec),AF8GOPFSTWCH8
0.0,-99.96907968574635
1.0,-99.90190796857465
2.0,-99.83367003367003
3.0,-99.76543209876543
4.0,-99.69826038159371
5.0,-99.63002244668911
6.0,-99.56178451178451
7.0,-99.49354657687991
8.0,-99.4253086419753
9.0,-99.35813692480359
10.0,-99.289898989899
11.0,-99.22166105499439
12.0,-99.15448933782268
13.0,-99.08625140291807
14.0,-98.99242424242425
15.0,-98.88580246913581
16.0,-98.77918069584737
17.0,-98.67255892255892
18.0,-98.56593714927048
19.0,-98.45931537598204
20.0,-98.34949494949495
21.0,-98.16610549943884
22.0,-97.95286195286197
23.0,-97.73961840628508
24.0,-97.5263748597082
25.0,-97.31313131313132
26.0,-97.09988776655445
27.0,-96.21998830508635
28.0,-92.990756302521
29.0,-92.19523809523808
30.0,-91.41165266106442
31.0,-90.90252100840335
32.0,-90.5047619047619
33.0,-90.19053221288516
34.0,-90.16666666666667
35.0,-90.16666666666667
36.0,-90.16666666666667
37.0,-90.16666666666667
38.0,-90.16666666666667
39.0,-90.16666666666667
40.0,-90.16666666666667
41.0,-90.16666666666667
42.0,-90.16666666666667
43.0,-93.36346153846154
44.0,-98.0006976744186
45.0,-98.00224806201551
46.0,-98.0037984496124
47.0,-98.00544186046511
48.0,-98.00821705426357
49.0,-98.01131782945735
50.0,-98.01441860465117
51.0,-98.01751937984497
52.0,-98.02062015503876
53.0,-98.02372093023256
54.0,-98.02682170542636
55.0,-98.02992248062016
56.0,-98.03246511627907
57.0,-98.03271317829457
58.0,-98.03271317829457
59.0,-98.03271317829457
60.0,-98.03271317829457
61.0,-98.03271317829457
62.0,-98.03271317829457
63.0,-98.03271317829457
64.0,-98.03271317829457
65.0,-98.03327131782946
66.0,-98.03480620155038
67.0,-98.03635658914729
68.0,-98.03790697674418
69.0,-98.03945736434109
70.0,-98.04100775193798
71.0,-98.04255813953488
72.0,-98.04410852713178
73.0,-98.04565891472869
74.0,-98.04720930232558
75.0,-98.04875968992249
76.0,-98.05031007751938
77.0,-98.05186046511628
78.0,-98.05341085271318
79.0,-98.05496124031008
80.0,-98.05651162790699
81.0,-98.05806201550388
82.0,-98.05961240310077
83.0,-98.06116279069768
84.0,-98.06271317829457
85.0,-98.06426356589148
86.0,-98.06581395348837
87.0,-98.06736434108527
88.0,-98.06891472868217
89.0,-98.07046511627907
90.0,-98.07201550387597
91.0,-98.07356589147287
92.0,-98.07511627906976
93.0,-98.07682170542635
94.0,-98.07968992248063
95.0,-98.08167441860465
96.0,-98.08175193798449
97.0,-98.08286821705425
98.0,-98.08441860465116
99.0,-98.08596899224806
100.0,-98.08751937984496
101.0,-98.08908527131783
102.0,-98.09162790697675
103.0,-98.09472868217054
104.0,-98.09782945736434
105.0,-98.10093023255814
106.0,-98.10403100775194
107.0,-98.10713178294574
108.0,-98.11023255813953
109.0,-98.11333333333333
110.0,-98.11643410852713
111.0,-98.11951937984496
112.0,-98.12162790697674
113.0,-98.12317829457365
114.0,-98.12472868217054
115.0,-98.12627906976743
116.0,-98.12782945736434
117.0,-98.12937984496124
118.0,-98.13093023255814
119.0,-98.13248062015504
120.0,-98.13403100775193
121.0,-98.13558139534884
122.0,-98.13713178294573
123.0,-98.13868217054264
124.0,-98.14023255813953
125.0,-98.14178294573644
126.0,-98.14333333333335
127.0,-98.14488372093024
128.0,-98.14643410852713
129.0,-98.14798449612404
130.0,-98.14953488372093
131.0,-98.15108527131784
132.0,-98.15263565891473
133.0,-98.15418604651163
134.0,-98.15573643410853
135.0,-98.15728682170543
136.0,-98.1587441860465
137.0,-98.15906976744186
138.0,-98.15906976744186
139.0,-98.15906976744186
140.0,-98.15906976744186
141.0,-98.15906976744186
142.0,-98.15906976744186
143.0,-98.15906976744186
