Time(sec),A1EUJEHDI66UT
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-99.36944444444444
6.0,-97.96820987654321
7.0,-96.56697530864197
8.0,-95.16574074074074
9.0,-93.7645061728395
10.0,-92.36327160493826
11.0,-90.96203703703705
12.0,-89.5608024691358
13.0,-88.15956790123457
14.0,-86.75833333333334
15.0,-85.3570987654321
16.0,-83.95586419753087
17.0,-82.55462962962963
18.0,-81.15339506172839
19.0,-79.75216049382716
20.0,-78.35092592592592
21.0,-76.9496913580247
22.0,-75.54845679012347
23.0,-74.14722222222221
24.0,-72.745987654321
25.0,-71.34475308641976
26.0,-69.94351851851852
27.0,-68.54228395061729
28.0,-67.14104938271605
29.0,-65.73981481481482
30.0,-64.33858024691358
31.0,-62.937345679012346
32.0,-61.53611111111111
33.0,-60.134876543209884
34.0,-58.73364197530865
35.0,-57.332407407407416
36.0,-55.931172839506175
37.0,-54.52993827160494
38.0,-53.12870370370371
39.0,-51.72746913580247
40.0,-50.32623456790124
41.0,-48.925000000000004
42.0,-47.52376543209877
43.0,-46.122530864197536
44.0,-44.7212962962963
45.0,-43.32006172839507
46.0,-41.918827160493834
47.0,-40.5175925925926
48.0,-39.116358024691365
49.0,-37.715123456790124
50.0,-36.31388888888889
51.0,-34.91265432098766
52.0,-33.51141975308642
53.0,-32.11018518518519
54.0,-30.708950617283953
55.0,-29.307716049382726
56.0,-27.90648148148149
57.0,-26.505246913580255
58.0,-25.104012345679017
59.0,-23.702777777777783
60.0,-22.30154320987655
61.0,-20.900308641975315
62.0,-19.49907407407408
63.0,-18.097839506172846
64.0,-16.696604938271612
65.0,-15.295370370370375
66.0,-13.894135802469142
67.0,-12.492901234567906
68.0,-11.091666666666674
69.0,-9.55444444444445
70.0,-3.5583333333333336
71.0,7.286607142857143
72.0,18.878055555555555
73.0,32.83680555555556
74.0,46.01236111111111
75.0,60.621924603174605
76.0,66.93676470588235
77.0,67.90735294117647
78.0,68.87794117647059
79.0,69.8485294117647
80.0,70.81911764705883
81.0,71.78970588235293
82.0,72.76029411764706
83.0,73.73088235294117
84.0,74.7014705882353
85.0,75.67205882352941
86.0,76.64264705882353
87.0,77.61323529411764
88.0,78.58382352941177
89.0,79.55441176470588
90.0,80.525
91.0,81.93235294117648
92.0,83.87352941176471
93.0,85.81470588235294
94.0,87.75588235294117
95.0,89.69705882352942
96.0,91.63823529411765
97.0,93.57941176470588
98.0,95.52058823529413
99.0,97.46176470588236
100.0,93.91358543417367
101.0,76.69642857142858
102.0,68.48214285714286
103.0,60.267857142857146
104.0,52.05357142857143
105.0,43.839285714285715
106.0,35.625
107.0,27.41071428571429
108.0,19.196428571428573
109.0,10.98214285714286
110.0,2.767857142857146
111.0,-5.446428571428568
112.0,-13.660714285714281
113.0,-21.874999999999996
114.0,-30.08928571428571
115.0,-38.30357142857142
116.0,-46.51785714285714
117.0,-54.732142857142854
118.0,-62.94642857142857
119.0,-71.16071428571429
120.0,-79.37499999999999
121.0,-87.58928571428571
122.0,-95.80357142857142
123.0,-99.5
124.0,-99.5
125.0,-99.5
126.0,-99.5
127.0,-99.5
128.0,-99.5
129.0,-99.5
130.0,-99.5
131.0,-99.5
132.0,-99.5
133.0,-83.43666666666667
134.0,-51.65
135.0,-19.247619047619047
136.0,5.218888888888889
137.0,21.450416666666666
138.0,36.33880952380952
