Time(sec),A1EUJEHDI66UT
0.0,-99.7334593572779
1.0,-99.1648393194707
2.0,-98.57844990548205
3.0,-98.00982986767485
4.0,-97.4234404536862
5.0,-96.84593572778827
6.0,-96.26843100189036
7.0,-95.6820415879017
8.0,-95.11342155009451
9.0,-94.52703213610586
10.0,-93.95841209829868
11.0,-93.36313799621928
12.0,-92.80340264650283
13.0,-92.20812854442343
14.0,-91.57731568998109
15.0,-90.71550094517958
16.0,-89.82703213610586
17.0,-88.93856332703214
18.0,-88.05009451795841
19.0,-87.16162570888469
20.0,-86.27315689981097
21.0,-85.38468809073724
22.0,-84.49621928166351
23.0,-83.6077504725898
24.0,-82.71928166351606
25.0,-81.83081285444234
26.0,-80.94234404536863
27.0,-80.05387523629489
28.0,-79.16540642722117
29.0,-78.27693761814746
30.0,-77.38846880907371
31.0,-76.5
32.0,-75.61153119092629
33.0,-74.72306238185254
34.0,-73.83459357277883
35.0,-72.94612476370511
36.0,-72.05765595463137
37.0,-71.16918714555766
38.0,-70.28071833648394
39.0,-69.3922495274102
40.0,-68.50378071833649
41.0,-67.61531190926276
42.0,-66.72684310018903
43.0,-65.83837429111531
44.0,-64.94990548204159
45.0,-64.06143667296786
46.0,-63.172967863894144
47.0,-62.284499054820415
48.0,-61.396030245746694
49.0,-60.50756143667297
50.0,-59.619092627599244
51.0,-58.73062381852552
52.0,-57.84215500945179
53.0,-56.95368620037807
54.0,-56.06521739130435
55.0,-55.176748582230616
56.0,-54.2882797731569
57.0,-53.39981096408318
58.0,-52.511342155009444
59.0,-51.62287334593573
60.0,-50.734404536862
61.0,-49.84593572778827
62.0,-48.95746691871456
63.0,-48.06899810964083
64.0,-47.1805293005671
65.0,-46.29206049149339
66.0,-45.40359168241966
67.0,-44.51512287334593
68.0,-43.626654064272216
69.0,-42.73818525519849
70.0,-41.84971644612476
71.0,-40.96124763705104
72.0,-40.07277882797732
73.0,-39.18431001890359
74.0,-38.29584120982987
75.0,-37.40737240075614
76.0,-36.51890359168242
77.0,-35.630434782608695
78.0,-34.74196597353497
79.0,-33.853497164461245
80.0,-32.965028355387524
81.0,-32.076559546313796
82.0,-31.188090737240078
83.0,-30.299621928166353
84.0,-29.411153119092624
85.0,-28.522684310018906
86.0,-27.634215500945174
87.0,-26.745746691871453
88.0,-25.857277882797728
89.0,-24.968809073724007
90.0,-24.08034026465028
91.0,-23.191871455576557
92.0,-22.303402646502832
93.0,-21.41493383742911
94.0,-20.526465028355386
95.0,-19.63799621928166
96.0,-18.74952741020794
97.0,-17.861058601134214
98.0,-16.97258979206049
99.0,-16.084120982986764
100.0,-15.195652173913043
101.0,-14.307183364839318
102.0,-13.418714555765593
103.0,-12.53024574669187
104.0,-11.641776937618147
105.0,-10.753308128544422
106.0,-9.864839319470697
107.0,-8.976370510396974
108.0,-8.08790170132325
109.0,-7.199432892249526
110.0,-6.310964083175802
111.0,-5.4224952741020775
112.0,-4.534026465028353
113.0,-3.6455576559546303
114.0,-2.7570888468809045
115.0,-1.8686200378071818
116.0,-0.9801512287334575
117.0,-0.09168241965973323
118.0,0.796786389413991
119.0,1.6852551984877138
120.0,2.573724007561438
121.0,3.462192816635164
122.0,4.350661625708886
123.0,5.239130434782611
124.0,6.127599243856335
125.0,7.016068052930059
126.0,7.904536862003782
127.0,8.793005671077507
128.0,9.68147448015123
129.0,10.569943289224955
130.0,11.458412098298679
131.0,12.346880907372404
132.0,13.235349716446127
133.0,14.123818525519852
134.0,15.012287334593577
135.0,15.900756143667298
136.0,16.789224952741023
137.0,17.677693761814748
138.0,18.566162570888473
139.0,19.454631379962194
140.0,20.34310018903592
141.0,21.231568998109644
142.0,22.120037807183365
143.0,23.00850661625709
144.0,23.896975425330815
145.0,24.78544423440454
146.0,25.67391304347826
147.0,26.562381852551987
148.0,27.450850661625715
149.0,28.339319470699433
150.0,29.227788279773165
151.0,30.116257088846886
