Time(sec),A2OSJ7ONK5Y0A
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-83.90833333333333
58.0,-20.55142857142857
59.0,46.20309523809524
60.0,96.80392284351971
61.0,98.38060793237972
62.0,97.08509427828349
63.0,95.78958062418727
64.0,94.49406697009103
65.0,93.1985533159948
66.0,91.90303966189857
67.0,90.60752600780233
68.0,89.31201235370611
69.0,88.01649869960988
70.0,86.95417750325097
71.0,86.29994310793238
72.0,85.65218628088427
73.0,85.00442945383615
74.0,84.35667262678803
75.0,83.70891579973991
76.0,83.0611589726918
77.0,82.41340214564369
78.0,81.76564531859557
79.0,81.11788849154746
80.0,80.47013166449935
81.0,79.82237483745124
82.0,79.17461801040312
83.0,78.52686118335501
84.0,77.8791043563069
85.0,77.23134752925878
86.0,76.58359070221067
87.0,75.93583387516256
88.0,75.28807704811443
89.0,74.64032022106632
90.0,73.9925633940182
91.0,73.34480656697009
92.0,72.69704973992198
93.0,72.04929291287387
94.0,71.40153608582575
95.0,70.75377925877763
96.0,70.10602243172951
97.0,69.4582656046814
98.0,68.81050877763329
99.0,68.16275195058518
100.0,67.51499512353706
101.0,66.86723829648895
102.0,66.21948146944082
103.0,65.57172464239272
104.0,64.9239678153446
105.0,64.27621098829648
106.0,63.62845416124837
107.0,62.98069733420026
108.0,62.332940507152145
109.0,61.68518368010403
110.0,61.03742685305591
111.0,60.3896700260078
112.0,59.741913198959686
113.0,59.09415637191157
114.0,58.44639954486346
115.0,57.79864271781535
116.0,57.15088589076722
117.0,56.50312906371911
118.0,55.855372236670995
119.0,55.20761540962288
120.0,54.55985858257477
121.0,53.912101755526656
122.0,53.26434492847854
123.0,52.61658810143043
124.0,51.96883127438231
125.0,51.3210744473342
126.0,50.673317620286085
127.0,50.02556079323797
128.0,49.37780396618986
129.0,48.73004713914174
130.0,48.082290312093626
131.0,47.43453348504551
132.0,46.7867766579974
133.0,46.13901983094928
134.0,45.49126300390117
135.0,44.843506176853055
136.0,44.19574934980494
137.0,43.54799252275682
138.0,42.90023569570871
139.0,42.252478868660596
140.0,41.604722041612476
141.0,40.95696521456436
142.0,40.30920838751625
143.0,39.66145156046814
144.0,39.013694733420024
145.0,38.36593790637191
146.0,37.7181810793238
147.0,37.07042425227568
148.0,36.422667425227566
149.0,35.77491059817945
150.0,35.12715377113134
151.0,34.47939694408323
152.0,33.83164011703511
153.0,33.183883289986994
