Time(sec),A3QI1RV4HQ9MO
0.0,-99.77641277641278
1.0,-99.27955227955229
2.0,-98.78269178269178
3.0,-98.28583128583128
4.0,-97.78897078897079
5.0,-97.2921102921103
6.0,-96.7952497952498
7.0,-96.2983892983893
8.0,-95.8015288015288
9.0,-95.3046683046683
10.0,-94.8078078078078
11.0,-94.31094731094731
12.0,-93.81408681408682
13.0,-93.31722631722633
14.0,-92.82036582036582
15.0,-92.32350532350532
16.0,-91.82664482664482
17.0,-91.32978432978433
18.0,-90.83292383292384
19.0,-90.33606333606333
20.0,-89.83920283920284
21.0,-89.34234234234233
22.0,-88.84548184548184
23.0,-88.34862134862135
24.0,-87.85176085176086
25.0,-87.35490035490037
26.0,-86.85803985803986
27.0,-86.36117936117935
28.0,-85.86431886431886
29.0,-85.36745836745837
30.0,-84.87059787059788
31.0,-84.37373737373737
32.0,-83.87687687687688
33.0,-83.38001638001637
34.0,-82.88315588315588
35.0,-82.38629538629539
36.0,-81.8894348894349
37.0,-81.3925743925744
38.0,-80.8957138957139
39.0,-80.39885339885339
40.0,-79.9019929019929
41.0,-79.4051324051324
42.0,-78.90827190827191
43.0,-78.41141141141142
44.0,-77.91455091455092
45.0,-77.41769041769041
46.0,-76.92082992082992
47.0,-76.42396942396942
48.0,-75.92710892710893
49.0,-75.43024843024844
50.0,-74.93338793338793
51.0,-74.43652743652743
52.0,-73.93966693966694
53.0,-73.44280644280644
54.0,-72.94594594594595
55.0,-72.44908544908546
56.0,-71.95222495222495
57.0,-71.45536445536445
58.0,-70.95850395850395
59.0,-70.46164346164346
60.0,-69.96478296478297
61.0,-69.46792246792248
62.0,-68.97106197106197
63.0,-68.47420147420146
64.0,-67.97734097734097
65.0,-67.48048048048048
66.0,-66.98361998361999
67.0,-66.4867594867595
68.0,-65.98989898989899
69.0,-65.49303849303848
70.0,-64.99617799617799
71.0,-64.4993174993175
72.0,-64.002457002457
73.0,-63.50559650559651
74.0,-63.008736008736015
75.0,-62.51187551187551
76.0,-62.01501501501501
77.0,-61.51815451815452
78.0,-61.021294021294025
79.0,-60.524433524433526
80.0,-60.027573027573034
81.0,-59.530712530712535
82.0,-59.03385203385203
83.0,-58.536991536991536
84.0,-58.040131040131044
85.0,-57.543270543270545
86.0,-57.04641004641005
87.0,-56.54954954954955
88.0,-56.05268905268905
89.0,-55.555828555828555
90.0,-55.05896805896806
91.0,-54.56210756210756
92.0,-54.06524706524707
93.0,-53.56838656838657
94.0,-53.071526071526065
95.0,-52.57466557466557
96.0,-52.07780507780508
97.0,-51.58094458094458
98.0,-51.08408408408408
99.0,-50.58722358722359
100.0,-50.09036309036309
101.0,-49.59350259350259
102.0,-49.0966420966421
103.0,-48.5997815997816
104.0,-48.1029211029211
105.0,-47.60606060606061
106.0,-47.10920010920011
107.0,-46.61233961233961
108.0,-46.11547911547912
109.0,-45.61861861861862
110.0,-45.12175812175812
111.0,-44.62489762489763
112.0,-44.12803712803713
113.0,-43.63117663117663
114.0,-43.13431613431614
115.0,-42.63745563745564
116.0,-42.14059514059514
117.0,-41.643734643734646
118.0,-41.14687414687415
119.0,-40.65001365001365
120.0,-40.153153153153156
121.0,-39.656292656292656
122.0,-39.15943215943216
123.0,-38.662571662571665
124.0,-38.165711165711166
125.0,-37.668850668850666
126.0,-37.171990171990174
127.0,-36.675129675129675
128.0,-36.17826917826918
129.0,-35.68140868140868
130.0,-35.184548184548184
131.0,-34.687687687687685
132.0,-34.19082719082719
133.0,-33.69396669396669
134.0,-33.1971061971062
135.0,-32.7002457002457
136.0,-32.2033852033852
137.0,-31.706524706524704
138.0,-31.209664209664208
139.0,-30.712803712803712
140.0,-30.21594321594322
141.0,-29.719082719082717
142.0,-29.22222222222222
143.0,-28.725361725361722
144.0,-28.228501228501226
145.0,-27.73164073164073
146.0,-27.23478023478024
147.0,-26.737919737919736
148.0,-26.24105924105924
149.0,-25.74419874419874
150.0,-25.247338247338245
151.0,-24.75047775047775
152.0,-24.253617253617254
153.0,-23.756756756756754
154.0,-23.259896259896262
155.0,-22.763035763035766
156.0,-22.26617526617527
157.0,-21.76931476931477
158.0,-21.272454272454276
159.0,-20.77559377559378
