Time(sec),AHLS6AZ1VTNH7
0.0,-99.94642857142857
1.0,-99.82738095238095
2.0,-99.70833333333334
3.0,-99.58928571428571
4.0,-90.10164835164835
5.0,-82.80192307692307
6.0,-66.90526315789472
7.0,-66.14473684210527
8.0,-66.0
9.0,-66.0
10.0,-66.0
11.0,-66.0
12.0,-66.0
13.0,-66.0
14.0,-66.11603375527426
15.0,-66.32700421940929
16.0,-66.5379746835443
17.0,-66.74894514767932
18.0,-66.95991561181435
19.0,-67.17088607594937
20.0,-67.38185654008439
21.0,-68.17405063291139
22.0,-94.73676470588235
23.0,-98.33823529411765
24.0,-98.63235294117648
25.0,-98.92647058823529
26.0,-99.22058823529412
27.0,-99.51470588235294
28.0,-99.80882352941177
29.0,-99.99705882352941
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-77.80833333333334
81.0,-12.903571428571428
82.0,18.353571428571428
83.0,71.45
84.0,87.0
85.0,87.0
86.0,87.0
87.0,87.0
88.0,87.0
89.0,87.0
90.0,87.0
91.0,87.0
92.0,84.66509353741496
93.0,54.222003968253965
94.0,85.16821705426358
95.0,98.68863049095607
96.0,98.71447028423773
97.0,98.74031007751938
98.0,98.76614987080104
99.0,98.79198966408269
100.0,98.81782945736434
101.0,98.843669250646
102.0,98.86950904392765
103.0,98.8953488372093
104.0,98.92118863049096
105.0,98.94702842377261
106.0,98.97286821705427
107.0,92.99612403100775
108.0,67.83333333333333
109.0,81.8695035460993
110.0,98.02925531914893
111.0,98.40159574468086
112.0,98.77393617021276
113.0,99.14627659574468
114.0,90.4627659574468
115.0,36.49524752475248
116.0,23.93267326732673
117.0,23.853465346534655
118.0,23.774257425742572
119.0,23.695049504950497
120.0,23.615841584158414
121.0,23.536633663366338
122.0,23.457425742574255
123.0,23.37821782178218
124.0,23.299009900990097
125.0,23.21980198019802
126.0,23.140594059405938
127.0,23.061386138613862
128.0,22.98217821782178
129.0,22.902970297029704
130.0,22.82376237623762
131.0,22.744554455445545
132.0,22.665346534653462
133.0,22.586138613861387
134.0,22.506930693069304
135.0,21.863514851485146
136.0,-19.875
137.0,-83.775
138.0,-100.0
139.0,-67.0
140.0,-39.95736434108527
141.0,-39.87984496124031
142.0,-39.80232558139535
143.0,-39.724806201550386
144.0,-39.64728682170543
145.0,-39.56976744186046
146.0,-39.492248062015506
147.0,-39.41472868217055
148.0,-36.26662790697675
149.0,-27.248266666666666
150.0,-26.23019047619048
151.0,-26.28542857142857
152.0,-26.34066666666667
153.0,-26.395904761904763
154.0,-26.451142857142855
155.0,-26.506380952380955
156.0,-26.561619047619047
157.0,-26.616857142857146
158.0,-26.67209523809524
159.0,-26.72733333333333
160.0,-26.78257142857143
161.0,-27.476542857142856
162.0,-69.78
163.0,-99.13
164.0,-99.72999999999999
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-98.59114832535884
176.0,-54.31595151072124
177.0,-33.0
178.0,-33.0
179.0,-33.0
180.0,-33.0
181.0,-33.0
182.0,-33.0
183.0,-33.0
184.0,-33.0
185.0,-33.0
186.0,-33.0
187.0,-33.0
188.0,-33.0
189.0,-33.0
190.0,-33.0
191.0,-55.125
192.0,-96.6078431372549
193.0,-97.19012605042016
194.0,-97.22514005602241
195.0,-97.26015406162465
196.0,-97.29516806722688
197.0,-97.33018207282913
198.0,-97.36519607843137
199.0,-97.4002100840336
200.0,-97.43522408963585
201.0,-97.47023809523809
202.0,-97.50525210084034
203.0,-97.54026610644257
204.0,-97.57528011204481
205.0,-97.61029411764706
206.0,-97.6453081232493
207.0,-97.68032212885154
208.0,-97.71533613445378
209.0,-97.75035014005601
210.0,-97.78536414565826
211.0,-97.8203781512605
212.0,-97.85539215686273
213.0,-97.89040616246498
214.0,-97.92542016806722
215.0,-97.96043417366947
216.0,-97.9954481792717
217.0,-98.03046218487394
218.0,-98.06547619047619
219.0,-98.10049019607843
220.0,-98.13550420168067
221.0,-98.17051820728291
222.0,-98.20553221288515
223.0,-98.2405462184874
224.0,-98.27556022408963
225.0,-98.31057422969187
226.0,-98.34558823529412
227.0,-98.38060224089637
228.0,-98.4156162464986
229.0,-98.45063025210084
230.0,-98.48564425770307
231.0,-98.52065826330532
232.0,-98.55567226890756
233.0,-98.5906862745098
234.0,-98.62570028011204
