Time,Value
0.0,-100.0
176.8274504578738,-100.0
178.8274504588129,-92.02714000083073
178.82745046153866,-92.02714000083068
180.6835534610611,-99.99999999994644
474.9999899611006,-99.99999999994644
475.9999999998618,-95.10943000037743
476.0,-95.10943000037743
476.00001,
477.99999,
478.0,-95.10943000037754
479.9773178511769,-95.10943000037764
480.0,-94.98484999913663
480.00001,
481.99999,
481.9999951181433,-84.00002681313298
482.0,-84.00002681313298
482.9999974970109,-84.00002681313283
483.99999665497734,-96.27995892342005
483.99999943061096,-96.27995892342035
484.9999921887817,-99.99997094235756
544.0,-99.99997094235754
