Time,Value
0.0,-100.0
179.43641415340005,-100.0
183.0,-91.83303448531177
183.00001,
190.99999,
191.0,-73.49877036765533
192.0,-71.20698735294826
192.00001,
197.5269204246541,
198.99999,
199.0,-58.540485000088495
199.0,-58.540485000088495
199.00001,
204.61314847100843,
204.99999,
205.0,-62.16692971421555
205.0,-62.16692971421555
205.00001,
206.99999,
207.0,-80.91543885714357
208.9999999999692,-99.66394799978278
307.9717018121453,-99.66394799978256
309.9999999999838,-84.05510833914468
310.0,-84.05510833914468
310.00001,
317.99999,
318.0,-84.05510833914462
319.0000000000271,-84.05510833914461
320.8623560191423,-97.9999999997467
558.0,-97.99999999974648
