Time(sec),Data
0.0,-15.243999999999986
1.0,-15.243999999999986
2.0,-15.243999999999986
3.0,-15.243999999999986
4.0,-15.243999999999986
5.0,-15.243999999999986
6.0,-15.243999999999986
7.0,-15.243999999999986
8.0,-15.243999999999986
9.0,-15.243999999999986
10.0,-15.243999999999986
11.0,-15.243999999999986
12.0,-15.243999999999986
13.0,-15.243999999999986
14.0,-15.243999999999986
15.0,-15.243999999999986
16.0,-15.243999999999986
17.0,-15.243999999999986
18.0,-15.243999999999986
19.0,-15.243999999999986
20.0,-15.243999999999986
21.0,-15.243999999999986
22.0,-15.243999999999986
23.0,-15.243999999999986
24.0,-15.243999999999986
25.0,-15.243999999999986
26.0,-15.243999999999986
27.0,-15.243999999999986
28.0,-15.243999999999986
29.0,-15.243999999999986
30.0,-15.243999999999986
31.0,-15.243999999999986
32.0,-15.243999999999986
33.0,-15.243999999999986
34.0,-15.243999999999986
35.0,-15.243999999999986
36.0,-15.243999999999986
37.0,-15.243999999999986
38.0,-15.243999999999986
39.0,-15.243999999999986
40.0,-15.243999999999986
41.0,-15.243999999999986
42.0,-15.243999999999986
43.0,-15.243999999999986
44.0,-15.243999999999986
45.0,-15.243999999999986
46.0,-15.243999999999986
47.0,-15.243999999999986
48.0,-15.243999999999986
49.0,-15.243999999999986
50.0,-15.243999999999986
51.0,-15.243999999999986
52.0,-15.243999999999986
53.0,-15.243999999999986
54.0,-15.243999999999986
55.0,-15.243999999999986
56.0,-15.243999999999986
57.0,0.8590000000000053
58.0,16.961999999999996
59.0,33.06499999999998
60.0,49.16799999999998
61.0,49.16799999999998
62.0,49.16799999999998
63.0,49.16799999999998
64.0,49.16799999999998
65.0,49.16799999999998
66.0,49.16799999999998
67.0,49.16799999999998
68.0,49.16799999999998
69.0,49.16799999999998
70.0,49.16799999999998
71.0,49.16799999999998
72.0,49.16799999999998
73.0,49.16799999999998
74.0,49.16799999999998
75.0,49.16799999999998
76.0,49.16799999999998
77.0,49.16799999999998
78.0,49.16799999999998
79.0,49.16799999999998
80.0,49.16799999999998
81.0,49.16799999999998
82.0,49.16799999999998
83.0,49.16799999999998
84.0,49.16799999999998
85.0,49.16799999999998
86.0,49.16799999999998
87.0,49.16799999999998
88.0,49.16799999999998
89.0,49.16799999999998
90.0,49.16799999999998
91.0,49.16799999999998
92.0,49.16799999999998
93.0,49.16799999999998
94.0,49.16799999999998
95.0,49.16799999999998
96.0,49.16799999999998
97.0,49.16799999999998
98.0,49.16799999999998
99.0,49.16799999999998
100.0,49.16799999999998
101.0,49.16799999999998
102.0,49.16799999999998
103.0,49.16799999999998
104.0,49.16799999999998
105.0,49.16799999999998
106.0,49.16799999999998
107.0,49.16799999999998
108.0,49.16799999999998
109.0,17.10499999999999
110.0,-14.957999999999998
111.0,-14.957999999999998
112.0,-14.957999999999998
113.0,-14.957999999999998
114.0,-14.957999999999998
115.0,-14.957999999999998
116.0,-14.957999999999998
117.0,-14.957999999999998
118.0,-14.957999999999998
119.0,-14.957999999999998
120.0,-14.957999999999998
121.0,-14.957999999999998
122.0,-14.957999999999998
123.0,-14.957999999999998
124.0,-14.957999999999998
125.0,-14.957999999999998
126.0,-14.957999999999998
127.0,-14.957999999999998
128.0,-14.957999999999998
129.0,-14.957999999999998
130.0,-14.957999999999998
131.0,-14.957999999999998
132.0,-14.957999999999998
133.0,-14.957999999999998
134.0,-14.957999999999998
135.0,-14.957999999999998
136.0,-14.957999999999998
137.0,-14.957999999999998
138.0,-14.957999999999998
139.0,-14.957999999999998
140.0,-14.957999999999998
141.0,-14.957999999999998
142.0,-14.957999999999998
143.0,-14.957999999999998
144.0,-14.957999999999998
145.0,-14.957999999999998
146.0,-14.957999999999998
147.0,-14.957999999999998
148.0,-14.957999999999998
149.0,-14.957999999999998
150.0,-14.957999999999998
151.0,-14.957999999999998
152.0,-14.957999999999998
153.0,-14.957999999999998
154.0,-14.957999999999998
155.0,-14.957999999999998
156.0,-14.957999999999998
157.0,-14.957999999999998
158.0,-14.957999999999998
159.0,-14.957999999999998
160.0,-14.957999999999998
161.0,-14.957999999999998
162.0,-14.957999999999998
163.0,-14.957999999999998
164.0,-14.957999999999998
165.0,-14.957999999999998
166.0,-14.957999999999998
167.0,-14.957999999999998
168.0,-14.957999999999998
169.0,-14.957999999999998
170.0,-14.957999999999998
171.0,-14.957999999999998
172.0,-14.957999999999998
173.0,-14.957999999999998
174.0,-14.957999999999998
175.0,-14.957999999999998
176.0,-14.957999999999998
177.0,-14.957999999999998
178.0,-14.957999999999998
179.0,-14.957999999999998
180.0,-14.957999999999998
181.0,-14.957999999999998
182.0,-14.957999999999998
183.0,-14.957999999999998
184.0,-14.957999999999998
185.0,-14.957999999999998
186.0,-14.957999999999998
187.0,-14.957999999999998
188.0,-14.957999999999998
189.0,-14.957999999999998
190.0,-14.957999999999998
191.0,-14.957999999999998
192.0,-14.957999999999998
193.0,-14.957999999999998
194.0,-14.957999999999998
195.0,-14.957999999999998
196.0,-14.957999999999998
197.0,-14.957999999999998
198.0,-14.957999999999998
199.0,-14.957999999999998
200.0,-14.957999999999998
201.0,-14.957999999999998
202.0,-14.957999999999998
203.0,-14.957999999999998
204.0,-14.957999999999998
205.0,-14.957999999999998
206.0,-14.957999999999998
207.0,-14.957999999999998
208.0,-14.957999999999998
209.0,-14.957999999999998
210.0,-14.957999999999998
211.0,-14.957999999999998
212.0,-14.957999999999998
213.0,-14.957999999999998
214.0,-14.957999999999998
215.0,-14.957999999999998
216.0,-14.957999999999998
217.0,-14.957999999999998
218.0,-14.957999999999998
219.0,3.2540000000000013
220.0,21.466
221.0,39.678
222.0,39.678
223.0,39.678
224.0,39.678
225.0,39.678
226.0,39.678
227.0,39.678
228.0,39.678
229.0,39.678
230.0,39.678
231.0,39.678
232.0,39.678
233.0,39.678
234.0,39.678
235.0,39.678
236.0,39.678
237.0,39.678
238.0,39.678
239.0,39.678
240.0,39.678
241.0,39.678
242.0,39.678
243.0,39.678
244.0,39.678
245.0,39.678
246.0,39.678
247.0,39.678
248.0,39.678
249.0,39.678
250.0,39.678
251.0,39.678
252.0,39.678
253.0,39.678
254.0,39.678
255.0,39.678
256.0,39.678
257.0,39.678
258.0,39.678
259.0,39.678
260.0,39.678
261.0,39.678
262.0,39.678
263.0,39.678
264.0,39.678
265.0,39.678
266.0,39.678
267.0,39.678
268.0,39.678
269.0,39.678
270.0,39.678
271.0,39.678
272.0,39.678
273.0,39.678
274.0,39.678
275.0,39.678
276.0,39.678
277.0,39.678
278.0,39.678
279.0,39.678
280.0,39.678
281.0,39.678
282.0,39.678
283.0,39.678
284.0,39.678
285.0,39.678
286.0,39.678
287.0,39.678
288.0,39.678
289.0,39.678
290.0,39.678
291.0,39.678
292.0,39.678
293.0,39.678
294.0,39.678
295.0,39.678
296.0,39.678
297.0,39.678
298.0,39.678
299.0,39.678
300.0,39.678
