,AXKVHJHF1EOVT,AQNCH42WD4ITI,A1XY2JMPVJCF4,A93LDI16XJWI8
168946,-79.0,-94.8,-100.0,-79.0
168948,-79.0,-94.4,-100.0,-79.0
168952,-79.0,-94.0,-100.0,-78.66666666666667
168955,-79.0,-94.0,-100.0,-78.33333333333333
168964,-79.0,-93.66666666666667,-100.0,-78.0
168967,-79.0,-93.33333333333333,-100.0,-78.0
168969,-79.0,-93.0,-100.0,-77.66666666666667
168974,-79.0,-93.0,-100.0,-77.33333333333333
168981,-79.0,-92.66666666666667,-100.0,-77.0
168983,-79.0,-92.33333333333333,-100.0,-77.0
168985,-78.66666666666667,-92.0,-100.0,-77.0
168989,-78.33333333333333,-92.0,-100.0,-76.66666666666667
168997,-78.0,-91.75,-100.0,-76.33333333333333
168998,-78.0,-91.5,-100.0,-76.0
169001,-78.0,-91.25,-100.0,-76.0
169002,-78.0,-91.0,-100.0,-75.5
169017,-78.0,-91.0,-100.0,-75.0
169063,-78.0,-91.0,-100.0,-75.0
169084,-77.0,-91.0,-100.0,-75.0
169129,-77.0,-91.0,-100.0,-75.0
169132,-76.66666666666667,-91.0,-100.0,-75.0
169149,-76.33333333333333,-91.0,-100.0,-75.0
169150,-76.0,-91.0,-100.0,-75.0
169165,-76.0,-91.0,-100.0,-75.0
169182,-76.0,-91.0,-100.0,-75.0
169183,-76.0,-91.0,-100.0,-75.0
169199,-75.5,-91.0,-100.0,-75.0
169200,-75.0,-91.0,-100.0,-75.0
169215,-75.0,-91.0,-100.0,-75.0
169230,-75.0,-91.0,-100.0,-75.0
169232,-75.0,-91.0,-100.0,-74.75
169235,-75.0,-91.0,-100.0,-74.5
169239,-75.0,-91.0,-100.0,-74.25
169246,-74.8,-91.0,-99.9,-74.0
169248,-74.6,-91.0,-99.8,-74.0
169249,-74.4,-91.0,-99.7,-73.75
169253,-74.2,-91.0,-99.6,-73.5
169262,-74.0,-91.0,-99.5,-73.25
169263,-74.0,-91.0,-99.4,-73.0
169265,-74.0,-91.0,-99.3,-73.0
169266,-74.0,-91.0,-99.2,-73.0
169270,-74.0,-91.0,-99.1,-72.66666666666667
169274,-73.91666666666667,-91.0,-99.0,-72.33333333333333
169279,-73.83333333333333,-91.0,-99.0,-72.0
169280,-73.75,-91.0,-99.0,-72.0
169282,-73.66666666666667,-91.0,-98.75,-72.0
169284,-73.58333333333333,-91.0,-98.5,-72.0
169285,-73.5,-91.0,-98.25,-71.75
169289,-73.41666666666667,-91.0,-98.0,-71.5
169292,-73.33333333333333,-91.0,-98.0,-71.25
169298,-73.25,-91.0,-97.8,-71.0
169299,-73.16666666666667,-91.0,-97.6,-71.0
169301,-73.08333333333333,-91.0,-97.4,-71.0
169302,-73.0,-91.0,-97.2,-70.5
169306,-73.0,-91.0,-97.0,-70.0
169309,-73.0,-91.0,-97.0,-69.5
169315,-73.0,-91.0,-96.75,-69.0
169318,-73.0,-91.0,-96.5,-69.0
169319,-73.0,-91.0,-96.25,-68.8
169322,-73.0,-91.0,-96.0,-68.6
169325,-73.0,-91.0,-96.0,-68.4
169332,-73.0,-91.0,-95.75,-68.2
169334,-73.0,-91.0,-95.5,-68.0
169336,-73.0,-91.0,-95.25,-68.0
169339,-73.0,-91.0,-95.0,-67.8
169342,-73.0,-91.0,-95.0,-67.6
169343,-73.0,-91.0,-94.8,-67.4
169349,-72.83333333333333,-91.0,-94.6,-67.2
169352,-72.66666666666667,-91.0,-94.4,-67.0
169355,-72.5,-91.0,-94.2,-67.0
169356,-72.33333333333333,-91.0,-94.0,-66.83333333333333
169359,-72.16666666666667,-91.0,-94.0,-66.66666666666667
169363,-72.0,-91.0,-93.8,-66.5
169365,-72.0,-91.0,-93.6,-66.33333333333333
169369,-72.0,-91.0,-93.4,-66.16666666666667
169370,-72.0,-91.0,-93.2,-66.0
169372,-72.0,-91.0,-93.0,-66.0
169375,-72.0,-91.0,-93.0,-66.0
169378,-72.0,-91.0,-92.8,-66.0
169381,-72.0,-91.0,-92.6,-66.0
169382,-72.0,-91.0,-92.4,-65.6
169388,-72.0,-91.0,-92.2,-65.2
