,AU2980AA60A2C,AF8GOPFSTWCH8
177845,-100.0,-84.0
177879,-100.0,-84.0
177913,-100.0,-84.0
177931,-100.0,-84.0
177965,-100.0,-84.0
177996,-100.0,-84.0
178030,-100.0,-84.0
178047,-100.0,-84.0
178080,-100.0,-84.0
178113,-100.0,-84.0
178130,-100.0,-84.0
178163,-100.0,-84.0
178183,-100.0,-84.0
178401,-100.0,-84.0
178418,-99.0,-84.0
178466,-97.0,-84.0
178485,-96.0,-84.0
178685,-96.0,-84.0
178702,-95.0,-84.0
178734,-94.0,-84.0
178752,-93.0,-84.0
178785,-91.0,-84.0
178837,-91.0,-84.0
178884,-91.0,-85.0
178919,-91.0,-87.0
179046,-91.0,-89.0
179093,-91.0,-90.0
179128,-91.0,-93.0
179162,-91.0,-95.0
179255,-91.0,-97.0
179269,-91.0,-97.25
179278,-91.5,-97.5
179289,-92.0,-97.75
179290,-92.33333333333333,-98.0
179297,-92.66666666666667,-98.4
179320,-93.0,-98.8
179329,-93.5,-99.2
179336,-94.0,-99.6
179337,-94.5,-100.0
179360,-95.0,-100.0
179363,-95.0,-100.0
179380,-95.0,-100.0
179413,-95.0,-100.0
179447,-95.0,-100.0
179469,-95.0,-100.0
179479,-95.5,-100.0
179489,-96.0,-100.0
179512,-96.0,-100.0
179516,-96.0,-100.0
179537,-97.0,-100.0
179546,-97.0,-100.0
179579,-97.0,-100.0
179598,-97.0,-100.0
179630,-97.0,-100.0
179662,-97.0,-100.0
179670,-97.0,-100.0
179681,-97.5,-100.0
179691,-98.0,-100.0
179698,-98.0,-100.0
179712,-98.0,-100.0
179713,-98.5,-100.0
179720,-99.0,-100.0
179729,-99.33333333333333,-100.0
179748,-99.66666666666667,-100.0
179751,-100.0,-100.0
179764,-100.0,-100.0
181230,-100.0,-100.0
181249,-100.0,-100.0
181270,-100.0,-100.0
181282,-100.0,-100.0
181301,-100.0,-100.0
181317,-100.0,-100.0
181335,-100.0,-100.0
181352,-100.0,-100.0
181377,-100.0,-100.0
182712,-100.0,-100.0
182731,-100.0,-100.0
182750,-100.0,-100.0
182762,-100.0,-100.0
182780,-100.0,-100.0
182797,-100.0,-100.0
182814,-100.0,-100.0
182834,-100.0,-100.0
182851,-100.0,-100.0
