,A29R1LR84VSJU,A1UH47OTAH2RT,A2JNCB317KX86,A1EUJEHDI66UT
11338,,,,
11355,,,,
11372,,,,
11388,,,,
11405,,,,
11422,,,,
11439,,,,
11456,,,,
11472,,,,
11489,,,,
11505,,,,
11522,,,,
11539,,,,
11556,,,,
11572,,,,
11589,,,,
11606,,,,
11622,,,,
11639,,,,
11656,,,,
11673,,,,
11689,,,,
11706,,,,
11723,,,,
11740,,,,
11756,,,,
11773,,,,
11790,,,,
11807,,,,
11823,,,,
11840,,,,
11857,,,,
11873,,,,
11890,,,,
11907,,,,
11923,,,,
11940,,,,
11957,,,,
11974,,,,
11990,,,,
12007,,,,
12024,,,,
12040,,,,
12058,,,,
12074,,,,
12091,,,,
12107,,,,
12124,,,,
12125,,,,
15918,,,,
15919,,,,
15937,,,,
15953,,,,
15970,,,,
15986,,,,
16003,,,,
16020,,,,
16036,,,,
16053,,,,
16070,,,,
16087,,,,
16103,,,,
16120,,,,
16137,,,,
16153,,,,
16170,,,,
16187,,,,
16203,,,,
16220,,,,
16237,,,,
16255,,,,
16270,,,,
16287,,,,
16304,,,,
16321,,,,
16337,,,,
16354,,,,
16371,,,,
16388,,,,
16404,,,,
16421,,,,
16438,,,,
16454,,,,
16471,,,,
16488,,,,
16505,,,,
16521,,,,
16538,,,,
16555,,,,
16571,,,,
16588,,,,
16605,,,,
16622,,,,
16638,,,,
16655,,,,
16672,,,,
16688,,,,
16705,,,,
16722,,,,
16739,,,,
16756,,,,
16772,,,,
16789,,,,
16806,,,,
16822,,,,
16839,,,,
16856,,,,
16872,,,,
16889,,,,
16906,,,,
16923,,,,
16939,,,,
16956,,,,
16973,,,,
16989,,,,
17006,,,,
17023,,,,
17040,,,,
17056,,,,
17073,,,,
17092,,,,
17107,,,,
17124,,,,
17140,,,,
17157,,,,
17173,,,,
17190,,,,
17207,,,,
17224,,,,
17240,,,,
17257,,,,
17274,,,,
17290,,,,
17297,,,,
17298,,,,
18357,,,,
18358,,,-49.0,
18387,,,-50.0,
18402,,,-50.0,
18441,,,-52.0,
18625,,,-52.0,
18660,,,-53.0,
18711,,,-53.0,
18754,,,-54.0,
19015,,,-54.0,
19056,,,-55.0,
19106,,,-55.0,
19144,,,-56.0,
19312,,,-56.0,
19337,,,-57.0,
19380,,,-57.0,
19405,,,-58.0,
19566,,,-58.0,
19589,,,-59.0,
19645,,,-59.0,
19668,,,-60.0,
19796,,,-60.0,
19812,,,-61.0,
19864,,,-61.0,
19905,,,-62.0,
20091,,,-62.0,
20135,,,-63.0,
20184,,,-63.0,
20220,,,-64.0,
20308,,,-64.0,
20330,,,-65.0,
20398,,,-65.0,
20415,,,-66.0,
20430,,,-66.0,
20484,,,-68.0,
20570,,,-68.0,
20602,,,-69.0,
20642,,,-69.0,
20689,,,-73.0,
20977,,,-73.0,
21006,,,-74.0,
21063,,,-74.0,
21075,,,-75.0,
21096,,,-77.0,
21291,,,-77.0,
21298,,,-78.0,
21504,,,-78.0,
21553,,,-80.0,
21599,,,-80.0,
21625,,,-81.0,
21638,,,-81.0,
21663,,,-82.0,
21831,,,-82.0,
21844,,,-83.0,
21885,,,-83.0,
21895,,,-84.0,
21931,,,-84.0,
21941,,,-85.0,
22107,,,-85.0,
22130,,,-86.0,
22153,,,-86.0,
22159,,,-87.0,
22195,,,-87.0,
22206,,,-88.0,
22379,,,-88.0,
22396,,,-89.0,
22397,,,,
27121,,,,
27122,,93.0,,
27135,,92.0,,
27180,,92.0,,
27190,,91.0,,
