,A1NRY8F9U4AYE,A3QI1RV4HQ9MO,A2Q3SM0KEI497
50601,,,-100.0
50622,,,-100.0
50637,,,-100.0
50869,,,-100.0
50886,,,-100.0
50909,,,-100.0
50919,,,-100.0
50938,,,-100.0
50952,,,-100.0
50972,,,-100.0
50986,,,-100.0
51006,,,-100.0
51021,,,-100.0
51036,,,-100.0
51054,,,-100.0
51068,,,-100.0
51087,,,-100.0
51103,,,-100.0
51125,,,-100.0
51139,,,-100.0
51157,,,-100.0
51487,,,-100.0
51504,,,-100.0
51540,,,-100.0
51556,,,-100.0
51577,,,-100.0
51589,,,-100.0
51611,,,-100.0
51622,,,-100.0
51654,,,-100.0
52356,,,-100.0
52373,,,-100.0
52396,,,-100.0
52406,,,-100.0
52425,,,-100.0
52440,,,-100.0
52458,,,-100.0
52474,,,-100.0
52774,,,-100.0
52790,,,-100.0
52815,,,-100.0
52826,,,-100.0
56176,,,-100.0
56196,,,-100.0
56228,,,-100.0
56246,,,-100.0
56281,,,-100.0
56323,,,-100.0
56358,,,-100.0
56393,,,-100.0
56427,,,-100.0
56446,,,-100.0
56464,,,-100.0
56480,,,-100.0
56498,,,-100.0
56505,,,-100.0
56523,,,-100.0
56541,,,-100.0
56557,,,-100.0
56574,,,-100.0
56592,,,-100.0
56610,,,-100.0
56628,,,-100.0
56645,,,-100.0
56662,,,-100.0
56680,,,-100.0
56698,,,-100.0
56719,,,-100.0
56723,,,-100.0
56740,,,-100.0
56758,,,-100.0
56774,,,-100.0
56794,,,-100.0
56809,,,-100.0
56827,,,-100.0
56846,,,-100.0
56861,,,-100.0
56881,,,-100.0
56897,,,-100.0
56916,,,-100.0
56924,,,-100.0
56939,,,-100.0
56956,,,-100.0
56974,,,-100.0
56991,,,-100.0
57011,,,-100.0
57027,,,-100.0
57045,,,-100.0
57062,,,-100.0
57081,,,-100.0
57099,,,-100.0
57115,,,-100.0
57134,,,-100.0
57149,,,-100.0
57157,,,-100.0
57175,,,-100.0
57191,,,-100.0
57211,,,-100.0
57227,,,-100.0
57244,,,-100.0
57263,,,-100.0
57282,,,-100.0
57300,,,-100.0
57318,,,-100.0
57330,,,-100.0
57350,,,-100.0
57355,,,-100.0
57378,,,-100.0
57392,,,-100.0
57413,,,-100.0
57428,,,-100.0
57449,,,-100.0
57464,,,-100.0
57483,,,-100.0
57497,,,-100.0
57516,,,-100.0
57530,,,-100.0
57550,,,-100.0
57571,,,-100.0
57579,,,-100.0
57620,,,-100.0
57642,,,-100.0
57661,,,-100.0
57681,,,-100.0
57696,,,-100.0
57716,,,-100.0
57731,,,-100.0
57750,,,-100.0
57766,,,-100.0
57782,,,-100.0
57795,,,-100.0
57820,,,-100.0
57836,,,-100.0
57862,,,-100.0
57882,,,-100.0
57905,,,-100.0
57925,,,-100.0
57959,,,-100.0
57978,,,-100.0
58003,,,-100.0
58012,,,-100.0
58038,,,-100.0
58065,,,-100.0
58090,,,-100.0
58112,,,-100.0
58131,,,-100.0
58157,,,-100.0
58174,,,-100.0
58198,,,-100.0
58206,,,-100.0
58226,,,-100.0
58244,,,-100.0
58266,,,-100.0
58280,,,-100.0
58302,,,-100.0
58318,,,-100.0
58337,,,-100.0
58355,,,-100.0
58378,,,-100.0
58409,,,-100.0
58425,,,-100.0
58461,,,-100.0
58480,,,-100.0
58494,,,-100.0
58510,,,-100.0
58527,,,-100.0
58546,,,-100.0
58562,,,-100.0
58581,,,-100.0
58599,,,-100.0
58614,,,-100.0
58632,,,-100.0
58638,,,-100.0
58656,,,-100.0
58674,,,-100.0
58691,,,-100.0
58708,,,-100.0
58726,,,-100.0
58743,,,-100.0
58761,,,-100.0
58779,,,-100.0
58796,,,-100.0
58813,,,-100.0
58831,,,-100.0
58849,,,-100.0
58856,,,-100.0
58877,,,-100.0
58891,,,-100.0
58908,,,-100.0
58926,,,-100.0
58944,,,-100.0
58961,,,-100.0
58979,,,-100.0
58995,,,-100.0
59013,,,-100.0
59031,,,-100.0
59049,,,-100.0
59055,,,-100.0
59072,,,-100.0
59090,,,-100.0
59108,,,-100.0
84657,,,-100.0
84683,,,-100.0
84738,,,-100.0
84804,,,-100.0
84839,,,-100.0
84868,,,-100.0
84888,,,-100.0
84920,,,-100.0
84941,,,-100.0
84982,,,-100.0
85098,,,-100.0
85147,,,-100.0
85163,,,-100.0
85193,,,-100.0
85285,,,-100.0
85324,,,-100.0
85368,,,-100.0
85407,,,-100.0
85501,,,-100.0
85533,,,-100.0
85564,,,-100.0
85629,,,-100.0
85687,,,-100.0
85767,,,-100.0
86068,,,-100.0
86110,,,-100.0
86325,,,-100.0
86358,,,-100.0
86778,,,-100.0
86811,,,-100.0
86869,,,-100.0
86919,,,-100.0
86936,,,-100.0
86975,,,-100.0
86993,,,-100.0
87037,,,-100.0
87063,,,-100.0
87086,,,-100.0
87097,,,-100.0
87169,,,-100.0
87212,,,-100.0
87293,,,-100.0
87305,,,-100.0
87325,,,-100.0
87361,,,-100.0
87366,,,-100.0
87385,,,-100.0
87423,,,-100.0
87487,,,-100.0
87500,,,-100.0
87520,,,-100.0
87614,,,-100.0
87684,,,-100.0
87696,,,-100.0
87757,,,-100.0
87851,,,-100.0
87924,,,-100.0
87999,,,-100.0
88063,,,-100.0
88080,,,-100.0
88108,,,-100.0
88149,,,-100.0
88213,,,-100.0
88224,,,-100.0
88246,,,-100.0
88318,,,-100.0
88339,,,-100.0
88445,,,-100.0
88486,,,-100.0
88499,,,-100.0
88534,,,-100.0
88546,,,-100.0
88568,,,-100.0
88825,,,-100.0
88975,,,-100.0
88988,,,-100.0
89039,,,-100.0
89056,,,-100.0
89076,,,-100.0
89086,,,-100.0
89106,,,-100.0
89107,,,-100.0
89122,,,-100.0
89123,,,-100.0
89157,,,-100.0
89186,,,-100.0
89222,,,-100.0
89241,,,-100.0
89258,,,-100.0
89291,,,-100.0
89324,,,-100.0
89345,,,-100.0
89391,,,-100.0
89415,,,-100.0
89445,,,-100.0
89457,,,-100.0
89523,,,-100.0
89554,,,-100.0
