,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
235718,-100.0,-100.0,-96.5
235731,-100.0,-100.0,-96.0
235735,-100.0,-100.0,-95.5
235748,-100.0,-100.0,-95.0
235751,-100.0,-100.0,-94.5
235765,-100.0,-100.0,-94.0
235768,-100.0,-100.0,-93.5
235782,-100.0,-100.0,-93.0
235785,-100.0,-100.0,-92.5
235798,-100.0,-100.0,-92.0
235802,-100.0,-100.0,-92.0
235818,-100.0,-100.0,-92.0
235835,-100.0,-100.0,-92.0
235852,-100.0,-100.0,-92.0
235868,-100.0,-100.0,-92.0
235885,-100.0,-100.0,-92.0
235901,-100.0,-100.0,-92.0
235918,-100.0,-100.0,-92.0
235935,-100.0,-100.0,-92.0
235951,-100.0,-100.0,-92.0
235968,-100.0,-100.0,-92.0
235985,-100.0,-100.0,-92.0
236002,-100.0,-100.0,-92.0
236018,-100.0,-100.0,-92.0
236035,-100.0,-100.0,-92.0
236051,-100.0,-100.0,-92.0
236068,-100.0,-100.0,-92.0
236085,-100.0,-100.0,-92.0
236102,-100.0,-100.0,-92.0
236118,-100.0,-100.0,-92.0
236135,-100.0,-100.0,-92.0
236152,-100.0,-100.0,-92.0
236168,-100.0,-100.0,-92.0
236185,-100.0,-100.0,-92.0
236202,-100.0,-100.0,-92.0
236218,-100.0,-100.0,-92.0
236235,-100.0,-100.0,-92.0
236251,-100.0,-100.0,-92.0
236268,-100.0,-100.0,-92.0
236285,-100.0,-100.0,-92.0
236302,-100.0,-100.0,-92.0
236318,-100.0,-100.0,-92.0
236335,-100.0,-100.0,-92.0
236352,-100.0,-100.0,-92.0
236368,-100.0,-100.0,-92.0
236385,-100.0,-100.0,-92.0
236399,-100.0,-100.0,-92.0
236402,-100.0,-100.0,-91.5
236416,-100.0,-100.0,-91.0
236418,-100.0,-100.0,-90.5
236432,-100.0,-100.0,-90.0
236436,-100.0,-100.0,-89.5
236449,-100.0,-100.0,-89.0
236451,-100.0,-100.0,-88.5
236466,-100.0,-100.0,-88.0
236468,-100.0,-100.0,-87.5
236483,-100.0,-100.0,-87.0
236485,-100.0,-100.0,-86.5
236499,-100.0,-100.0,-86.0
236502,-100.0,-100.0,-85.5
236516,-100.0,-100.0,-85.0
236518,-100.0,-100.0,-84.0
236532,-100.0,-100.0,-83.0
236535,-100.0,-100.0,-83.0
236552,-100.0,-100.0,-83.0
236568,-100.0,-100.0,-83.0
236585,-100.0,-100.0,-83.0
236597,-100.0,-100.0,-83.0
236602,-100.0,-100.0,-83.0
236618,-100.0,-100.0,-83.0
236635,-100.0,-100.0,-83.0
236638,-100.0,-100.0,-83.0
236679,-100.0,-100.0,-83.0
236721,-100.0,-100.0,-83.0
236799,-100.0,-100.0,-83.0
236816,-100.0,-100.0,-82.0
236833,-100.0,-100.0,-81.0
237385,-100.0,-100.0,-81.0
