,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
15037,-100.0,-100.0,-100.0,-100.0
15045,-100.0,-100.0,-100.0,-100.0
15054,-100.0,-100.0,-100.0,-100.0
15070,-100.0,-100.0,-100.0,-100.0
15078,-100.0,-100.0,-100.0,-100.0
15087,-100.0,-100.0,-100.0,-100.0
15095,-100.0,-100.0,-100.0,-100.0
15102,-100.0,-100.0,-100.0,-100.0
15121,-100.0,-100.0,-100.0,-100.0
15128,-100.0,-100.0,-100.0,-100.0
15138,-100.0,-100.0,-100.0,-100.0
15161,-100.0,-100.0,-100.0,-100.0
15178,-100.0,-100.0,-100.0,-100.0
15212,-100.0,-100.0,-100.0,-100.0
15453,-100.0,-100.0,-100.0,-100.0
15469,-100.0,-100.0,-100.0,-100.0
15490,-100.0,-100.0,-100.0,-100.0
15503,-100.0,-100.0,-100.0,-100.0
15571,-100.0,-100.0,-100.0,-100.0
15578,-100.0,-100.0,-100.0,-100.0
15585,-100.0,-100.0,-100.0,-100.0
15596,-100.0,-100.0,-100.0,-100.0
15606,-100.0,-100.0,-100.0,-100.0
15620,-100.0,-100.0,-100.0,-100.0
15628,-100.0,-100.0,-100.0,-100.0
15637,-100.0,-100.0,-100.0,-100.0
15645,-100.0,-100.0,-100.0,-100.0
15659,-100.0,-100.0,-100.0,-100.0
15662,-100.0,-100.0,-100.0,-100.0
15678,-100.0,-100.0,-100.0,-100.0
15695,-100.0,-100.0,-100.0,-100.0
15712,-100.0,-100.0,-100.0,-100.0
15728,-100.0,-100.0,-100.0,-100.0
15746,-100.0,-100.0,-100.0,-100.0
15762,-100.0,-100.0,-100.0,-100.0
15770,-100.0,-100.0,-100.0,-100.0
15778,-100.0,-100.0,-100.0,-100.0
15788,-100.0,-100.0,-100.0,-100.0
15802,-100.0,-100.0,-100.0,-100.0
15812,-100.0,-100.0,-100.0,-100.0
15814,-100.0,-100.0,-100.0,-100.0
15828,-100.0,-100.0,-100.0,-100.0
15835,-100.0,-100.0,-100.0,-100.0
15846,-100.0,-100.0,-100.0,-100.0
15861,-100.0,-100.0,-100.0,-100.0
15878,-100.0,-100.0,-100.0,-100.0
15895,-100.0,-100.0,-100.0,-100.0
15911,-100.0,-100.0,-100.0,-100.0
15928,-100.0,-100.0,-100.0,-100.0
15945,-100.0,-100.0,-100.0,-100.0
15968,-100.0,-100.0,-100.0,-100.0
15986,-100.0,-100.0,-100.0,-100.0
18317,-100.0,-100.0,-100.0,-100.0
18333,-100.0,-100.0,-100.0,-100.0
18366,-100.0,-100.0,-100.0,-100.0
18387,-100.0,-100.0,-100.0,-100.0
18417,-100.0,-100.0,-100.0,-100.0
18466,-100.0,-100.0,-100.0,-100.0
18499,-100.0,-100.0,-100.0,-100.0
18517,-100.0,-100.0,-100.0,-100.0
18883,-100.0,-100.0,-100.0,-100.0
18900,-100.0,-100.0,-100.0,-100.0
18921,-100.0,-100.0,-100.0,-100.0
18933,-100.0,-100.0,-100.0,-100.0
27295,-100.0,-100.0,-100.0,-100.0
27318,-100.0,-100.0,-100.0,-100.0
27327,-100.0,-100.0,-100.0,-100.0
27390,-100.0,-100.0,-100.0,-100.0
27399,-100.0,-100.0,-100.0,-100.0
27414,-100.0,-100.0,-100.0,-100.0
27423,-100.0,-100.0,-100.0,-100.0
27457,-100.0,-100.0,-100.0,-100.0
27464,-100.0,-100.0,-100.0,-100.0
27475,-100.0,-100.0,-100.0,-100.0
