,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
14541,-100.0,-100.0,-100.0,-93.0
14576,-100.0,-100.0,-100.0,-93.0
14587,-100.0,-100.0,-100.0,-93.0
14606,-100.0,-100.0,-100.0,-93.0
14617,-100.0,-100.0,-100.0,-93.0
14629,-100.0,-100.0,-100.0,-93.0
14652,-100.0,-100.0,-100.0,-93.0
14685,-100.0,-100.0,-100.0,-93.0
14700,-100.0,-100.0,-100.0,-93.0
14727,-100.0,-100.0,-100.0,-93.0
14740,-100.0,-100.0,-100.0,-93.0
14777,-100.0,-100.0,-100.0,-93.0
14789,-100.0,-100.0,-100.0,-93.0
14814,-100.0,-100.0,-100.0,-93.0
14825,-100.0,-100.0,-100.0,-93.0
14862,-100.0,-100.0,-100.0,-93.0
14874,-100.0,-100.0,-100.0,-93.0
14907,-100.0,-100.0,-100.0,-93.0
14917,-100.0,-100.0,-100.0,-93.0
14944,-100.0,-100.0,-100.0,-93.0
14957,-100.0,-100.0,-100.0,-93.0
14994,-100.0,-100.0,-100.0,-93.0
15006,-100.0,-100.0,-100.0,-93.0
15020,-100.0,-100.0,-100.0,-93.0
15033,-100.0,-100.0,-100.0,-93.0
15058,-100.0,-100.0,-100.0,-93.0
15068,-100.0,-100.0,-100.0,-93.0
15102,-100.0,-100.0,-100.0,-93.0
15111,-100.0,-100.0,-100.0,-93.0
15140,-100.0,-100.0,-100.0,-93.0
15148,-100.0,-100.0,-100.0,-93.0
15177,-100.0,-100.0,-100.0,-93.0
15187,-100.0,-100.0,-100.0,-93.0
15196,-100.0,-100.0,-100.0,-93.0
15210,-100.0,-100.0,-100.0,-93.0
15239,-100.0,-100.0,-100.0,-93.0
15240,-100.0,-100.0,-100.0,-93.0
15268,-100.0,-100.0,-100.0,-93.0
15278,-100.0,-100.0,-100.0,-93.0
15307,-100.0,-100.0,-100.0,-93.0
15314,-100.0,-100.0,-100.0,-93.0
15341,-100.0,-100.0,-100.0,-93.0
15348,-100.0,-100.0,-100.0,-93.0
15373,-100.0,-100.0,-100.0,-93.0
15383,-100.0,-100.0,-100.0,-93.0
15407,-100.0,-100.0,-100.0,-93.0
15416,-100.0,-100.0,-100.0,-93.0
15455,-100.0,-100.0,-100.0,-93.0
15467,-100.0,-100.0,-100.0,-93.0
15492,-100.0,-100.0,-100.0,-93.0
15502,-100.0,-100.0,-100.0,-93.0
15526,-100.0,-100.0,-100.0,-93.0
15537,-100.0,-100.0,-100.0,-93.0
15538,-100.0,-100.0,-100.0,-93.0
16068,-100.0,-100.0,-100.0,-93.0
16095,-100.0,-100.0,-100.0,-94.0
16211,-100.0,-100.0,-100.0,-94.0
16253,-100.0,-100.0,-100.0,-95.0
16268,-100.0,-100.0,-100.0,-96.0
16317,-100.0,-100.0,-100.0,-97.0
16336,-100.0,-100.0,-100.0,-98.0
16850,-100.0,-100.0,-100.0,-98.0
16865,-100.0,-100.0,-100.0,-97.0
16913,-100.0,-100.0,-100.0,-97.0
16934,-100.0,-100.0,-100.0,-96.0
16967,-100.0,-100.0,-100.0,-96.0
17008,-100.0,-100.0,-100.0,-94.0
17044,-100.0,-100.0,-100.0,-94.0
17060,-100.0,-100.0,-100.0,-93.0
17075,-100.0,-100.0,-100.0,-93.0
17091,-100.0,-100.0,-100.0,-92.0
17107,-100.0,-100.0,-100.0,-91.0
17451,-100.0,-100.0,-100.0,-91.0
17452,-100.0,-100.0,-100.0,-91.0
17477,-100.0,-100.0,-100.0,-91.0
17482,-100.0,-100.0,-100.0,-91.0
17527,-100.0,-100.0,-100.0,-91.0
17531,-100.0,-100.0,-100.0,-91.0
17552,-100.0,-100.0,-100.0,-91.0
17556,-100.0,-100.0,-100.0,-91.0
17577,-100.0,-100.0,-100.0,-91.0
17582,-100.0,-100.0,-100.0,-91.0
17602,-100.0,-100.0,-100.0,-91.0
17753,-100.0,-100.0,-100.0,-91.0
17779,-100.0,-100.0,-100.0,-91.0
17783,-100.0,-100.0,-100.0,-91.0
17802,-100.0,-100.0,-100.0,-91.0
17807,-100.0,-100.0,-100.0,-91.0
17827,-100.0,-100.0,-100.0,-91.0
17832,-100.0,-100.0,-100.0,-91.0
17852,-100.0,-100.0,-100.0,-91.0
17857,-100.0,-100.0,-100.0,-91.0
17877,-100.0,-100.0,-100.0,-91.0
17882,-100.0,-100.0,-100.0,-91.0
17902,-100.0,-100.0,-100.0,-91.0
17908,-100.0,-100.0,-100.0,-91.0
17928,-100.0,-100.0,-100.0,-91.0
18280,-100.0,-100.0,-100.0,-91.0
18305,-100.0,-100.0,-100.0,-91.0
18310,-100.0,-100.0,-100.0,-91.0
18329,-100.0,-100.0,-100.0,-91.0
20031,-100.0,-100.0,-100.0,-91.0
20033,-100.0,-100.0,-100.0,-91.0
20047,-100.0,-100.0,-100.0,-90.0
20061,-100.0,-100.0,-100.0,-90.0
20101,-100.0,-100.0,-100.0,-90.0
20123,-100.0,-100.0,-100.0,-89.5
20126,-100.0,-100.0,-100.0,-89.0
20145,-100.0,-100.0,-100.0,-89.0
20149,-100.0,-100.0,-100.0,-88.5
20178,-100.0,-100.0,-100.0,-88.0
20189,-100.0,-100.0,-100.0,-87.0
20219,-100.0,-100.0,-100.0,-87.0
20229,-100.0,-100.0,-100.0,-86.0
20257,-100.0,-100.0,-100.0,-85.0
20287,-100.0,-100.0,-100.0,-84.0
20303,-100.0,-100.0,-100.0,-83.0
20318,-100.0,-100.0,-100.0,-83.0
