,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
26580,-100.0,-100.0,-100.0,-100.0
26601,-100.0,-100.0,-100.0,-100.0
26626,-100.0,-100.0,-100.0,-100.0
26637,-100.0,-100.0,-100.0,-100.0
26645,-100.0,-100.0,-100.0,-100.0
26662,-100.0,-100.0,-100.0,-100.0
26684,-100.0,-100.0,-100.0,-100.0
26694,-100.0,-100.0,-100.0,-100.0
26703,-100.0,-100.0,-100.0,-100.0
26732,-100.0,-100.0,-100.0,-100.0
26741,-100.0,-100.0,-100.0,-100.0
26756,-100.0,-100.0,-100.0,-100.0
26766,-100.0,-100.0,-100.0,-100.0
26799,-100.0,-100.0,-100.0,-100.0
26809,-100.0,-100.0,-100.0,-100.0
26826,-100.0,-100.0,-100.0,-100.0
26841,-100.0,-100.0,-100.0,-100.0
26860,-100.0,-100.0,-100.0,-100.0
26885,-100.0,-100.0,-100.0,-100.0
26900,-100.0,-100.0,-100.0,-100.0
26909,-100.0,-100.0,-100.0,-100.0
26934,-100.0,-100.0,-100.0,-100.0
26983,-100.0,-100.0,-100.0,-100.0
26990,-100.0,-100.0,-100.0,-100.0
26998,-100.0,-100.0,-100.0,-100.0
27015,-100.0,-100.0,-100.0,-100.0
27022,-100.0,-100.0,-100.0,-100.0
27037,-100.0,-100.0,-100.0,-100.0
27045,-100.0,-100.0,-100.0,-100.0
27071,-100.0,-100.0,-100.0,-100.0
27092,-100.0,-100.0,-100.0,-100.0
27102,-100.0,-100.0,-100.0,-100.0
27112,-100.0,-100.0,-100.0,-100.0
27136,-100.0,-100.0,-100.0,-100.0
27164,-100.0,-100.0,-100.0,-100.0
27174,-100.0,-100.0,-100.0,-100.0
27182,-100.0,-100.0,-100.0,-100.0
27205,-100.0,-100.0,-100.0,-100.0
27216,-100.0,-100.0,-100.0,-100.0
27234,-100.0,-100.0,-100.0,-100.0
27244,-100.0,-100.0,-100.0,-100.0
27256,-100.0,-100.0,-100.0,-100.0
27277,-100.0,-100.0,-100.0,-100.0
27285,-100.0,-100.0,-100.0,-100.0
27296,-100.0,-100.0,-100.0,-100.0
27328,-100.0,-100.0,-100.0,-100.0
27353,-100.0,-100.0,-100.0,-100.0
27363,-100.0,-100.0,-100.0,-100.0
27373,-100.0,-100.0,-100.0,-100.0
27398,-100.0,-100.0,-100.0,-100.0
27421,-100.0,-100.0,-100.0,-100.0
27436,-100.0,-100.0,-100.0,-100.0
27444,-100.0,-100.0,-100.0,-100.0
27469,-100.0,-100.0,-100.0,-100.0
27476,-100.0,-100.0,-100.0,-100.0
27494,-100.0,-100.0,-100.0,-100.0
27498,-100.0,-100.0,-100.0,-100.0
27532,-100.0,-100.0,-100.0,-100.0
27562,-100.0,-100.0,-100.0,-100.0
27571,-100.0,-100.0,-100.0,-100.0
27581,-100.0,-100.0,-100.0,-100.0
27604,-100.0,-100.0,-100.0,-100.0
27613,-100.0,-100.0,-100.0,-100.0
27632,-100.0,-100.0,-100.0,-100.0
27653,-100.0,-100.0,-100.0,-100.0
27668,-100.0,-100.0,-100.0,-100.0
27692,-100.0,-100.0,-100.0,-100.0
27701,-100.0,-100.0,-100.0,-100.0
27710,-100.0,-100.0,-100.0,-100.0
27727,-100.0,-100.0,-100.0,-100.0
27761,-100.0,-100.0,-100.0,-100.0
27797,-100.0,-100.0,-100.0,-100.0
27811,-100.0,-100.0,-100.0,-100.0
27824,-100.0,-100.0,-100.0,-100.0
27834,-100.0,-100.0,-100.0,-100.0
27865,-100.0,-100.0,-100.0,-100.0
27889,-100.0,-100.0,-100.0,-100.0
27895,-100.0,-100.0,-100.0,-100.0
27907,-100.0,-100.0,-100.0,-100.0
27926,-100.0,-100.0,-100.0,-100.0
27947,-100.0,-100.0,-100.0,-100.0
27953,-100.0,-100.0,-100.0,-100.0
27964,-100.0,-100.0,-100.0,-100.0
27993,-100.0,-100.0,-100.0,-100.0
28021,-100.0,-100.0,-100.0,-100.0
28036,-100.0,-100.0,-100.0,-100.0
28044,-100.0,-100.0,-100.0,-100.0
28069,-100.0,-100.0,-100.0,-100.0
28076,-100.0,-100.0,-100.0,-100.0
28105,-100.0,-100.0,-100.0,-100.0
28123,-100.0,-100.0,-100.0,-100.0
28140,-100.0,-100.0,-100.0,-100.0
28150,-100.0,-100.0,-100.0,-100.0
28162,-100.0,-100.0,-100.0,-100.0
28170,-100.0,-100.0,-100.0,-100.0
28197,-100.0,-100.0,-100.0,-100.0
28206,-100.0,-100.0,-100.0,-100.0
28222,-100.0,-100.0,-100.0,-100.0
28233,-100.0,-100.0,-100.0,-100.0
28243,-100.0,-100.0,-100.0,-100.0
28266,-100.0,-100.0,-100.0,-100.0
28280,-100.0,-100.0,-100.0,-100.0
28290,-100.0,-100.0,-100.0,-100.0
28301,-100.0,-100.0,-100.0,-100.0
28320,-100.0,-100.0,-100.0,-100.0
28336,-100.0,-100.0,-100.0,-100.0
28350,-100.0,-100.0,-100.0,-100.0
28359,-100.0,-100.0,-100.0,-100.0
28367,-100.0,-100.0,-100.0,-100.0
28391,-100.0,-100.0,-100.0,-100.0
28413,-100.0,-100.0,-100.0,-100.0
28428,-100.0,-100.0,-100.0,-100.0
28437,-100.0,-100.0,-100.0,-100.0
28442,-100.0,-100.0,-100.0,-100.0
28443,-100.0,-100.0,-100.0,-100.0
41525,-100.0,-100.0,-100.0,-100.0
41543,-100.0,-100.0,-100.0,-100.0
41577,-100.0,-100.0,-100.0,-100.0
41595,-100.0,-100.0,-100.0,-100.0
41615,-100.0,-100.0,-100.0,-100.0
41647,-100.0,-100.0,-100.0,-100.0
41655,-100.0,-100.0,-100.0,-100.0
41672,-100.0,-100.0,-100.0,-100.0
