,AZSSG2REHDX18,A1XY2JMPVJCF4
0,-100.0,-100.0
53667,-100.0,-100.0
53683,-100.0,-100.0
53700,-100.0,-100.0
53716,-100.0,-100.0
53733,-100.0,-100.0
53750,-100.0,-100.0
54157,-100.0,-100.0
54173,-100.0,-100.0
54180,-100.0,-100.0
54189,-100.0,-100.0
54192,-100.0,-100.0
54206,-100.0,-100.0
54210,-100.0,-100.0
54223,-100.0,-100.0
54226,-100.0,-100.0
54239,-100.0,-100.0
54243,-100.0,-100.0
54256,-100.0,-100.0
54259,-100.0,-100.0
54273,-100.0,-100.0
54275,-100.0,-100.0
54289,-100.0,-100.0
54293,-100.0,-100.0
54306,-100.0,-100.0
54309,-100.0,-100.0
54323,-100.0,-100.0
54326,-100.0,-100.0
54339,-100.0,-100.0
54342,-100.0,-100.0
54356,-100.0,-100.0
54359,-100.0,-100.0
54374,-100.0,-100.0
55459,-100.0,-100.0
55473,-100.0,-100.0
55477,-100.0,-100.0
55489,-100.0,-100.0
55493,-100.0,-100.0
55506,-100.0,-100.0
55510,-100.0,-100.0
55523,-100.0,-100.0
55525,-100.0,-100.0
55539,-100.0,-100.0
55542,-100.0,-100.0
55556,-100.0,-100.0
55559,-100.0,-100.0
55573,-100.0,-100.0
55576,-100.0,-100.0
55589,-100.0,-100.0
55592,-100.0,-100.0
55606,-100.0,-100.0
55609,-100.0,-100.0
55623,-100.0,-100.0
56757,-100.0,-100.0
56775,-100.0,-100.0
56777,-100.0,-100.0
56790,-100.0,-100.0
56793,-100.0,-100.0
56806,-100.0,-100.0
56809,-100.0,-100.0
56823,-100.0,-100.0
56826,-100.0,-100.0
56839,-100.0,-100.0
56842,-100.0,-100.0
56856,-100.0,-100.0
56859,-100.0,-100.0
56873,-100.0,-100.0
56876,-100.0,-100.0
56889,-100.0,-100.0
56892,-100.0,-100.0
56906,-100.0,-100.0
57857,-100.0,-100.0
57873,-100.0,-100.0
57877,-100.0,-100.0
57889,-100.0,-100.0
57892,-100.0,-100.0
57906,-100.0,-100.0
57909,-100.0,-100.0
57923,-100.0,-100.0
57925,-100.0,-100.0
57939,-100.0,-100.0
57942,-100.0,-100.0
57956,-100.0,-100.0
57959,-100.0,-100.0
57973,-100.0,-100.0
57975,-100.0,-100.0
57992,-100.0,-100.0
58523,-100.0,-100.0
58540,-100.0,-100.0
58543,-100.0,-100.0
58557,-100.0,-100.0
58560,-100.0,-100.0
58573,-100.0,-100.0
58576,-100.0,-100.0
58589,-100.0,-100.0
58592,-100.0,-100.0
58606,-100.0,-100.0
58609,-100.0,-100.0
58623,-100.0,-100.0
59107,-100.0,-100.0
59127,-100.0,-100.0
59130,-100.0,-100.0
59140,-100.0,-100.0
59143,-100.0,-100.0
59156,-100.0,-100.0
59160,-100.0,-100.0
59173,-100.0,-100.0
59177,-100.0,-100.0
59189,-100.0,-100.0
59193,-100.0,-100.0
59206,-100.0,-100.0
59210,-100.0,-100.0
59223,-100.0,-100.0
59226,-100.0,-100.0
59239,-100.0,-100.0
60355,-100.0,-100.0
60372,-100.0,-100.0
60389,-100.0,-100.0
60405,-100.0,-100.0
60422,-100.0,-100.0
60439,-100.0,-100.0
63207,-100.0,-100.0
63223,-100.0,-100.0
63226,-100.0,-100.0
