,nan,A2Q3SM0KEI497
23210,,-100.0
23214,,-100.0
23227,,-100.0
23228,,-100.0
23231,,-100.0
23233,,-100.0
23241,,-100.0
23244,,-100.0
23247,,-100.0
23248,,-100.0
23259,,-100.0
23260,,-100.0
23263,,-100.0
23264,,-100.0
23271,,-100.0
23275,,-100.0
23277,,-100.0
23281,,-100.0
23288,,-100.0
23294,,-100.0
23295,,-100.0
23297,,-100.0
23306,,-100.0
23310,,-100.0
23314,,-100.0
23318,,-100.0
23325,,-100.0
23327,,-100.0
23330,,-100.0
23331,,-100.0
23341,,-100.0
23344,,-100.0
23348,,-100.0
23349,,-100.0
23355,,-100.0
23359,,-100.0
23360,,-100.0
23364,,-100.0
23371,,-100.0
23377,,-100.0
23378,,-100.0
23380,,-100.0
23389,,-100.0
23394,,-100.0
23395,,-100.0
23399,,-100.0
23406,,-100.0
23410,,-100.0
23414,,-100.0
23415,,-100.0
23425,,-100.0
23427,,-100.0
23429,,-100.0
23430,,-100.0
23435,,-100.0
23438,,-100.0
23442,,-100.0
23443,,-100.0
23447,,-100.0
23456,,-100.0
23458,,-100.0
23459,,-100.0
23460,,-100.0
23463,,-100.0
23470,,-100.0
23473,,-100.0
23479,,-100.0
23484,,-100.0
23486,,-100.0
23488,,-100.0
23492,,-100.0
23501,,-100.0
23505,,-100.0
23520,,-100.0
23527,,-100.0
23531,,-100.0
23540,,-100.0
23544,,-100.0
23548,,-100.0
23560,,-100.0
23564,,-100.0
23568,,-100.0
23577,,-100.0
23580,,-100.0
23594,,-100.0
23598,,-100.0
23599,,-100.0
23607,,-100.0
23610,,-100.0
23611,,-100.0
23617,,-100.0
23622,,-100.0
23627,,-100.0
23629,,-100.0
23631,,-100.0
23639,,-100.0
23644,,-100.0
23647,,-100.0
23648,,-100.0
23655,,-100.0
23659,,-100.0
23660,,-100.0
23663,,-100.0
23672,,-100.0
23677,,-100.0
23679,,-100.0
23681,,-100.0
23688,,-100.0
23694,,-100.0
23697,,-100.0
23698,,-100.0
23705,,-100.0
23710,,-100.0
23712,,-100.0
23714,,-100.0
23722,,-100.0
23727,,-100.0
23728,,-100.0
23738,,-100.0
23742,,-100.0
23765,,-100.0
23766,,-100.0
23776,,-100.0
23784,,-100.0
23787,,-100.0
23798,,-100.0
23804,,-100.0
23809,,-100.0
23814,,-100.0
23828,,-100.0
23841,,-100.0
23843,,-100.0
23877,,-100.0
23905,,-100.0
23931,,-100.0
23959,,-100.0
25629,,-100.0
25664,,-100.0
25724,,-100.0
25763,,-100.0
25809,,-100.0
25877,,-100.0
25934,,-100.0
26090,,-100.0
26153,,-100.0
26192,,-100.0
26202,,-100.0
26208,,-100.0
26232,,-100.0
26259,,-100.0
26266,,-100.0
26283,,-100.0
26314,,-100.0
26355,,-100.0
26394,,-100.0
26428,,-100.0
26449,,-100.0
26457,,-100.0
26505,,-100.0
26563,,-100.0
26567,,-100.0
26618,,-100.0
26665,,-100.0
26683,,-100.0
26747,,-100.0
26776,,-100.0
26801,,-100.0
26842,,-100.0
26954,,-100.0
27004,,-100.0
27033,,-100.0
27051,,-100.0
27059,,-100.0
27207,,-100.0
27312,,-100.0
27393,,-100.0
27447,,-100.0
27470,,-100.0
27567,,-100.0
27626,,-100.0
27633,,-100.0
27701,,-100.0
27711,,-100.0
27748,,-100.0
27792,,-100.0
27813,,-100.0
27896,,-100.0
27962,,-100.0
27993,,-100.0
28049,,-100.0
28069,,-100.0
28139,,-100.0
28208,,-100.0
28278,,-100.0
28358,,-100.0
28397,,-100.0
28431,,-100.0
28459,,-100.0
28478,,-100.0
28525,,-100.0
28544,,-100.0
28558,,-100.0
28563,,-100.0
28592,,-100.0
28640,,-100.0
28666,,-100.0
28677,,-100.0
28691,,-100.0
28708,,-100.0
