,AA6RYE4V0IBKM,AOEGJLWFISOZQ,AJE5OG666CBAC,ACOUEGRDJO7B6,A2LV5432PV1S3
19610,-100.0,-100.0,,-100.0,-100.0
19634,-100.0,-100.0,,-100.0,-100.0
19650,-100.0,-100.0,,-100.0,-100.0
19676,-100.0,-100.0,,-100.0,-100.0
19690,-100.0,-100.0,,-100.0,-100.0
19708,-100.0,-100.0,,-100.0,-100.0
19735,-100.0,-100.0,,-100.0,-100.0
19765,-100.0,-100.0,,-100.0,-100.0
19835,-100.0,-100.0,,-100.0,-100.0
19854,-100.0,-100.0,,-100.0,-100.0
19882,-100.0,-100.0,,-100.0,-100.0
19905,-100.0,-100.0,,-100.0,-100.0
19917,-100.0,-100.0,,-100.0,-100.0
19940,-100.0,-100.0,,-100.0,-100.0
20301,-100.0,-100.0,,-100.0,-100.0
20334,-100.0,-100.0,,-100.0,-100.0
26076,-100.0,-100.0,,-100.0,-100.0
26109,-100.0,-100.0,,-100.0,-100.0
26840,-100.0,-100.0,,-100.0,-100.0
26858,-100.0,-100.0,,-100.0,-100.0
26908,-100.0,-100.0,,-100.0,-100.0
26957,-100.0,-100.0,,-100.0,-100.0
27065,-100.0,-100.0,,-100.0,-100.0
27089,-100.0,-100.0,,-100.0,-100.0
27115,-100.0,-100.0,,-100.0,-100.0
27124,-100.0,-100.0,,-100.0,-100.0
27133,-100.0,-100.0,,-100.0,-100.0
27148,-100.0,-100.0,,-100.0,-100.0
27160,-100.0,-100.0,,-100.0,-100.0
27164,-100.0,-100.0,,-100.0,-100.0
27191,-100.0,-100.0,,-100.0,-100.0
27223,-100.0,-100.0,,-100.0,-100.0
27241,-100.0,-100.0,,-100.0,-100.0
27274,-100.0,-100.0,,-100.0,-100.0
27424,-100.0,-100.0,,-100.0,-100.0
27458,-100.0,-100.0,,-100.0,-100.0
27493,-100.0,-100.0,,-100.0,-100.0
27959,-100.0,-100.0,,-100.0,-100.0
27979,-100.0,-100.0,,-100.0,-100.0
27997,-100.0,-100.0,,-100.0,-100.0
28007,-100.0,-100.0,,-100.0,-100.0
28026,-100.0,-100.0,,-100.0,-100.0
28045,-100.0,-100.0,,-100.0,-100.0
28308,-100.0,-100.0,,-100.0,-100.0
28328,-100.0,-100.0,,-100.0,-100.0
28345,-100.0,-100.0,,-100.0,-100.0
28358,-100.0,-100.0,,-100.0,-100.0
28377,-100.0,-100.0,,-100.0,-100.0
28395,-100.0,-100.0,,-100.0,-100.0
28627,-100.0,-100.0,,-100.0,-100.0
28643,-100.0,-100.0,,-100.0,-100.0
28663,-100.0,-100.0,,-100.0,-100.0
28675,-100.0,-100.0,,-100.0,-100.0
28691,-100.0,-100.0,,-100.0,-100.0
28710,-100.0,-100.0,,-100.0,-100.0
28726,-100.0,-100.0,,-100.0,-100.0
28745,-100.0,-100.0,,-100.0,-100.0
28925,-100.0,-100.0,,-100.0,-100.0
28944,-100.0,-100.0,,-100.0,-100.0
28963,-100.0,-100.0,,-100.0,-100.0
31344,-100.0,-100.0,,-100.0,-100.0
31362,-100.0,-100.0,,-100.0,-100.0
31382,-100.0,-100.0,,-100.0,-100.0
31403,-100.0,-100.0,,-100.0,-100.0
31426,-100.0,-100.0,,-100.0,-100.0
31445,-100.0,-100.0,,-100.0,-100.0
31464,-100.0,-100.0,,-100.0,-100.0
31482,-100.0,-100.0,,-100.0,-100.0
31500,-100.0,-100.0,,-100.0,-100.0
31516,-100.0,-100.0,,-100.0,-100.0
31676,-100.0,-100.0,,-100.0,-100.0
31695,-100.0,-100.0,,-100.0,-100.0
31718,-100.0,-100.0,,-100.0,-100.0
31797,-100.0,-100.0,,-100.0,-100.0
31820,-100.0,-100.0,,-100.0,-100.0
31838,-100.0,-100.0,,-100.0,-100.0
31856,-100.0,-100.0,,-100.0,-100.0
31909,-100.0,-100.0,,-100.0,-100.0
31933,-100.0,-100.0,,-100.0,-100.0
31970,-100.0,-100.0,,-100.0,-100.0
32018,-100.0,-100.0,,-100.0,-100.0
32039,-100.0,-100.0,,-100.0,-100.0
32076,-100.0,-100.0,,-100.0,-100.0
32112,-100.0,-100.0,,-100.0,-100.0
32132,-100.0,-100.0,,-100.0,-100.0
32156,-100.0,-100.0,,-100.0,-100.0
32166,-100.0,-100.0,,-100.0,-100.0
32202,-100.0,-100.0,,-100.0,-100.0
32237,-100.0,-100.0,,-100.0,-100.0
32296,-100.0,-100.0,,-100.0,-100.0
32347,-100.0,-100.0,,-100.0,-100.0
32448,-100.0,-100.0,,-100.0,-100.0
32493,-100.0,-100.0,,-100.0,-100.0
32511,-100.0,-100.0,,-100.0,-100.0
32874,-100.0,-100.0,,-100.0,-100.0
32896,-100.0,-100.0,,-100.0,-100.0
32911,-100.0,-100.0,,-100.0,-100.0
32926,-100.0,-100.0,,-100.0,-100.0
32947,-100.0,-100.0,,-100.0,-100.0
32963,-100.0,-100.0,,-100.0,-100.0
32986,-100.0,-100.0,,-100.0,-100.0
32994,-100.0,-100.0,,-100.0,-100.0
33011,-100.0,-100.0,,-100.0,-100.0
33027,-100.0,-100.0,,-100.0,-100.0
33042,-100.0,-100.0,,-100.0,-100.0
33060,-100.0,-100.0,,-100.0,-100.0
33075,-100.0,-100.0,,-100.0,-100.0
33095,-100.0,-100.0,,-100.0,-100.0
33112,-100.0,-100.0,,-100.0,-100.0
33126,-100.0,-100.0,,-100.0,-100.0
33145,-100.0,-100.0,,-100.0,-100.0
33158,-100.0,-100.0,,-100.0,-100.0
33178,-100.0,-100.0,,-100.0,-100.0
33194,-100.0,-100.0,,-100.0,-100.0
33214,-100.0,-100.0,,-100.0,-100.0
33235,-100.0,-100.0,,-100.0,-100.0
33245,-100.0,-100.0,,-100.0,-100.0
33261,-100.0,-100.0,,-100.0,-100.0
33275,-100.0,-100.0,,-100.0,-100.0
33293,-100.0,-100.0,,-100.0,-100.0
33309,-100.0,-100.0,,-100.0,-100.0
33329,-100.0,-100.0,,-100.0,-100.0
33344,-100.0,-100.0,,-100.0,-100.0
33360,-100.0,-100.0,,-100.0,-100.0
33374,-100.0,-100.0,,-100.0,-100.0
33391,-100.0,-100.0,,-100.0,-100.0
33409,-100.0,-100.0,,-100.0,-100.0
33427,-100.0,-100.0,,-100.0,-100.0
33441,-100.0,-100.0,,-100.0,-100.0
33459,-100.0,-100.0,,-100.0,-100.0
33478,-100.0,-100.0,,-100.0,-100.0
33493,-100.0,-100.0,,-100.0,-100.0
33510,-100.0,-100.0,,-100.0,-100.0
33530,-100.0,-100.0,,-100.0,-100.0
33542,-100.0,-100.0,,-100.0,-100.0
33558,-100.0,-100.0,,-100.0,-100.0
33575,-100.0,-100.0,,-100.0,-100.0
33594,-100.0,-100.0,,-100.0,-100.0
33611,-100.0,-100.0,,-100.0,-100.0
33632,-100.0,-100.0,,-100.0,-100.0
33647,-100.0,-100.0,,-100.0,-100.0
44691,-100.0,-100.0,,-100.0,-100.0
44709,-100.0,-100.0,,-100.0,-100.0
44717,-100.0,-100.0,,-99.5,-100.0
44726,-100.0,-100.0,,-99.0,-100.0
44742,-100.0,-100.0,,-97.0,-100.0
44759,-100.0,-100.0,,-96.0,-100.0
44780,-100.0,-100.0,,-96.0,-100.0
44792,-100.0,-100.0,,-96.0,-100.0
44816,-100.0,-100.0,,-96.0,-100.0
44837,-100.0,-100.0,,-96.0,-100.0
44865,-100.0,-100.0,,-96.0,-100.0
44899,-100.0,-100.0,,-96.0,-100.0
44918,-100.0,-100.0,,-96.0,-100.0
44952,-100.0,-100.0,,-96.0,-100.0
44967,-100.0,-100.0,,-96.0,-100.0
44990,-100.0,-100.0,,-96.0,-100.0
44992,-100.0,-100.0,,-96.0,-100.0
45009,-100.0,-100.0,,-97.0,-100.0
45011,-100.0,-100.0,,-97.5,-100.0
45025,-100.0,-100.0,,-98.0,-100.0
45037,-100.0,-100.0,,-99.0,-100.0
45042,-100.0,-100.0,,-100.0,-100.0
45055,-100.0,-100.0,,-100.0,-100.0
45074,-100.0,-100.0,,-100.0,-100.0
45095,-100.0,-100.0,,-100.0,-100.0
45116,-100.0,-100.0,,-100.0,-100.0
45134,-100.0,-100.0,,-100.0,-100.0
45157,-100.0,-100.0,,-100.0,-100.0
45161,-100.0,-100.0,,-100.0,-100.0
45176,-100.0,-100.0,,-100.0,-100.0
45178,-100.0,-100.0,,-100.0,-100.0
45195,-100.0,-100.0,,-100.0,-100.0
45208,-100.0,-100.0,,-100.0,-100.0
45218,-100.0,-100.0,,-100.0,-100.0
45256,-100.0,-100.0,,-100.0,-100.0
45260,-100.0,-100.0,,-100.0,-100.0
45284,-100.0,-100.0,,-100.0,-100.0
45290,-100.0,-100.0,,-100.0,-100.0
45305,-100.0,-100.0,,-100.0,-100.0
45322,-100.0,-100.0,,-100.0,-100.0
45344,-100.0,-100.0,,-100.0,-100.0
45363,-100.0,-100.0,,-100.0,-100.0
45379,-100.0,-100.0,,-100.0,-100.0
45391,-100.0,-100.0,,-100.0,-100.0
45401,-100.0,-100.0,,-100.0,-100.0
45408,-100.0,-100.0,,-100.0,-100.0
45421,-100.0,-100.0,,-100.0,-100.0
45440,-100.0,-100.0,,-100.0,-100.0
45454,-100.0,-100.0,,-100.0,-100.0
45487,-100.0,-100.0,,-100.0,-100.0
45527,-100.0,-100.0,,-100.0,-100.0
45549,-100.0,-100.0,,-100.0,-100.0
45566,-100.0,-100.0,,-100.0,-100.0
45577,-100.0,-100.0,,-100.0,-100.0
45595,-100.0,-100.0,,-100.0,-100.0
45611,-100.0,-100.0,,-100.0,-100.0
45625,-100.0,-100.0,,-100.0,-100.0
45645,-100.0,-100.0,,-100.0,-100.0
45661,-100.0,-100.0,,-100.0,-100.0
46239,-100.0,-100.0,,-100.0,-100.0
46260,-100.0,-100.0,,-100.0,-100.0
46291,-100.0,-100.0,,-100.0,-100.0
46306,-100.0,-100.0,,-100.0,-100.0
46341,-100.0,-100.0,,-100.0,-100.0
46372,-100.0,-100.0,,-100.0,-100.0
47023,-100.0,-100.0,,-100.0,-100.0
47025,-100.0,-100.0,,-100.0,-100.0
47043,-100.0,-100.0,,-100.0,-100.0
47051,-100.0,-100.0,,-100.0,-100.0
47072,-100.0,-100.0,,-100.0,-100.0
47090,-100.0,-100.0,,-100.0,-100.0
47114,-100.0,-100.0,,-100.0,-100.0
47123,-100.0,-100.0,,-100.0,-100.0
47139,-100.0,-100.0,,-100.0,-100.0
47150,-100.0,-100.0,,-100.0,-100.0
47159,-100.0,-100.0,,-100.0,-100.0
47170,-100.0,-100.0,,-100.0,-100.0
47198,-100.0,-100.0,,-100.0,-100.0
47206,-100.0,-100.0,,-100.0,-100.0
47210,-100.0,-100.0,,-100.0,-100.0
47226,-100.0,-100.0,,-100.0,-100.0
47234,-100.0,-100.0,,-100.0,-100.0
47255,-100.0,-100.0,,-100.0,-100.0
47258,-100.0,-100.0,,-100.0,-100.0
47288,-100.0,-100.0,,-100.0,-100.0
48346,-100.0,-100.0,,-100.0,-100.0
48363,-100.0,-100.0,,-100.0,-100.0
48394,-100.0,-100.0,,-100.0,-100.0
48413,-100.0,-100.0,,-100.0,-100.0
48434,-100.0,-100.0,,-100.0,-100.0
48452,-100.0,-100.0,,-100.0,-100.0
48479,-100.0,-100.0,,-100.0,-100.0
48493,-100.0,-100.0,,-100.0,-100.0
48515,-100.0,-100.0,,-100.0,-100.0
48531,-100.0,-100.0,,-100.0,-100.0
48552,-100.0,-100.0,,-100.0,-100.0
48565,-100.0,-100.0,,-100.0,-100.0
48588,-100.0,-100.0,,-100.0,-100.0
48606,-100.0,-100.0,,-100.0,-100.0
48629,-100.0,-100.0,,-100.0,-100.0
48644,-100.0,-100.0,,-100.0,-100.0
48666,-100.0,-100.0,,-100.0,-100.0
48682,-100.0,-100.0,,-100.0,-100.0
48751,-100.0,-100.0,,-100.0,-100.0
48766,-100.0,-100.0,,-100.0,-100.0
48785,-100.0,-100.0,,-100.0,-100.0
48797,-100.0,-100.0,,-100.0,-100.0
48806,-100.0,-100.0,,-100.0,-100.0
48832,-100.0,-100.0,,-100.0,-100.0
48843,-100.0,-100.0,,-100.0,-100.0
48855,-100.0,-100.0,,-100.0,-100.0
48874,-100.0,-100.0,,-100.0,-100.0
48889,-100.0,-100.0,,-100.0,-100.0
48906,-100.0,-100.0,,-100.0,-100.0
48922,-100.0,-100.0,,-100.0,-100.0
83222,-100.0,-100.0,,-100.0,-100.0
83256,-100.0,-100.0,,-100.0,-100.0
83303,-100.0,-100.0,,-100.0,-100.0
83355,-100.0,-100.0,,-100.0,-100.0
83455,-100.0,-100.0,,-100.0,-100.0
83473,-100.0,-100.0,,-100.0,-100.0
83505,-100.0,-100.0,,-100.0,-100.0
83557,-100.0,-100.0,,-100.0,-100.0
83654,-100.0,-100.0,,-100.0,-100.0
83674,-100.0,-100.0,,-100.0,-100.0
83700,-100.0,-100.0,,-100.0,-100.0
83711,-100.0,-100.0,,-100.0,-100.0
83725,-100.0,-100.0,,-100.0,-100.0
83748,-100.0,-100.0,,-100.0,-100.0
83879,-100.0,-100.0,,-100.0,-100.0
83900,-100.0,-100.0,,-100.0,-100.0
83929,-100.0,-100.0,,-100.0,-100.0
83968,-100.0,-100.0,,-100.0,-100.0
84007,-100.0,-100.0,,-100.0,-100.0
84025,-100.0,-100.0,,-100.0,-100.0
84055,-100.0,-100.0,,-100.0,-100.0
84075,-100.0,-100.0,,-100.0,-100.0
84120,-100.0,-100.0,,-100.0,-100.0
84136,-100.0,-100.0,,-100.0,-100.0
84174,-100.0,-100.0,,-100.0,-100.0
84190,-100.0,-100.0,,-100.0,-100.0
84191,-100.0,-100.0,,-100.0,-100.0
84209,-100.0,-100.0,,-100.0,-100.0
84223,-100.0,-100.0,,-100.0,-100.0
84224,-100.0,-100.0,,-100.0,-100.0
84242,-100.0,-100.0,,-100.0,-100.0
84243,-100.0,-100.0,,-100.0,-100.0
84260,-100.0,-100.0,,-100.0,-100.0
84265,-100.0,-100.0,,-100.0,-100.0
84285,-100.0,-100.0,,-100.0,-100.0
84302,-100.0,-100.0,,-100.0,-100.0
84342,-100.0,-100.0,,-100.0,-100.0
84357,-100.0,-100.0,,-100.0,-100.0
84378,-100.0,-100.0,,-100.0,-100.0
84407,-100.0,-100.0,,-100.0,-100.0
84425,-100.0,-100.0,,-100.0,-100.0
84453,-100.0,-100.0,,-100.0,-100.0
84486,-100.0,-100.0,,-100.0,-100.0
84504,-100.0,-100.0,,-100.0,-100.0
84521,-100.0,-100.0,,-100.0,-100.0
84671,-100.0,-100.0,,-100.0,-100.0
84690,-100.0,-100.0,,-100.0,-100.0
84705,-100.0,-100.0,,-100.0,-100.0
84722,-100.0,-100.0,,-100.0,-100.0
84737,-100.0,-100.0,,-100.0,-100.0
84755,-100.0,-100.0,,-100.0,-100.0
84771,-100.0,-100.0,,-100.0,-100.0
84866,-100.0,-100.0,,-100.0,-100.0
84923,-100.0,-100.0,,-100.0,-100.0
84940,-100.0,-100.0,,-100.0,-100.0
84952,-100.0,-100.0,,-100.0,-100.0
84955,-100.0,-100.0,,-100.0,-100.0
84971,-100.0,-100.0,,-100.0,-100.0
85031,-100.0,-100.0,,-100.0,-100.0
85043,-100.0,-100.0,,-100.0,-100.0
85060,-100.0,-100.0,,-99.0,-100.0
85061,-100.0,-100.0,,-98.0,-100.0
85076,-100.0,-100.0,,-97.0,-100.0
85085,-100.0,-100.0,,-96.5,-100.0
85093,-100.0,-100.0,,-96.0,-100.0
85110,-100.0,-100.0,,-95.0,-100.0
85126,-100.0,-100.0,,-94.0,-100.0
85260,-100.0,-100.0,,-94.0,-100.0
85277,-100.0,-100.0,,-95.0,-100.0
85293,-100.0,-100.0,,-96.0,-100.0
85310,-100.0,-100.0,,-97.0,-100.0
85326,-100.0,-100.0,,-98.0,-100.0
85343,-100.0,-100.0,,-99.0,-100.0
85360,-100.0,-100.0,,-100.0,-100.0
85540,-100.0,-100.0,,-100.0,-100.0
85555,-99.0,-100.0,,-100.0,-100.0
85561,-99.0,-100.0,,-100.0,-100.0
85578,-98.0,-100.0,,-100.0,-100.0
85580,-98.0,-100.0,,-100.0,-100.0
85596,-97.0,-100.0,,-100.0,-100.0
85599,-97.0,-100.0,,-100.0,-100.0
85610,-95.0,-100.0,,-100.0,-100.0
85613,-95.0,-100.0,,-100.0,-100.0
85625,-94.0,-100.0,,-100.0,-100.0
85628,-94.0,-100.0,,-100.0,-100.0
85641,-93.0,-100.0,,-100.0,-100.0
85642,-93.0,-100.0,,-100.0,-100.0
85658,-92.0,-100.0,,-100.0,-100.0
85661,-92.0,-100.0,,-100.0,-100.0
85673,-91.0,-100.0,,-100.0,-100.0
85675,-91.0,-100.0,,-100.0,-100.0
85687,-90.0,-100.0,,-100.0,-100.0
85688,-90.0,-100.0,,-100.0,-100.0
85702,-89.0,-100.0,,-100.0,-100.0
85705,-89.0,-100.0,,-100.0,-100.0
85728,-88.0,-100.0,,-100.0,-100.0
85731,-88.0,-100.0,,-100.0,-100.0
85743,-87.0,-100.0,,-100.0,-100.0
85745,-87.0,-100.0,,-100.0,-100.0
85759,-85.0,-100.0,,-100.0,-100.0
85760,-85.0,-100.0,,-100.0,-100.0
85774,-84.0,-100.0,,-100.0,-100.0
86436,-84.0,-100.0,,-100.0,-100.0
86462,-84.0,-100.0,,-100.0,-100.0
86547,-84.0,-100.0,,-100.0,-100.0
86568,-84.0,-100.0,,-100.0,-100.0
86650,-84.0,-100.0,,-100.0,-100.0
86670,-84.0,-100.0,,-100.0,-100.0
86711,-84.0,-100.0,,-100.0,-100.0
86739,-84.0,-100.0,,-100.0,-100.0
86775,-84.0,-100.0,,-100.0,-100.0
86831,-84.0,-100.0,,-100.0,-100.0
86928,-84.0,-100.0,,-100.0,-100.0
86960,-84.0,-100.0,,-100.0,-100.0
87011,-84.0,-100.0,,-100.0,-100.0
87067,-84.0,-100.0,,-100.0,-100.0
87100,-84.0,-100.0,,-100.0,-100.0
87162,-84.0,-100.0,,-100.0,-100.0
87178,-85.0,-100.0,,-100.0,-100.0
87180,-85.0,-100.0,,-100.0,-100.0
87189,-85.5,-100.0,,-100.0,-100.0
87194,-86.0,-100.0,,-100.0,-100.0
87196,-86.0,-100.0,,-100.0,-100.0
87208,-87.0,-100.0,,-100.0,-100.0
87210,-87.0,-100.0,,-100.0,-100.0
87212,-87.5,-100.0,,-100.0,-100.0
87223,-88.0,-100.0,,-100.0,-100.0
87226,-88.0,-100.0,,-100.0,-100.0
87230,-88.5,-100.0,,-100.0,-100.0
87240,-89.0,-100.0,,-100.0,-100.0
87241,-89.0,-100.0,,-100.0,-100.0
87254,-91.0,-100.0,,-100.0,-100.0
87257,-91.0,-100.0,,-100.0,-100.0
87265,-91.5,-100.0,,-100.0,-100.0
87271,-92.0,-100.0,,-100.0,-100.0
87273,-92.0,-100.0,,-100.0,-100.0
87295,-93.0,-100.0,,-100.0,-100.0
87297,-93.0,-100.0,,-100.0,-100.0
87312,-94.0,-100.0,,-100.0,-100.0
87314,-94.0,-100.0,,-100.0,-100.0
87327,-95.0,-100.0,,-100.0,-100.0
87329,-95.0,-100.0,,-100.0,-100.0
87343,-96.0,-100.0,,-100.0,-100.0
87345,-96.0,-100.0,,-100.0,-100.0
87359,-97.0,-100.0,,-100.0,-100.0
87373,-98.0,-100.0,,-100.0,-100.0
87374,-98.0,-100.0,,-100.0,-100.0
87387,-99.0,-100.0,,-100.0,-100.0
87390,-99.0,-100.0,,-100.0,-100.0
87412,-100.0,-100.0,,-100.0,-100.0
88411,-100.0,-100.0,,-100.0,-100.0
88435,-100.0,-100.0,,-100.0,-100.0
88515,-100.0,-100.0,,-100.0,-100.0
88529,-100.0,-100.0,,-100.0,-100.0
88568,-100.0,-100.0,,-100.0,-100.0
88598,-100.0,-100.0,,-100.0,-100.0
88689,-100.0,-100.0,,-100.0,-100.0
88714,-100.0,-100.0,,-100.0,-100.0
91913,-100.0,-100.0,,-100.0,-100.0
91938,-100.0,-100.0,,-100.0,-100.0
91953,-100.0,-100.0,,-100.0,-100.0
91973,-100.0,-100.0,,-100.0,-100.0
92005,-100.0,-100.0,,-100.0,-100.0
92020,-100.0,-100.0,,-100.0,-100.0
92023,-100.0,-100.0,,-100.0,-100.0
92046,-100.0,-100.0,,-100.0,-100.0
92053,-100.0,-100.0,,-100.0,-100.0
92088,-100.0,-100.0,,-100.0,-100.0
92106,-100.0,-100.0,,-100.0,-100.0
92118,-100.0,-100.0,,-100.0,-100.0
92134,-100.0,-100.0,,-100.0,-100.0
92191,-100.0,-100.0,,-100.0,-100.0
92209,-100.0,-100.0,,-100.0,-100.0
92239,-100.0,-100.0,,-100.0,-100.0
92255,-100.0,-100.0,,-100.0,-100.0
92256,-100.0,-100.0,,-100.0,-100.0
92269,-100.0,-100.0,,-100.0,-100.0
92288,-100.0,-100.0,,-100.0,-100.0
92294,-100.0,-100.0,,-100.0,-100.0
92303,-100.0,-100.0,,-100.0,-100.0
92308,-100.0,-100.0,,-100.0,-100.0
92321,-100.0,-100.0,,-100.0,-100.0
92330,-100.0,-100.0,,-100.0,-100.0
92338,-100.0,-100.0,,-100.0,-100.0
92349,-100.0,-100.0,,-100.0,-100.0
92356,-100.0,-100.0,,-100.0,-100.0
92368,-100.0,-100.0,,-100.0,-100.0
92386,-100.0,-100.0,,-100.0,-100.0
92414,-100.0,-100.0,,-100.0,-100.0
92431,-100.0,-100.0,,-100.0,-100.0
92439,-100.0,-100.0,,-100.0,-100.0
92469,-100.0,-100.0,,-100.0,-100.0
92474,-100.0,-100.0,,-100.0,-100.0
92480,-100.0,-100.0,,-100.0,-100.0
92501,-100.0,-100.0,,-100.0,-100.0
92503,-100.0,-100.0,,-100.0,-100.0
92518,-100.0,-100.0,,-100.0,-100.0
92521,-100.0,-100.0,,-100.0,-100.0
92539,-100.0,-100.0,,-100.0,-100.0
92556,-100.0,-100.0,,-100.0,-100.0
92562,-100.0,-100.0,,-100.0,-100.0
92572,-100.0,-100.0,,-100.0,-100.0
92590,-100.0,-100.0,,-100.0,-100.0
92608,-100.0,-100.0,,-100.0,-100.0
92636,-100.0,-100.0,,-100.0,-100.0
92654,-100.0,-100.0,,-100.0,-100.0
92673,-100.0,-100.0,,-100.0,-100.0
92689,-100.0,-100.0,,-100.0,-100.0
92695,-100.0,-100.0,,-100.0,-100.0
92703,-100.0,-100.0,,-100.0,-100.0
92708,-100.0,-100.0,,-100.0,-100.0
92736,-100.0,-100.0,,-100.0,-100.0
92738,-100.0,-100.0,,-100.0,-100.0
92747,-100.0,-100.0,,-100.0,-100.0
92755,-100.0,-100.0,,-100.0,-100.0
92768,-100.0,-100.0,,-100.0,-100.0
92780,-100.0,-100.0,,-100.0,-100.0
92798,-100.0,-100.0,,-100.0,-100.0
92815,-100.0,-100.0,,-100.0,-100.0
92837,-100.0,-100.0,,-100.0,-100.0
92858,-100.0,-100.0,,-100.0,-100.0
92869,-100.0,-100.0,,-100.0,-100.0
92870,-100.0,-100.0,,-100.0,-100.0
92889,-100.0,-100.0,,-100.0,-100.0
92890,-100.0,-100.0,,-100.0,-100.0
92908,-100.0,-100.0,,-100.0,-100.0
92921,-100.0,-100.0,,-100.0,-100.0
92926,-100.0,-100.0,,-100.0,-100.0
92938,-100.0,-100.0,,-100.0,-100.0
92941,-100.0,-100.0,,-100.0,-100.0
92954,-100.0,-100.0,,-100.0,-100.0
92965,-100.0,-100.0,,-100.0,-100.0
92972,-100.0,-100.0,,-100.0,-100.0
