,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
43510,-100.0,-100.0
43527,-100.0,-100.0
43544,-100.0,-100.0
43561,-100.0,-100.0
43577,-100.0,-100.0
43594,-100.0,-100.0
43611,-100.0,-100.0
43627,-100.0,-100.0
43644,-100.0,-100.0
43661,-100.0,-100.0
43677,-100.0,-100.0
43694,-100.0,-100.0
43711,-100.0,-100.0
43728,-100.0,-100.0
43744,-100.0,-100.0
43761,-100.0,-100.0
43778,-100.0,-100.0
43794,-100.0,-100.0
43811,-100.0,-100.0
43829,-100.0,-100.0
43844,-100.0,-100.0
43861,-100.0,-100.0
43878,-100.0,-100.0
43895,-100.0,-100.0
43911,-100.0,-100.0
43928,-100.0,-100.0
43945,-100.0,-100.0
43961,-100.0,-100.0
43978,-100.0,-100.0
43995,-100.0,-100.0
44011,-100.0,-100.0
44028,-100.0,-100.0
44045,-100.0,-100.0
44062,-100.0,-100.0
44078,-100.0,-100.0
44095,-100.0,-100.0
44112,-100.0,-100.0
44128,-100.0,-100.0
44145,-100.0,-100.0
44162,-100.0,-100.0
44179,-100.0,-100.0
44195,-100.0,-100.0
44212,-100.0,-100.0
44229,-100.0,-100.0
44246,-100.0,-100.0
44262,-100.0,-100.0
44279,-100.0,-100.0
44296,-100.0,-100.0
44312,-100.0,-100.0
44330,-100.0,-100.0
44346,-100.0,-100.0
44363,-100.0,-100.0
44379,-100.0,-100.0
44396,-100.0,-100.0
44413,-100.0,-100.0
44430,-100.0,-100.0
44450,-100.0,-100.0
44479,-100.0,-100.0
44496,-100.0,-100.0
44513,-100.0,-100.0
44530,-100.0,-100.0
44546,-100.0,-100.0
44563,-100.0,-100.0
44580,-100.0,-100.0
44596,-100.0,-100.0
44613,-100.0,-100.0
44630,-100.0,-100.0
44647,-100.0,-100.0
44663,-100.0,-100.0
44680,-100.0,-100.0
44697,-100.0,-100.0
44713,-100.0,-100.0
44730,-100.0,-100.0
44747,-100.0,-100.0
44759,-100.0,-100.0
44763,-100.0,-100.0
44778,-100.0,-100.0
44780,-100.0,-100.0
44797,-100.0,-100.0
44812,-100.0,-100.0
44815,-100.0,-100.0
44830,-100.0,-100.0
44847,-100.0,-100.0
44864,-100.0,-100.0
44871,-100.0,-100.0
44880,-100.0,-100.0
44889,-100.0,-100.0
44897,-100.0,-100.0
44906,-100.0,-100.0
44914,-100.0,-100.0
44931,-100.0,-100.0
44942,-100.0,-100.0
44948,-100.0,-100.0
44959,-100.0,-100.0
44964,-100.0,-100.0
44976,-100.0,-100.0
44981,-100.0,-100.0
44994,-100.0,-100.0
44997,-100.0,-100.0
45014,-100.0,-100.0
45029,-100.0,-100.0
45031,-100.0,-100.0
45046,-100.0,-100.0
45047,-100.0,-100.0
45064,-100.0,-100.0
45071,-100.0,-100.0
45081,-100.0,-100.0
45089,-100.0,-100.0
45098,-100.0,-100.0
45106,-100.0,-100.0
45114,-100.0,-100.0
45131,-100.0,-100.0
45140,-100.0,-100.0
45148,-100.0,-100.0
45158,-100.0,-100.0
45164,-100.0,-100.0
45176,-100.0,-100.0
45181,-100.0,-100.0
45192,-100.0,-100.0
45198,-100.0,-100.0
45210,-100.0,-100.0
45215,-100.0,-100.0
45228,-100.0,-100.0
45231,-100.0,-100.0
45245,-100.0,-100.0
45248,-100.0,-100.0
45263,-100.0,-100.0
45265,-100.0,-100.0
45281,-100.0,-100.0
45298,-100.0,-100.0
45304,-100.0,-100.0
45316,-100.0,-100.0
45323,-100.0,-100.0
45331,-100.0,-100.0
45340,-100.0,-100.0
