,AS7D4MNIH56ND,AZSSG2REHDX18,AYYSG3O9FNU15,AU2980AA60A2C,AJE5OG666CBAC,ACM1CEGHXTKZP
24537,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24554,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24570,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24586,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24604,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24620,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24895,-100.0,-100.0,-85.0,-93.0,-100.0,-100.0
24912,-100.0,-100.0,-85.0,-92.0,-100.0,-100.0
24944,-100.0,-100.0,-85.0,-92.0,-100.0,-100.0
24978,-100.0,-100.0,-85.0,-89.0,-100.0,-100.0
25438,-100.0,-100.0,-85.0,-89.0,-100.0,-100.0
25478,-100.0,-100.0,-86.0,-89.0,-100.0,-100.0
25518,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0
25519,-100.0,-100.0,,-89.0,-100.0,-100.0
25530,-100.0,-100.0,,-89.0,-100.0,-100.0
25547,-100.0,-100.0,,-88.0,-100.0,-100.0
25580,-100.0,-100.0,,-87.0,-100.0,-100.0
25615,-100.0,-100.0,,-85.0,-100.0,-100.0
26116,-100.0,-100.0,,-85.0,-100.0,-100.0
26132,-100.0,-100.0,,-84.0,-100.0,-100.0
26166,-100.0,-100.0,,-82.0,-100.0,-100.0
26200,-100.0,-100.0,,-80.0,-100.0,-100.0
26467,-100.0,-100.0,,-80.0,-100.0,-100.0
26484,-100.0,-100.0,,-79.0,-100.0,-100.0
26517,-100.0,-100.0,,-77.0,-100.0,-100.0
26536,-100.0,-100.0,,-76.0,-100.0,-100.0
27034,-100.0,-100.0,,-76.0,-100.0,-100.0
27052,-100.0,-100.0,,-76.0,-100.0,-100.0
27068,-100.0,-100.0,,-76.0,-100.0,-100.0
27085,-100.0,-100.0,,-76.0,-100.0,-100.0
27102,-100.0,-100.0,,-76.0,-100.0,-100.0
27118,-100.0,-100.0,,-76.0,-100.0,-100.0
27347,-100.0,-100.0,,-76.0,-100.0,-100.0
27364,-100.0,-100.0,,-76.0,-100.0,-100.0
27366,-100.0,-100.0,,-76.0,-100.0,-100.0
27381,-100.0,-100.0,,-76.0,-100.0,-100.0
27384,-100.0,-100.0,,-76.0,-100.0,-100.0
27397,-100.0,-100.0,,-76.0,-100.0,-100.0
27399,-100.0,-100.0,,-76.0,-100.0,-100.0
27413,-100.0,-100.0,,-76.0,-100.0,-100.0
27416,-100.0,-100.0,,-76.0,-100.0,-100.0
27430,-100.0,-100.0,,-76.0,-100.0,-100.0
27432,-100.0,-100.0,,-76.0,-100.0,-100.0
27446,-100.0,-100.0,,-76.0,-100.0,-100.0
27449,-100.0,-100.0,,-76.0,-100.0,-100.0
27463,-100.0,-100.0,,-76.0,-100.0,-100.0
27465,-100.0,-100.0,,-76.0,-100.0,-100.0
27480,-100.0,-100.0,,-76.0,-100.0,-100.0
27483,-100.0,-100.0,,-76.0,-100.0,-100.0
27497,-100.0,-100.0,,-76.0,-100.0,-100.0
39399,-100.0,-100.0,,-76.0,-100.0,-100.0
39416,-100.0,-100.0,,-75.0,-100.0,-100.0
39453,-100.0,-100.0,,-75.0,-100.0,-100.0
39482,-100.0,-100.0,,-73.0,-100.0,-100.0
39764,-100.0,-100.0,,-73.0,-100.0,-100.0
39767,-100.0,-100.0,,-73.0,-100.0,-100.0
39781,-100.0,-100.0,,-72.66666666666667,-100.0,-100.0
39783,-100.0,-100.0,,-72.33333333333333,-100.0,-100.0
39784,-100.0,-100.0,,-72.0,-100.0,-100.0
39797,-100.0,-100.0,,-71.8,-100.0,-100.0
39799,-100.0,-100.0,,-71.6,-100.0,-100.0
39813,-100.0,-100.0,,-71.4,-100.0,-100.0
39816,-100.0,-100.0,,-71.2,-100.0,-100.0
39817,-100.0,-100.0,,-71.0,-100.0,-100.0
39830,-100.0,-100.0,,-70.8,-100.0,-100.0
39832,-100.0,-100.0,,-70.6,-100.0,-100.0
39847,-100.0,-100.0,,-70.4,-100.0,-100.0
39849,-100.0,-100.0,,-70.2,-100.0,-100.0
39850,-100.0,-100.0,,-70.0,-100.0,-100.0
39863,-100.0,-100.0,,-70.0,-100.0,-100.0
39935,-100.0,-100.0,,-70.0,-100.0,-100.0
39955,-100.0,-100.0,,-69.0,-100.0,-100.0
39986,-100.0,-100.0,,-68.0,-100.0,-100.0
40012,-100.0,-100.0,,-66.0,-100.0,-100.0
40047,-100.0,-100.0,,-66.0,-100.0,-100.0
40064,-100.0,-100.0,,-66.0,-100.0,-100.0
40067,-100.0,-100.0,,-66.0,-100.0,-100.0
40080,-100.0,-100.0,,-66.0,-100.0,-100.0
40082,-100.0,-100.0,,-66.0,-100.0,-100.0
40097,-100.0,-100.0,,-66.0,-100.0,-100.0
40098,-100.0,-100.0,,-66.0,-100.0,-100.0
40113,-100.0,-100.0,,-66.0,-100.0,-100.0
40115,-100.0,-100.0,,-66.0,-100.0,-100.0
40124,-100.0,-100.0,,-66.0,-100.0,-100.0
40130,-100.0,-100.0,,-65.66666666666667,-100.0,-100.0
40132,-100.0,-100.0,,-65.33333333333333,-100.0,-100.0
40142,-100.0,-100.0,,-65.0,-100.0,-100.0
40147,-100.0,-100.0,,-65.0,-100.0,-100.0
40149,-100.0,-100.0,,-65.0,-100.0,-100.0
40163,-100.0,-100.0,,-65.0,-100.0,-100.0
40172,-100.0,-100.0,,-65.0,-100.0,-100.0
40180,-100.0,-100.0,,-64.0,-100.0,-100.0
40211,-100.0,-100.0,,-64.0,-100.0,-100.0
40212,-100.0,-100.0,-89.0,-64.0,-100.0,-100.0
40252,-100.0,-100.0,-88.0,-64.0,-100.0,-100.0
40291,-100.0,-100.0,-86.5,-64.0,-100.0,-100.0
40293,-100.0,-100.0,-85.0,-63.5,-100.0,-100.0
40306,-100.0,-100.0,-84.33333333333333,-63.0,-100.0,-100.0
40329,-100.0,-100.0,-83.66666666666667,-63.0,-100.0,-100.0
40333,-100.0,-100.0,-83.0,-62.5,-100.0,-100.0
40344,-100.0,-100.0,-82.94594594594595,-62.0,-100.0,-100.0
40364,-100.0,-100.0,-82.89189189189189,-62.0,-100.0,-100.0
40381,-100.0,-100.0,-82.83783783783784,-62.0,-100.0,-100.0
40383,-100.0,-100.0,-82.78378378378379,-62.0,-100.0,-100.0
40396,-100.0,-100.0,-82.72972972972973,-62.0,-100.0,-100.0
40399,-100.0,-100.0,-82.67567567567568,-62.0,-100.0,-100.0
40413,-100.0,-100.0,-82.62162162162163,-62.0,-100.0,-100.0
40415,-100.0,-100.0,-82.56756756756756,-62.0,-100.0,-100.0
40430,-100.0,-100.0,-82.51351351351352,-62.0,-100.0,-100.0
40432,-100.0,-100.0,-82.45945945945945,-62.0,-100.0,-100.0
40442,-100.0,-100.0,-82.4054054054054,-62.0,-100.0,-100.0
40447,-100.0,-100.0,-82.35135135135135,-61.666666666666664,-100.0,-100.0
40449,-100.0,-100.0,-82.29729729729729,-61.333333333333336,-100.0,-100.0
40457,-100.0,-100.0,-82.24324324324324,-61.0,-100.0,-100.0
40464,-100.0,-100.0,-82.1891891891892,-61.0,-100.0,-100.0
40474,-100.0,-100.0,-82.13513513513513,-61.0,-100.0,-100.0
40487,-100.0,-100.0,-82.08108108108108,-59.0,-100.0,-100.0
40504,-100.0,-100.0,-82.02702702702703,-58.0,-100.0,-100.0
40520,-100.0,-100.0,-81.97297297297297,-57.0,-100.0,-100.0
