,AZSSG2REHDX18,A1XY2JMPVJCF4
238326,-100.0,-100.0
238335,-100.0,-100.0
238343,-100.0,-100.0
238351,-100.0,-100.0
238360,-100.0,-100.0
238368,-100.0,-100.0
238377,-100.0,-100.0
238393,-100.0,-100.0
238409,-100.0,-100.0
238426,-100.0,-100.0
238443,-100.0,-100.0
238459,-100.0,-100.0
238476,-100.0,-100.0
238493,-100.0,-100.0
238509,-100.0,-100.0
238526,-100.0,-100.0
238543,-100.0,-100.0
238560,-100.0,-100.0
238576,-100.0,-100.0
238593,-100.0,-100.0
238610,-100.0,-100.0
239310,-100.0,-100.0
239327,-100.0,-100.0
239343,-100.0,-100.0
239360,-100.0,-100.0
239376,-100.0,-100.0
239393,-100.0,-100.0
239410,-100.0,-100.0
239426,-100.0,-100.0
239443,-100.0,-100.0
239460,-100.0,-100.0
239476,-100.0,-100.0
239493,-100.0,-100.0
241010,-100.0,-100.0
241028,-100.0,-100.0
241043,-100.0,-100.0
241060,-100.0,-100.0
241077,-100.0,-100.0
241093,-100.0,-100.0
241110,-100.0,-100.0
241127,-100.0,-100.0
241143,-100.0,-100.0
241160,-100.0,-100.0
241177,-100.0,-100.0
241193,-100.0,-100.0
241210,-100.0,-100.0
243272,-100.0,-100.0
243290,-100.0,-100.0
243305,-100.0,-100.0
243322,-100.0,-100.0
243339,-100.0,-100.0
243355,-100.0,-100.0
243372,-100.0,-100.0
243389,-100.0,-100.0
243405,-100.0,-100.0
243422,-100.0,-100.0
243439,-100.0,-100.0
243455,-100.0,-100.0
243472,-100.0,-100.0
243489,-100.0,-100.0
243505,-100.0,-100.0
243522,-100.0,-100.0
243539,-100.0,-100.0
243556,-100.0,-100.0
243572,-100.0,-100.0
243589,-100.0,-100.0
243606,-100.0,-100.0
243622,-100.0,-100.0
243639,-100.0,-100.0
243658,-100.0,-100.0
244039,-100.0,-100.0
244057,-100.0,-100.0
244073,-100.0,-100.0
244089,-100.0,-100.0
244106,-100.0,-100.0
244123,-100.0,-100.0
244140,-100.0,-100.0
244156,-100.0,-100.0
244173,-100.0,-100.0
244189,-100.0,-100.0
244208,-100.0,-100.0
244223,-100.0,-100.0
244240,-100.0,-100.0
244256,-100.0,-100.0
244273,-100.0,-100.0
244290,-100.0,-100.0
244306,-100.0,-100.0
244323,-100.0,-100.0
244340,-100.0,-100.0
244356,-100.0,-100.0
244373,-100.0,-100.0
244390,-100.0,-100.0
244406,-100.0,-100.0
245023,-100.0,-100.0
245043,-100.0,-100.0
245091,-100.0,-100.0
245141,-100.0,-100.0
245927,-100.0,-100.0
245944,-100.0,-100.0
245976,-100.0,-100.0
246012,-100.0,-100.0
247042,-100.0,-100.0
247060,-100.0,-100.0
247076,-100.0,-100.0
247110,-100.0,-100.0
247127,-100.0,-100.0
247143,-100.0,-100.0
247160,-100.0,-100.0
247168,-100.0,-100.0
247176,-100.0,-100.0
247186,-100.0,-100.0
247193,-100.0,-100.0
247202,-100.0,-100.0
247218,-100.0,-100.0
247235,-100.0,-100.0
247252,-100.0,-100.0
247269,-100.0,-100.0
247285,-100.0,-100.0
247302,-100.0,-100.0
247318,-100.0,-100.0
247335,-100.0,-100.0
247352,-100.0,-100.0
247368,-100.0,-100.0
247385,-100.0,-100.0
247402,-100.0,-100.0
247410,-100.0,-100.0
247418,-100.0,-100.0
247427,-100.0,-100.0
247435,-100.0,-100.0
247444,-100.0,-100.0
247452,-100.0,-100.0
247460,-100.0,-100.0
247468,-100.0,-100.0
247477,-100.0,-100.0
247485,-100.0,-100.0
247494,-100.0,-100.0
247502,-100.0,-100.0
247510,-100.0,-100.0
247518,-100.0,-100.0
247527,-100.0,-100.0
247535,-100.0,-100.0
247544,-100.0,-100.0
247552,-100.0,-100.0
247560,-100.0,-100.0
247568,-100.0,-100.0
247585,-100.0,-100.0
247602,-100.0,-100.0
247618,-100.0,-100.0
247635,-100.0,-100.0
247652,-100.0,-100.0
247668,-100.0,-100.0
247685,-100.0,-100.0
247702,-100.0,-100.0
247718,-100.0,-100.0
247735,-100.0,-100.0
247752,-100.0,-100.0
247768,-100.0,-100.0
247785,-100.0,-100.0
247919,-100.0,-100.0
247935,-100.0,-100.0
247952,-100.0,-100.0
247968,-100.0,-100.0
247985,-100.0,-100.0
248002,-100.0,-100.0
248019,-100.0,-100.0
248035,-100.0,-100.0
248052,-100.0,-100.0
248068,-100.0,-100.0
248085,-100.0,-100.0
248102,-100.0,-100.0
248118,-100.0,-100.0
248135,-100.0,-100.0
248152,-100.0,-100.0
248169,-100.0,-100.0
248185,-100.0,-100.0
248202,-100.0,-100.0
248218,-100.0,-100.0
248235,-100.0,-100.0
248252,-100.0,-100.0
248268,-100.0,-100.0
248285,-100.0,-100.0
248302,-100.0,-100.0
248318,-100.0,-100.0
248335,-100.0,-100.0
248352,-100.0,-100.0
248369,-100.0,-100.0
248385,-100.0,-100.0
248402,-100.0,-100.0
248418,-100.0,-100.0
248436,-100.0,-100.0
248452,-100.0,-100.0
248468,-100.0,-100.0
248485,-100.0,-100.0
248502,-100.0,-100.0
248518,-100.0,-100.0
248535,-100.0,-100.0
254860,-100.0,-100.0
254878,-100.0,-100.0
254894,-100.0,-100.0
254910,-100.0,-100.0
254926,-100.0,-100.0
254943,-100.0,-100.0
254960,-100.0,-100.0
254977,-100.0,-100.0
254993,-100.0,-100.0
255010,-100.0,-100.0
255026,-100.0,-100.0
255043,-100.0,-100.0
255060,-100.0,-100.0
255077,-100.0,-100.0
255093,-100.0,-100.0
255110,-100.0,-100.0
255126,-100.0,-100.0
255293,-100.0,-100.0
255310,-100.0,-100.0
255327,-100.0,-100.0
255343,-100.0,-100.0
255360,-100.0,-100.0
255377,-100.0,-100.0
255393,-100.0,-100.0
255410,-100.0,-100.0
255427,-100.0,-100.0
255443,-100.0,-100.0
255460,-100.0,-100.0
255477,-100.0,-100.0
255593,-100.0,-100.0
255611,-100.0,-100.0
255627,-100.0,-100.0
255643,-100.0,-100.0
255660,-100.0,-100.0
255676,-100.0,-100.0
255693,-100.0,-100.0
255710,-100.0,-100.0
255727,-100.0,-100.0
255743,-100.0,-100.0
255760,-100.0,-100.0
255778,-100.0,-100.0
256026,-100.0,-100.0
256044,-100.0,-100.0
256063,-100.0,-100.0
256077,-100.0,-100.0
256093,-100.0,-100.0
256110,-100.0,-100.0
256127,-100.0,-100.0
256143,-100.0,-100.0
256160,-100.0,-100.0
256177,-100.0,-100.0
256193,-100.0,-100.0
256210,-100.0,-100.0
256227,-100.0,-100.0
284086,-100.0,-100.0
284103,-100.0,-100.0
284119,-100.0,-100.0
284136,-100.0,-100.0
284153,-100.0,-100.0
284163,-100.0,-100.0
284169,-100.0,-100.0
284180,-100.0,-100.0
284186,-100.0,-100.0
284197,-100.0,-100.0
284203,-100.0,-100.0
284213,-100.0,-100.0
284219,-100.0,-100.0
284230,-100.0,-100.0
284236,-100.0,-100.0
284247,-100.0,-100.0
284253,-100.0,-100.0
284264,-100.0,-100.0
284269,-100.0,-100.0
284280,-100.0,-100.0
284286,-100.0,-100.0
284297,-100.0,-100.0
284303,-100.0,-100.0
284314,-100.0,-100.0
284320,-100.0,-100.0
284330,-100.0,-100.0
284336,-100.0,-100.0
284347,-100.0,-100.0
284353,-100.0,-100.0
284364,-100.0,-100.0
284369,-100.0,-100.0
284380,-100.0,-100.0
284386,-100.0,-100.0
284397,-100.0,-100.0
284403,-100.0,-100.0
284414,-100.0,-100.0
284419,-100.0,-100.0
284430,-100.0,-100.0
284436,-100.0,-100.0
284447,-100.0,-100.0
284453,-100.0,-100.0
284464,-100.0,-100.0
284469,-100.0,-100.0
284480,-100.0,-100.0
284486,-100.0,-100.0
284497,-100.0,-100.0
284503,-100.0,-100.0
284514,-100.0,-100.0
284519,-100.0,-100.0
284530,-100.0,-100.0
284536,-100.0,-100.0
284547,-100.0,-100.0
284553,-100.0,-100.0
284564,-100.0,-100.0
284569,-100.0,-100.0
284580,-100.0,-100.0
284586,-100.0,-100.0
284597,-100.0,-100.0
284603,-100.0,-100.0
284614,-100.0,-100.0
284619,-100.0,-100.0
284632,-100.0,-100.0
284636,-100.0,-100.0
284653,-100.0,-100.0
284664,-100.0,-100.0
284669,-100.0,-100.0
284680,-100.0,-100.0
284686,-100.0,-100.0
284703,-100.0,-100.0
284714,-100.0,-100.0
284719,-100.0,-100.0
284731,-100.0,-100.0
284736,-100.0,-100.0
284747,-100.0,-100.0
284753,-100.0,-100.0
284764,-100.0,-100.0
284769,-100.0,-100.0
284781,-100.0,-100.0
284786,-100.0,-100.0
284797,-100.0,-100.0
284803,-100.0,-100.0
284814,-100.0,-100.0
284819,-100.0,-100.0
284831,-100.0,-100.0
284836,-100.0,-100.0
284847,-100.0,-100.0
284853,-100.0,-100.0
284864,-100.0,-100.0
284869,-100.0,-100.0
284881,-100.0,-100.0
284886,-100.0,-100.0
284888,-100.0,-100.0
284903,-100.0,-100.0
284908,-100.0,-100.0
284919,-100.0,-100.0
284936,-100.0,-100.0
284953,-100.0,-100.0
284957,-100.0,-100.0
284969,-100.0,-100.0
284986,-100.0,-100.0
284989,-100.0,-100.0
285003,-100.0,-100.0
285019,-100.0,-100.0
285036,-100.0,-100.0
285053,-100.0,-100.0
285069,-100.0,-100.0
285086,-100.0,-100.0
285089,-100.0,-100.0
285103,-100.0,-100.0
285106,-100.0,-100.0
285120,-100.0,-100.0
285136,-100.0,-100.0
285139,-100.0,-100.0
285153,-100.0,-100.0
285169,-100.0,-100.0
285173,-100.0,-100.0
285186,-100.0,-100.0
285203,-100.0,-100.0
285219,-100.0,-100.0
285236,-100.0,-100.0
285252,-100.0,-100.0
285269,-100.0,-100.0
285286,-100.0,-100.0
285290,-100.0,-100.0
285303,-100.0,-100.0
285307,-100.0,-100.0
285319,-100.0,-100.0
285336,-100.0,-100.0
285352,-100.0,-100.0
285370,-100.0,-100.0
285386,-100.0,-100.0
285403,-100.0,-100.0
285419,-100.0,-100.0
285436,-100.0,-100.0
285441,-100.0,-100.0
285453,-100.0,-100.0
285457,-100.0,-100.0
285469,-100.0,-100.0
285486,-100.0,-100.0
285491,-100.0,-100.0
285503,-100.0,-100.0
285507,-100.0,-100.0
285519,-100.0,-100.0
285531,-100.0,-100.0
285536,-100.0,-100.0
285548,-100.0,-100.0
285553,-100.0,-100.0
285565,-100.0,-100.0
285569,-100.0,-100.0
285581,-100.0,-100.0
285586,-100.0,-100.0
285598,-100.0,-100.0
285603,-100.0,-100.0
285615,-100.0,-100.0
285619,-100.0,-100.0
285631,-100.0,-100.0
285636,-100.0,-100.0
285647,-100.0,-100.0
285648,-100.0,-100.0
285652,-100.0,-100.0
285665,-100.0,-100.0
285669,-100.0,-100.0
285681,-100.0,-100.0
285686,-100.0,-100.0
285703,-100.0,-100.0
285719,-100.0,-100.0
285736,-100.0,-100.0
285753,-100.0,-100.0
285770,-100.0,-100.0
285786,-100.0,-100.0
285803,-100.0,-100.0
285820,-100.0,-100.0
285836,-100.0,-100.0
285853,-100.0,-100.0
285869,-100.0,-100.0
285903,-100.0,-100.0
285920,-100.0,-100.0
285935,-100.0,-100.0
285952,-100.0,-100.0
285969,-100.0,-100.0
285985,-100.0,-100.0
286002,-100.0,-100.0
286019,-100.0,-100.0
286036,-100.0,-100.0
286052,-100.0,-100.0
286053,-100.0,-100.0
286069,-100.0,-100.0
286070,-100.0,-100.0
286086,-100.0,-100.0
286102,-100.0,-100.0
286103,-100.0,-100.0
286119,-100.0,-100.0
286136,-100.0,-100.0
286153,-100.0,-100.0
286169,-100.0,-100.0
286186,-100.0,-100.0
286202,-100.0,-100.0
286219,-100.0,-100.0
286236,-100.0,-100.0
286253,-100.0,-100.0
286269,-100.0,-100.0
286282,-100.0,-100.0
286286,-100.0,-100.0
286299,-100.0,-100.0
286303,-100.0,-100.0
286315,-100.0,-100.0
286319,-100.0,-100.0
286332,-100.0,-100.0
286336,-100.0,-100.0
286349,-100.0,-100.0
286352,-100.0,-100.0
286360,-100.0,-100.0
286365,-100.0,-100.0
286369,-100.0,-100.0
286378,-100.0,-100.0
286382,-100.0,-100.0
286386,-100.0,-100.0
286399,-100.0,-100.0
286403,-100.0,-100.0
286410,-100.0,-100.0
286412,-100.0,-100.0
286416,-100.0,-100.0
286419,-100.0,-100.0
286426,-100.0,-100.0
286428,-100.0,-100.0
286432,-100.0,-100.0
286436,-100.0,-100.0
286443,-100.0,-100.0
286449,-100.0,-100.0
286452,-100.0,-100.0
286454,-100.0,-100.0
286460,-100.0,-100.0
286462,-100.0,-100.0
286466,-100.0,-100.0
286469,-100.0,-100.0
286477,-100.0,-100.0
286486,-100.0,-100.0
286493,-100.0,-100.0
286503,-100.0,-100.0
286510,-100.0,-100.0
286520,-100.0,-100.0
286526,-100.0,-100.0
286536,-100.0,-100.0
286543,-100.0,-100.0
286553,-100.0,-100.0
286560,-100.0,-100.0
286569,-100.0,-100.0
286576,-100.0,-100.0
286579,-100.0,-100.0
286586,-100.0,-100.0
286593,-100.0,-100.0
286598,-100.0,-100.0
286602,-100.0,-100.0
286610,-100.0,-100.0
286618,-100.0,-100.0
286619,-100.0,-100.0
286626,-100.0,-100.0
286629,-100.0,-100.0
286636,-100.0,-100.0
286643,-100.0,-100.0
286653,-100.0,-100.0
286660,-100.0,-100.0
286669,-100.0,-100.0
286676,-100.0,-100.0
286686,-100.0,-100.0
286693,-100.0,-100.0
286703,-100.0,-100.0
286710,-100.0,-100.0
286719,-100.0,-100.0
286727,-100.0,-100.0
286736,-100.0,-100.0
286743,-100.0,-100.0
286753,-100.0,-100.0
286760,-100.0,-100.0
286764,-100.0,-100.0
286769,-100.0,-100.0
286777,-100.0,-100.0
286780,-100.0,-100.0
286783,-100.0,-100.0
286786,-100.0,-100.0
286793,-100.0,-100.0
286799,-100.0,-100.0
286803,-100.0,-100.0
286810,-100.0,-100.0
286812,-100.0,-100.0
286816,-100.0,-100.0
286819,-100.0,-100.0
286828,-100.0,-100.0
286830,-100.0,-100.0
286833,-100.0,-100.0
286836,-100.0,-100.0
286843,-100.0,-100.0
286849,-100.0,-100.0
286852,-100.0,-100.0
286863,-100.0,-100.0
286866,-100.0,-100.0
286869,-100.0,-100.0
286876,-100.0,-100.0
286883,-100.0,-100.0
286886,-100.0,-100.0
286893,-100.0,-100.0
286899,-100.0,-100.0
286903,-100.0,-100.0
286910,-100.0,-100.0
286915,-100.0,-100.0
286916,-100.0,-100.0
286919,-100.0,-100.0
286926,-100.0,-100.0
286929,-100.0,-100.0
286933,-100.0,-100.0
286936,-100.0,-100.0
286943,-100.0,-100.0
286949,-100.0,-100.0
286953,-100.0,-100.0
286956,-100.0,-100.0
286960,-100.0,-100.0
286963,-100.0,-100.0
286966,-100.0,-100.0
286969,-100.0,-100.0
286979,-100.0,-100.0
286981,-100.0,-100.0
286983,-100.0,-100.0
286986,-100.0,-100.0
286994,-100.0,-100.0
286999,-100.0,-100.0
287003,-100.0,-100.0
287010,-100.0,-100.0
287016,-100.0,-100.0
287019,-100.0,-100.0
287027,-100.0,-100.0
287033,-100.0,-100.0
287036,-100.0,-100.0
287043,-100.0,-100.0
287049,-100.0,-100.0
287053,-100.0,-100.0
287061,-100.0,-100.0
287066,-100.0,-100.0
287069,-100.0,-100.0
287076,-100.0,-100.0
287084,-100.0,-100.0
287087,-100.0,-100.0
287093,-100.0,-100.0
287100,-100.0,-100.0
287103,-100.0,-100.0
287110,-100.0,-100.0
287116,-100.0,-100.0
287119,-100.0,-100.0
287126,-100.0,-100.0
287133,-100.0,-100.0
287136,-100.0,-100.0
287144,-100.0,-100.0
287150,-100.0,-100.0
287153,-100.0,-100.0
287160,-100.0,-100.0
287166,-100.0,-100.0
287170,-100.0,-100.0
287183,-100.0,-100.0
287186,-100.0,-100.0
287193,-100.0,-100.0
287203,-100.0,-100.0
287210,-100.0,-100.0
287219,-100.0,-100.0
287227,-100.0,-100.0
287236,-100.0,-100.0
287243,-100.0,-100.0
287253,-100.0,-100.0
287260,-100.0,-100.0
287270,-100.0,-100.0
287277,-100.0,-100.0
287286,-100.0,-100.0
287293,-100.0,-100.0
287303,-100.0,-100.0
287310,-100.0,-100.0
287319,-100.0,-100.0
287326,-100.0,-100.0
287336,-100.0,-100.0
287343,-100.0,-100.0
287352,-100.0,-100.0
287360,-100.0,-100.0
287369,-100.0,-100.0
287376,-100.0,-100.0
287386,-100.0,-100.0
287393,-100.0,-100.0
287403,-100.0,-100.0
287410,-100.0,-100.0
287419,-100.0,-100.0
287426,-100.0,-100.0
287436,-100.0,-100.0
287446,-100.0,-100.0
287453,-100.0,-100.0
287463,-100.0,-100.0
287469,-100.0,-100.0
287477,-100.0,-100.0
287486,-100.0,-100.0
287493,-100.0,-100.0
287503,-100.0,-100.0
287510,-100.0,-100.0
287520,-100.0,-100.0
287527,-100.0,-100.0
287536,-100.0,-100.0
287544,-100.0,-100.0
287553,-100.0,-100.0
287560,-100.0,-100.0
287570,-100.0,-100.0
287577,-100.0,-100.0
287586,-100.0,-100.0
287593,-100.0,-100.0
287603,-100.0,-100.0
287610,-100.0,-100.0
287619,-100.0,-100.0
287626,-100.0,-100.0
287636,-100.0,-100.0
287643,-100.0,-100.0
287653,-100.0,-100.0
287660,-100.0,-100.0
287669,-100.0,-100.0
287677,-100.0,-100.0
287686,-100.0,-100.0
287693,-100.0,-100.0
287703,-100.0,-100.0
287710,-100.0,-100.0
287719,-100.0,-100.0
287727,-100.0,-100.0
287736,-100.0,-100.0
287743,-100.0,-100.0
287753,-100.0,-100.0
287760,-100.0,-100.0
287769,-100.0,-100.0
287777,-100.0,-100.0
287786,-100.0,-100.0
287793,-100.0,-100.0
287803,-100.0,-100.0
287811,-100.0,-100.0
287820,-100.0,-100.0
287826,-100.0,-100.0
287836,-100.0,-100.0
287844,-100.0,-100.0
287853,-100.0,-100.0
287860,-100.0,-100.0
287877,-100.0,-100.0
287893,-100.0,-100.0
287910,-100.0,-100.0
287926,-100.0,-100.0
287943,-100.0,-100.0
287960,-100.0,-100.0
287977,-100.0,-100.0
287993,-100.0,-100.0
288010,-100.0,-100.0
288027,-100.0,-100.0
288043,-100.0,-100.0
288238,-100.0,-100.0
288255,-100.0,-100.0
288272,-100.0,-100.0
288288,-100.0,-100.0
288306,-100.0,-100.0
288322,-100.0,-100.0
288338,-100.0,-100.0
288355,-100.0,-100.0
288372,-100.0,-100.0
288388,-100.0,-100.0
288405,-100.0,-100.0
288422,-100.0,-100.0
288438,-100.0,-100.0
288455,-100.0,-100.0
288472,-100.0,-100.0
289443,-100.0,-100.0
289461,-100.0,-100.0
289476,-100.0,-100.0
289495,-100.0,-100.0
289510,-100.0,-100.0
289526,-100.0,-100.0
289543,-100.0,-100.0
289561,-100.0,-100.0
289577,-100.0,-100.0
289594,-100.0,-100.0
289610,-100.0,-100.0
289627,-100.0,-100.0
289643,-100.0,-100.0
289660,-100.0,-100.0
289676,-100.0,-100.0
289694,-100.0,-100.0
