,A1GFGZJPLCHHF,A3ST8XFT4X93K
47740,-100.0,-100.0
47758,-100.0,-100.0
47775,-100.0,-100.0
48749,-100.0,-100.0
48759,-100.0,-100.0
48789,-100.0,-100.0
48826,-100.0,-100.0
48843,-100.0,-100.0
48861,-100.0,-100.0
48897,-100.0,-100.0
49131,-100.0,-100.0
49170,-100.0,-100.0
49181,-100.0,-100.0
49189,-100.0,-100.0
49224,-100.0,-100.0
49242,-100.0,-100.0
49258,-100.0,-100.0
49276,-100.0,-100.0
49293,-100.0,-100.0
49312,-100.0,-100.0
49330,-100.0,-100.0
49549,-100.0,-100.0
49574,-100.0,-100.0
49597,-100.0,-100.0
49604,-100.0,-100.0
49609,-100.0,-100.0
49626,-100.0,-100.0
49644,-100.0,-100.0
49658,-100.0,-100.0
49678,-100.0,-100.0
49694,-100.0,-100.0
49713,-100.0,-100.0
49907,-100.0,-100.0
49929,-100.0,-100.0
49946,-100.0,-100.0
49963,-100.0,-100.0
49981,-100.0,-100.0
49998,-100.0,-100.0
50015,-100.0,-100.0
50032,-100.0,-100.0
50040,-100.0,-100.0
50058,-100.0,-100.0
50077,-100.0,-100.0
50094,-100.0,-100.0
50111,-100.0,-100.0
50328,-100.0,-100.0
50348,-100.0,-100.0
50380,-100.0,-100.0
50396,-100.0,-100.0
50420,-100.0,-100.0
50436,-100.0,-100.0
50461,-100.0,-100.0
50474,-100.0,-100.0
50493,-100.0,-100.0
50512,-100.0,-100.0
50527,-100.0,-100.0
50545,-100.0,-100.0
50564,-100.0,-100.0
50779,-100.0,-100.0
50797,-100.0,-100.0
50815,-100.0,-100.0
50831,-100.0,-100.0
50852,-100.0,-100.0
50866,-100.0,-100.0
50884,-100.0,-100.0
50897,-100.0,-100.0
50914,-100.0,-100.0
50934,-100.0,-100.0
50945,-100.0,-100.0
51163,-100.0,-100.0
51181,-100.0,-100.0
51195,-100.0,-100.0
51218,-100.0,-100.0
51251,-100.0,-100.0
51265,-100.0,-100.0
51283,-100.0,-100.0
51302,-100.0,-100.0
51313,-100.0,-100.0
51325,-100.0,-100.0
51343,-100.0,-100.0
51518,-100.0,-100.0
51529,-100.0,-100.0
51576,-100.0,-100.0
51595,-100.0,-100.0
51622,-100.0,-100.0
51664,-100.0,-100.0
51904,-100.0,-100.0
51924,-100.0,-100.0
51939,-100.0,-100.0
51945,-100.0,-100.0
51960,-100.0,-100.0
51980,-100.0,-100.0
52017,-100.0,-100.0
52036,-100.0,-100.0
52052,-100.0,-100.0
52083,-100.0,-100.0
52113,-100.0,-100.0
52280,-100.0,-100.0
52298,-100.0,-100.0
52314,-100.0,-100.0
52332,-100.0,-100.0
52349,-100.0,-100.0
52366,-100.0,-100.0
52373,-100.0,-100.0
52391,-100.0,-100.0
52408,-100.0,-100.0
52429,-100.0,-100.0
52443,-100.0,-100.0
52610,-100.0,-100.0
52631,-100.0,-100.0
52644,-100.0,-100.0
52661,-100.0,-100.0
52697,-100.0,-100.0
52712,-100.0,-100.0
52730,-100.0,-100.0
52748,-100.0,-100.0
52766,-100.0,-100.0
52783,-100.0,-100.0
52791,-100.0,-100.0
52807,-100.0,-100.0
53000,-100.0,-100.0
53019,-100.0,-100.0
53024,-100.0,-100.0
53044,-100.0,-100.0
53060,-100.0,-100.0
53076,-100.0,-100.0
53093,-100.0,-100.0
53111,-100.0,-100.0
53130,-100.0,-100.0
53147,-100.0,-100.0
53165,-100.0,-100.0
53181,-100.0,-100.0
53363,-100.0,-100.0
53383,-100.0,-100.0
53416,-100.0,-100.0
53435,-100.0,-100.0
53458,-100.0,-100.0
53475,-100.0,-100.0
53493,-100.0,-100.0
53511,-100.0,-100.0
53528,-100.0,-100.0
53544,-100.0,-100.0
53710,-100.0,-100.0
53746,-100.0,-100.0
53780,-100.0,-100.0
53798,-100.0,-100.0
53815,-100.0,-100.0
53832,-100.0,-100.0
53867,-100.0,-100.0
53876,-100.0,-100.0
53912,-100.0,-100.0
54092,-100.0,-100.0
54109,-100.0,-100.0
54143,-100.0,-100.0
54161,-100.0,-100.0
54181,-100.0,-100.0
54195,-100.0,-100.0
54213,-100.0,-100.0
54230,-100.0,-100.0
54248,-100.0,-100.0
54265,-100.0,-100.0
54300,-100.0,-100.0
54308,-100.0,-100.0
54465,-100.0,-100.0
54488,-100.0,-100.0
54507,-100.0,-100.0
54527,-100.0,-100.0
54543,-100.0,-100.0
54559,-100.0,-100.0
54578,-100.0,-100.0
54613,-100.0,-100.0
54649,-100.0,-100.0
54696,-100.0,-100.0
54904,-100.0,-100.0
54926,-100.0,-100.0
54934,-100.0,-100.0
54943,-100.0,-100.0
54960,-100.0,-100.0
54978,-100.0,-100.0
54997,-100.0,-100.0
55014,-100.0,-100.0
55031,-100.0,-100.0
55053,-100.0,-100.0
55065,-100.0,-100.0
55085,-100.0,-100.0
55101,-100.0,-100.0
55301,-100.0,-100.0
55321,-100.0,-100.0
55334,-100.0,-100.0
55353,-100.0,-100.0
55358,-100.0,-100.0
55377,-100.0,-100.0
55395,-100.0,-100.0
55417,-100.0,-100.0
55430,-100.0,-100.0
55449,-100.0,-100.0
55464,-100.0,-100.0
55482,-100.0,-100.0
55502,-100.0,-100.0
55647,-100.0,-100.0
55666,-100.0,-100.0
55683,-100.0,-100.0
55699,-100.0,-100.0
55719,-100.0,-100.0
55738,-100.0,-100.0
55751,-100.0,-100.0
55770,-100.0,-100.0
55779,-100.0,-100.0
61284,-100.0,-100.0
61304,-100.0,-100.0
61337,-100.0,-100.0
61372,-100.0,-100.0
61413,-100.0,-100.0
61431,-100.0,-100.0
61449,-100.0,-100.0
61467,-100.0,-100.0
61483,-100.0,-100.0
61501,-100.0,-100.0
61536,-100.0,-100.0
61571,-100.0,-100.0
61591,-100.0,-100.0
61613,-100.0,-100.0
61649,-100.0,-100.0
61666,-100.0,-100.0
61683,-100.0,-100.0
61700,-100.0,-100.0
61735,-100.0,-100.0
61753,-100.0,-100.0
61769,-100.0,-100.0
61788,-100.0,-100.0
61806,-100.0,-100.0
61832,-100.0,-100.0
61848,-100.0,-100.0
61882,-100.0,-100.0
61900,-100.0,-100.0
61917,-100.0,-100.0
61937,-100.0,-100.0
61952,-100.0,-100.0
61969,-100.0,-100.0
61987,-100.0,-100.0
62004,-100.0,-100.0
62022,-100.0,-100.0
62029,-100.0,-100.0
62050,-100.0,-100.0
62063,-100.0,-100.0
62081,-100.0,-100.0
62100,-100.0,-100.0
62117,-100.0,-100.0
62136,-100.0,-100.0
62151,-100.0,-100.0
62169,-100.0,-100.0
62188,-100.0,-100.0
62204,-100.0,-100.0
62212,-100.0,-100.0
62222,-100.0,-100.0
62231,-100.0,-100.0
62239,-100.0,-100.0
62247,-100.0,-100.0
62259,-100.0,-100.0
62263,-100.0,-100.0
62265,-100.0,-100.0
62281,-100.0,-100.0
62282,-100.0,-100.0
62300,-100.0,-100.0
62304,-100.0,-100.0
62318,-100.0,-100.0
62337,-100.0,-100.0
62338,-100.0,-100.0
62352,-100.0,-100.0
62361,-100.0,-100.0
62369,-100.0,-100.0
62372,-100.0,-100.0
62387,-100.0,-100.0
62390,-100.0,-100.0
62404,-100.0,-100.0
62405,-100.0,-100.0
62420,-100.0,-100.0
62438,-100.0,-100.0
62456,-100.0,-100.0
62463,-100.0,-100.0
62480,-100.0,-100.0
62481,-100.0,-100.0
62501,-100.0,-100.0
62515,-100.0,-100.0
62533,-100.0,-100.0
62550,-100.0,-100.0
62553,-100.0,-100.0
62567,-100.0,-100.0
62585,-100.0,-100.0
62589,-100.0,-100.0
62602,-100.0,-100.0
62620,-100.0,-100.0
62637,-100.0,-100.0
62660,-100.0,-100.0
62689,-100.0,-100.0
62701,-100.0,-100.0
62745,-100.0,-100.0
62794,-100.0,-100.0
62825,-100.0,-100.0
62843,-100.0,-100.0
62886,-100.0,-100.0
62887,-100.0,-100.0
62900,-100.0,-100.0
62916,-100.0,-100.0
62934,-100.0,-100.0
62952,-100.0,-100.0
62970,-100.0,-100.0
62985,-100.0,-100.0
63003,-100.0,-100.0
63020,-100.0,-100.0
63037,-100.0,-100.0
63056,-100.0,-100.0
63072,-100.0,-100.0
63092,-100.0,-100.0
63111,-100.0,-100.0
63117,-100.0,-100.0
63131,-100.0,-100.0
63157,-100.0,-100.0
63173,-100.0,-100.0
63193,-100.0,-100.0
63203,-100.0,-100.0
63224,-100.0,-100.0
63240,-100.0,-100.0
63256,-100.0,-100.0
63274,-100.0,-100.0
63290,-100.0,-100.0
63401,-100.0,-100.0
63438,-100.0,-100.0
63454,-100.0,-100.0
63488,-100.0,-100.0
63497,-100.0,-100.0
63508,-100.0,-100.0
63525,-100.0,-100.0
63539,-100.0,-100.0
63547,-100.0,-100.0
63549,-100.0,-100.0
63564,-100.0,-100.0
