,A2LO2DX6H49IK,A1CAM1A9B1QR2,AN26GE0GN8DP0,A1R09GS9W47R5,A2KHL16YV7AIW
0,-100.0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,,-100.0,-100.0
4355,-100.0,-100.0,,-100.0,-100.0
4371,-100.0,-100.0,,-100.0,-100.0
4378,-100.0,-100.0,,-100.0,-100.0
4404,-100.0,-100.0,,-100.0,-100.0
4409,-100.0,-100.0,,-100.0,-100.0
4438,-100.0,-100.0,,-100.0,-100.0
4443,-100.0,-100.0,,-100.0,-100.0
4454,-100.0,-100.0,,-100.0,-100.0
4459,-100.0,-100.0,,-100.0,-100.0
4471,-100.0,-100.0,,-100.0,-100.0
4476,-100.0,-100.0,,-100.0,-100.0
4488,-100.0,-100.0,,-100.0,-100.0
4493,-100.0,-100.0,,-100.0,-100.0
4522,-100.0,-100.0,,-100.0,-100.0
4527,-100.0,-100.0,,-100.0,-100.0
4556,-100.0,-100.0,,-100.0,-100.0
6129,-100.0,-100.0,,-100.0,-100.0
6144,-100.0,-100.0,,-100.0,-100.0
6149,-100.0,-100.0,,-100.0,-100.0
6178,-100.0,-100.0,,-100.0,-100.0
6183,-100.0,-100.0,,-100.0,-100.0
6195,-100.0,-100.0,,-100.0,-100.0
6199,-100.0,-100.0,,-100.0,-100.0
6229,-100.0,-100.0,,-100.0,-100.0
6237,-100.0,-100.0,,-100.0,-100.0
6278,-100.0,-100.0,,-100.0,-100.0
6283,-100.0,-100.0,,-100.0,-100.0
6312,-100.0,-100.0,,-100.0,-100.0
7625,-100.0,-100.0,,-100.0,-100.0
7673,-99.0,-100.0,,-100.0,-100.0
7678,-99.0,-100.0,,-100.0,-100.0
7719,-98.0,-100.0,,-100.0,-100.0
7722,-98.0,-100.0,,-100.0,-100.0
7763,-97.0,-100.0,,-100.0,-100.0
10414,-97.0,-100.0,,-100.0,-100.0
10438,-97.0,-100.0,,-99.0,-100.0
10467,-97.0,-100.0,,-98.0,-100.0
10484,-97.0,-100.0,,-97.0,-100.0
10520,-97.0,-100.0,,-94.0,-100.0
10554,-97.0,-100.0,,-92.0,-100.0
10572,-97.0,-100.0,,-91.0,-100.0
10607,-97.0,-100.0,,-90.0,-100.0
10642,-97.0,-100.0,,-87.0,-100.0
10649,-97.0,-100.0,,-86.0,-100.0
10668,-97.0,-100.0,,-85.0,-100.0
10686,-97.0,-100.0,,-84.0,-100.0
10718,-97.0,-100.0,,-82.0,-100.0
10735,-97.0,-100.0,,-81.0,-100.0
10771,-97.0,-100.0,,-79.0,-100.0
10805,-97.0,-100.0,,-76.0,-100.0
10823,-97.0,-100.0,,-75.0,-100.0
10840,-97.0,-100.0,,-74.0,-100.0
10847,-97.0,-100.0,,-73.0,-100.0
10865,-97.0,-100.0,,-72.0,-100.0
10882,-97.0,-100.0,,-71.0,-100.0
10899,-97.0,-100.0,,-70.0,-100.0
10918,-97.0,-100.0,,-68.0,-100.0
10937,-97.0,-100.0,,-67.0,-100.0
10971,-97.0,-100.0,,-65.0,-100.0
10989,-97.0,-100.0,,-64.0,-100.0
11022,-97.0,-100.0,,-62.0,-100.0
11057,-97.0,-100.0,,-60.0,-100.0
11065,-97.0,-100.0,,-59.0,-100.0
11082,-97.0,-100.0,,-57.0,-100.0
11099,-97.0,-100.0,,-56.0,-100.0
11117,-97.0,-100.0,,-55.0,-100.0
11133,-97.0,-100.0,,-54.0,-100.0
11152,-97.0,-100.0,,-53.0,-100.0
11169,-97.0,-100.0,,-52.0,-100.0
11186,-97.0,-100.0,,-51.0,-100.0
11224,-97.0,-100.0,,-49.0,-100.0
11240,-97.0,-100.0,,-47.0,-100.0
11274,-97.0,-100.0,,-45.0,-100.0
11298,-97.0,-100.0,,-43.0,-100.0
11318,-97.0,-100.0,,-42.0,-100.0
11335,-97.0,-100.0,,-41.0,-100.0
11352,-97.0,-100.0,,-40.0,-100.0
11369,-97.0,-100.0,,-39.0,-100.0
11386,-97.0,-100.0,,-37.0,-100.0
11404,-97.0,-100.0,,-36.0,-100.0
11421,-97.0,-100.0,,-35.0,-100.0
11439,-97.0,-100.0,,-34.0,-100.0
11455,-97.0,-100.0,,-33.0,-100.0
11474,-97.0,-100.0,,-32.0,-100.0
11491,-97.0,-100.0,,-31.0,-100.0
11498,-97.0,-100.0,,-30.0,-100.0
