,A2LO2DX6H49IK,A1CAM1A9B1QR2,AN26GE0GN8DP0,A1R09GS9W47R5,A2KHL16YV7AIW
11515,-97.0,-100.0,,-29.0,-100.0
11533,-97.0,-100.0,,-27.0,-100.0
11550,-97.0,-100.0,,-26.0,-100.0
11568,-97.0,-100.0,,-25.0,-100.0
11588,-97.0,-100.0,,-24.0,-100.0
11603,-97.0,-100.0,,-23.0,-100.0
11621,-97.0,-100.0,,-22.0,-100.0
11637,-97.0,-100.0,,-21.0,-100.0
11655,-97.0,-100.0,,-20.0,-100.0
11674,-97.0,-100.0,,-19.0,-100.0
11698,-97.0,-100.0,,-18.0,-100.0
11707,-97.0,-100.0,,-18.0,-100.0
11717,-97.0,-100.0,,-17.0,-100.0
11736,-97.0,-100.0,,-17.0,-100.0
11750,-97.0,-100.0,,-16.0,-100.0
11772,-97.0,-100.0,,-16.0,-100.0
11789,-97.0,-100.0,,-15.0,-100.0
11818,-97.0,-100.0,,-14.0,-100.0
11852,-97.0,-100.0,,-14.0,-100.0
11871,-97.0,-100.0,,-13.0,-100.0
11911,-97.0,-100.0,,-13.0,-100.0
11919,-97.0,-100.0,,-12.0,-100.0
11941,-97.0,-100.0,,-12.0,-100.0
11961,-97.0,-100.0,,-11.0,-100.0
11981,-97.0,-100.0,,-11.0,-100.0
11993,-97.0,-100.0,,-10.0,-100.0
12021,-97.0,-100.0,,-9.0,-100.0
12043,-97.0,-100.0,,-9.0,-100.0
12054,-97.0,-100.0,,-8.0,-100.0
12076,-97.0,-100.0,,-7.0,-100.0
12094,-97.0,-100.0,,-7.0,-100.0
12106,-97.0,-100.0,,-6.0,-100.0
12126,-97.0,-100.0,,-6.0,-100.0
12132,-97.0,-100.0,,-4.0,-100.0
12151,-97.0,-100.0,,-4.0,-100.0
12168,-97.0,-100.0,,-3.0,-100.0
12187,-97.0,-100.0,,-3.0,-100.0
12203,-97.0,-100.0,,-2.0,-100.0
12228,-97.0,-100.0,,-2.0,-100.0
12238,-97.0,-100.0,,-1.0,-100.0
12260,-97.0,-100.0,,-1.0,-100.0
12272,-97.0,-100.0,,0.0,-100.0
12296,-97.0,-100.0,,1.0,-100.0
12310,-97.0,-100.0,,1.0,-100.0
12323,-97.0,-100.0,,2.0,-100.0
12342,-97.0,-100.0,,3.0,-100.0
12348,-97.0,-100.0,,4.0,-100.0
12366,-97.0,-100.0,,5.0,-100.0
12382,-97.0,-100.0,,6.0,-100.0
12400,-97.0,-100.0,,7.0,-100.0
12422,-97.0,-100.0,,8.0,-100.0
12437,-97.0,-100.0,,9.0,-100.0
12454,-97.0,-100.0,,10.0,-100.0
12473,-97.0,-100.0,,11.0,-100.0
12490,-97.0,-100.0,,12.0,-100.0
12506,-97.0,-100.0,,13.0,-100.0
12524,-97.0,-100.0,,14.0,-100.0
12541,-97.0,-100.0,,15.0,-100.0
12548,-97.0,-100.0,,16.0,-100.0
12564,-97.0,-100.0,,17.0,-100.0
12583,-97.0,-100.0,,19.0,-100.0
12601,-97.0,-100.0,,20.0,-100.0
12617,-97.0,-100.0,,21.0,-100.0
12634,-97.0,-100.0,,22.0,-100.0
12651,-97.0,-100.0,,23.0,-100.0
12669,-97.0,-100.0,,24.0,-100.0
12687,-97.0,-100.0,,25.0,-100.0
12704,-97.0,-100.0,,26.0,-100.0
12713,-97.0,-100.0,,26.5,-100.0
12723,-97.0,-99.5,,27.0,-100.0
12731,-97.0,-99.0,,28.0,-100.0
12740,-97.0,-98.33333333333333,,29.0,-100.0
12757,-97.0,-97.66666666666667,,30.0,-100.0
12763,-97.0,-97.0,,30.5,-100.0
12775,-97.0,-96.5,,31.0,-100.0
12779,-97.0,-96.0,,31.5,-100.0
12782,-97.0,-95.5,,32.0,-100.0
12796,-97.0,-95.0,,32.5,-100.0
12799,-97.0,-94.5,,33.0,-100.0
12813,-97.0,-94.0,,33.5,-100.0
12816,-97.0,-93.5,,34.0,-100.0
12829,-97.0,-93.0,,34.5,-100.0
12834,-97.0,-92.5,,35.0,-100.0
12846,-97.0,-92.0,,35.5,-100.0
12851,-97.0,-91.0,,36.0,-100.0
12863,-97.0,-90.0,,36.5,-100.0
12870,-97.0,-89.5,,37.0,-100.0
12879,-97.0,-89.0,,38.0,-100.0
12886,-97.0,-88.5,,39.0,-100.0
12896,-97.0,-88.0,,39.5,-100.0
12904,-97.0,-87.5,,40.0,-100.0
12913,-97.0,-87.0,,40.5,-100.0
12921,-97.0,-86.5,,41.0,-100.0
12930,-97.0,-86.0,,41.5,-100.0
12938,-97.0,-85.5,,42.0,-100.0
12949,-97.0,-85.0,,42.5,-100.0
12957,-97.0,-84.5,,43.0,-100.0
12962,-97.0,-84.0,,43.5,-100.0
12973,-97.0,-83.5,,44.0,-100.0
12980,-97.0,-83.0,,45.0,-100.0
12996,-97.0,-82.0,,45.5,-100.0
12998,-97.0,-81.0,,46.0,-100.0
13013,-97.0,-80.0,,47.0,-100.0
13017,-97.0,-79.5,,48.0,-100.0
13029,-97.0,-79.0,,48.0,-100.0
13033,-97.0,-78.5,,48.0,-100.0
13046,-97.0,-78.0,,49.0,-100.0
13050,-97.0,-77.5,,50.0,-100.0
13063,-97.0,-77.0,,50.5,-100.0
13069,-97.0,-76.5,,51.0,-100.0
13079,-97.0,-76.0,,51.5,-100.0
13085,-97.0,-75.5,,52.0,-100.0
13096,-97.0,-75.0,,52.5,-100.0
13103,-97.0,-74.5,,53.0,-100.0
13112,-97.0,-74.0,,53.5,-100.0
13120,-97.0,-73.5,,54.0,-100.0
13129,-97.0,-73.0,,54.5,-100.0
13137,-97.0,-72.5,,55.0,-100.0
13146,-97.0,-72.0,,55.5,-100.0
13155,-97.0,-71.0,,56.0,-100.0
13163,-97.0,-70.0,,56.0,-100.0
13179,-97.0,-69.0,,56.0,-100.0
13197,-97.0,-68.0,,56.0,-100.0
13212,-97.0,-67.0,,56.0,-100.0
13229,-97.0,-66.0,,56.0,-100.0
13247,-97.0,-65.0,,56.0,-100.0
13262,-97.0,-64.0,,56.0,-100.0
13279,-97.0,-63.0,,56.0,-100.0
13295,-97.0,-62.0,,56.0,-100.0
13313,-97.0,-60.0,,56.0,-100.0
13329,-97.0,-59.0,,56.0,-100.0
13346,-97.0,-58.0,,56.0,-100.0
13363,-97.0,-57.0,,56.0,-100.0
13379,-97.0,-56.0,,56.0,-100.0
13396,-97.0,-55.0,,56.0,-100.0
13412,-97.0,-54.0,,56.0,-100.0
13431,-97.0,-53.0,,56.0,-100.0
13445,-97.0,-52.0,,56.0,-100.0
13462,-97.0,-50.0,,56.0,-100.0
13479,-97.0,-49.0,,56.0,-100.0
13501,-97.0,-48.0,,56.0,-100.0
13514,-97.0,-47.0,,56.0,-100.0
13530,-97.0,-46.0,,56.0,-100.0
13546,-97.0,-45.0,,56.0,-100.0
13563,-97.0,-44.0,,56.0,-100.0
13579,-97.0,-43.0,,56.0,-100.0
32004,-97.0,-43.0,,56.0,-100.0
32005,-97.0,-43.0,100.0,56.0,-100.0
32023,-97.0,-43.0,99.0,56.0,-100.0
32056,-97.0,-43.0,97.0,56.0,-100.0
32072,-97.0,-43.0,96.0,56.0,-100.0
32090,-97.0,-43.0,95.0,56.0,-100.0
32106,-97.0,-43.0,94.0,56.0,-100.0
32122,-97.0,-43.0,93.0,56.0,-100.0
32139,-97.0,-43.0,92.0,56.0,-100.0
32155,-97.0,-43.0,91.0,56.0,-100.0
32172,-97.0,-43.0,90.0,56.0,-100.0
32189,-97.0,-43.0,88.0,56.0,-100.0
32195,-97.0,-43.0,87.0,56.0,-100.0
32196,-97.0,-43.0,,56.0,-100.0
42606,-97.0,-43.0,,56.0,-100.0
42620,-97.0,-43.0,,56.0,-100.0
42631,-97.0,-43.0,,56.0,-100.0
42652,-97.0,-43.0,,56.0,-100.0
42665,-97.0,-43.0,,56.0,-100.0
42703,-97.0,-43.0,,56.0,-100.0
42715,-97.0,-43.0,,56.0,-100.0
42736,-97.0,-43.0,,56.0,-100.0
42748,-97.0,-43.0,,56.0,-100.0
42769,-97.0,-43.0,,56.0,-100.0
42779,-97.0,-43.0,,56.0,-100.0
42803,-97.0,-43.0,,56.0,-100.0
42811,-97.0,-43.0,,56.0,-100.0
42836,-97.0,-43.0,,56.0,-100.0
42844,-97.0,-43.0,,56.0,-100.0
42853,-97.0,-43.0,,56.0,-100.0
42880,-97.0,-43.0,,56.0,-100.0
42888,-97.0,-43.0,,56.0,-100.0
42912,-97.0,-43.0,,56.0,-100.0
42922,-97.0,-43.0,,56.0,-100.0
42947,-97.0,-43.0,,56.0,-100.0
42957,-97.0,-43.0,,56.0,-100.0
42982,-97.0,-43.0,,56.0,-100.0
42992,-97.0,-43.0,,56.0,-100.0
43016,-97.0,-43.0,,56.0,-100.0
43025,-97.0,-43.0,,56.0,-100.0
43051,-97.0,-43.0,,56.0,-100.0
43062,-97.0,-43.0,,56.0,-100.0
43095,-97.0,-43.0,,56.0,-100.0
43113,-97.0,-43.0,,56.0,-100.0
43151,-97.0,-43.0,,56.0,-100.0
43160,-97.0,-43.0,,56.0,-100.0
43184,-97.0,-43.0,,56.0,-100.0
43192,-97.0,-43.0,,56.0,-100.0
43224,-97.0,-43.0,,56.0,-100.0
43235,-97.0,-43.0,,56.0,-100.0
43261,-97.0,-43.0,,56.0,-100.0
43271,-97.0,-43.0,,56.0,-100.0
43297,-97.0,-43.0,,56.0,-100.0
43307,-97.0,-43.0,,56.0,-100.0
43332,-97.0,-43.0,,56.0,-100.0
43343,-97.0,-43.0,,56.0,-100.0
43366,-97.0,-43.0,,56.0,-100.0
43377,-97.0,-43.0,,56.0,-100.0
43403,-97.0,-43.0,,56.0,-100.0
43414,-97.0,-43.0,,56.0,-100.0
43438,-97.0,-43.0,,56.0,-100.0
43446,-97.0,-43.0,,56.0,-100.0
43473,-97.0,-43.0,,56.0,-100.0
43481,-97.0,-43.0,,56.0,-100.0
43508,-97.0,-43.0,,56.0,-100.0
43522,-97.0,-43.0,,56.0,-100.0
43549,-97.0,-43.0,,56.0,-100.0
43557,-97.0,-43.0,,56.0,-100.0
43583,-97.0,-43.0,,56.0,-100.0
43592,-97.0,-43.0,,56.0,-100.0
43617,-97.0,-43.0,,56.0,-100.0
43627,-97.0,-43.0,,56.0,-100.0
43657,-97.0,-43.0,,56.0,-100.0
43667,-97.0,-43.0,,56.0,-100.0
43691,-97.0,-43.0,,56.0,-100.0
43699,-97.0,-43.0,,56.0,-100.0
43726,-97.0,-43.0,,56.0,-100.0
43735,-97.0,-43.0,,56.0,-100.0
43744,-97.0,-43.0,,56.0,-100.0
43757,-97.0,-43.0,,56.0,-100.0
43782,-97.0,-43.0,,56.0,-100.0
43792,-97.0,-43.0,,56.0,-100.0
43816,-97.0,-43.0,,56.0,-100.0
43828,-97.0,-43.0,,56.0,-100.0
43850,-97.0,-43.0,,56.0,-100.0
43858,-97.0,-43.0,,56.0,-100.0
43886,-97.0,-43.0,,56.0,-100.0
43896,-97.0,-43.0,,56.0,-100.0
43924,-97.0,-43.0,,56.0,-100.0
43933,-97.0,-43.0,,56.0,-100.0
43958,-97.0,-43.0,,56.0,-100.0
43967,-97.0,-43.0,,56.0,-100.0
43996,-97.0,-43.0,,56.0,-100.0
44005,-97.0,-43.0,,56.0,-100.0
44014,-97.0,-43.0,,56.0,-100.0
44027,-97.0,-43.0,,56.0,-100.0
44051,-97.0,-43.0,,56.0,-100.0
44065,-97.0,-43.0,,56.0,-100.0
44098,-97.0,-43.0,,56.0,-100.0
44108,-97.0,-43.0,,56.0,-100.0
44136,-97.0,-43.0,,56.0,-100.0
44145,-97.0,-43.0,,56.0,-100.0
44171,-97.0,-43.0,,56.0,-100.0
44180,-97.0,-43.0,,56.0,-100.0
44206,-97.0,-43.0,,56.0,-100.0
44215,-97.0,-43.0,,56.0,-100.0
44243,-97.0,-43.0,,56.0,-100.0
44252,-97.0,-43.0,,56.0,-100.0
44276,-97.0,-43.0,,56.0,-100.0
44287,-97.0,-43.0,,56.0,-100.0
44297,-97.0,-43.0,,56.0,-100.0
44308,-97.0,-43.0,,56.0,-100.0
44336,-97.0,-43.0,,56.0,-100.0
44345,-97.0,-43.0,,56.0,-100.0
44370,-97.0,-43.0,,56.0,-100.0
44380,-97.0,-43.0,,56.0,-100.0
44407,-97.0,-43.0,,56.0,-100.0
44416,-97.0,-43.0,,56.0,-100.0
44441,-97.0,-43.0,,56.0,-100.0
44449,-97.0,-43.0,,56.0,-100.0
44477,-97.0,-43.0,,56.0,-100.0
44485,-97.0,-43.0,,56.0,-100.0
44512,-97.0,-43.0,,56.0,-100.0
44526,-97.0,-43.0,,56.0,-100.0
44554,-97.0,-43.0,,56.0,-100.0
44565,-97.0,-43.0,,56.0,-100.0
44578,-97.0,-43.0,,56.0,-100.0
44589,-97.0,-43.0,,56.0,-100.0
44612,-97.0,-43.0,,56.0,-100.0
44621,-97.0,-43.0,,56.0,-100.0
44650,-97.0,-43.0,,56.0,-100.0
44661,-97.0,-43.0,,56.0,-100.0
44686,-97.0,-43.0,,56.0,-100.0
44695,-97.0,-43.0,,56.0,-100.0
44721,-97.0,-43.0,,56.0,-100.0
44731,-97.0,-43.0,,56.0,-100.0
44758,-97.0,-43.0,,56.0,-100.0
44767,-97.0,-43.0,,56.0,-100.0
44792,-97.0,-43.0,,56.0,-100.0
44802,-97.0,-43.0,,56.0,-100.0
44829,-97.0,-43.0,,56.0,-100.0
44838,-97.0,-43.0,,56.0,-100.0
44863,-97.0,-43.0,,56.0,-100.0
44872,-97.0,-43.0,,56.0,-100.0
44902,-97.0,-43.0,,56.0,-100.0
44912,-97.0,-43.0,,56.0,-100.0
44936,-97.0,-43.0,,56.0,-100.0
44945,-97.0,-43.0,,56.0,-100.0
44976,-97.0,-43.0,,56.0,-100.0
44986,-97.0,-43.0,,56.0,-100.0
45285,-97.0,-43.0,,56.0,-100.0
45302,-97.0,-43.0,,56.0,-100.0
45337,-97.0,-43.0,,56.0,-100.0
45344,-97.0,-43.0,,56.0,-100.0
45353,-97.0,-43.0,,56.0,-100.0
45373,-97.0,-43.0,,56.0,-100.0
45466,-97.0,-43.0,,56.0,-100.0
45482,-97.0,-43.0,,56.0,-100.0
45502,-97.0,-43.0,,56.0,-100.0
45514,-97.0,-43.0,,56.0,-100.0
45519,-97.0,-43.0,,56.0,-100.0
45531,-97.0,-43.0,,56.0,-100.0
45537,-97.0,-43.0,,56.0,-100.0
45547,-97.0,-43.0,,56.0,-100.0
45554,-97.0,-43.0,,56.0,-100.0
45564,-97.0,-43.0,,56.0,-100.0
45633,-97.0,-43.0,,56.0,-100.0
45648,-97.0,-43.0,,56.0,-100.0
45655,-97.0,-43.0,,56.0,-100.0
45665,-97.0,-43.0,,56.0,-100.0
45674,-97.0,-43.0,,56.0,-100.0
45682,-97.0,-43.0,,56.0,-100.0
45687,-97.0,-43.0,,56.0,-100.0
45699,-97.0,-43.0,,56.0,-100.0
45720,-97.0,-43.0,,56.0,-100.0
45732,-97.0,-43.0,,56.0,-100.0
45819,-97.0,-43.0,,56.0,-100.0
45833,-97.0,-43.0,,56.0,-100.0
45838,-97.0,-43.0,,56.0,-100.0
45849,-97.0,-43.0,,56.0,-100.0
45856,-97.0,-43.0,,56.0,-100.0
45866,-97.0,-43.0,,56.0,-100.0
45871,-97.0,-43.0,,56.0,-100.0
45882,-97.0,-43.0,,56.0,-100.0
45888,-97.0,-43.0,,56.0,-100.0
45899,-97.0,-43.0,,56.0,-100.0
45985,-97.0,-43.0,,56.0,-100.0
46001,-97.0,-43.0,,56.0,-100.0
46004,-97.0,-43.0,,56.0,-100.0
46016,-97.0,-43.0,,56.0,-100.0
46026,-97.0,-43.0,,56.0,-100.0
46033,-97.0,-43.0,,56.0,-100.0
46039,-97.0,-43.0,,56.0,-100.0
46049,-97.0,-43.0,,56.0,-100.0
46054,-97.0,-43.0,,56.0,-100.0
46066,-97.0,-43.0,,56.0,-100.0
46153,-97.0,-43.0,,56.0,-100.0
46168,-97.0,-43.0,,56.0,-100.0
46172,-97.0,-43.0,,56.0,-100.0
46183,-97.0,-43.0,,56.0,-100.0
46192,-97.0,-43.0,,56.0,-100.0
46201,-97.0,-43.0,,56.0,-100.0
46208,-97.0,-43.0,,56.0,-100.0
46217,-97.0,-43.0,,56.0,-100.0
46303,-97.0,-43.0,,56.0,-100.0
46317,-97.0,-43.0,,56.0,-100.0
46324,-97.0,-43.0,,56.0,-100.0
46334,-97.0,-43.0,,56.0,-100.0
46340,-97.0,-43.0,,56.0,-100.0
46351,-97.0,-43.0,,56.0,-100.0
46358,-97.0,-43.0,,56.0,-100.0
46369,-97.0,-43.0,,56.0,-100.0
46374,-97.0,-43.0,,56.0,-100.0
46384,-97.0,-43.0,,56.0,-100.0
46453,-97.0,-43.0,,56.0,-100.0
46468,-97.0,-43.0,,56.0,-100.0
46473,-97.0,-43.0,,56.0,-100.0
46485,-97.0,-43.0,,56.0,-100.0
46491,-97.0,-43.0,,56.0,-100.0
46502,-97.0,-43.0,,56.0,-100.0
46508,-97.0,-43.0,,56.0,-100.0
46518,-97.0,-43.0,,56.0,-100.0
46526,-97.0,-43.0,,56.0,-100.0
46535,-97.0,-43.0,,56.0,-100.0
46539,-97.0,-43.0,,56.0,-100.0
46551,-97.0,-43.0,,56.0,-100.0
46606,-97.0,-43.0,,56.0,-100.0
46620,-97.0,-43.0,,56.0,-100.0
46625,-97.0,-43.0,,56.0,-100.0
46635,-97.0,-43.0,,56.0,-100.0
46641,-97.0,-43.0,,56.0,-100.0
46652,-97.0,-43.0,,56.0,-100.0
46673,-97.0,-43.0,,56.0,-100.0
46685,-97.0,-43.0,,56.0,-100.0
46705,-97.0,-43.0,,56.0,-100.0
46719,-97.0,-43.0,,56.0,-100.0
46723,-97.0,-43.0,,56.0,-100.0
46735,-97.0,-43.0,,56.0,-100.0
46742,-97.0,-43.0,,56.0,-100.0
46753,-97.0,-43.0,,56.0,-100.0
46759,-97.0,-43.0,,56.0,-100.0
46769,-97.0,-43.0,,56.0,-100.0
46779,-97.0,-43.0,,56.0,-100.0
46788,-97.0,-43.0,,56.0,-100.0
46793,-97.0,-43.0,,56.0,-100.0
46802,-97.0,-43.0,,56.0,-100.0
46808,-97.0,-43.0,,56.0,-100.0
46819,-97.0,-43.0,,56.0,-100.0
46826,-97.0,-43.0,,56.0,-100.0
46836,-97.0,-43.0,,56.0,-100.0
46841,-97.0,-43.0,,56.0,-100.0
46853,-97.0,-43.0,,56.0,-100.0
46860,-97.0,-43.0,,56.0,-100.0
46870,-97.0,-43.0,,56.0,-100.0
46876,-97.0,-43.0,,56.0,-100.0
46888,-97.0,-43.0,,56.0,-100.0
46896,-97.0,-43.0,,56.0,-100.0
46903,-97.0,-43.0,,56.0,-100.0
46908,-97.0,-43.0,,56.0,-100.0
46919,-97.0,-43.0,,56.0,-100.0
46924,-97.0,-43.0,,56.0,-100.0
46936,-97.0,-43.0,,56.0,-100.0
46942,-97.0,-43.0,,56.0,-100.0
46953,-97.0,-43.0,,56.0,-100.0
46959,-97.0,-43.0,,56.0,-100.0
46970,-97.0,-43.0,,56.0,-100.0
46975,-97.0,-43.0,,56.0,-100.0
46987,-97.0,-43.0,,56.0,-100.0
47006,-97.0,-43.0,,56.0,-100.0
47020,-97.0,-43.0,,56.0,-100.0
47027,-97.0,-43.0,,56.0,-100.0
47037,-97.0,-43.0,,56.0,-100.0
47043,-97.0,-43.0,,56.0,-100.0
47053,-97.0,-43.0,,56.0,-100.0
47059,-97.0,-43.0,,56.0,-100.0
47069,-97.0,-43.0,,56.0,-100.0
47103,-97.0,-43.0,,56.0,-100.0
47112,-97.0,-43.0,,56.0,-100.0
47133,-97.0,-43.0,,56.0,-100.0
47140,-97.0,-43.0,,56.0,-100.0
47161,-97.0,-43.0,,56.0,-100.0
47171,-97.0,-43.0,,56.0,-100.0
47176,-97.0,-43.0,,56.0,-100.0
47187,-97.0,-43.0,,56.0,-100.0
47194,-97.0,-43.0,,56.0,-100.0
47204,-97.0,-43.0,,56.0,-100.0
47211,-97.0,-43.0,,56.0,-100.0
47220,-97.0,-43.0,,56.0,-100.0
47227,-97.0,-43.0,,56.0,-100.0
47237,-97.0,-43.0,,56.0,-100.0
47243,-97.0,-43.0,,56.0,-100.0
47256,-97.0,-43.0,,56.0,-100.0
47259,-97.0,-43.0,,56.0,-100.0
47271,-97.0,-43.0,,56.0,-100.0
47277,-97.0,-43.0,,56.0,-100.0
47289,-97.0,-43.0,,56.0,-100.0
47294,-97.0,-43.0,,56.0,-100.0
47305,-97.0,-43.0,,56.0,-100.0
47310,-97.0,-43.0,,56.0,-100.0
47321,-97.0,-43.0,,56.0,-100.0
47329,-97.0,-43.0,,56.0,-100.0
47339,-97.0,-43.0,,56.0,-100.0
47364,-97.0,-43.0,,56.0,-100.0
47372,-97.0,-43.0,,56.0,-100.0
47377,-97.0,-43.0,,56.0,-100.0
47388,-97.0,-43.0,,56.0,-100.0
47392,-97.0,-43.0,,56.0,-100.0
47408,-97.0,-43.0,,56.0,-100.0
47426,-97.0,-43.0,,56.0,-100.0
47438,-97.0,-43.0,,56.0,-100.0
47444,-97.0,-43.0,,56.0,-100.0
47456,-97.0,-43.0,,56.0,-100.0
47462,-97.0,-43.0,,56.0,-100.0
47473,-97.0,-43.0,,56.0,-100.0
47477,-97.0,-43.0,,56.0,-100.0
47490,-97.0,-43.0,,56.0,-100.0
47496,-97.0,-43.0,,56.0,-100.0
47507,-97.0,-43.0,,56.0,-100.0
47511,-97.0,-43.0,,56.0,-100.0
47523,-97.0,-43.0,,56.0,-100.0
47529,-97.0,-43.0,,56.0,-100.0
47540,-97.0,-43.0,,56.0,-100.0
47545,-97.0,-43.0,,56.0,-100.0
47558,-97.0,-43.0,,56.0,-100.0
47563,-97.0,-43.0,,56.0,-100.0
47572,-97.0,-43.0,,56.0,-100.0
47578,-97.0,-43.0,,56.0,-100.0
47590,-97.0,-43.0,,56.0,-100.0
47595,-97.0,-43.0,,56.0,-100.0
47606,-97.0,-43.0,,56.0,-100.0
47612,-97.0,-43.0,,56.0,-100.0
47624,-97.0,-43.0,,56.0,-100.0
47629,-97.0,-43.0,,56.0,-100.0
47639,-97.0,-43.0,,56.0,-100.0
47644,-97.0,-43.0,,56.0,-100.0
47660,-97.0,-43.0,,56.0,-100.0
47676,-97.0,-43.0,,56.0,-100.0
47689,-97.0,-43.0,,56.0,-100.0
47696,-97.0,-43.0,,56.0,-100.0
47706,-97.0,-43.0,,56.0,-100.0
47711,-97.0,-43.0,,56.0,-100.0
47722,-97.0,-43.0,,56.0,-100.0
47728,-97.0,-43.0,,56.0,-100.0
47739,-97.0,-43.0,,56.0,-100.0
47745,-97.0,-43.0,,56.0,-100.0
47757,-97.0,-43.0,,56.0,-100.0
47761,-97.0,-43.0,,56.0,-100.0
47773,-97.0,-43.0,,56.0,-100.0
47779,-97.0,-43.0,,56.0,-100.0
47791,-97.0,-43.0,,56.0,-100.0
47795,-97.0,-43.0,,56.0,-100.0
47806,-97.0,-43.0,,56.0,-100.0
47834,-97.0,-43.0,,56.0,-100.0
47842,-97.0,-43.0,,56.0,-100.0
47846,-97.0,-43.0,,56.0,-100.0
47856,-97.0,-43.0,,56.0,-100.0
47865,-97.0,-43.0,,56.0,-100.0
47875,-97.0,-43.0,,56.0,-100.0
47879,-97.0,-43.0,,56.0,-100.0
47890,-97.0,-43.0,,56.0,-100.0
47894,-97.0,-43.0,,56.0,-100.0
