,A3TDR6MXS6UO5,A1T1FK3P2N408,A2Q3SM0KEI497
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
14344,-100.0,-100.0,-100.0
14359,-100.0,-100.0,-100.0
14363,-100.0,-100.0,-100.0
14374,-100.0,-100.0,-100.0
14378,-100.0,-100.0,-100.0
14391,-100.0,-100.0,-100.0
14395,-100.0,-100.0,-100.0
14407,-100.0,-100.0,-100.0
14411,-100.0,-100.0,-100.0
14424,-100.0,-100.0,-100.0
14429,-100.0,-100.0,-100.0
14441,-100.0,-100.0,-100.0
14444,-100.0,-100.0,-100.0
14458,-100.0,-100.0,-100.0
14461,-100.0,-100.0,-100.0
14474,-100.0,-100.0,-100.0
14478,-100.0,-100.0,-100.0
14491,-100.0,-100.0,-100.0
14494,-100.0,-100.0,-100.0
14507,-100.0,-100.0,-100.0
14512,-100.0,-100.0,-100.0
14524,-100.0,-100.0,-100.0
14528,-100.0,-100.0,-100.0
14541,-100.0,-100.0,-100.0
14544,-100.0,-100.0,-100.0
14557,-100.0,-100.0,-100.0
14561,-100.0,-100.0,-100.0
14574,-100.0,-100.0,-100.0
14577,-100.0,-100.0,-100.0
14591,-100.0,-100.0,-100.0
14595,-100.0,-100.0,-100.0
14607,-100.0,-100.0,-100.0
14611,-100.0,-100.0,-100.0
14625,-100.0,-100.0,-100.0
14630,-100.0,-100.0,-100.0
14642,-100.0,-100.0,-100.0
14646,-100.0,-100.0,-100.0
14657,-100.0,-100.0,-100.0
14662,-100.0,-100.0,-100.0
14674,-100.0,-100.0,-100.0
14678,-100.0,-100.0,-100.0
14690,-100.0,-100.0,-100.0
14694,-100.0,-100.0,-100.0
14707,-100.0,-100.0,-100.0
14711,-100.0,-100.0,-100.0
14723,-100.0,-100.0,-100.0
14727,-100.0,-100.0,-100.0
14740,-100.0,-100.0,-100.0
14744,-100.0,-100.0,-100.0
14757,-100.0,-100.0,-100.0
14762,-100.0,-100.0,-100.0
14773,-100.0,-100.0,-100.0
14777,-100.0,-100.0,-100.0
14790,-100.0,-100.0,-100.0
14795,-100.0,-100.0,-100.0
14807,-100.0,-100.0,-100.0
14811,-100.0,-100.0,-100.0
14823,-100.0,-100.0,-100.0
14827,-100.0,-100.0,-100.0
14840,-100.0,-100.0,-100.0
14845,-100.0,-100.0,-100.0
14857,-100.0,-100.0,-100.0
14863,-100.0,-100.0,-100.0
14873,-100.0,-100.0,-100.0
14877,-100.0,-100.0,-100.0
14890,-100.0,-100.0,-100.0
14894,-100.0,-100.0,-100.0
14911,-100.0,-100.0,-100.0
14916,-100.0,-100.0,-100.0
14940,-100.0,-100.0,-100.0
14944,-100.0,-100.0,-100.0
14956,-100.0,-100.0,-100.0
14961,-100.0,-100.0,-100.0
14973,-100.0,-100.0,-100.0
14978,-100.0,-100.0,-100.0
14990,-100.0,-100.0,-100.0
14994,-100.0,-100.0,-100.0
15006,-100.0,-100.0,-100.0
15011,-100.0,-100.0,-100.0
15023,-100.0,-100.0,-100.0
15027,-100.0,-100.0,-100.0
15040,-100.0,-100.0,-100.0
15044,-100.0,-100.0,-100.0
15057,-100.0,-100.0,-100.0
15060,-100.0,-100.0,-100.0
15073,-100.0,-100.0,-100.0
15076,-100.0,-100.0,-100.0
15090,-100.0,-100.0,-100.0
15094,-100.0,-100.0,-100.0
15106,-100.0,-100.0,-100.0
15110,-100.0,-100.0,-100.0
15123,-100.0,-100.0,-100.0
15126,-100.0,-100.0,-100.0
15140,-100.0,-100.0,-100.0
15144,-100.0,-100.0,-100.0
15156,-100.0,-100.0,-100.0
15160,-100.0,-100.0,-100.0
15173,-100.0,-100.0,-100.0
15177,-100.0,-100.0,-100.0
15190,-100.0,-100.0,-100.0
15191,-100.0,-100.0,-100.0
19875,-100.0,-100.0,-100.0
19876,-100.0,-100.0,-100.0
19892,-100.0,-100.0,-100.0
19896,-100.0,-100.0,-100.0
19907,-100.0,-100.0,-100.0
19912,-100.0,-100.0,-100.0
19924,-100.0,-100.0,-100.0
19932,-100.0,-100.0,-100.0
19940,-100.0,-100.0,-100.0
19945,-100.0,-100.0,-100.0
19957,-100.0,-100.0,-100.0
19962,-100.0,-100.0,-100.0
19973,-100.0,-100.0,-100.0
19979,-100.0,-100.0,-100.0
19986,-100.0,-100.0,-100.0
19990,-100.0,-100.0,-100.0
19996,-100.0,-100.0,-100.0
20007,-100.0,-100.0,-100.0
20012,-100.0,-100.0,-100.0
20017,-100.0,-100.0,-100.0
20023,-100.0,-100.0,-100.0
20028,-100.0,-100.0,-100.0
20032,-100.0,-100.0,-100.0
20040,-100.0,-100.0,-100.0
20044,-100.0,-100.0,-100.0
20057,-100.0,-100.0,-100.0
20058,-100.0,-100.0,-100.0
20061,-100.0,-100.0,-100.0
20073,-100.0,-100.0,-100.0
20075,-100.0,-100.0,-100.0
20078,-100.0,-100.0,-100.0
20090,-100.0,-100.0,-100.0
20093,-100.0,-100.0,-100.0
20096,-100.0,-100.0,-100.0
20107,-100.0,-100.0,-100.0
20111,-100.0,-100.0,-100.0
20112,-100.0,-100.0,-100.0
20123,-100.0,-100.0,-100.0
20127,-100.0,-100.0,-100.0
20140,-100.0,-100.0,-100.0
20145,-100.0,-100.0,-100.0
20157,-100.0,-100.0,-100.0
20162,-100.0,-100.0,-100.0
20163,-100.0,-100.0,-100.0
20173,-100.0,-100.0,-100.0
20180,-100.0,-100.0,-100.0
20190,-100.0,-100.0,-100.0
20194,-100.0,-100.0,-100.0
20198,-100.0,-100.0,-100.0
20207,-100.0,-100.0,-100.0
20211,-100.0,-100.0,-100.0
20215,-100.0,-100.0,-100.0
20223,-100.0,-100.0,-100.0
20228,-100.0,-100.0,-100.0
20232,-100.0,-100.0,-100.0
20239,-100.0,-100.0,-100.0
20240,-100.0,-100.0,-100.0
20245,-100.0,-100.0,-100.0
20256,-100.0,-100.0,-100.0
20257,-100.0,-100.0,-100.0
20263,-100.0,-100.0,-100.0
20273,-100.0,-100.0,-100.0
20275,-100.0,-100.0,-100.0
20279,-100.0,-100.0,-100.0
20290,-100.0,-100.0,-100.0
20292,-100.0,-100.0,-100.0
20294,-100.0,-100.0,-100.0
20307,-100.0,-100.0,-100.0
20309,-100.0,-100.0,-100.0
20312,-100.0,-100.0,-100.0
20323,-100.0,-100.0,-100.0
20327,-100.0,-100.0,-100.0
20328,-100.0,-100.0,-100.0
20340,-100.0,-100.0,-100.0
20344,-100.0,-100.0,-100.0
20349,-100.0,-100.0,-100.0
20357,-100.0,-100.0,-100.0
20361,-100.0,-100.0,-100.0
20362,-100.0,-100.0,-100.0
20373,-100.0,-100.0,-100.0
20379,-100.0,-100.0,-100.0
20380,-100.0,-100.0,-100.0
20390,-100.0,-100.0,-100.0
20396,-100.0,-100.0,-100.0
20406,-100.0,-100.0,-100.0
20411,-100.0,-100.0,-100.0
20414,-100.0,-100.0,-100.0
20423,-100.0,-100.0,-100.0
20428,-100.0,-100.0,-100.0
20432,-100.0,-100.0,-100.0
20439,-100.0,-100.0,-100.0
20444,-100.0,-100.0,-100.0
20450,-100.0,-100.0,-100.0
20456,-100.0,-100.0,-100.0
20460,-100.0,-100.0,-100.0
20464,-100.0,-100.0,-100.0
20473,-100.0,-100.0,-100.0
20475,-100.0,-100.0,-100.0
20478,-100.0,-100.0,-100.0
20489,-100.0,-100.0,-100.0
20491,-100.0,-100.0,-100.0
20494,-100.0,-100.0,-100.0
20506,-100.0,-100.0,-100.0
20509,-100.0,-100.0,-100.0
20512,-100.0,-100.0,-100.0
20523,-100.0,-100.0,-100.0
20527,-100.0,-100.0,-100.0
20545,-100.0,-100.0,-100.0
20557,-100.0,-100.0,-100.0
20562,-100.0,-100.0,-100.0
20573,-100.0,-100.0,-100.0
20578,-100.0,-100.0,-100.0
20580,-100.0,-100.0,-100.0
20589,-100.0,-100.0,-100.0
20595,-100.0,-100.0,-100.0
20597,-100.0,-100.0,-100.0
20606,-100.0,-100.0,-100.0
20611,-100.0,-100.0,-100.0
20614,-100.0,-100.0,-100.0
20623,-100.0,-100.0,-100.0
20630,-100.0,-100.0,-100.0
20632,-100.0,-100.0,-100.0
20643,-100.0,-100.0,-100.0
20649,-100.0,-100.0,-100.0
20650,-100.0,-100.0,-100.0
20657,-100.0,-100.0,-100.0
20673,-100.0,-100.0,-100.0
20675,-100.0,-100.0,-100.0
20679,-100.0,-100.0,-100.0
20691,-100.0,-100.0,-100.0
20692,-100.0,-100.0,-100.0
20697,-100.0,-100.0,-100.0
20709,-100.0,-100.0,-100.0
20722,-100.0,-100.0,-100.0
20726,-100.0,-100.0,-100.0
20727,-100.0,-100.0,-100.0
20739,-100.0,-100.0,-100.0
20744,-100.0,-100.0,-100.0
20756,-100.0,-100.0,-100.0
20761,-100.0,-100.0,-100.0
20762,-100.0,-100.0,-100.0
20772,-100.0,-100.0,-100.0
20778,-100.0,-100.0,-100.0
20779,-100.0,-100.0,-100.0
20796,-100.0,-100.0,-100.0
20806,-100.0,-100.0,-100.0
20811,-100.0,-100.0,-100.0
20815,-100.0,-100.0,-100.0
20823,-100.0,-100.0,-100.0
20828,-100.0,-100.0,-100.0
20832,-100.0,-100.0,-100.0
20839,-100.0,-100.0,-100.0
20844,-100.0,-100.0,-100.0
20849,-100.0,-100.0,-100.0
20855,-100.0,-100.0,-100.0
20863,-100.0,-100.0,-100.0
20865,-100.0,-100.0,-100.0
20867,-100.0,-100.0,-100.0
20883,-100.0,-100.0,-100.0
20884,-100.0,-100.0,-100.0
20889,-100.0,-100.0,-100.0
20890,-100.0,-100.0,-100.0
20894,-100.0,-100.0,-100.0
20905,-100.0,-100.0,-100.0
20909,-100.0,-100.0,-100.0
20910,-100.0,-100.0,-100.0
20922,-100.0,-100.0,-100.0
20927,-100.0,-100.0,-100.0
20935,-100.0,-100.0,-100.0
20939,-100.0,-100.0,-100.0
20943,-100.0,-100.0,-100.0
20944,-100.0,-100.0,-100.0
20955,-100.0,-100.0,-100.0
20960,-100.0,-100.0,-100.0
20961,-100.0,-100.0,-100.0
20972,-100.0,-100.0,-100.0
20979,-100.0,-100.0,-100.0
20987,-100.0,-100.0,-100.0
20994,-100.0,-100.0,-100.0
20996,-100.0,-100.0,-100.0
20997,-100.0,-100.0,-100.0
21013,-100.0,-100.0,-100.0
21014,-100.0,-100.0,-100.0
21022,-100.0,-100.0,-100.0
21029,-100.0,-100.0,-100.0
21032,-100.0,-100.0,-100.0
21050,-100.0,-100.0,-100.0
21055,-100.0,-100.0,-100.0
21060,-100.0,-100.0,-100.0
21066,-100.0,-100.0,-100.0
21072,-100.0,-100.0,-100.0
21076,-100.0,-100.0,-100.0
21084,-100.0,-100.0,-100.0
21088,-100.0,-100.0,-100.0
21091,-100.0,-100.0,-100.0
21094,-100.0,-100.0,-100.0
21105,-100.0,-100.0,-100.0
21107,-100.0,-100.0,-100.0
21108,-100.0,-100.0,-100.0
21110,-100.0,-100.0,-100.0
21122,-100.0,-100.0,-100.0
21126,-100.0,-100.0,-100.0
21135,-100.0,-100.0,-100.0
21139,-100.0,-100.0,-100.0
21144,-100.0,-100.0,-100.0
21146,-100.0,-100.0,-100.0
21155,-100.0,-100.0,-100.0
21160,-100.0,-100.0,-100.0
21161,-100.0,-100.0,-100.0
21172,-100.0,-100.0,-100.0
21177,-100.0,-100.0,-100.0
21178,-100.0,-100.0,-100.0
21188,-100.0,-100.0,-100.0
21193,-100.0,-100.0,-100.0
21196,-100.0,-100.0,-100.0
21205,-100.0,-100.0,-100.0
21209,-100.0,-100.0,-100.0
21214,-100.0,-100.0,-100.0
21222,-100.0,-100.0,-100.0
21226,-100.0,-100.0,-100.0
21231,-100.0,-100.0,-100.0
21241,-100.0,-100.0,-100.0
21246,-100.0,-100.0,-100.0
21248,-100.0,-100.0,-100.0
21266,-100.0,-100.0,-100.0
21271,-100.0,-100.0,-100.0
21275,-100.0,-100.0,-100.0
21283,-100.0,-100.0,-100.0
21288,-100.0,-100.0,-100.0
21291,-100.0,-100.0,-100.0
21292,-100.0,-100.0,-100.0
21301,-100.0,-100.0,-100.0
21305,-100.0,-100.0,-100.0
21309,-100.0,-100.0,-100.0
21311,-100.0,-100.0,-100.0
21321,-100.0,-100.0,-100.0
21326,-100.0,-100.0,-100.0
21327,-100.0,-100.0,-100.0
21338,-100.0,-100.0,-100.0
21343,-100.0,-100.0,-100.0
21355,-100.0,-100.0,-100.0
21359,-100.0,-100.0,-100.0
21360,-100.0,-100.0,-100.0
21361,-100.0,-100.0,-100.0
21371,-100.0,-100.0,-100.0
21375,-100.0,-100.0,-100.0
21378,-100.0,-100.0,-100.0
21386,-100.0,-100.0,-100.0
21388,-100.0,-100.0,-100.0
21393,-100.0,-100.0,-100.0
21405,-100.0,-100.0,-100.0
21409,-100.0,-100.0,-100.0
21417,-100.0,-100.0,-100.0
21421,-100.0,-100.0,-100.0
21427,-100.0,-100.0,-100.0
21430,-100.0,-100.0,-100.0
21440,-100.0,-100.0,-100.0
21444,-100.0,-100.0,-100.0
21448,-100.0,-100.0,-100.0
21455,-100.0,-100.0,-100.0
21459,-100.0,-100.0,-100.0
21466,-100.0,-100.0,-100.0
21471,-100.0,-100.0,-100.0
