,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
5376,-100.0,-100.0,-100.0,-100.0
5402,-100.0,-100.0,-100.0,-100.0
5407,-100.0,-100.0,-100.0,-100.0
5418,-100.0,-100.0,-100.0,-100.0
5424,-100.0,-100.0,-100.0,-100.0
5430,-100.0,-100.0,-100.0,-100.0
5452,-100.0,-100.0,-100.0,-100.0
5456,-100.0,-100.0,-100.0,-100.0
5476,-100.0,-100.0,-100.0,-100.0
5503,-100.0,-100.0,-100.0,-100.0
5521,-100.0,-100.0,-100.0,-100.0
5528,-100.0,-100.0,-100.0,-100.0
5549,-100.0,-100.0,-100.0,-100.0
5550,-100.0,-100.0,-100.0,-100.0
5568,-100.0,-100.0,-100.0,-100.0
5619,-100.0,-100.0,-100.0,-100.0
5641,-100.0,-100.0,-100.0,-100.0
5653,-100.0,-100.0,-100.0,-100.0
5675,-100.0,-100.0,-100.0,-100.0
5722,-100.0,-100.0,-100.0,-100.0
5730,-100.0,-100.0,-100.0,-100.0
5765,-100.0,-100.0,-100.0,-100.0
5781,-100.0,-100.0,-100.0,-100.0
5800,-100.0,-100.0,-100.0,-100.0
5836,-100.0,-100.0,-100.0,-100.0
5874,-100.0,-100.0,-100.0,-100.0
5904,-100.0,-100.0,-100.0,-100.0
5914,-100.0,-100.0,-100.0,-100.0
5927,-100.0,-100.0,-100.0,-100.0
5949,-100.0,-100.0,-100.0,-100.0
5950,-100.0,-100.0,-100.0,-100.0
5980,-100.0,-100.0,-100.0,-100.0
6001,-100.0,-100.0,-100.0,-100.0
6022,-100.0,-100.0,-100.0,-100.0
6052,-100.0,-100.0,-100.0,-100.0
6086,-100.0,-100.0,-100.0,-100.0
6107,-100.0,-100.0,-100.0,-100.0
6355,-100.0,-100.0,-100.0,-100.0
6395,-100.0,-100.0,-100.0,-100.0
6430,-100.0,-100.0,-100.0,-100.0
6468,-100.0,-100.0,-100.0,-100.0
6487,-100.0,-100.0,-100.0,-100.0
6503,-100.0,-100.0,-100.0,-100.0
6523,-100.0,-100.0,-100.0,-100.0
6543,-100.0,-100.0,-100.0,-100.0
6549,-100.0,-100.0,-100.0,-100.0
6595,-100.0,-100.0,-100.0,-100.0
6627,-100.0,-100.0,-100.0,-100.0
6649,-100.0,-100.0,-100.0,-100.0
6665,-100.0,-100.0,-100.0,-100.0
6668,-100.0,-100.0,-100.0,-100.0
6694,-100.0,-100.0,-100.0,-100.0
6699,-100.0,-100.0,-100.0,-100.0
6710,-100.0,-100.0,-100.0,-100.0
6805,-100.0,-100.0,-100.0,-100.0
6814,-100.0,-100.0,-100.0,-100.0
6817,-100.0,-100.0,-100.0,-100.0
6855,-100.0,-100.0,-100.0,-100.0
6868,-100.0,-100.0,-100.0,-100.0
6886,-100.0,-100.0,-100.0,-100.0
6899,-100.0,-100.0,-100.0,-100.0
6906,-100.0,-100.0,-100.0,-100.0
6928,-100.0,-100.0,-100.0,-100.0
6933,-100.0,-100.0,-100.0,-100.0
6970,-100.0,-100.0,-100.0,-100.0
6989,-100.0,-100.0,-100.0,-100.0
7048,-100.0,-100.0,-100.0,-100.0
7081,-100.0,-100.0,-100.0,-100.0
7099,-100.0,-100.0,-100.0,-100.0
7102,-100.0,-100.0,-100.0,-100.0
7119,-100.0,-100.0,-100.0,-100.0
7122,-100.0,-100.0,-100.0,-100.0
7145,-100.0,-100.0,-100.0,-100.0
7160,-100.0,-100.0,-100.0,-100.0
7171,-100.0,-100.0,-100.0,-100.0
7209,-100.0,-100.0,-100.0,-100.0
7231,-100.0,-100.0,-100.0,-100.0
7315,-100.0,-100.0,-100.0,-100.0
7327,-100.0,-100.0,-100.0,-100.0
7352,-100.0,-100.0,-100.0,-100.0
7375,-100.0,-100.0,-100.0,-100.0
7397,-100.0,-100.0,-100.0,-100.0
7407,-100.0,-100.0,-100.0,-100.0
7416,-100.0,-100.0,-100.0,-100.0
7431,-100.0,-100.0,-100.0,-100.0
7496,-100.0,-100.0,-100.0,-100.0
7611,-100.0,-100.0,-100.0,-100.0
7704,-100.0,-100.0,-100.0,-100.0
7738,-100.0,-100.0,-100.0,-100.0
7872,-100.0,-100.0,-100.0,-100.0
7919,-100.0,-100.0,-100.0,-100.0
7958,-100.0,-100.0,-100.0,-100.0
7994,-100.0,-100.0,-100.0,-100.0
8028,-100.0,-100.0,-100.0,-100.0
