,A1B2BMGBX36ZX,A2YP8M9VHFXZV,A23KB5AO13NF7,nan
8680,-100.0,-100.0,-100.0,-100.0
8699,-100.0,-100.0,-100.0,-100.0
8719,-100.0,-100.0,-100.0,-100.0
8738,-100.0,-100.0,-100.0,-100.0
8755,-100.0,-100.0,-100.0,-100.0
8774,-100.0,-100.0,-100.0,-100.0
8790,-100.0,-100.0,-100.0,-100.0
8807,-100.0,-100.0,-100.0,-100.0
8826,-100.0,-100.0,-100.0,-100.0
8843,-100.0,-100.0,-100.0,-100.0
8860,-100.0,-100.0,-100.0,-100.0
8879,-100.0,-100.0,-100.0,-100.0
8895,-100.0,-100.0,-100.0,-100.0
8912,-100.0,-100.0,-100.0,-100.0
8930,-100.0,-100.0,-100.0,-100.0
8937,-100.0,-100.0,-100.0,-100.0
8956,-100.0,-100.0,-100.0,-100.0
8971,-100.0,-100.0,-100.0,-100.0
8989,-100.0,-100.0,-100.0,-100.0
9007,-100.0,-100.0,-100.0,-100.0
9024,-100.0,-100.0,-100.0,-100.0
9042,-100.0,-100.0,-100.0,-100.0
9060,-100.0,-100.0,-100.0,-100.0
9077,-100.0,-100.0,-100.0,-100.0
9095,-100.0,-100.0,-100.0,-100.0
9112,-100.0,-100.0,-100.0,-100.0
9130,-100.0,-100.0,-100.0,-100.0
9137,-100.0,-100.0,-100.0,-100.0
9156,-100.0,-100.0,-100.0,-100.0
9171,-100.0,-100.0,-100.0,-100.0
9189,-100.0,-100.0,-100.0,-100.0
9207,-100.0,-100.0,-100.0,-100.0
9224,-100.0,-100.0,-100.0,-100.0
9242,-100.0,-100.0,-100.0,-100.0
9259,-100.0,-100.0,-100.0,-100.0
9276,-100.0,-100.0,-100.0,-100.0
9294,-100.0,-100.0,-100.0,-100.0
9318,-100.0,-100.0,-100.0,-100.0
9347,-100.0,-100.0,-100.0,-100.0
9364,-100.0,-100.0,-100.0,-100.0
9371,-100.0,-100.0,-100.0,-100.0
9388,-100.0,-100.0,-100.0,-100.0
9406,-100.0,-100.0,-100.0,-100.0
9423,-100.0,-100.0,-100.0,-100.0
9440,-100.0,-100.0,-100.0,-100.0
9459,-100.0,-100.0,-100.0,-100.0
9475,-100.0,-100.0,-100.0,-100.0
9494,-100.0,-100.0,-100.0,-100.0
9511,-100.0,-100.0,-100.0,-100.0
9528,-100.0,-100.0,-100.0,-100.0
9546,-100.0,-100.0,-100.0,-100.0
10780,-100.0,-100.0,-100.0,-100.0
10801,-100.0,-100.0,-100.0,-100.0
10829,-100.0,-100.0,-100.0,-100.0
10857,-100.0,-100.0,-100.0,-100.0
10875,-100.0,-100.0,-100.0,-100.0
10901,-100.0,-100.0,-100.0,-100.0
10924,-100.0,-100.0,-100.0,-100.0
10942,-100.0,-100.0,-100.0,-100.0
10956,-100.0,-100.0,-100.0,-100.0
10984,-100.0,-100.0,-100.0,-100.0
11003,-100.0,-100.0,-100.0,-100.0
11017,-100.0,-100.0,-100.0,-100.0
11030,-100.0,-100.0,-100.0,-100.0
11047,-100.0,-100.0,-100.0,-100.0
11062,-100.0,-100.0,-100.0,-100.0
11079,-100.0,-100.0,-100.0,-100.0
11096,-100.0,-100.0,-100.0,-100.0
11112,-100.0,-100.0,-100.0,-100.0
11129,-100.0,-100.0,-100.0,-100.0
11146,-100.0,-100.0,-100.0,-100.0
11162,-100.0,-100.0,-100.0,-100.0
11179,-100.0,-100.0,-100.0,-100.0
11196,-100.0,-100.0,-100.0,-100.0
11212,-100.0,-100.0,-100.0,-100.0
11229,-100.0,-100.0,-100.0,-100.0
11246,-100.0,-100.0,-100.0,-100.0
11262,-100.0,-100.0,-100.0,-100.0
11279,-100.0,-100.0,-100.0,-100.0
11296,-100.0,-100.0,-100.0,-100.0
11312,-100.0,-100.0,-100.0,-100.0
11329,-100.0,-100.0,-100.0,-100.0
11346,-100.0,-100.0,-100.0,-100.0
11362,-100.0,-100.0,-100.0,-100.0
11379,-100.0,-100.0,-100.0,-100.0
11397,-100.0,-100.0,-100.0,-100.0
11412,-100.0,-100.0,-100.0,-100.0
11429,-100.0,-100.0,-100.0,-100.0
11446,-100.0,-100.0,-100.0,-100.0
11462,-100.0,-100.0,-100.0,-100.0
11479,-100.0,-100.0,-100.0,-100.0
11496,-100.0,-100.0,-100.0,-100.0
11512,-100.0,-100.0,-100.0,-100.0
11530,-100.0,-100.0,-100.0,-100.0
11557,-100.0,-100.0,-100.0,-100.0
11567,-100.0,-100.0,-100.0,-100.0
11580,-100.0,-100.0,-100.0,-100.0
11596,-100.0,-100.0,-100.0,-100.0
11620,-100.0,-100.0,-100.0,-100.0
11640,-100.0,-100.0,-100.0,-100.0
11652,-100.0,-100.0,-100.0,-100.0
11662,-100.0,-100.0,-100.0,-100.0
11679,-100.0,-100.0,-100.0,-100.0
11696,-100.0,-100.0,-100.0,-100.0
11712,-100.0,-100.0,-100.0,-100.0
11729,-100.0,-100.0,-100.0,-100.0
11747,-100.0,-100.0,-100.0,-100.0
11762,-100.0,-100.0,-100.0,-100.0
11779,-100.0,-100.0,-100.0,-100.0
11795,-100.0,-100.0,-100.0,-100.0
11812,-100.0,-100.0,-100.0,-100.0
11829,-100.0,-100.0,-100.0,-100.0
11846,-100.0,-100.0,-100.0,-100.0
11863,-100.0,-100.0,-100.0,-100.0
11881,-100.0,-100.0,-100.0,-100.0
11896,-100.0,-100.0,-100.0,-100.0
11912,-100.0,-100.0,-100.0,-100.0
11929,-100.0,-100.0,-100.0,-100.0
11945,-100.0,-100.0,-100.0,-100.0
11962,-100.0,-100.0,-100.0,-100.0
11987,-100.0,-100.0,-100.0,-100.0
11997,-100.0,-100.0,-100.0,-100.0
12012,-100.0,-100.0,-100.0,-100.0
12030,-100.0,-100.0,-100.0,-100.0
12046,-100.0,-100.0,-100.0,-100.0
12062,-100.0,-100.0,-100.0,-100.0
12079,-100.0,-100.0,-100.0,-100.0
12097,-100.0,-100.0,-100.0,-100.0
12112,-100.0,-100.0,-100.0,-100.0
12129,-100.0,-100.0,-100.0,-100.0
12146,-100.0,-100.0,-100.0,-100.0
12163,-100.0,-100.0,-100.0,-100.0
12179,-100.0,-100.0,-100.0,-100.0
12195,-100.0,-100.0,-100.0,-100.0
12214,-100.0,-100.0,-100.0,-100.0
12231,-100.0,-100.0,-100.0,-100.0
12245,-100.0,-100.0,-100.0,-100.0
12262,-100.0,-100.0,-100.0,-100.0
12279,-100.0,-100.0,-100.0,-100.0
12296,-100.0,-100.0,-100.0,-100.0
12312,-100.0,-100.0,-100.0,-100.0
12329,-100.0,-100.0,-100.0,-100.0
12345,-100.0,-100.0,-100.0,-100.0
12362,-100.0,-100.0,-100.0,-100.0
12379,-100.0,-100.0,-100.0,-100.0
12396,-100.0,-100.0,-100.0,-100.0
12412,-100.0,-100.0,-100.0,-100.0
12429,-100.0,-100.0,-100.0,-100.0
12447,-100.0,-100.0,-100.0,-100.0
12462,-100.0,-100.0,-100.0,-100.0
12479,-100.0,-100.0,-100.0,-100.0
12496,-100.0,-100.0,-100.0,-100.0
12512,-100.0,-100.0,-100.0,-100.0
12530,-100.0,-100.0,-100.0,-100.0
12550,-100.0,-100.0,-100.0,-100.0
12564,-100.0,-100.0,-100.0,-100.0
12579,-100.0,-100.0,-100.0,-100.0
12595,-100.0,-100.0,-100.0,-100.0
12612,-100.0,-100.0,-100.0,-100.0
12629,-100.0,-100.0,-100.0,-100.0
12646,-100.0,-100.0,-100.0,-100.0
12662,-100.0,-100.0,-100.0,-100.0
12679,-100.0,-100.0,-100.0,-100.0
12695,-100.0,-100.0,-100.0,-100.0
12712,-100.0,-100.0,-100.0,-100.0
12729,-100.0,-100.0,-100.0,-100.0
12745,-100.0,-100.0,-100.0,-100.0
12762,-100.0,-100.0,-100.0,-100.0
12780,-100.0,-100.0,-100.0,-100.0
12797,-100.0,-100.0,-100.0,-100.0
12812,-100.0,-100.0,-100.0,-100.0
12829,-100.0,-100.0,-100.0,-100.0
12846,-100.0,-100.0,-100.0,-100.0
12863,-100.0,-100.0,-100.0,-100.0
12879,-100.0,-100.0,-100.0,-100.0
12895,-100.0,-100.0,-100.0,-100.0
12912,-100.0,-100.0,-100.0,-100.0
12929,-100.0,-100.0,-100.0,-100.0
12945,-100.0,-100.0,-100.0,-100.0
12962,-100.0,-100.0,-100.0,-100.0
12982,-100.0,-100.0,-100.0,-100.0
12995,-100.0,-100.0,-100.0,-100.0
13012,-100.0,-100.0,-100.0,-100.0
13030,-100.0,-100.0,-100.0,-100.0
13045,-100.0,-100.0,-100.0,-100.0
13062,-100.0,-100.0,-100.0,-100.0
13079,-100.0,-100.0,-100.0,-100.0
13096,-100.0,-100.0,-100.0,-100.0
13114,-100.0,-100.0,-100.0,-100.0
13129,-100.0,-100.0,-100.0,-100.0
13146,-100.0,-100.0,-100.0,-100.0
13163,-100.0,-100.0,-100.0,-100.0
13181,-100.0,-100.0,-100.0,-100.0
13196,-100.0,-100.0,-100.0,-100.0
13212,-100.0,-100.0,-100.0,-100.0
13229,-100.0,-100.0,-100.0,-100.0
13262,-100.0,-100.0,-100.0,-100.0
13281,-100.0,-100.0,-100.0,-100.0
13300,-100.0,-100.0,-100.0,-100.0
13312,-100.0,-100.0,-100.0,-100.0
13330,-100.0,-100.0,-100.0,-100.0
13346,-100.0,-100.0,-100.0,-100.0
13362,-100.0,-100.0,-100.0,-100.0
13379,-100.0,-100.0,-100.0,-100.0
13400,-100.0,-100.0,-100.0,-100.0
13413,-100.0,-100.0,-100.0,-100.0
13429,-100.0,-100.0,-100.0,-100.0
13445,-100.0,-100.0,-100.0,-100.0
13463,-100.0,-100.0,-100.0,-100.0
13479,-100.0,-100.0,-100.0,-100.0
13496,-100.0,-100.0,-100.0,-100.0
13512,-100.0,-100.0,-100.0,-100.0
13529,-100.0,-100.0,-100.0,-100.0
13547,-100.0,-100.0,-100.0,-100.0
13562,-100.0,-100.0,-100.0,-100.0
13579,-100.0,-100.0,-100.0,-100.0
13612,-100.0,-100.0,-100.0,-100.0
13629,-100.0,-100.0,-100.0,-100.0
13648,-100.0,-100.0,-100.0,-100.0
13679,-100.0,-100.0,-100.0,-100.0
13698,-100.0,-100.0,-100.0,-100.0
13729,-100.0,-100.0,-100.0,-100.0
13745,-100.0,-100.0,-100.0,-100.0
13762,-100.0,-100.0,-100.0,-100.0
13781,-100.0,-100.0,-100.0,-100.0
13813,-100.0,-100.0,-100.0,-100.0
13829,-100.0,-100.0,-100.0,-100.0
13846,-100.0,-100.0,-100.0,-100.0
13865,-100.0,-100.0,-100.0,-100.0
13879,-100.0,-100.0,-100.0,-100.0
13897,-100.0,-100.0,-100.0,-100.0
13913,-100.0,-100.0,-100.0,-100.0
13930,-100.0,-100.0,-100.0,-100.0
21848,-100.0,-100.0,-100.0,-100.0
21874,-100.0,-100.0,-100.0,-100.0
21899,-100.0,-100.0,-100.0,-100.0
21924,-100.0,-100.0,-100.0,-100.0
21948,-100.0,-100.0,-100.0,-100.0
21974,-100.0,-100.0,-100.0,-100.0
21998,-100.0,-100.0,-100.0,-100.0
22024,-100.0,-100.0,-100.0,-100.0
22049,-100.0,-100.0,-100.0,-100.0
22074,-100.0,-100.0,-100.0,-100.0
22099,-100.0,-100.0,-100.0,-100.0
22124,-100.0,-100.0,-100.0,-100.0
22149,-100.0,-100.0,-100.0,-100.0
22175,-100.0,-100.0,-100.0,-100.0
22199,-100.0,-100.0,-100.0,-100.0
22225,-100.0,-100.0,-100.0,-100.0
22249,-100.0,-100.0,-100.0,-100.0
22274,-100.0,-100.0,-100.0,-100.0
22301,-100.0,-100.0,-100.0,-100.0
22324,-100.0,-100.0,-100.0,-100.0
22350,-100.0,-100.0,-100.0,-100.0
29196,-100.0,-100.0,-100.0,-100.0
29211,-100.0,-100.0,-100.0,-100.0
29222,-100.0,-100.0,-100.0,-100.0
29244,-100.0,-100.0,-100.0,-100.0
29249,-100.0,-100.0,-100.0,-100.0
29277,-100.0,-100.0,-100.0,-100.0
29282,-100.0,-100.0,-100.0,-100.0
29294,-100.0,-100.0,-100.0,-100.0
29299,-100.0,-100.0,-100.0,-100.0
29312,-100.0,-100.0,-100.0,-100.0
32178,-100.0,-100.0,-100.0,-100.0
32194,-100.0,-100.0,-100.0,-100.0
32198,-100.0,-100.0,-100.0,-100.0
32210,-100.0,-100.0,-100.0,-100.0
32213,-100.0,-100.0,-100.0,-100.0
32227,-100.0,-100.0,-100.0,-100.0
32230,-100.0,-100.0,-100.0,-100.0
32244,-100.0,-100.0,-100.0,-100.0
32248,-100.0,-100.0,-100.0,-100.0
32260,-100.0,-100.0,-100.0,-100.0
32268,-100.0,-100.0,-100.0,-100.0
32295,-100.0,-100.0,-100.0,-100.0
33729,-100.0,-100.0,-100.0,-100.0
33744,-100.0,-100.0,-100.0,-100.0
33747,-100.0,-100.0,-100.0,-100.0
33777,-100.0,-100.0,-100.0,-100.0
33782,-100.0,-100.0,-100.0,-100.0
33794,-100.0,-100.0,-100.0,-100.0
33797,-100.0,-100.0,-100.0,-100.0
33811,-100.0,-100.0,-100.0,-100.0
33814,-100.0,-100.0,-100.0,-100.0
33827,-100.0,-100.0,-100.0,-100.0
33830,-100.0,-100.0,-100.0,-100.0
33845,-100.0,-100.0,-100.0,-100.0
33849,-100.0,-100.0,-100.0,-100.0
33861,-100.0,-100.0,-100.0,-100.0
33865,-100.0,-100.0,-100.0,-100.0
33878,-100.0,-100.0,-100.0,-100.0
68881,-100.0,-100.0,-100.0,-100.0
68896,-100.0,-100.0,-100.0,-100.0
68912,-100.0,-100.0,-100.0,-100.0
68948,-100.0,-100.0,-100.0,-100.0
68956,-100.0,-100.0,-100.0,-100.0
69000,-100.0,-100.0,-100.0,-100.0
69009,-100.0,-100.0,-100.0,-100.0
69036,-100.0,-100.0,-100.0,-100.0
69044,-100.0,-100.0,-100.0,-100.0
69060,-100.0,-100.0,-100.0,-100.0
69068,-100.0,-100.0,-100.0,-100.0
69078,-100.0,-100.0,-100.0,-100.0
69085,-100.0,-100.0,-100.0,-100.0
69112,-100.0,-100.0,-100.0,-100.0
69122,-100.0,-100.0,-100.0,-100.0
69147,-100.0,-100.0,-100.0,-100.0
69156,-100.0,-100.0,-100.0,-100.0
69182,-100.0,-100.0,-100.0,-100.0
69191,-100.0,-100.0,-100.0,-100.0
69217,-100.0,-100.0,-100.0,-100.0
69225,-100.0,-100.0,-100.0,-100.0
69235,-100.0,-100.0,-100.0,-100.0
69243,-100.0,-100.0,-100.0,-100.0
69254,-100.0,-100.0,-100.0,-100.0
69264,-100.0,-100.0,-100.0,-100.0
69277,-100.0,-100.0,-100.0,-100.0
69288,-100.0,-100.0,-100.0,-100.0
69297,-100.0,-100.0,-100.0,-100.0
69305,-100.0,-100.0,-100.0,-100.0
69319,-100.0,-100.0,-100.0,-100.0
69337,-100.0,-100.0,-100.0,-100.0
69342,-100.0,-100.0,-100.0,-100.0
69352,-100.0,-100.0,-100.0,-100.0
69359,-100.0,-100.0,-100.0,-100.0
69366,-100.0,-100.0,-100.0,-100.0
69378,-100.0,-100.0,-100.0,-100.0
69388,-100.0,-100.0,-100.0,-100.0
69394,-100.0,-100.0,-100.0,-100.0
69400,-100.0,-100.0,-100.0,-100.0
69411,-100.0,-100.0,-100.0,-100.0
69420,-100.0,-100.0,-100.0,-100.0
69429,-100.0,-100.0,-100.0,-100.0
69436,-100.0,-100.0,-100.0,-100.0
69443,-100.0,-100.0,-100.0,-100.0
69453,-100.0,-100.0,-100.0,-100.0
69464,-100.0,-100.0,-100.0,-100.0
69473,-100.0,-100.0,-100.0,-100.0
69480,-100.0,-100.0,-100.0,-100.0
69488,-100.0,-100.0,-100.0,-100.0
69494,-100.0,-100.0,-100.0,-100.0
69505,-100.0,-100.0,-100.0,-100.0
69511,-100.0,-100.0,-100.0,-100.0
69521,-100.0,-100.0,-100.0,-100.0
69531,-100.0,-100.0,-100.0,-100.0
69540,-100.0,-100.0,-100.0,-100.0
69546,-100.0,-100.0,-100.0,-100.0
69556,-100.0,-100.0,-100.0,-100.0
69563,-100.0,-100.0,-100.0,-100.0
69573,-100.0,-100.0,-100.0,-100.0
69583,-100.0,-100.0,-100.0,-100.0
69594,-100.0,-100.0,-100.0,-100.0
69601,-100.0,-100.0,-100.0,-100.0
69609,-100.0,-100.0,-100.0,-100.0
69619,-100.0,-100.0,-100.0,-100.0
69630,-100.0,-100.0,-100.0,-100.0
69637,-100.0,-100.0,-100.0,-100.0
69650,-100.0,-100.0,-100.0,-100.0
69659,-100.0,-100.0,-100.0,-100.0
69666,-100.0,-100.0,-100.0,-100.0
69678,-100.0,-100.0,-100.0,-100.0
69686,-100.0,-100.0,-100.0,-100.0
69694,-100.0,-100.0,-100.0,-100.0
69699,-100.0,-100.0,-100.0,-100.0
69705,-100.0,-100.0,-100.0,-100.0
69711,-100.0,-100.0,-100.0,-100.0
69718,-100.0,-100.0,-100.0,-100.0
69729,-100.0,-100.0,-100.0,-100.0
69737,-100.0,-100.0,-100.0,-100.0
69746,-100.0,-100.0,-100.0,-100.0
69754,-100.0,-100.0,-100.0,-100.0
69763,-100.0,-100.0,-100.0,-100.0
69774,-100.0,-100.0,-100.0,-100.0
69782,-100.0,-100.0,-100.0,-100.0
69791,-100.0,-100.0,-100.0,-100.0
69798,-100.0,-100.0,-100.0,-100.0
69807,-100.0,-100.0,-100.0,-100.0
69817,-100.0,-100.0,-100.0,-100.0
69845,-100.0,-100.0,-100.0,-100.0
69851,-100.0,-100.0,-100.0,-100.0
69860,-100.0,-100.0,-100.0,-100.0
69870,-100.0,-100.0,-100.0,-100.0
69881,-100.0,-100.0,-100.0,-100.0
69887,-100.0,-100.0,-100.0,-100.0
69896,-100.0,-100.0,-100.0,-100.0
69904,-100.0,-100.0,-100.0,-100.0
69913,-100.0,-100.0,-100.0,-100.0
69916,-100.0,-100.0,-100.0,-100.0
69926,-100.0,-100.0,-100.0,-100.0
69934,-100.0,-100.0,-100.0,-100.0
69943,-100.0,-100.0,-100.0,-100.0
69953,-100.0,-100.0,-100.0,-100.0
69963,-100.0,-100.0,-100.0,-100.0
69968,-100.0,-100.0,-100.0,-100.0
69979,-100.0,-100.0,-100.0,-100.0
69985,-100.0,-100.0,-100.0,-100.0
69993,-100.0,-100.0,-100.0,-100.0
70002,-100.0,-100.0,-100.0,-100.0
70012,-100.0,-100.0,-100.0,-100.0
70019,-100.0,-100.0,-100.0,-100.0
70029,-100.0,-100.0,-100.0,-100.0
70039,-100.0,-100.0,-100.0,-100.0
70048,-100.0,-100.0,-100.0,-100.0
70055,-100.0,-100.0,-100.0,-100.0
70065,-100.0,-100.0,-100.0,-100.0
70070,-100.0,-100.0,-100.0,-100.0
70079,-100.0,-100.0,-100.0,-100.0
70094,-100.0,-100.0,-100.0,-100.0
70104,-100.0,-100.0,-100.0,-100.0
70111,-100.0,-100.0,-100.0,-100.0
70130,-100.0,-100.0,-100.0,-100.0
70144,-100.0,-100.0,-100.0,-100.0
70152,-100.0,-100.0,-100.0,-100.0
70163,-100.0,-100.0,-100.0,-100.0
70172,-100.0,-100.0,-100.0,-100.0
70180,-100.0,-100.0,-100.0,-100.0
70188,-100.0,-100.0,-100.0,-100.0
70198,-100.0,-100.0,-100.0,-100.0
70207,-100.0,-100.0,-100.0,-100.0
70214,-100.0,-100.0,-100.0,-100.0
70223,-100.0,-100.0,-100.0,-100.0
70232,-100.0,-100.0,-100.0,-100.0
70241,-100.0,-100.0,-100.0,-100.0
70250,-100.0,-100.0,-100.0,-100.0
70259,-100.0,-100.0,-100.0,-100.0
70267,-100.0,-100.0,-100.0,-100.0
70276,-100.0,-100.0,-100.0,-100.0
70286,-100.0,-100.0,-100.0,-100.0
70297,-100.0,-100.0,-100.0,-100.0
70307,-100.0,-100.0,-100.0,-100.0
70316,-100.0,-100.0,-100.0,-100.0
70322,-100.0,-100.0,-100.0,-100.0
70331,-100.0,-100.0,-100.0,-100.0
70342,-100.0,-100.0,-100.0,-100.0
70350,-100.0,-100.0,-100.0,-100.0
70356,-100.0,-100.0,-100.0,-100.0
70365,-100.0,-100.0,-100.0,-100.0
70373,-100.0,-100.0,-100.0,-100.0
70380,-100.0,-100.0,-100.0,-100.0
70388,-100.0,-100.0,-100.0,-100.0
70395,-100.0,-100.0,-100.0,-100.0
70399,-100.0,-100.0,-100.0,-100.0
70408,-100.0,-100.0,-100.0,-100.0
70415,-100.0,-100.0,-100.0,-100.0
70420,-100.0,-100.0,-100.0,-100.0
70427,-100.0,-100.0,-100.0,-100.0
70433,-100.0,-100.0,-100.0,-100.0
70441,-100.0,-100.0,-100.0,-100.0
70450,-100.0,-100.0,-100.0,-100.0
70451,-100.0,-100.0,-100.0,-100.0
70459,-100.0,-100.0,-100.0,-100.0
70467,-100.0,-100.0,-100.0,-100.0
70469,-100.0,-100.0,-100.0,-100.0
70474,-100.0,-100.0,-100.0,-100.0
70484,-100.0,-100.0,-100.0,-100.0
70486,-100.0,-100.0,-100.0,-100.0
70494,-100.0,-100.0,-100.0,-100.0
70504,-100.0,-100.0,-100.0,-100.0
70505,-100.0,-100.0,-100.0,-100.0
70514,-100.0,-100.0,-100.0,-100.0
70522,-100.0,-100.0,-100.0,-100.0
70532,-100.0,-100.0,-100.0,-100.0
70538,-100.0,-100.0,-100.0,-100.0
70539,-100.0,-100.0,-100.0,-100.0
70548,-100.0,-100.0,-100.0,-100.0
70556,-100.0,-100.0,-100.0,-100.0
70561,-100.0,-100.0,-100.0,-100.0
70569,-100.0,-100.0,-100.0,-100.0
70580,-100.0,-100.0,-100.0,-100.0
70585,-100.0,-100.0,-100.0,-100.0
70593,-100.0,-100.0,-100.0,-100.0
70598,-100.0,-100.0,-100.0,-100.0
70599,-100.0,-100.0,-100.0,-100.0
70610,-100.0,-100.0,-100.0,-100.0
70617,-100.0,-100.0,-100.0,-100.0
70620,-100.0,-100.0,-100.0,-100.0
70630,-100.0,-100.0,-100.0,-100.0
70633,-100.0,-100.0,-100.0,-100.0
70638,-100.0,-100.0,-100.0,-100.0
70647,-100.0,-100.0,-100.0,-100.0
70650,-100.0,-100.0,-100.0,-100.0
70656,-100.0,-100.0,-100.0,-100.0
70664,-100.0,-100.0,-100.0,-100.0
70667,-100.0,-100.0,-100.0,-100.0
70674,-100.0,-100.0,-100.0,-100.0
70682,-100.0,-100.0,-100.0,-100.0
70686,-100.0,-100.0,-100.0,-100.0
70691,-100.0,-100.0,-100.0,-100.0
70699,-100.0,-100.0,-100.0,-100.0
70707,-100.0,-100.0,-100.0,-100.0
70717,-100.0,-100.0,-100.0,-100.0
70721,-100.0,-100.0,-100.0,-100.0
70724,-100.0,-100.0,-100.0,-100.0
70737,-100.0,-100.0,-100.0,-100.0
70744,-100.0,-100.0,-100.0,-100.0
70756,-100.0,-100.0,-100.0,-100.0
70757,-100.0,-100.0,-100.0,-100.0
70765,-100.0,-100.0,-100.0,-100.0
70773,-100.0,-100.0,-100.0,-100.0
70774,-100.0,-100.0,-100.0,-100.0
70778,-100.0,-100.0,-100.0,-100.0
70789,-100.0,-100.0,-100.0,-100.0
70794,-100.0,-100.0,-100.0,-100.0
70803,-100.0,-100.0,-100.0,-100.0
70812,-100.0,-100.0,-100.0,-100.0
70815,-100.0,-100.0,-100.0,-100.0
70821,-100.0,-100.0,-100.0,-100.0
70831,-100.0,-100.0,-100.0,-100.0
70833,-100.0,-100.0,-100.0,-100.0
70841,-100.0,-100.0,-100.0,-100.0
70850,-100.0,-100.0,-100.0,-100.0
70852,-100.0,-100.0,-100.0,-100.0
70861,-100.0,-100.0,-100.0,-100.0
70867,-100.0,-100.0,-100.0,-100.0
70878,-100.0,-100.0,-100.0,-100.0
70883,-100.0,-100.0,-100.0,-100.0
70886,-100.0,-100.0,-100.0,-100.0
70894,-100.0,-100.0,-100.0,-100.0
70899,-100.0,-100.0,-100.0,-100.0
70902,-100.0,-100.0,-100.0,-100.0
70908,-100.0,-100.0,-100.0,-100.0
70918,-100.0,-100.0,-100.0,-100.0
70920,-100.0,-100.0,-100.0,-100.0
70927,-100.0,-100.0,-100.0,-100.0
70935,-100.0,-100.0,-100.0,-100.0
70937,-100.0,-100.0,-100.0,-100.0
70943,-100.0,-100.0,-100.0,-100.0
70952,-100.0,-100.0,-100.0,-100.0
70955,-100.0,-100.0,-100.0,-100.0
70962,-100.0,-100.0,-100.0,-100.0
70969,-100.0,-100.0,-100.0,-100.0
70973,-100.0,-100.0,-100.0,-100.0
70975,-100.0,-100.0,-100.0,-100.0
70976,-100.0,-100.0,-100.0,-100.0
70984,-100.0,-100.0,-100.0,-100.0
70991,-100.0,-100.0,-100.0,-100.0
70995,-100.0,-100.0,-100.0,-100.0
71004,-100.0,-100.0,-100.0,-100.0
71013,-100.0,-100.0,-100.0,-100.0
71015,-100.0,-100.0,-100.0,-100.0
71022,-100.0,-100.0,-100.0,-100.0
71031,-100.0,-100.0,-100.0,-100.0
71043,-100.0,-100.0,-100.0,-100.0
71048,-100.0,-100.0,-100.0,-100.0
71058,-100.0,-100.0,-100.0,-100.0
71063,-100.0,-100.0,-100.0,-100.0
