,A1B2BMGBX36ZX,A2YP8M9VHFXZV,A23KB5AO13NF7,nan
0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,-100.0
4264,-100.0,-100.0,-100.0,-100.0
4290,-100.0,-100.0,-100.0,-100.0
4315,-100.0,-100.0,-100.0,-100.0
4340,-100.0,-100.0,-100.0,-100.0
4365,-100.0,-100.0,-100.0,-100.0
4390,-100.0,-100.0,-100.0,-100.0
4415,-100.0,-100.0,-100.0,-100.0
4441,-100.0,-100.0,-100.0,-100.0
4466,-100.0,-100.0,-100.0,-100.0
4490,-100.0,-100.0,-100.0,-100.0
4515,-100.0,-100.0,-100.0,-100.0
5870,-100.0,-100.0,-100.0,-100.0
5896,-100.0,-100.0,-100.0,-100.0
5921,-100.0,-100.0,-100.0,-100.0
5945,-100.0,-100.0,-100.0,-100.0
5970,-100.0,-100.0,-100.0,-100.0
5995,-100.0,-100.0,-100.0,-100.0
6021,-100.0,-100.0,-100.0,-100.0
6049,-100.0,-100.0,-100.0,-100.0
6071,-100.0,-100.0,-100.0,-100.0
6095,-100.0,-100.0,-100.0,-100.0
6120,-100.0,-100.0,-100.0,-100.0
6145,-100.0,-100.0,-100.0,-100.0
8087,-100.0,-100.0,-100.0,-100.0
8106,-100.0,-100.0,-100.0,-100.0
8139,-100.0,-100.0,-100.0,-100.0
8156,-100.0,-100.0,-100.0,-100.0
8175,-100.0,-100.0,-100.0,-100.0
8192,-100.0,-100.0,-100.0,-100.0
8209,-100.0,-100.0,-100.0,-100.0
8227,-100.0,-100.0,-100.0,-100.0
8244,-100.0,-100.0,-100.0,-100.0
8261,-100.0,-100.0,-100.0,-100.0
8285,-100.0,-100.0,-100.0,-100.0
8303,-100.0,-100.0,-100.0,-100.0
8321,-100.0,-100.0,-100.0,-100.0
8339,-100.0,-100.0,-100.0,-100.0
8356,-100.0,-100.0,-100.0,-100.0
8374,-100.0,-100.0,-100.0,-100.0
8392,-100.0,-100.0,-100.0,-100.0
8409,-100.0,-100.0,-100.0,-100.0
8426,-100.0,-100.0,-100.0,-100.0
8443,-100.0,-100.0,-100.0,-100.0
8461,-100.0,-100.0,-100.0,-100.0
8479,-100.0,-100.0,-100.0,-100.0
8497,-100.0,-100.0,-100.0,-100.0
8513,-100.0,-100.0,-100.0,-100.0
8520,-100.0,-100.0,-100.0,-100.0
8555,-100.0,-100.0,-100.0,-100.0
8574,-100.0,-100.0,-100.0,-100.0
8591,-100.0,-100.0,-100.0,-100.0
8607,-100.0,-100.0,-100.0,-100.0
8625,-100.0,-100.0,-100.0,-100.0
8643,-100.0,-100.0,-100.0,-100.0
8660,-100.0,-100.0,-100.0,-100.0
