,A9DEGNR0707LR,A2PM3OLCOW52S
7763,-100.0,-100.0
7772,-100.0,-100.0
7781,-100.0,-100.0
7791,-100.0,-100.0
7798,-100.0,-100.0
7807,-100.0,-100.0
7814,-100.0,-100.0
7826,-100.0,-100.0
7833,-100.0,-100.0
7843,-100.0,-100.0
7851,-100.0,-100.0
7859,-100.0,-100.0
7869,-100.0,-100.0
7878,-100.0,-100.0
7884,-100.0,-100.0
7896,-100.0,-100.0
7903,-100.0,-100.0
7904,-100.0,-100.0
7911,-100.0,-100.0
7920,-100.0,-100.0
7930,-100.0,-100.0
7937,-100.0,-100.0
7945,-100.0,-100.0
7955,-100.0,-100.0
7962,-100.0,-100.0
7972,-100.0,-100.0
7979,-100.0,-100.0
7991,-100.0,-100.0
8006,-100.0,-100.0
8010,-100.0,-100.0
8018,-100.0,-100.0
8024,-100.0,-100.0
8031,-100.0,-100.0
8042,-100.0,-100.0
8051,-100.0,-100.0
8060,-100.0,-100.0
8071,-100.0,-100.0
8078,-100.0,-100.0
8084,-100.0,-100.0
8094,-100.0,-100.0
8102,-100.0,-100.0
8112,-100.0,-100.0
8120,-100.0,-100.0
8130,-100.0,-100.0
8136,-100.0,-100.0
8143,-100.0,-100.0
8154,-100.0,-100.0
8161,-100.0,-100.0
8171,-100.0,-100.0
8178,-100.0,-100.0
8189,-100.0,-100.0
8199,-100.0,-100.0
8208,-100.0,-100.0
8215,-100.0,-100.0
8224,-100.0,-100.0
8232,-100.0,-100.0
8242,-100.0,-100.0
8251,-100.0,-100.0
8258,-100.0,-100.0
8266,-100.0,-100.0
8277,-100.0,-100.0
8288,-100.0,-100.0
8295,-100.0,-100.0
8303,-100.0,-100.0
8310,-100.0,-100.0
8324,-100.0,-100.0
8333,-100.0,-100.0
8338,-100.0,-100.0
8343,-100.0,-100.0
8352,-100.0,-100.0
8363,-100.0,-100.0
8372,-100.0,-100.0
8380,-100.0,-100.0
8389,-100.0,-100.0
8399,-100.0,-100.0
8408,-100.0,-100.0
8415,-100.0,-100.0
8423,-100.0,-100.0
8433,-100.0,-100.0
8441,-100.0,-100.0
8453,-100.0,-100.0
8459,-100.0,-100.0
8467,-100.0,-100.0
8475,-100.0,-100.0
8481,-100.0,-100.0
8493,-100.0,-100.0
8503,-100.0,-100.0
8511,-100.0,-100.0
8520,-100.0,-100.0
8528,-100.0,-100.0
8540,-100.0,-100.0
8547,-100.0,-100.0
8554,-100.0,-100.0
8570,-100.0,-100.0
8580,-100.0,-100.0
8597,-100.0,-100.0
8606,-100.0,-100.0
8623,-100.0,-100.0
8631,-100.0,-100.0
8660,-100.0,-100.0
8673,-100.0,-100.0
8678,-100.0,-100.0
8687,-100.0,-100.0
8692,-100.0,-100.0
8703,-100.0,-100.0
8710,-100.0,-100.0
8724,-100.0,-100.0
8748,-100.0,-100.0
8845,-100.0,-100.0
8858,-100.0,-100.0
8868,-100.0,-100.0
8874,-100.0,-100.0
8884,-100.0,-100.0
8893,-100.0,-100.0
8901,-100.0,-100.0
8912,-100.0,-100.0
8925,-100.0,-100.0
8930,-100.0,-100.0
8937,-100.0,-100.0
8946,-100.0,-100.0
8953,-100.0,-100.0
8966,-100.0,-100.0
9047,-100.0,-100.0
9058,-100.0,-100.0
9066,-100.0,-100.0
9075,-100.0,-100.0
9085,-100.0,-100.0
9092,-100.0,-100.0
9100,-100.0,-100.0
9110,-100.0,-100.0
9119,-100.0,-100.0
9146,-100.0,-100.0
9156,-100.0,-100.0
9163,-100.0,-100.0
9267,-100.0,-100.0
9301,-100.0,-100.0
9315,-100.0,-100.0
9328,-100.0,-100.0
9334,-100.0,-100.0
9363,-100.0,-100.0
9441,-100.0,-100.0
9468,-100.0,-100.0
9479,-100.0,-100.0
9496,-100.0,-100.0
9512,-100.0,-100.0
9532,-100.0,-100.0
9537,-100.0,-100.0
9552,-100.0,-100.0
9564,-100.0,-100.0
9579,-100.0,-100.0
9676,-100.0,-100.0
9690,-100.0,-100.0
9700,-100.0,-100.0
9707,-100.0,-100.0
9716,-100.0,-100.0
9725,-100.0,-100.0
9746,-100.0,-100.0
9759,-100.0,-100.0
9857,-100.0,-100.0
9874,-100.0,-100.0
9882,-100.0,-100.0
9889,-100.0,-100.0
9897,-100.0,-100.0
9906,-100.0,-100.0
9915,-100.0,-100.0
9925,-100.0,-100.0
9935,-100.0,-100.0
9941,-100.0,-100.0
9952,-100.0,-100.0
9959,-100.0,-100.0
9966,-100.0,-100.0
9982,-100.0,-100.0
9991,-100.0,-100.0
10011,-100.0,-100.0
10022,-100.0,-100.0
10028,-100.0,-100.0
10039,-100.0,-100.0
10053,-100.0,-100.0
10492,-100.0,-100.0
10506,-100.0,-100.0
10513,-100.0,-100.0
10522,-100.0,-100.0
10528,-100.0,-100.0
10539,-100.0,-100.0
10565,-100.0,-100.0
10575,-100.0,-100.0
10582,-100.0,-100.0
10595,-100.0,-100.0
10596,-100.0,-100.0
11643,-100.0,-100.0
11660,-100.0,-100.0
11712,-100.0,-100.0
11730,-100.0,-100.0
12023,-100.0,-100.0
12039,-100.0,-100.0
16638,-100.0,-100.0
16654,-100.0,-100.0
16692,-100.0,-100.0
16701,-100.0,-100.0
16733,-100.0,-100.0
16743,-100.0,-100.0
16770,-100.0,-100.0
16783,-100.0,-100.0
16810,-100.0,-100.0
16819,-100.0,-100.0
16846,-100.0,-100.0
16856,-100.0,-100.0
16881,-100.0,-100.0
16891,-100.0,-100.0
16899,-100.0,-100.0
16914,-100.0,-100.0
17070,-100.0,-100.0
17086,-100.0,-100.0
17109,-100.0,-100.0
17117,-100.0,-100.0
17139,-100.0,-100.0
17149,-100.0,-100.0
17172,-100.0,-100.0
17183,-100.0,-100.0
17192,-100.0,-100.0
17216,-100.0,-100.0
17355,-100.0,-100.0
17370,-100.0,-100.0
17393,-100.0,-100.0
17402,-100.0,-100.0
17435,-100.0,-100.0
17444,-100.0,-100.0
17456,-100.0,-100.0
17469,-100.0,-100.0
17497,-100.0,-100.0
17510,-100.0,-100.0
17657,-100.0,-100.0
17673,-100.0,-100.0
17704,-100.0,-100.0
17719,-100.0,-100.0
17748,-100.0,-100.0
17758,-100.0,-100.0
17786,-100.0,-100.0
17796,-100.0,-100.0
17825,-100.0,-100.0
17841,-100.0,-100.0
17868,-100.0,-100.0
17879,-100.0,-100.0
17914,-100.0,-100.0
17926,-100.0,-100.0
17939,-100.0,-100.0
17954,-100.0,-100.0
17982,-100.0,-100.0
17993,-100.0,-100.0
18023,-100.0,-100.0
18035,-100.0,-100.0
18073,-100.0,-100.0
18085,-100.0,-100.0
18113,-100.0,-100.0
18124,-100.0,-100.0
18159,-100.0,-100.0
18170,-100.0,-100.0
18208,-100.0,-100.0
18221,-100.0,-100.0
18249,-100.0,-100.0
18261,-100.0,-100.0
18289,-100.0,-100.0
18307,-100.0,-100.0
18338,-100.0,-100.0
18349,-100.0,-100.0
18380,-100.0,-100.0
18391,-100.0,-100.0
18401,-100.0,-100.0
18422,-100.0,-100.0
18453,-100.0,-100.0
18464,-100.0,-100.0
18500,-100.0,-100.0
18514,-100.0,-100.0
18525,-100.0,-100.0
18542,-100.0,-100.0
18570,-100.0,-100.0
18581,-100.0,-100.0
18612,-100.0,-100.0
18623,-100.0,-100.0
18652,-100.0,-100.0
18664,-100.0,-100.0
18700,-100.0,-100.0
18715,-100.0,-100.0
18725,-100.0,-100.0
18738,-100.0,-100.0
18768,-100.0,-100.0
18787,-100.0,-100.0
18815,-100.0,-100.0
18826,-100.0,-100.0
18864,-100.0,-100.0
18877,-100.0,-100.0
18905,-100.0,-100.0
18915,-100.0,-100.0
18926,-100.0,-100.0
18939,-100.0,-100.0
18972,-100.0,-100.0
18982,-100.0,-100.0
19012,-100.0,-100.0
19024,-100.0,-100.0
19056,-100.0,-100.0
19069,-100.0,-100.0
19104,-100.0,-100.0
19121,-100.0,-100.0
19152,-100.0,-100.0
19166,-100.0,-100.0
19199,-100.0,-100.0
19210,-100.0,-100.0
19241,-100.0,-100.0
19252,-100.0,-100.0
19281,-100.0,-100.0
19293,-100.0,-100.0
19326,-100.0,-100.0
19339,-100.0,-100.0
19371,-100.0,-100.0
19382,-100.0,-100.0
19413,-100.0,-100.0
19425,-100.0,-100.0
19436,-100.0,-100.0
19452,-100.0,-100.0
19483,-100.0,-100.0
19493,-100.0,-100.0
19527,-100.0,-100.0
19539,-100.0,-100.0
19571,-100.0,-100.0
19585,-100.0,-100.0
19625,-100.0,-100.0
19636,-100.0,-100.0
19673,-100.0,-100.0
19685,-100.0,-100.0
19717,-100.0,-100.0
19727,-100.0,-100.0
19756,-100.0,-100.0
19770,-100.0,-100.0
19806,-100.0,-100.0
19817,-100.0,-100.0
19849,-100.0,-100.0
19862,-100.0,-100.0
19888,-100.0,-100.0
19901,-100.0,-100.0
19932,-100.0,-100.0
19944,-100.0,-100.0
19971,-100.0,-100.0
19987,-100.0,-100.0
20016,-100.0,-100.0
20031,-100.0,-100.0
20062,-100.0,-100.0
20074,-100.0,-100.0
20103,-100.0,-100.0
20114,-100.0,-100.0
20147,-100.0,-100.0
20158,-100.0,-100.0
20188,-100.0,-100.0
20201,-100.0,-100.0
20233,-100.0,-100.0
20244,-100.0,-100.0
20274,-100.0,-100.0
20289,-100.0,-100.0
20325,-100.0,-100.0
20341,-100.0,-100.0
20373,-100.0,-100.0
20384,-100.0,-100.0
20413,-100.0,-100.0
20425,-100.0,-100.0
20460,-100.0,-100.0
20469,-100.0,-100.0
20500,-100.0,-100.0
20510,-100.0,-100.0
20547,-100.0,-100.0
20559,-100.0,-100.0
20589,-100.0,-100.0
20600,-100.0,-100.0
20615,-100.0,-100.0
20630,-100.0,-100.0
20662,-100.0,-100.0
20674,-100.0,-100.0
20705,-100.0,-100.0
20716,-100.0,-100.0
20728,-100.0,-100.0
20746,-100.0,-100.0
20773,-100.0,-100.0
20786,-100.0,-100.0
20815,-100.0,-100.0
20826,-100.0,-100.0
20855,-100.0,-100.0
20867,-100.0,-100.0
20895,-100.0,-100.0
20907,-100.0,-100.0
20944,-100.0,-100.0
20957,-100.0,-100.0
20966,-100.0,-100.0
20984,-100.0,-100.0
21020,-100.0,-100.0
21033,-100.0,-100.0
21065,-100.0,-100.0
21076,-100.0,-100.0
21105,-100.0,-100.0
21116,-100.0,-100.0
21147,-100.0,-100.0
21158,-100.0,-100.0
21188,-100.0,-100.0
21201,-100.0,-100.0
21234,-100.0,-100.0
21249,-100.0,-100.0
21277,-100.0,-100.0
21295,-100.0,-100.0
21330,-100.0,-100.0
21342,-100.0,-100.0
21370,-100.0,-100.0
21381,-100.0,-100.0
21414,-100.0,-100.0
21424,-100.0,-100.0
21454,-100.0,-100.0
21465,-100.0,-100.0
21476,-100.0,-100.0
21491,-100.0,-100.0
21521,-100.0,-100.0
21535,-100.0,-100.0
21565,-100.0,-100.0
21582,-100.0,-100.0
21616,-100.0,-100.0
21630,-100.0,-100.0
21659,-100.0,-100.0
21671,-100.0,-100.0
21701,-100.0,-100.0
21712,-100.0,-100.0
21743,-100.0,-100.0
21754,-100.0,-100.0
21785,-100.0,-100.0
21796,-100.0,-100.0
21829,-100.0,-100.0
21842,-100.0,-100.0
21875,-100.0,-100.0
21891,-100.0,-100.0
21923,-100.0,-100.0
21935,-100.0,-100.0
21966,-100.0,-100.0
21976,-100.0,-100.0
22004,-100.0,-100.0
22015,-100.0,-100.0
22047,-100.0,-100.0
22057,-100.0,-100.0
22089,-100.0,-100.0
22101,-100.0,-100.0
22135,-100.0,-100.0
22147,-100.0,-100.0
22180,-100.0,-100.0
22190,-100.0,-100.0
22225,-100.0,-100.0
22241,-100.0,-100.0
22274,-100.0,-100.0
22286,-100.0,-100.0
22330,-100.0,-100.0
22341,-100.0,-100.0
22372,-100.0,-100.0
22383,-100.0,-100.0
22414,-100.0,-100.0
22429,-100.0,-100.0
22460,-100.0,-100.0
22475,-100.0,-100.0
26260,-100.0,-100.0
26279,-100.0,-100.0
