,AY5QB85BMBVU8,A3P9TMATWBA1Q,A8DMLATJZOF4Q,A8WWSKUYQ4X5N
4404,-100.0,-100.0,-100.0,-100.0
4430,-100.0,-100.0,-100.0,-100.0
4434,-100.0,-100.0,-100.0,-100.0
4460,-100.0,-100.0,-100.0,-100.0
4485,-100.0,-100.0,-100.0,-100.0
4500,-100.0,-100.0,-100.0,-100.0
4504,-100.0,-100.0,-100.0,-100.0
4531,-100.0,-100.0,-100.0,-100.0
4544,-100.0,-100.0,-100.0,-100.0
4566,-100.0,-100.0,-100.0,-100.0
4588,-100.0,-100.0,-100.0,-100.0
4609,-100.0,-100.0,-100.0,-100.0
4622,-100.0,-100.0,-100.0,-100.0
4628,-100.0,-100.0,-100.0,-100.0
4647,-100.0,-100.0,-100.0,-100.0
4649,-100.0,-100.0,-100.0,-100.0
4660,-100.0,-100.0,-100.0,-100.0
4663,-100.0,-100.0,-100.0,-100.0
4670,-100.0,-100.0,-100.0,-100.0
4682,-100.0,-100.0,-100.0,-100.0
4688,-100.0,-100.0,-100.0,-100.0
4701,-100.0,-100.0,-100.0,-100.0
4711,-100.0,-100.0,-100.0,-100.0
4725,-100.0,-100.0,-100.0,-100.0
4729,-100.0,-100.0,-100.0,-100.0
4743,-100.0,-100.0,-100.0,-100.0
4748,-100.0,-100.0,-100.0,-100.0
4762,-100.0,-100.0,-100.0,-100.0
4774,-100.0,-100.0,-100.0,-100.0
4791,-100.0,-100.0,-100.0,-100.0
4793,-100.0,-100.0,-100.0,-100.0
4880,-100.0,-100.0,-100.0,-100.0
4902,-100.0,-100.0,-100.0,-100.0
4903,-100.0,-100.0,-100.0,-100.0
4921,-100.0,-100.0,-100.0,-100.0
4927,-100.0,-100.0,-100.0,-100.0
4928,-100.0,-100.0,-100.0,-100.0
4972,-100.0,-100.0,-100.0,-100.0
4994,-100.0,-100.0,-100.0,-100.0
5011,-100.0,-100.0,-100.0,-100.0
5023,-100.0,-100.0,-100.0,-100.0
5075,-100.0,-100.0,-100.0,-100.0
5077,-100.0,-100.0,-100.0,-100.0
5090,-100.0,-100.0,-100.0,-100.0
5093,-100.0,-100.0,-100.0,-100.0
5095,-100.0,-100.0,-100.0,-100.0
5111,-100.0,-100.0,-100.0,-100.0
5120,-100.0,-100.0,-100.0,-100.0
5125,-100.0,-100.0,-100.0,-100.0
5126,-100.0,-100.0,-100.0,-100.0
5140,-100.0,-100.0,-100.0,-100.0
5157,-100.0,-100.0,-100.0,-100.0
5174,-100.0,-100.0,-100.0,-100.0
5179,-100.0,-100.0,-100.0,-100.0
5189,-100.0,-100.0,-100.0,-100.0
5198,-100.0,-100.0,-100.0,-100.0
5207,-100.0,-100.0,-100.0,-100.0
5213,-100.0,-100.0,-100.0,-100.0
5219,-100.0,-100.0,-100.0,-100.0
5233,-100.0,-100.0,-100.0,-100.0
5244,-100.0,-100.0,-100.0,-100.0
5251,-100.0,-100.0,-100.0,-100.0
5260,-100.0,-100.0,-100.0,-100.0
5283,-100.0,-100.0,-100.0,-100.0
5286,-100.0,-100.0,-100.0,-100.0
5299,-100.0,-100.0,-100.0,-100.0
5309,-100.0,-100.0,-100.0,-100.0
5329,-100.0,-100.0,-100.0,-100.0
5343,-100.0,-100.0,-100.0,-100.0
5351,-100.0,-100.0,-100.0,-100.0
5359,-100.0,-100.0,-100.0,-100.0
5379,-100.0,-100.0,-100.0,-100.0
5381,-100.0,-100.0,-100.0,-100.0
5398,-100.0,-100.0,-100.0,-100.0
5404,-100.0,-100.0,-100.0,-100.0
5417,-100.0,-100.0,-100.0,-100.0
5435,-100.0,-100.0,-100.0,-100.0
5449,-100.0,-100.0,-100.0,-100.0
5456,-100.0,-100.0,-100.0,-100.0
5468,-100.0,-100.0,-100.0,-100.0
5472,-100.0,-100.0,-100.0,-100.0
5477,-100.0,-100.0,-100.0,-100.0
5487,-100.0,-100.0,-100.0,-100.0
5490,-100.0,-100.0,-100.0,-100.0
5511,-100.0,-100.0,-100.0,-100.0
5521,-100.0,-100.0,-100.0,-100.0
5526,-100.0,-100.0,-100.0,-100.0
5537,-100.0,-100.0,-100.0,-100.0
5543,-100.0,-100.0,-100.0,-100.0
5560,-100.0,-100.0,-100.0,-100.0
5578,-100.0,-100.0,-100.0,-100.0
5588,-100.0,-100.0,-100.0,-100.0
5594,-100.0,-100.0,-100.0,-100.0
5595,-100.0,-100.0,-100.0,-100.0
5610,-100.0,-100.0,-100.0,-100.0
5615,-100.0,-100.0,-100.0,-100.0
5620,-100.0,-100.0,-100.0,-100.0
5637,-100.0,-100.0,-100.0,-100.0
5643,-100.0,-100.0,-100.0,-100.0
5648,-100.0,-100.0,-100.0,-100.0
5659,-100.0,-100.0,-100.0,-100.0
5696,-100.0,-100.0,-100.0,-100.0
5715,-100.0,-100.0,-100.0,-100.0
5718,-100.0,-100.0,-100.0,-100.0
5720,-100.0,-100.0,-100.0,-100.0
5726,-100.0,-100.0,-100.0,-100.0
5737,-100.0,-100.0,-100.0,-100.0
5759,-100.0,-100.0,-100.0,-100.0
5775,-100.0,-100.0,-100.0,-100.0
5782,-100.0,-100.0,-100.0,-100.0
5792,-100.0,-100.0,-100.0,-100.0
5793,-100.0,-100.0,-100.0,-100.0
5804,-100.0,-100.0,-100.0,-100.0
5812,-100.0,-100.0,-100.0,-100.0
5821,-100.0,-100.0,-100.0,-100.0
5827,-100.0,-100.0,-100.0,-100.0
5834,-100.0,-100.0,-100.0,-100.0
5849,-100.0,-100.0,-100.0,-100.0
5860,-100.0,-100.0,-100.0,-100.0
5861,-100.0,-100.0,-100.0,-100.0
5870,-100.0,-100.0,-100.0,-100.0
5885,-100.0,-100.0,-100.0,-100.0
5895,-100.0,-100.0,-100.0,-100.0
5920,-100.0,-100.0,-100.0,-100.0
5934,-100.0,-100.0,-100.0,-100.0
5945,-100.0,-100.0,-100.0,-100.0
5957,-100.0,-100.0,-100.0,-100.0
5979,-100.0,-100.0,-100.0,-100.0
5986,-100.0,-100.0,-100.0,-100.0
5992,-100.0,-100.0,-100.0,-100.0
6013,-100.0,-100.0,-100.0,-100.0
6026,-100.0,-100.0,-100.0,-100.0
6027,-100.0,-100.0,-100.0,-100.0
6032,-100.0,-100.0,-100.0,-100.0
6047,-100.0,-100.0,-100.0,-100.0
6052,-100.0,-100.0,-100.0,-100.0
6060,-100.0,-100.0,-100.0,-100.0
6063,-100.0,-100.0,-100.0,-100.0
6067,-100.0,-100.0,-100.0,-100.0
6087,-100.0,-100.0,-100.0,-100.0
6098,-100.0,-100.0,-100.0,-100.0
6103,-100.0,-100.0,-100.0,-100.0
6118,-100.0,-100.0,-100.0,-100.0
6120,-100.0,-100.0,-100.0,-100.0
6128,-100.0,-100.0,-100.0,-100.0
6148,-100.0,-100.0,-100.0,-100.0
6152,-100.0,-100.0,-100.0,-100.0
6216,-100.0,-100.0,-100.0,-100.0
6245,-100.0,-100.0,-100.0,-100.0
6247,-100.0,-100.0,-100.0,-100.0
6267,-100.0,-100.0,-100.0,-100.0
6270,-100.0,-100.0,-100.0,-100.0
6272,-100.0,-100.0,-100.0,-100.0
6280,-100.0,-100.0,-100.0,-100.0
6286,-100.0,-100.0,-100.0,-100.0
6287,-100.0,-100.0,-100.0,-100.0
6296,-100.0,-100.0,-100.0,-100.0
6300,-100.0,-100.0,-100.0,-100.0
6318,-100.0,-100.0,-100.0,-100.0
6332,-100.0,-100.0,-100.0,-100.0
6338,-100.0,-100.0,-100.0,-100.0
6340,-100.0,-100.0,-100.0,-100.0
6341,-100.0,-100.0,-100.0,-100.0
6355,-100.0,-100.0,-100.0,-100.0
6360,-100.0,-100.0,-100.0,-100.0
6372,-100.0,-100.0,-100.0,-100.0
6376,-100.0,-100.0,-100.0,-100.0
6395,-100.0,-100.0,-100.0,-100.0
6398,-100.0,-100.0,-100.0,-100.0
6413,-100.0,-100.0,-100.0,-100.0
6519,-100.0,-100.0,-100.0,-100.0
6537,-100.0,-100.0,-100.0,-100.0
6543,-100.0,-100.0,-100.0,-100.0
6563,-100.0,-100.0,-100.0,-100.0
6572,-100.0,-100.0,-100.0,-100.0
6577,-100.0,-100.0,-100.0,-100.0
6587,-100.0,-100.0,-100.0,-100.0
6596,-100.0,-100.0,-100.0,-100.0
6601,-100.0,-100.0,-100.0,-100.0
6614,-100.0,-100.0,-100.0,-100.0
6755,-100.0,-100.0,-100.0,-100.0
