,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
61131,,-100.0,,-30.5,-100.0,
61138,,-100.0,,-30.0,-100.0,
61158,,-100.0,,-30.0,-100.0,
61160,,-100.0,,-30.0,-100.0,
61186,,-100.0,,-29.0,-100.0,
61187,,-100.0,,,-100.0,
61198,,-100.0,,,-100.0,
61277,,-100.0,,,-100.0,
61308,,-100.0,,,-100.0,
61332,,-100.0,,,-100.0,
61357,,-100.0,,,-100.0,
61453,,-100.0,,,-100.0,
61478,,-100.0,,,-100.0,
61505,,-100.0,,,-100.0,
61531,,-100.0,,,-100.0,
61607,,-100.0,,,-100.0,
61678,,-100.0,,,-100.0,
61780,,-100.0,,,-100.0,
61811,,-100.0,,,-100.0,
61848,,-100.0,,,-100.0,
61927,,-100.0,,,-100.0,
61954,,-100.0,,,-100.0,
62007,,-100.0,,,-100.0,
62098,,-100.0,,,-100.0,
62128,,-100.0,,,-100.0,
62153,,-100.0,,,-100.0,
62230,,-100.0,,,-100.0,
62273,,-100.0,,,-100.0,
62378,,-100.0,,,-100.0,
62407,,-100.0,,,-100.0,
62430,,-100.0,,,-100.0,
62458,,-100.0,,,-100.0,
62525,,-100.0,,,-100.0,
62554,,-100.0,,,-100.0,
62580,,-100.0,,,-100.0,
62606,,-100.0,,,-100.0,
62701,,-100.0,,,-100.0,
62755,,-100.0,,,-100.0,
62806,,-100.0,,,-100.0,
62855,,-100.0,,,-100.0,
62884,,-100.0,,,-100.0,
62897,,-100.0,,,-100.0,
62923,,-100.0,,,-100.0,
63028,,-100.0,,,-100.0,
63057,,-100.0,,,-100.0,
63112,,-100.0,,,-100.0,
63176,,-100.0,,,-100.0,
63205,,-100.0,,,-100.0,
63257,,-100.0,,,-100.0,
63324,,-100.0,,,-100.0,
63351,,-100.0,,,-100.0,
63376,,-100.0,,,-100.0,
63482,,-100.0,,,-100.0,
63509,,-100.0,,,-100.0,
63538,,-100.0,,,-100.0,
63629,,-100.0,,,-100.0,
63655,,-100.0,,,-100.0,
63681,,-100.0,,,-100.0,
63774,,-100.0,,,-100.0,
63803,,-100.0,,,-100.0,
63826,,-100.0,,,-100.0,
63867,,-100.0,,,-100.0,
63975,,-100.0,,,-100.0,
64001,,-100.0,,,-100.0,
64030,,-100.0,,,-100.0,
64259,,-100.0,,,-100.0,
64285,,-100.0,,,-100.0,
64340,,-100.0,,,-100.0,
64401,,-100.0,,,-100.0,
64432,,-100.0,,,-100.0,
64462,,-100.0,,,-100.0,
64531,,-100.0,,,-100.0,
64583,,-100.0,,,-100.0,
64602,,-100.0,,,-100.0,
64626,,-100.0,,,-100.0,
64652,,-100.0,,,-100.0,
64732,,-100.0,,,-100.0,
64761,,-100.0,,,-100.0,
64783,,-100.0,,,-100.0,
64814,,-100.0,,,-100.0,
64905,,-100.0,,,-100.0,
64938,,-100.0,,,-100.0,
64959,,-100.0,,,-100.0,
65053,,-100.0,,,-100.0,
65082,,-100.0,,,-100.0,
65106,,-100.0,,,-100.0,
65211,,-100.0,,,-100.0,
65237,,-100.0,,,-100.0,
65252,,-100.0,,,-100.0,
65277,,-100.0,,,-100.0,
65408,,-100.0,,,-100.0,
65438,,-100.0,,,-100.0,
65809,,-100.0,,,-100.0,
65836,,-100.0,,,-100.0,
65860,,-100.0,,,-100.0,
65955,,-100.0,,,-100.0,
65982,,-100.0,,,-100.0,
66008,,-100.0,,,-100.0,
66034,,-100.0,,,-100.0,
66061,,-100.0,,,-100.0,
66285,,-100.0,,,-100.0,
66313,,-100.0,,,-100.0,
66353,,-100.0,,,-100.0,
66432,,-100.0,,,-100.0,
66461,,-100.0,,,-100.0,
66485,,-100.0,,,-100.0,
66511,,-100.0,,,-100.0,
66580,,-100.0,,,-100.0,
66606,,-100.0,,,-100.0,
66632,,-100.0,,,-100.0,
66659,,-100.0,,,-100.0,
66754,,-100.0,,,-100.0,
66781,,-100.0,,,-100.0,
66810,,-100.0,,,-100.0,
66858,,-100.0,,,-100.0,
66911,,-100.0,,,-100.0,
66939,,-100.0,,,-100.0,
66981,,-100.0,,,-100.0,
67057,,-100.0,,,-100.0,
67087,,-100.0,,,-100.0,
67138,,-100.0,,,-100.0,
67163,,-100.0,,,-100.0,
67232,,-100.0,,,-100.0,
67258,,-100.0,,,-100.0,
67283,,-100.0,,,-100.0,
67310,,-100.0,,,-100.0,
67388,,-100.0,,,-100.0,
67404,,-100.0,,,-100.0,
67430,,-100.0,,,-100.0,
67475,,-100.0,,,-100.0,
67562,,-100.0,,,-100.0,
67591,,-100.0,,,-100.0,
67632,,-100.0,,,-100.0,
68292,,-100.0,,,-100.0,
68357,,-100.0,,,-100.0,
68423,,-100.0,,,-100.0,
68466,,-100.0,,,-100.0,
68490,,-100.0,,,-100.0,
68511,,-100.0,,,-100.0,
68640,,-100.0,,,-100.0,
68667,,-100.0,,,-100.0,
68681,,-100.0,,,-100.0,
68710,,-100.0,,,-100.0,
68785,,-100.0,,,-100.0,
68817,,-100.0,,,-100.0,
68846,,-100.0,,,-100.0,
68868,,-100.0,,,-100.0,
68934,,-100.0,,,-100.0,
68964,,-100.0,,,-100.0,
68986,,-100.0,,,-100.0,
69013,,-100.0,,,-100.0,
69041,,-100.0,,,-100.0,
69106,,-100.0,,,-100.0,
69134,,-100.0,,,-100.0,
69160,,-100.0,,,-100.0,
69187,,-100.0,,,-100.0,
69216,,-100.0,,,-100.0,
69266,,-100.0,,,-100.0,
69294,,-100.0,,,-100.0,
69307,,-100.0,,,-100.0,
69334,,-100.0,,,-100.0,
69362,,-100.0,,,-100.0,
69439,,-100.0,,,-100.0,
69469,,-100.0,,,-100.0,
69493,,-100.0,,,-100.0,
69519,,-100.0,,,-100.0,
69586,,-100.0,,,-100.0,
69614,,-100.0,,,-100.0,
69638,,-100.0,,,-100.0,
69664,,-100.0,,,-100.0,
69690,,-100.0,,,-100.0,
70488,,-100.0,,,-100.0,
70523,,-100.0,,,-100.0,
70574,,-100.0,,,-100.0,
70596,,-100.0,,,-100.0,
70637,,-100.0,,,-100.0,
70719,,-100.0,,,-100.0,
70769,,-100.0,,,-100.0,
70810,,-100.0,,,-100.0,
70887,,-100.0,,,-100.0,
70914,,-100.0,,,-100.0,
70965,,-100.0,,,-100.0,
71060,,-100.0,,,-100.0,
71089,,-100.0,,,-100.0,
71142,,-100.0,,,-100.0,
71266,,-100.0,,,-100.0,
71291,,-100.0,,,-100.0,
71399,,-100.0,,,-100.0,
71422,,-100.0,,,-100.0,
71619,,-100.0,,,-100.0,
71648,,-100.0,,,-100.0,
71661,,-100.0,,,-100.0,
71690,,-100.0,,,-100.0,
71722,,-100.0,,,-100.0,
71740,,-100.0,,,-100.0,
71888,,-100.0,,,-100.0,
71915,,-100.0,,,-100.0,
71947,,-100.0,,,-100.0,
71976,,-100.0,,,-100.0,
71995,,-100.0,,,-100.0,
72025,,-100.0,,,-100.0,
72392,,-100.0,,,-100.0,
72420,,-100.0,,,-100.0,
72453,,-100.0,,,-100.0,
72472,,-100.0,,,-100.0,
72496,,-100.0,,,-100.0,
72514,,-100.0,,,-100.0,
72700,,-100.0,,,-100.0,
72715,,-100.0,,,-100.0,
72737,,-100.0,,,-100.0,
72766,,-100.0,,,-100.0,
72789,,-100.0,,,-100.0,
72825,,-100.0,,,-100.0,
72845,,-100.0,,,-100.0,
72965,,-100.0,,,-100.0,
73042,,-100.0,,,-100.0,
73067,,-100.0,,,-100.0,
73093,,-100.0,,,-100.0,
73119,,-100.0,,,-100.0,
73135,,-100.0,,,-100.0,
73162,,-100.0,,,-100.0,
73344,,-100.0,,,-100.0,
73362,,-100.0,,,-100.0,
73387,,-100.0,,,-100.0,
73412,,-100.0,,,-100.0,
73439,,-100.0,,,-100.0,
73465,,-100.0,,,-100.0,
73492,,-100.0,,,-100.0,
73520,,-100.0,,,-100.0,
73718,,-100.0,,,-100.0,
73745,,-100.0,,,-100.0,
73770,,-100.0,,,-100.0,
73786,,-100.0,,,-100.0,
73813,,-100.0,,,-100.0,
73839,,-100.0,,,-100.0,
73865,,-100.0,,,-100.0,
75567,,-100.0,,,-100.0,
75595,,-100.0,,,-100.0,
75646,,-100.0,,,-100.0,
75674,,-100.0,,,-100.0,
75699,,-100.0,,,-100.0,
75715,,-100.0,,,-100.0,
75742,,-100.0,,,-100.0,
75872,,-100.0,,,-100.0,
75900,,-100.0,,,-100.0,
75923,,-100.0,,,-100.0,
75940,,-100.0,,,-100.0,
75966,,-100.0,,,-100.0,
76071,,-100.0,,,-100.0,
76100,,-100.0,,,-100.0,
76124,,-100.0,,,-100.0,
76139,,-100.0,,,-100.0,
76166,,-100.0,,,-100.0,
76244,,-100.0,,,-100.0,
76272,,-100.0,,,-100.0,
76297,,-100.0,,,-100.0,
76323,,-100.0,,,-100.0,
76350,,-100.0,,,-100.0,
76418,,-100.0,,,-100.0,
76447,,-100.0,,,-100.0,
76497,,-100.0,,,-100.0,
76565,,-100.0,,,-100.0,
76593,,-100.0,,,-100.0,
76618,,-100.0,,,-100.0,
76644,,-100.0,,,-100.0,
76670,,-100.0,,,-100.0,
76749,,-100.0,,,-100.0,
76775,,-100.0,,,-100.0,
76790,,-100.0,,,-100.0,
76817,,-100.0,,,-100.0,
76922,,-100.0,,,-100.0,
76951,,-100.0,,,-100.0,
76990,,-100.0,,,-100.0,
77069,,-100.0,,,-100.0,
77098,,-100.0,,,-100.0,
77148,,-100.0,,,-100.0,
77175,,-100.0,,,-100.0,
77243,,-100.0,,,-100.0,
77271,,-100.0,,,-100.0,
77323,,-100.0,,,-100.0,
77400,,-100.0,,,-100.0,
77417,,-100.0,,,-100.0,
77442,,-100.0,,,-100.0,
77469,,-100.0,,,-100.0,
77547,,-100.0,,,-100.0,
77575,,-100.0,,,-100.0,
77626,,-100.0,,,-100.0,
77641,,-100.0,,,-100.0,
77694,,-100.0,,,-100.0,
77721,,-100.0,,,-100.0,
77799,,-100.0,,,-100.0,
77999,,-100.0,,,-100.0,
78027,,-100.0,,,-100.0,
78067,,-100.0,,,-100.0,
78097,,-100.0,,,-100.0,
78172,,-100.0,,,-100.0,
78202,,-100.0,,,-100.0,
78252,,-100.0,,,-100.0,
78320,,-100.0,,,-100.0,
78347,,-100.0,,,-100.0,
78372,,-100.0,,,-100.0,
78398,,-100.0,,,-100.0,
78425,,-100.0,,,-100.0,
78477,,-100.0,,,-100.0,
78492,,-100.0,,,-100.0,
78518,,-100.0,,,-100.0,
78545,,-100.0,,,-100.0,
78572,,-100.0,,,-100.0,
78651,,-100.0,,,-100.0,
78678,,-100.0,,,-100.0,
78692,,-100.0,,,-100.0,
78746,,-100.0,,,-100.0,
78797,,-100.0,,,-100.0,
78827,,-100.0,,,-100.0,
78876,,-100.0,,,-100.0,
78904,,-100.0,,,-100.0,
78949,,-100.0,,,-100.0,
78973,,-100.0,,,-100.0,
79023,,-100.0,,,-100.0,
79102,,-100.0,,,-100.0,
79118,,-100.0,,,-100.0,
79144,,-100.0,,,-100.0,
79171,,-100.0,,,-100.0,
79197,,-100.0,,,-100.0,
79249,,-100.0,,,-100.0,
79276,,-100.0,,,-100.0,
79302,,-100.0,,,-100.0,
79328,,-100.0,,,-100.0,
79401,,-100.0,,,-100.0,
79424,,-100.0,,,-100.0,
79462,,-100.0,,,-100.0,
79529,,-100.0,,,-100.0,
79568,,-100.0,,,-100.0,
79601,,-100.0,,,-100.0,
79651,,-100.0,,,-100.0,
79708,,-100.0,,,-100.0,
79755,,-100.0,,,-100.0,
79795,,-100.0,,,-100.0,
79874,,-100.0,,,-100.0,
79902,,-100.0,,,-100.0,
79956,,-100.0,,,-100.0,
80030,,-100.0,,,-100.0,
80052,,-100.0,,,-100.0,
80082,,-100.0,,,-100.0,
80159,,-100.0,,,-100.0,
80242,,-100.0,,,-100.0,
80380,,-100.0,,,-100.0,
80398,,-100.0,,,-100.0,
80410,,-100.0,,,-100.0,
80421,,-100.0,,,-99.5,
80433,,-100.0,,,-99.0,
80452,,-100.0,,,-99.0,
80490,,-100.0,,,-99.0,
80497,,-100.0,,,-98.0,
80514,,-100.0,,,-98.0,
80526,,-100.0,,,-97.5,
80540,,-100.0,,,-97.0,
80554,,-100.0,,,-97.0,
80580,,-100.0,,,-97.0,
80586,,-100.0,,,-97.0,
80606,,-100.0,,,-96.5,
80608,,-100.0,,,-96.0,
80622,,-100.0,,,-96.0,
80627,,-100.0,,,-96.0,
80648,,-100.0,,,-95.0,
80677,,-100.0,,,-95.0,
80717,,-100.0,,,-95.0,
80742,,-100.0,,,-95.0,
80752,,-100.0,,,-95.0,
80786,,-100.0,,,-95.0,
80821,,-100.0,,,-95.0,
80849,,-100.0,,,-95.0,
80872,,-100.0,,,-95.0,
80901,,-100.0,,,-95.0,
80926,,-100.0,,,-95.0,
80954,,-100.0,,,-95.0,
81031,,-100.0,,,-95.0,
81047,,-100.0,,,-95.0,
81073,,-100.0,,,-95.0,
81099,,-100.0,,,-95.0,
81126,,-100.0,,,-95.0,
81204,,-100.0,,,-95.0,
81233,,-100.0,,,-95.0,
81246,,-100.0,,,-95.0,
81272,,-100.0,,,-95.0,
81378,,-100.0,,,-95.0,
81406,,-100.0,,,-95.0,
81432,,-100.0,,,-95.0,
81457,,-100.0,,,-95.0,
81474,,-100.0,,,-95.0,
81803,,-100.0,,,-95.0,
81829,,-100.0,,,-94.0,
81859,,-100.0,,,-94.0,
81874,,-100.0,,,-92.0,
81909,,-100.0,,,-92.0,
81921,,-100.0,,,-91.0,
81959,,-100.0,,,-91.0,
81980,,-100.0,,,-90.0,
82018,,-100.0,,,-90.0,
82046,,-100.0,,,-89.0,
82100,,-100.0,,,-89.0,
82121,,-100.0,,,-88.0,
82173,,-100.0,,,-88.0,
82197,,-100.0,,,-87.0,
82228,,-100.0,,,-87.0,
82241,,-100.0,,,-87.0,
82255,,-100.0,,,-86.5,
82258,,-100.0,,,-86.0,
82280,,-100.0,,,-86.0,
82307,,-100.0,,,-86.0,
82308,,-100.0,,,-86.0,
82322,,-100.0,,,-85.5,
82327,,-100.0,,,-85.0,
82348,,-100.0,,,-85.0,
82375,,-100.0,,,-85.0,
82383,,-100.0,,,-85.0,
82407,,-100.0,,,-84.0,
82449,,-100.0,,,-84.0,
82475,,-100.0,,,-83.0,
82522,,-100.0,,,-83.0,
82527,,-100.0,,,-83.0,
82546,,-100.0,,,-82.0,
82549,,-100.0,,,-82.0,
82574,,-100.0,,,-82.0,
82591,,-100.0,,,-82.0,
82600,,-100.0,,,-81.5,
82611,,-100.0,,,-81.0,
82627,,-100.0,,,-81.0,
82645,,-100.0,,,-81.0,
82653,,-100.0,,,-80.5,
82664,,-100.0,,,-80.0,
82679,,-100.0,,,-80.0,
82707,,-100.0,,,-80.0,
82711,,-100.0,,,-80.0,
82734,,-100.0,,,-79.0,
82782,,-100.0,,,-79.0,
82805,,-100.0,,,-78.0,
82850,,-100.0,,,-78.0,
82866,,-100.0,,,-77.0,
82879,,-100.0,,,-77.0,
82906,,-100.0,,,-77.0,
82915,,-100.0,,,-77.0,
82930,,-100.0,,,-76.5,
82933,,-100.0,,,-76.0,
82950,,-100.0,,,-76.0,
82973,,-100.0,,,-76.0,
82982,,-100.0,,,-76.0,
83001,,-100.0,,,-75.0,
83017,,-100.0,,,-75.0,
83049,,-100.0,,,-74.0,
83055,,-100.0,,,-74.0,
83080,,-100.0,,,-73.0,
83133,,-100.0,,,-73.0,
83153,,-100.0,,,-72.0,
83157,,-100.0,,,-72.0,
83174,,-100.0,,,-72.0,
83200,,-100.0,,,-72.0,
83218,,-100.0,,,-71.0,
83225,,-100.0,,,-71.0,
83251,,-100.0,,,-71.0,
83265,,-100.0,,,-71.0,
83274,,-100.0,,,-70.0,
83278,,-100.0,,,-70.0,
83304,,-100.0,,,-70.0,
83324,,-100.0,,,-70.0,
83343,,-100.0,,,-69.0,
83402,,-100.0,,,-69.0,
83422,,-100.0,,,-68.0,
83451,,-100.0,,,-68.0,
83470,,-100.0,,,-68.0,
83479,,-100.0,,,-67.0,
83505,,-100.0,,,-67.0,
83516,,-100.0,,,-67.0,
83529,,-100.0,,,-66.0,
83556,,-100.0,,,-66.0,
83568,,-100.0,,,-66.0,
83583,,-100.0,,,-65.0,
83633,,-100.0,,,-65.0,
83653,,-100.0,,,-64.0,
83699,,-100.0,,,-64.0,
83709,,-100.0,,,-63.0,
83758,,-100.0,,,-63.0,
83779,,-100.0,,,-62.0,
83825,,-100.0,,,-62.0,
83839,,-100.0,,,-61.0,
83851,,-100.0,,,-61.0,
83874,,-100.0,,,-60.0,
83909,,-100.0,,,-60.0,
83929,,-100.0,,,-59.5,
83934,,-100.0,,,-59.0,
83958,,-100.0,,,-59.0,
83996,,-100.0,,,-59.0,
84008,,-100.0,,,-58.5,
84025,,-100.0,,,-58.0,
84027,,-100.0,,,-58.0,
84052,,-100.0,,,-58.0,
84090,,-100.0,,,-58.0,
84111,,-100.0,,,-57.0,
84153,,-100.0,,,-57.0,
84181,,-100.0,,,-56.0,
84199,,-100.0,,,-56.0,
84214,,-100.0,,,-55.5,
84228,,-100.0,,,-55.0,
84250,,-100.0,,,-55.0,
84276,,-100.0,,,-55.0,
84302,,-100.0,,,-55.0,
84329,,-100.0,,,-55.0,
84450,,-100.0,,,-55.0,
84478,,-100.0,,,-55.0,
84501,,-100.0,,,-55.0,
84527,,-100.0,,,-55.0,
84555,,-100.0,,,-55.0,
84581,,-100.0,,,-55.0,
84607,,-100.0,,,-55.0,
84701,,-100.0,,,-55.0,
84730,,-100.0,,,-55.0,
84754,,-100.0,,,-55.0,
84784,,-100.0,,,-55.0,
84834,,-100.0,,,-55.0,
84927,,-100.0,,,-55.0,
84956,,-100.0,,,-55.0,
84983,,-100.0,,,-55.0,
85008,,-100.0,,,-55.0,
85034,,-100.0,,,-55.0,
85157,,-100.0,,,-55.0,
85209,,-100.0,,,-55.0,
85258,,-100.0,,,-55.0,
85285,,-100.0,,,-55.0,
85405,,-100.0,,,-55.0,
85433,,-100.0,,,-55.0,
85460,,-100.0,,,-55.0,
85483,,-100.0,,,-55.0,
85510,,-100.0,,,-55.0,
85526,,-100.0,,,-55.0,
85657,,-100.0,,,-55.0,
85686,,-100.0,,,-55.0,
85737,,-100.0,,,-55.0,
85830,,-100.0,,,-55.0,
85860,,-100.0,,,-55.0,
85909,,-100.0,,,-55.0,
85937,,-100.0,,,-55.0,
85952,,-100.0,,,-55.0,
86030,,-100.0,,,-55.0,
86057,,-100.0,,,-55.0,
86084,,-100.0,,,-55.0,
86109,,-100.0,,,-55.0,
86134,,-100.0,,,-55.0,
86162,,-100.0,,,-54.0,
86204,,-100.0,,,-54.0,
86207,,-100.0,,,-54.0,
86223,,-100.0,,,-53.0,
86232,,-100.0,,,-53.0,
86260,,-100.0,,,-53.0,
86279,,-100.0,,,-52.0,
86281,,-100.0,,,-52.0,
86309,,-100.0,,,-52.0,
86329,,-100.0,,,-52.0,
86352,,-100.0,,,-51.0,
86376,,-100.0,,,-51.0,
86377,,-100.0,,,-51.0,
86406,,-100.0,,,-50.5,
86409,,-100.0,,,-50.0,
86429,,-100.0,,,-50.0,
86455,,-100.0,,,-50.0,
86464,,-100.0,,,-50.0,
86480,,-100.0,,,-49.0,
86540,,-100.0,,,-49.0,
86569,,-100.0,,,-48.0,
86587,,-100.0,,,-48.0,
86606,,-100.0,,,-48.0,
86621,,-100.0,,,-48.0,
86631,,-100.0,,,-47.5,
86647,,-100.0,,,-47.0,
86696,,-100.0,,,-47.0,
86717,,-100.0,,,-46.0,
86735,,-100.0,,,-46.0,
86762,,-100.0,,,-46.0,
86767,,-100.0,,,-46.0,
86790,,-100.0,,,-45.0,
86791,,-100.0,,,-45.0,
86802,,-100.0,,,-45.0,
86829,,-100.0,,,-45.0,
86843,,-100.0,,,-45.0,
86866,,-100.0,,,-44.0,
86922,,-100.0,,,-44.0,
86953,,-100.0,,,-43.0,
87011,,-100.0,,,-43.0,
87042,,-100.0,,,-42.0,
87098,,-100.0,,,-42.0,
87112,,-100.0,,,-41.0,
87168,,-100.0,,,-41.0,
87194,,-100.0,,,-40.0,
87251,,-100.0,,,-40.0,
87276,,-100.0,,,-39.0,
87325,,-100.0,,,-39.0,
87345,,-100.0,,,-38.0,
87398,,-100.0,,,-38.0,
87423,,-100.0,,,-37.0,
87441,,-100.0,,,-37.0,
87459,,-100.0,,,-37.0,
87488,,-100.0,,,-37.0,
87507,,-100.0,,,-36.5,
87512,,-100.0,,,-36.0,
87529,,-100.0,,,-36.0,
87533,,-100.0,,,-35.5,
87547,,-100.0,,,-35.0,
87558,,-100.0,,,-35.0,
87568,,-100.0,,,-35.0,
87591,,-100.0,,,-34.0,
87647,,-100.0,,,-34.0,
87667,,-100.0,,,-33.0,
87680,,-100.0,,,-33.0,
87726,,-100.0,,,-33.0,
87727,,-100.0,,,-32.5,
87738,,-100.0,,,-32.0,
87776,,-100.0,,,-32.0,
87803,,-100.0,,,-32.0,
87811,,-100.0,,,-31.5,
87836,,-100.0,,,-31.0,
87852,,-100.0,,,-31.0,
87890,,-100.0,,,-30.0,
87942,,-100.0,,,-30.0,
87964,,-100.0,,,-29.0,
88007,,-100.0,,,-29.0,
88010,,-100.0,,,-28.5,
88032,,-100.0,,,-28.0,
88040,,-100.0,,,-28.0,
88065,,-100.0,,,-28.0,
88081,,-100.0,,,-28.0,
88089,,-100.0,,,-28.0,
88107,,-100.0,,,-27.5,
88126,,-100.0,,,-27.0,
88166,,-100.0,,,-27.0,
88186,,-100.0,,,-26.0,
88250,,-100.0,,,-26.0,
88263,,-100.0,,,-25.5,
88291,,-100.0,,,-25.0,
88295,,-100.0,,,-25.0,
88317,,-100.0,,,-25.0,
88330,,-100.0,,,-24.5,
88343,,-100.0,,,-24.0,
88395,,-100.0,,,-24.0,
88410,,-100.0,,,-23.5,
88419,,-100.0,,,-23.0,
88437,,-100.0,,,-23.0,
88461,,-100.0,,,-22.0,
88518,,-100.0,,,-22.0,
88543,,-100.0,,,-21.0,
88560,,-100.0,,,-21.0,
88561,,-100.0,,,-21.0,
88586,,-100.0,,,-20.0,
88589,,-100.0,,,-20.0,
88619,,-100.0,,,-20.0,
88621,,-100.0,,,-20.0,
88635,,-100.0,,,-19.5,
88643,,-100.0,,,-19.0,
88662,,-100.0,,,-19.0,
88665,,-100.0,,,-18.5,
88687,,-100.0,,,-18.0,
88744,,-100.0,,,-18.0,
88764,,-100.0,,,-17.0,
88784,,-100.0,,,-17.0,
88812,,-100.0,,,-17.0,
88819,,-100.0,,,-17.0,
88836,,-100.0,,,-16.5,
88837,,-100.0,,,-16.0,
88854,,-100.0,,,-16.0,
88862,,-100.0,,,-15.5,
88882,,-100.0,,,-15.0,
88935,,-100.0,,,-15.0,
88956,,-100.0,,,-14.5,
88964,,-100.0,,,-14.0,
88987,,-100.0,,,-14.0,
89009,,-100.0,,,-14.0,
89021,,-100.0,,,-14.0,
89035,,-100.0,,,-13.5,
89055,,-100.0,,,-13.0,
89062,,-100.0,,,-13.0,
89115,,-100.0,,,-13.0,
89135,,-100.0,,,-12.0,
89157,,-100.0,,,-12.0,
89185,,-100.0,,,-12.0,
89209,,-100.0,,,-11.0,
89210,,-100.0,,,-11.0,
89227,,-100.0,,,-11.0,
89237,,-100.0,,,-10.5,
89241,,-100.0,,,-10.0,
89258,,-100.0,,,-10.0,
89261,,-100.0,,,-9.5,
89285,,-100.0,,,-9.0,
89340,,-100.0,,,-9.0,
89357,,-100.0,,,-8.5,
89369,,-100.0,,,-8.0,
89385,,-100.0,,,-8.0,
89388,,-100.0,,,-8.0,
89412,,-100.0,,,-7.5,
89415,,-100.0,,,-7.0,
89427,,-100.0,,,-7.0,
89435,,-100.0,,,-6.5,
89447,,-100.0,,,-6.0,
89464,,-100.0,,,-6.0,
89474,,-100.0,,,-6.0,
89494,,-100.0,,,-5.0,
89553,,-100.0,,,-5.0,
89567,,-100.0,,,-4.5,
89584,,-100.0,,,-4.0,
89585,,-100.0,,,-4.0,
89609,,-100.0,,,-4.0,
89633,,-100.0,,,-4.0,
89639,,-100.0,,,-4.0,
89661,,-100.0,,,-3.5,
89669,,-100.0,,,-3.0,
89687,,-100.0,,,-3.0,
89713,,-100.0,,,-3.0,
89740,,-100.0,,,-2.0,
89757,,-100.0,,,-2.0,
89782,,-100.0,,,-1.5,
89786,,-100.0,,,-1.0,
89810,,-100.0,,,-1.0,
89833,,-100.0,,,-1.0,
89846,,-100.0,,,-1.0,
89861,,-100.0,,,-0.5,
89876,,-100.0,,,0.0,
89886,,-100.0,,,0.0,
89903,,-100.0,,,0.0,
89928,,-100.0,,,1.0,
89938,,-100.0,,,1.0,
89948,,-100.0,,,1.0,
89990,,-100.0,,,2.0,
89992,,-100.0,,,3.0,
90008,,-100.0,,,3.0,
90036,,-100.0,,,3.0,
90058,,-100.0,,,3.0,
90059,,-100.0,,,3.0,
90086,,-100.0,,,3.5,
90093,,-100.0,,,4.0,
90150,,-100.0,,,4.0,
90164,,-100.0,,,4.5,
90177,,-100.0,,,5.0,
90191,,-100.0,,,5.0,
90196,,-100.0,,,5.0,
90206,,-100.0,,,5.5,
90228,,-100.0,,,6.0,
90232,,-100.0,,,6.0,
90258,,-100.0,,,6.0,
90288,,-100.0,,,6.0,
90293,,-100.0,,,6.0,
90305,,-100.0,,,7.0,
90328,,-100.0,,,7.0,
90356,,-100.0,,,8.0,
90364,,-100.0,,,8.0,
90376,,-100.0,,,8.0,
90390,,-100.0,,,8.5,
90404,,-100.0,,,9.0,
90417,,-100.0,,,9.0,
90432,,-100.0,,,9.0,
90458,,-100.0,,,9.0,
90462,,-100.0,,,9.0,
90494,,-100.0,,,10.0,
90512,,-100.0,,,10.0,
90530,,-100.0,,,11.0,
90597,,-100.0,,,11.0,
90616,,-100.0,,,11.5,
90626,,-100.0,,,12.0,
90633,,-100.0,,,12.0,
90644,,-100.0,,,12.0,
90675,,-100.0,,,13.0,
90693,,-100.0,,,13.0,
90724,,-100.0,,,14.0,
90769,,-100.0,,,14.0,
90790,,-100.0,,,14.5,
90795,,-100.0,,,15.0,
90816,,-100.0,,,15.0,
90842,,-100.0,,,15.0,
90849,,-100.0,,,15.0,
90874,,-100.0,,,16.0,
90894,,-100.0,,,16.0,
90923,,-100.0,,,17.0,
90964,,-100.0,,,17.0,
90991,,-100.0,,,17.0,
90992,,-100.0,,,17.0,
91020,,-100.0,,,18.0,
91042,,-100.0,,,18.0,
91043,,-100.0,,,18.0,
91075,,-100.0,,,19.0,
91137,,-100.0,,,19.0,
91148,,-100.0,,,19.0,
91152,,-100.0,,,20.0,
91164,,-100.0,,,20.0,
91182,,-100.0,,,20.0,
91189,,-100.0,,,20.5,
91200,,-100.0,,,21.0,
91233,,-100.0,,,21.0,
91243,,-100.0,,,21.5,
91252,,-100.0,,,22.0,
91279,,-100.0,,,22.0,
91291,,-100.0,,,23.0,
91328,,-100.0,,,23.0,
91338,,-100.0,,,23.5,
91343,,-100.0,,,24.0,
91366,,-100.0,,,24.0,
91375,,-100.0,,,24.0,
91376,,-100.0,,,25.0,
91389,,-100.0,,,25.0,
91408,,-100.0,,,25.0,
91415,,-100.0,,,25.5,
91423,,-100.0,,,26.0,
91432,,-100.0,,,26.0,
91445,,-100.0,,,27.0,
91447,,-100.0,,,27.0,
91485,,-100.0,,,27.0,
91510,,-100.0,,,28.0,
91535,,-100.0,,,28.0,
91542,,-100.0,,,28.0,
91564,,-100.0,,,28.5,
91566,,-100.0,,,29.0,
91589,,-100.0,,,29.0,
91615,,-100.0,,,29.0,
91641,,-100.0,,,29.0,
91738,,-100.0,,,29.0,
91764,,-100.0,,,29.0,
91789,,-100.0,,,29.0,
91815,,-100.0,,,29.0,
