,A1L7EVNM2HF85,A3ST8XFT4X93K,A3SLISG1IED7T
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
19051,-100.0,-100.0,-100.0
19068,-100.0,-100.0,-100.0
19085,-100.0,-100.0,-100.0
19101,-100.0,-100.0,-100.0
19118,-100.0,-100.0,-100.0
19135,-100.0,-100.0,-100.0
19151,-100.0,-100.0,-100.0
19168,-100.0,-100.0,-100.0
19185,-100.0,-100.0,-100.0
19201,-100.0,-100.0,-100.0
19218,-100.0,-100.0,-100.0
19234,-100.0,-100.0,-100.0
20047,-100.0,-100.0,-100.0
20067,-100.0,-100.0,-100.0
20107,-100.0,-100.0,-100.0
20141,-100.0,-100.0,-100.0
20158,-100.0,-100.0,-100.0
20193,-100.0,-100.0,-100.0
20214,-100.0,-100.0,-100.0
20248,-100.0,-100.0,-100.0
20306,-100.0,-100.0,-100.0
20324,-100.0,-100.0,-100.0
20358,-100.0,-100.0,-100.0
20375,-100.0,-100.0,-100.0
20412,-100.0,-100.0,-100.0
20445,-100.0,-100.0,-100.0
20532,-100.0,-100.0,-100.0
20540,-100.0,-100.0,-100.0
20559,-100.0,-100.0,-100.0
20608,-100.0,-100.0,-100.0
20627,-100.0,-100.0,-100.0
20644,-100.0,-100.0,-100.0
20663,-100.0,-100.0,-100.0
20680,-100.0,-100.0,-100.0
20741,-100.0,-100.0,-100.0
20757,-100.0,-100.0,-100.0
20774,-100.0,-100.0,-100.0
20794,-100.0,-100.0,-100.0
20809,-100.0,-100.0,-100.0
20828,-100.0,-100.0,-100.0
20846,-100.0,-100.0,-100.0
20862,-100.0,-100.0,-100.0
20881,-100.0,-100.0,-100.0
20898,-100.0,-100.0,-100.0
20958,-100.0,-100.0,-100.0
20976,-100.0,-100.0,-100.0
20995,-100.0,-100.0,-100.0
21009,-100.0,-100.0,-100.0
21027,-100.0,-100.0,-100.0
21046,-100.0,-100.0,-100.0
21063,-100.0,-100.0,-100.0
21080,-100.0,-100.0,-100.0
21096,-100.0,-100.0,-100.0
21149,-100.0,-100.0,-100.0
21160,-100.0,-100.0,-100.0
21182,-100.0,-100.0,-100.0
21200,-100.0,-100.0,-100.0
21209,-100.0,-100.0,-100.0
21226,-100.0,-100.0,-100.0
21245,-100.0,-100.0,-100.0
21260,-100.0,-100.0,-100.0
21277,-100.0,-100.0,-100.0
21297,-100.0,-100.0,-100.0
21381,-100.0,-100.0,-100.0
21391,-100.0,-100.0,-100.0
21413,-100.0,-100.0,-100.0
21429,-100.0,-100.0,-100.0
21444,-100.0,-100.0,-100.0
21461,-100.0,-100.0,-100.0
21478,-100.0,-100.0,-100.0
21497,-100.0,-100.0,-100.0
21513,-100.0,-100.0,-100.0
21584,-100.0,-100.0,-100.0
21590,-100.0,-100.0,-100.0
21607,-100.0,-100.0,-100.0
21626,-100.0,-100.0,-100.0
21642,-100.0,-100.0,-100.0
21660,-100.0,-100.0,-100.0
21676,-100.0,-100.0,-100.0
21695,-100.0,-100.0,-100.0
21713,-100.0,-100.0,-100.0
21801,-100.0,-100.0,-100.0
21807,-100.0,-100.0,-100.0
21828,-100.0,-100.0,-100.0
21842,-100.0,-100.0,-100.0
21860,-100.0,-100.0,-100.0
21879,-100.0,-100.0,-100.0
21895,-100.0,-100.0,-100.0
21981,-100.0,-100.0,-100.0
22001,-100.0,-100.0,-100.0
22015,-100.0,-100.0,-100.0
22023,-100.0,-100.0,-100.0
22042,-100.0,-100.0,-100.0
22058,-100.0,-100.0,-100.0
22077,-100.0,-100.0,-100.0
22096,-100.0,-100.0,-100.0
22180,-100.0,-100.0,-100.0
22200,-100.0,-100.0,-100.0
22218,-100.0,-100.0,-100.0
22237,-100.0,-100.0,-100.0
22243,-100.0,-100.0,-100.0
22258,-100.0,-100.0,-100.0
22276,-100.0,-100.0,-100.0
22345,-100.0,-100.0,-100.0
22362,-100.0,-100.0,-100.0
22384,-100.0,-100.0,-100.0
22398,-100.0,-100.0,-100.0
22415,-100.0,-100.0,-100.0
22432,-100.0,-100.0,-100.0
22440,-100.0,-100.0,-100.0
22546,-100.0,-100.0,-100.0
22563,-100.0,-100.0,-100.0
22580,-100.0,-100.0,-100.0
22599,-100.0,-100.0,-100.0
22614,-100.0,-100.0,-100.0
22634,-100.0,-100.0,-100.0
22692,-100.0,-100.0,-100.0
22710,-100.0,-100.0,-100.0
22727,-100.0,-100.0,-100.0
22746,-100.0,-100.0,-100.0
22760,-100.0,-100.0,-100.0
22779,-100.0,-100.0,-100.0
22798,-100.0,-100.0,-100.0
22815,-100.0,-100.0,-100.0
22909,-100.0,-100.0,-100.0
22926,-100.0,-100.0,-100.0
22943,-100.0,-100.0,-100.0
22962,-100.0,-100.0,-100.0
22984,-100.0,-100.0,-100.0
23003,-100.0,-100.0,-100.0
23012,-100.0,-100.0,-100.0
23029,-100.0,-100.0,-100.0
23049,-100.0,-100.0,-100.0
23107,-100.0,-100.0,-100.0
23127,-100.0,-100.0,-100.0
23142,-100.0,-100.0,-100.0
23161,-100.0,-100.0,-100.0
23177,-100.0,-100.0,-100.0
23195,-100.0,-100.0,-100.0
23214,-100.0,-100.0,-100.0
23229,-100.0,-100.0,-100.0
23250,-100.0,-100.0,-100.0
23291,-100.0,-100.0,-100.0
23308,-100.0,-100.0,-100.0
23334,-100.0,-100.0,-100.0
23356,-100.0,-100.0,-100.0
23387,-100.0,-100.0,-100.0
23501,-100.0,-100.0,-100.0
23522,-100.0,-100.0,-100.0
23556,-100.0,-100.0,-100.0
23581,-100.0,-100.0,-100.0
23607,-100.0,-100.0,-100.0
23706,-100.0,-100.0,-100.0
23717,-100.0,-100.0,-100.0
23757,-100.0,-100.0,-100.0
23785,-100.0,-100.0,-100.0
23817,-100.0,-100.0,-100.0
23909,-100.0,-100.0,-100.0
23940,-100.0,-100.0,-100.0
23960,-100.0,-100.0,-100.0
23975,-100.0,-100.0,-100.0
23998,-100.0,-100.0,-100.0
24018,-100.0,-100.0,-100.0
24029,-100.0,-100.0,-100.0
24115,-100.0,-100.0,-100.0
24137,-100.0,-100.0,-100.0
24147,-100.0,-100.0,-100.0
24164,-100.0,-100.0,-100.0
24184,-100.0,-100.0,-100.0
24199,-100.0,-100.0,-100.0
24220,-100.0,-100.0,-100.0
24233,-100.0,-100.0,-100.0
24314,-100.0,-100.0,-100.0
24335,-100.0,-100.0,-100.0
24360,-100.0,-100.0,-100.0
24373,-100.0,-100.0,-100.0
24377,-100.0,-100.0,-100.0
24396,-100.0,-100.0,-100.0
24411,-100.0,-100.0,-100.0
24430,-100.0,-100.0,-100.0
24443,-100.0,-100.0,-100.0
24515,-100.0,-100.0,-100.0
24532,-100.0,-100.0,-100.0
24553,-100.0,-100.0,-100.0
24568,-100.0,-100.0,-100.0
24579,-100.0,-100.0,-100.0
24594,-100.0,-100.0,-100.0
24679,-100.0,-100.0,-100.0
24697,-100.0,-100.0,-100.0
24725,-100.0,-100.0,-100.0
24738,-100.0,-100.0,-100.0
24760,-100.0,-100.0,-100.0
24774,-100.0,-100.0,-100.0
24792,-100.0,-100.0,-100.0
24806,-100.0,-100.0,-100.0
24862,-100.0,-100.0,-100.0
24881,-100.0,-100.0,-100.0
24899,-100.0,-100.0,-100.0
24913,-100.0,-100.0,-100.0
24931,-100.0,-100.0,-100.0
24948,-100.0,-100.0,-100.0
24970,-100.0,-100.0,-100.0
25024,-100.0,-100.0,-100.0
25029,-100.0,-100.0,-100.0
25046,-100.0,-100.0,-100.0
25048,-100.0,-100.0,-100.0
25067,-100.0,-100.0,-100.0
25070,-100.0,-100.0,-100.0
25084,-100.0,-100.0,-100.0
25104,-100.0,-100.0,-100.0
25117,-100.0,-100.0,-100.0
25130,-100.0,-100.0,-100.0
25147,-100.0,-100.0,-100.0
25157,-100.0,-100.0,-100.0
25176,-100.0,-100.0,-100.0
25199,-100.0,-100.0,-100.0
25219,-100.0,-100.0,-100.0
25232,-100.0,-100.0,-100.0
25243,-100.0,-100.0,-100.0
25261,-100.0,-100.0,-100.0
25275,-100.0,-100.0,-100.0
25295,-100.0,-100.0,-100.0
25305,-100.0,-100.0,-100.0
25311,-100.0,-100.0,-100.0
25322,-100.0,-100.0,-100.0
25358,-100.0,-100.0,-100.0
25382,-100.0,-100.0,-100.0
25393,-100.0,-100.0,-100.0
25399,-100.0,-100.0,-100.0
25425,-100.0,-100.0,-100.0
25429,-100.0,-100.0,-100.0
25446,-100.0,-100.0,-100.0
25460,-100.0,-100.0,-100.0
25488,-100.0,-100.0,-100.0
25503,-100.0,-100.0,-100.0
25522,-100.0,-100.0,-100.0
25527,-100.0,-100.0,-100.0
25540,-100.0,-100.0,-100.0
25545,-100.0,-100.0,-100.0
25556,-100.0,-100.0,-100.0
25575,-100.0,-100.0,-100.0
25580,-100.0,-100.0,-100.0
25593,-100.0,-100.0,-100.0
25597,-100.0,-100.0,-100.0
25608,-100.0,-100.0,-100.0
25615,-100.0,-100.0,-100.0
25627,-100.0,-100.0,-100.0
25632,-100.0,-100.0,-100.0
25739,-100.0,-100.0,-100.0
25756,-100.0,-100.0,-100.0
25774,-100.0,-100.0,-100.0
25791,-100.0,-100.0,-100.0
25808,-100.0,-100.0,-100.0
25826,-100.0,-100.0,-100.0
25844,-100.0,-100.0,-100.0
25861,-100.0,-100.0,-100.0
25880,-100.0,-100.0,-100.0
25955,-100.0,-100.0,-100.0
25972,-100.0,-100.0,-100.0
25990,-100.0,-100.0,-100.0
26007,-100.0,-100.0,-100.0
26026,-100.0,-100.0,-100.0
26044,-100.0,-100.0,-100.0
26060,-100.0,-100.0,-100.0
26138,-100.0,-100.0,-100.0
26156,-100.0,-100.0,-100.0
26172,-100.0,-100.0,-100.0
26190,-100.0,-100.0,-100.0
26207,-100.0,-100.0,-100.0
26225,-100.0,-100.0,-100.0
26243,-100.0,-100.0,-100.0
26331,-100.0,-100.0,-100.0
26338,-100.0,-100.0,-100.0
26354,-100.0,-100.0,-100.0
26372,-100.0,-100.0,-100.0
26390,-100.0,-100.0,-100.0
26406,-100.0,-100.0,-100.0
26425,-100.0,-100.0,-100.0
26495,-100.0,-100.0,-100.0
26511,-100.0,-100.0,-100.0
26530,-100.0,-100.0,-100.0
26547,-100.0,-100.0,-100.0
26564,-100.0,-100.0,-100.0
26571,-100.0,-100.0,-100.0
26589,-100.0,-100.0,-100.0
26606,-100.0,-100.0,-100.0
26676,-100.0,-100.0,-100.0
26694,-100.0,-100.0,-100.0
26711,-100.0,-100.0,-100.0
26728,-100.0,-100.0,-100.0
26746,-100.0,-100.0,-100.0
26763,-100.0,-100.0,-100.0
26771,-100.0,-100.0,-100.0
26789,-100.0,-100.0,-100.0
26804,-100.0,-100.0,-100.0
26875,-100.0,-100.0,-100.0
26893,-100.0,-100.0,-100.0
26910,-100.0,-100.0,-100.0
26927,-100.0,-100.0,-100.0
26945,-100.0,-100.0,-100.0
26963,-100.0,-100.0,-100.0
26980,-100.0,-100.0,-100.0
27057,-100.0,-100.0,-100.0
27076,-100.0,-100.0,-100.0
27127,-100.0,-100.0,-100.0
27145,-100.0,-100.0,-100.0
27162,-100.0,-100.0,-100.0
27180,-100.0,-100.0,-100.0
27257,-100.0,-100.0,-100.0
27274,-100.0,-100.0,-100.0
27291,-100.0,-100.0,-100.0
27309,-100.0,-100.0,-100.0
27327,-100.0,-100.0,-100.0
27344,-100.0,-100.0,-100.0
27362,-100.0,-100.0,-100.0
27379,-100.0,-100.0,-100.0
27455,-100.0,-100.0,-100.0
27473,-100.0,-100.0,-100.0
27490,-100.0,-100.0,-100.0
27508,-100.0,-100.0,-100.0
27526,-100.0,-100.0,-100.0
27543,-100.0,-100.0,-100.0
27561,-100.0,-100.0,-100.0
27578,-100.0,-100.0,-100.0
27654,-100.0,-100.0,-100.0
27673,-100.0,-100.0,-100.0
27690,-100.0,-100.0,-100.0
27707,-100.0,-100.0,-100.0
27726,-100.0,-100.0,-100.0
27741,-100.0,-100.0,-100.0
27760,-100.0,-100.0,-100.0
27778,-100.0,-100.0,-100.0
27854,-100.0,-100.0,-100.0
27872,-100.0,-100.0,-100.0
27907,-100.0,-100.0,-100.0
27924,-100.0,-100.0,-100.0
27941,-100.0,-100.0,-100.0
27959,-100.0,-100.0,-100.0
27977,-100.0,-100.0,-100.0
28072,-100.0,-100.0,-100.0
28089,-100.0,-100.0,-100.0
28106,-100.0,-100.0,-100.0
28124,-100.0,-100.0,-100.0
28140,-100.0,-100.0,-100.0
28159,-100.0,-100.0,-100.0
28177,-100.0,-100.0,-100.0
28194,-100.0,-100.0,-100.0
28276,-100.0,-100.0,-100.0
28289,-100.0,-100.0,-100.0
28305,-100.0,-100.0,-100.0
28323,-100.0,-100.0,-100.0
28340,-100.0,-100.0,-100.0
28358,-100.0,-100.0,-100.0
28376,-100.0,-100.0,-100.0
28392,-100.0,-100.0,-100.0
28480,-100.0,-100.0,-100.0
28488,-100.0,-100.0,-100.0
28505,-100.0,-100.0,-100.0
28523,-100.0,-100.0,-100.0
28540,-100.0,-100.0,-100.0
28558,-100.0,-100.0,-100.0
28575,-100.0,-100.0,-100.0
28592,-100.0,-100.0,-100.0
28610,-100.0,-100.0,-100.0
