,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
56713,-100.0,-100.0,-100.0,-100.0
56734,-100.0,-100.0,-100.0,-100.0
56748,-100.0,-100.0,-100.0,-100.0
56761,-100.0,-100.0,-100.0,-100.0
56764,-100.0,-100.0,-100.0,-100.0
56780,-100.0,-100.0,-100.0,-100.0
56796,-100.0,-100.0,-100.0,-100.0
56814,-100.0,-100.0,-100.0,-100.0
56829,-100.0,-100.0,-100.0,-100.0
56847,-100.0,-100.0,-100.0,-100.0
56863,-100.0,-100.0,-100.0,-100.0
56881,-100.0,-100.0,-100.0,-100.0
56898,-100.0,-100.0,-100.0,-100.0
56914,-100.0,-100.0,-100.0,-100.0
56929,-100.0,-100.0,-100.0,-100.0
56931,-100.0,-100.0,-100.0,-100.0
56948,-100.0,-100.0,-100.0,-100.0
56964,-100.0,-100.0,-100.0,-100.0
56980,-100.0,-100.0,-100.0,-100.0
56996,-100.0,-100.0,-100.0,-100.0
56998,-100.0,-100.0,-100.0,-100.0
57012,-100.0,-100.0,-100.0,-100.0
57017,-100.0,-100.0,-100.0,-100.0
57048,-100.0,-100.0,-100.0,-100.0
57061,-100.0,-100.0,-100.0,-100.0
57068,-100.0,-100.0,-100.0,-100.0
57080,-100.0,-100.0,-100.0,-100.0
57097,-100.0,-100.0,-100.0,-100.0
57100,-100.0,-100.0,-100.0,-100.0
57116,-100.0,-100.0,-100.0,-100.0
57135,-100.0,-100.0,-100.0,-100.0
57136,-100.0,-100.0,-100.0,-100.0
57158,-100.0,-100.0,-100.0,-100.0
57165,-100.0,-100.0,-100.0,-100.0
57195,-100.0,-100.0,-100.0,-100.0
57197,-100.0,-100.0,-100.0,-100.0
57215,-100.0,-100.0,-100.0,-100.0
57222,-100.0,-100.0,-100.0,-100.0
57230,-100.0,-100.0,-100.0,-100.0
57246,-100.0,-100.0,-100.0,-100.0
57248,-100.0,-100.0,-100.0,-100.0
57266,-100.0,-100.0,-100.0,-100.0
57282,-100.0,-100.0,-100.0,-100.0
57283,-100.0,-100.0,-100.0,-100.0
57299,-100.0,-100.0,-100.0,-100.0
57316,-100.0,-100.0,-100.0,-100.0
57326,-100.0,-100.0,-100.0,-100.0
57347,-100.0,-100.0,-100.0,-100.0
57353,-100.0,-100.0,-100.0,-100.0
57363,-100.0,-100.0,-100.0,-100.0
57379,-100.0,-100.0,-100.0,-100.0
57383,-100.0,-100.0,-100.0,-100.0
57394,-100.0,-100.0,-100.0,-100.0
57411,-100.0,-100.0,-100.0,-100.0
57413,-100.0,-100.0,-100.0,-100.0
57429,-100.0,-100.0,-100.0,-100.0
57438,-100.0,-100.0,-100.0,-100.0
57461,-100.0,-100.0,-100.0,-100.0
57464,-100.0,-100.0,-100.0,-100.0
57483,-100.0,-100.0,-100.0,-100.0
57498,-100.0,-100.0,-100.0,-100.0
57517,-100.0,-100.0,-100.0,-100.0
57527,-100.0,-100.0,-100.0,-100.0
57546,-100.0,-100.0,-100.0,-100.0
57550,-100.0,-100.0,-100.0,-100.0
57566,-100.0,-100.0,-100.0,-100.0
57567,-100.0,-100.0,-100.0,-100.0
57583,-100.0,-100.0,-100.0,-100.0
57595,-100.0,-100.0,-100.0,-100.0
57600,-100.0,-100.0,-100.0,-100.0
57617,-100.0,-100.0,-100.0,-100.0
57632,-100.0,-100.0,-100.0,-100.0
57643,-100.0,-100.0,-100.0,-100.0
57646,-100.0,-100.0,-100.0,-100.0
57663,-100.0,-100.0,-100.0,-100.0
57679,-100.0,-100.0,-100.0,-100.0
57684,-100.0,-100.0,-100.0,-100.0
57700,-100.0,-100.0,-100.0,-100.0
57711,-100.0,-100.0,-100.0,-100.0
57717,-100.0,-100.0,-100.0,-100.0
57734,-100.0,-100.0,-100.0,-100.0
57747,-100.0,-100.0,-100.0,-100.0
57752,-100.0,-100.0,-100.0,-100.0
57770,-100.0,-100.0,-100.0,-100.0
57796,-100.0,-100.0,-100.0,-100.0
57802,-100.0,-100.0,-100.0,-100.0
57818,-100.0,-100.0,-100.0,-100.0
57834,-100.0,-100.0,-100.0,-100.0
57841,-100.0,-100.0,-100.0,-100.0
57851,-100.0,-100.0,-100.0,-100.0
57867,-100.0,-100.0,-100.0,-100.0
57884,-100.0,-100.0,-100.0,-100.0
57901,-100.0,-100.0,-100.0,-100.0
57916,-100.0,-100.0,-100.0,-100.0
57934,-100.0,-100.0,-100.0,-100.0
57949,-100.0,-100.0,-100.0,-100.0
57950,-100.0,-100.0,-100.0,-100.0
57967,-100.0,-100.0,-100.0,-100.0
57985,-100.0,-100.0,-100.0,-100.0
58000,-100.0,-100.0,-100.0,-100.0
58004,-100.0,-100.0,-100.0,-100.0
58018,-100.0,-100.0,-100.0,-100.0
58035,-100.0,-100.0,-100.0,-100.0
58039,-100.0,-100.0,-100.0,-100.0
58050,-100.0,-100.0,-100.0,-100.0
58076,-100.0,-100.0,-100.0,-100.0
58154,-100.0,-100.0,-100.0,-100.0
58251,-100.0,-100.0,-100.0,-100.0
58294,-100.0,-100.0,-100.0,-100.0
58335,-100.0,-100.0,-100.0,-100.0
58336,-100.0,-100.0,-100.0,-100.0
58349,-100.0,-100.0,-100.0,-100.0
58352,-100.0,-100.0,-100.0,-100.0
58378,-100.0,-100.0,-100.0,-100.0
58425,-100.0,-100.0,-100.0,-100.0
58449,-100.0,-100.0,-100.0,-100.0
58494,-100.0,-100.0,-100.0,-100.0
58530,-100.0,-100.0,-100.0,-100.0
58627,-100.0,-100.0,-100.0,-100.0
58695,-100.0,-100.0,-100.0,-100.0
58743,-100.0,-100.0,-100.0,-100.0
58766,-100.0,-100.0,-100.0,-100.0
58794,-100.0,-100.0,-100.0,-100.0
58857,-100.0,-100.0,-100.0,-100.0
58892,-100.0,-100.0,-100.0,-100.0
58944,-100.0,-100.0,-100.0,-100.0
59032,-100.0,-100.0,-100.0,-100.0
59166,-100.0,-100.0,-100.0,-100.0
59302,-100.0,-100.0,-100.0,-100.0
59369,-100.0,-100.0,-100.0,-100.0
59393,-100.0,-100.0,-100.0,-100.0
59450,-100.0,-100.0,-100.0,-100.0
59526,-100.0,-100.0,-100.0,-100.0
59603,-100.0,-100.0,-100.0,-100.0
59662,-100.0,-100.0,-100.0,-100.0
59699,-100.0,-100.0,-100.0,-100.0
59760,-100.0,-100.0,-100.0,-100.0
59793,-100.0,-100.0,-100.0,-100.0
59870,-100.0,-100.0,-100.0,-100.0
59971,-100.0,-100.0,-100.0,-100.0
60019,-100.0,-100.0,-100.0,-100.0
60107,-100.0,-100.0,-100.0,-100.0
60181,-100.0,-100.0,-100.0,-100.0
60227,-100.0,-100.0,-100.0,-100.0
60261,-100.0,-100.0,-100.0,-100.0
60294,-100.0,-100.0,-100.0,-100.0
60344,-100.0,-100.0,-100.0,-100.0
60380,-100.0,-100.0,-100.0,-100.0
60408,-100.0,-100.0,-100.0,-100.0
60440,-100.0,-100.0,-100.0,-100.0
60562,-100.0,-100.0,-100.0,-100.0
60690,-100.0,-100.0,-100.0,-100.0
60722,-100.0,-100.0,-100.0,-100.0
60769,-100.0,-100.0,-100.0,-100.0
60846,-100.0,-100.0,-100.0,-100.0
60976,-100.0,-100.0,-100.0,-100.0
61107,-100.0,-100.0,-100.0,-100.0
61146,-100.0,-100.0,-100.0,-100.0
61194,-100.0,-100.0,-100.0,-100.0
61238,-100.0,-100.0,-100.0,-100.0
61266,-100.0,-100.0,-100.0,-100.0
61359,-100.0,-100.0,-100.0,-100.0
61454,-100.0,-100.0,-100.0,-100.0
61490,-100.0,-100.0,-100.0,-100.0
61610,-100.0,-100.0,-100.0,-100.0
