,ACBG07QLGIDP0
681591,-100.0
681604,-100.0
681608,-100.0
681622,-100.0
681627,-100.0
681639,-100.0
681643,-100.0
681654,-100.0
681658,-100.0
681688,-100.0
681692,-100.0
681706,-100.0
681710,-100.0
681722,-100.0
681726,-100.0
681738,-100.0
681742,-100.0
681772,-100.0
681776,-100.0
681790,-100.0
681794,-100.0
681806,-100.0
681810,-100.0
681822,-100.0
681826,-100.0
681839,-100.0
681843,-100.0
681857,-100.0
681861,-100.0
681873,-100.0
681877,-100.0
681890,-100.0
681893,-100.0
681907,-100.0
681910,-100.0
681924,-100.0
681927,-100.0
681940,-100.0
681943,-100.0
681957,-100.0
681961,-100.0
681975,-100.0
681978,-100.0
681990,-100.0
681994,-100.0
682008,-100.0
682011,-100.0
682024,-100.0
682027,-100.0
682042,-100.0
682046,-100.0
682057,-100.0
682061,-100.0
682091,-100.0
682095,-100.0
682108,-100.0
682111,-100.0
682125,-100.0
682129,-100.0
682141,-100.0
682145,-100.0
682158,-100.0
683034,-100.0
