,A141CB4BKDYKD,AOSBRJKYSSGDA_x,AOEGJLWFISOZQ,AW62F9SMXXTFH,ACM1CEGHXTKZP
3715,-100.0,-100.0,-100.0,-100.0,-100.0
3726,-100.0,-100.0,-100.0,-100.0,-100.0
3749,-100.0,-100.0,-100.0,-100.0,-100.0
3760,-100.0,-100.0,-100.0,-100.0,-100.0
3786,-100.0,-100.0,-100.0,-100.0,-100.0
3820,-100.0,-100.0,-100.0,-100.0,-100.0
3821,-100.0,-100.0,-100.0,-100.0,-100.0
3848,-100.0,-100.0,-100.0,-100.0,-100.0
3870,-100.0,-100.0,-100.0,-100.0,-100.0
3885,-100.0,-100.0,-100.0,-100.0,-100.0
3912,-100.0,-100.0,-100.0,-100.0,-100.0
3947,-100.0,-100.0,-100.0,-100.0,-100.0
4033,-100.0,-100.0,-100.0,-100.0,-100.0
4079,-100.0,-100.0,-100.0,-100.0,-100.0
4101,-100.0,-100.0,-100.0,-100.0,-100.0
4126,-100.0,-100.0,-100.0,-100.0,-100.0
4144,-100.0,-100.0,-100.0,-100.0,-100.0
4167,-100.0,-100.0,-100.0,-100.0,-100.0
4196,-100.0,-100.0,-100.0,-100.0,-100.0
4197,-100.0,-100.0,-100.0,-100.0,-100.0
4205,-100.0,-100.0,-100.0,-100.0,-100.0
4221,-100.0,-100.0,-100.0,-100.0,-100.0
4260,-100.0,-100.0,-100.0,-100.0,-100.0
4261,-100.0,-100.0,-100.0,-100.0,-100.0
4279,-100.0,-100.0,-100.0,-100.0,-100.0
4281,-100.0,-100.0,-100.0,-100.0,-100.0
4307,-100.0,-100.0,-100.0,-100.0,-100.0
4316,-100.0,-100.0,-100.0,-100.0,-100.0
4341,-100.0,-100.0,-100.0,-100.0,-100.0
4375,-100.0,-100.0,-100.0,-100.0,-100.0
4408,-100.0,-100.0,-100.0,-100.0,-100.0
4431,-100.0,-100.0,-100.0,-100.0,-100.0
4440,-100.0,-100.0,-100.0,-100.0,-100.0
4471,-100.0,-100.0,-100.0,-100.0,-100.0
4480,-100.0,-100.0,-100.0,-100.0,-100.0
4496,-100.0,-100.0,-100.0,-100.0,-100.0
4512,-100.0,-100.0,-100.0,-100.0,-100.0
4534,-100.0,-100.0,-100.0,-100.0,-100.0
4538,-100.0,-100.0,-100.0,-100.0,-100.0
4563,-100.0,-100.0,-100.0,-100.0,-100.0
4587,-100.0,-100.0,-100.0,-100.0,-100.0
4781,-100.0,-100.0,-100.0,-100.0,-100.0
4815,-100.0,-100.0,-100.0,-100.0,-100.0
4852,-100.0,-100.0,-100.0,-100.0,-100.0
4853,-100.0,-100.0,-100.0,-100.0,-100.0
4882,-100.0,-100.0,-100.0,-100.0,-100.0
4887,-100.0,-100.0,-100.0,-100.0,-100.0
4914,-100.0,-100.0,-100.0,-100.0,-100.0
4961,-100.0,-100.0,-100.0,-100.0,-100.0
4973,-100.0,-100.0,-100.0,-100.0,-100.0
4998,-100.0,-100.0,-100.0,-100.0,-100.0
5089,-100.0,-100.0,-100.0,-100.0,-100.0
5165,-100.0,-100.0,-100.0,-100.0,-100.0
5214,-100.0,-100.0,-100.0,-100.0,-100.0
5230,-100.0,-100.0,-100.0,-100.0,-100.0
5309,-100.0,-100.0,-100.0,-100.0,-100.0
5348,-100.0,-100.0,-100.0,-100.0,-100.0
5357,-100.0,-100.0,-100.0,-100.0,-100.0
5381,-100.0,-100.0,-100.0,-100.0,-100.0
5399,-100.0,-100.0,-100.0,-100.0,-100.0
5410,-100.0,-100.0,-100.0,-100.0,-100.0
5427,-100.0,-100.0,-100.0,-100.0,-100.0
5453,-100.0,-100.0,-100.0,-100.0,-100.0
5466,-100.0,-100.0,-100.0,-100.0,-100.0
5470,-100.0,-100.0,-100.0,-100.0,-100.0
5474,-100.0,-100.0,-100.0,-100.0,-100.0
5494,-100.0,-100.0,-100.0,-100.0,-100.0
5529,-100.0,-100.0,-100.0,-100.0,-100.0
5541,-100.0,-100.0,-100.0,-100.0,-100.0
5577,-100.0,-100.0,-100.0,-100.0,-100.0
5602,-100.0,-100.0,-100.0,-100.0,-100.0
5624,-100.0,-100.0,-100.0,-100.0,-100.0
