,A23KB5AO13NF7,A1W05TSPORJPX
10563,-100.0,-100.0
10580,-100.0,-100.0
10597,-100.0,-100.0
10600,-100.0,-100.0
10676,-100.0,-100.0
10716,-100.0,-100.0
10730,-100.0,-100.0
10747,-100.0,-100.0
10762,-100.0,-100.0
10763,-100.0,-100.0
10780,-100.0,-100.0
10797,-100.0,-100.0
10804,-100.0,-100.0
10813,-100.0,-100.0
10830,-100.0,-100.0
10845,-100.0,-100.0
10846,-100.0,-100.0
10863,-100.0,-100.0
10879,-100.0,-100.0
10880,-100.0,-100.0
10896,-100.0,-100.0
10906,-100.0,-100.0
10913,-100.0,-100.0
10930,-100.0,-100.0
11430,-100.0,-100.0
11447,-100.0,-100.0
11463,-100.0,-100.0
11480,-100.0,-100.0
11496,-100.0,-100.0
11514,-100.0,-100.0
11530,-100.0,-100.0
11547,-100.0,-100.0
11563,-100.0,-100.0
11580,-100.0,-100.0
11597,-100.0,-100.0
11613,-100.0,-100.0
11630,-100.0,-100.0
11646,-100.0,-100.0
11663,-100.0,-100.0
11680,-100.0,-100.0
11696,-100.0,-100.0
11713,-100.0,-100.0
11730,-100.0,-100.0
11747,-100.0,-100.0
11763,-100.0,-100.0
11780,-100.0,-100.0
11797,-100.0,-100.0
11813,-100.0,-100.0
11830,-100.0,-100.0
11847,-100.0,-100.0
11863,-100.0,-100.0
11880,-100.0,-100.0
11897,-100.0,-100.0
11913,-100.0,-100.0
11930,-100.0,-100.0
11947,-100.0,-100.0
11963,-100.0,-100.0
11980,-100.0,-100.0
11997,-100.0,-100.0
12013,-100.0,-100.0
12030,-100.0,-100.0
12047,-100.0,-100.0
12063,-100.0,-100.0
12080,-100.0,-100.0
12097,-100.0,-100.0
12113,-100.0,-100.0
12130,-100.0,-100.0
12146,-100.0,-100.0
12165,-100.0,-100.0
12180,-100.0,-100.0
12197,-100.0,-100.0
12213,-100.0,-100.0
12230,-100.0,-100.0
12247,-100.0,-100.0
12263,-100.0,-100.0
12280,-100.0,-100.0
12297,-100.0,-100.0
12313,-100.0,-100.0
12330,-100.0,-100.0
12346,-100.0,-100.0
12363,-100.0,-100.0
12380,-100.0,-100.0
13293,-100.0,-100.0
13331,-100.0,-100.0
13396,-100.0,-100.0
13430,-100.0,-100.0
13500,-100.0,-100.0
13548,-100.0,-100.0
13604,-100.0,-100.0
13640,-100.0,-100.0
13710,-100.0,-100.0
13840,-100.0,-100.0
13878,-100.0,-100.0
13897,-100.0,-100.0
13976,-100.0,-100.0
14036,-100.0,-100.0
14081,-100.0,-100.0
14149,-100.0,-100.0
14193,-100.0,-100.0
14249,-100.0,-100.0
14299,-100.0,-100.0
14338,-100.0,-100.0
14410,-100.0,-100.0
14540,-100.0,-100.0
14582,-100.0,-100.0
14669,-100.0,-100.0
14690,-100.0,-100.0
14781,-100.0,-100.0
14821,-100.0,-100.0
14847,-100.0,-100.0
14869,-100.0,-100.0
14891,-100.0,-100.0
14930,-100.0,-100.0
14957,-100.0,-100.0
15045,-100.0,-100.0
15086,-100.0,-100.0
15110,-100.0,-100.0
15187,-100.0,-100.0
15211,-100.0,-100.0
15249,-100.0,-100.0
15282,-100.0,-100.0
15340,-100.0,-100.0
15391,-100.0,-100.0
15858,-100.0,-100.0
15899,-100.0,-100.0
15974,-100.0,-100.0
16004,-100.0,-100.0
16028,-100.0,-100.0
16087,-100.0,-100.0
16141,-100.0,-100.0
16175,-100.0,-100.0
16214,-100.0,-100.0
16238,-100.0,-100.0
16273,-100.0,-100.0
16315,-100.0,-100.0
16348,-100.0,-100.0
16468,-100.0,-100.0
16492,-100.0,-100.0
16526,-100.0,-100.0
16561,-100.0,-100.0
16579,-100.0,-100.0
16615,-100.0,-100.0
16650,-100.0,-100.0
16758,-100.0,-100.0
16827,-100.0,-100.0
16865,-100.0,-100.0
16900,-100.0,-100.0
16930,-100.0,-100.0
16975,-100.0,-100.0
17010,-100.0,-100.0
17033,-100.0,-100.0
17137,-100.0,-100.0
17177,-100.0,-100.0
17221,-100.0,-100.0
17257,-100.0,-100.0
17273,-100.0,-100.0
17846,-100.0,-100.0
17868,-100.0,-100.0
17900,-100.0,-100.0
17926,-100.0,-100.0
17943,-100.0,-100.0
17964,-100.0,-100.0
17983,-100.0,-100.0
18001,-100.0,-100.0
18020,-100.0,-100.0
43965,-100.0,-100.0
43982,-100.0,-100.0
43998,-100.0,-100.0
44015,-100.0,-100.0
44031,-100.0,-100.0
44048,-100.0,-100.0
44065,-100.0,-100.0
44082,-100.0,-100.0
44098,-100.0,-100.0
44115,-100.0,-100.0
44132,-100.0,-100.0
44148,-100.0,-100.0
44165,-100.0,-100.0
44182,-100.0,-100.0
44198,-100.0,-100.0
44215,-100.0,-100.0
44232,-100.0,-100.0
44248,-100.0,-100.0
44265,-100.0,-100.0
44282,-100.0,-100.0
44298,-100.0,-100.0
44315,-100.0,-100.0
44331,-100.0,-100.0
44349,-100.0,-100.0
44365,-100.0,-100.0
44381,-100.0,-100.0
44398,-100.0,-100.0
44415,-100.0,-100.0
44432,-100.0,-100.0
44448,-100.0,-100.0
44465,-100.0,-100.0
44481,-100.0,-100.0
44499,-100.0,-100.0
44515,-100.0,-100.0
44531,-100.0,-100.0
44548,-100.0,-100.0
44565,-100.0,-100.0
44581,-100.0,-100.0
44598,-100.0,-100.0
44615,-100.0,-100.0
44632,-100.0,-100.0
44648,-100.0,-100.0
44665,-100.0,-100.0
44681,-100.0,-100.0
44698,-100.0,-100.0
44715,-100.0,-100.0
44731,-100.0,-100.0
44748,-100.0,-100.0
44765,-100.0,-100.0
44782,-100.0,-100.0
44799,-100.0,-100.0
44815,-100.0,-100.0
44832,-100.0,-100.0
44848,-100.0,-100.0
44865,-100.0,-100.0
44882,-100.0,-100.0
44898,-100.0,-100.0
44915,-100.0,-100.0
44932,-100.0,-100.0
44948,-100.0,-100.0
44965,-100.0,-100.0
44982,-100.0,-100.0
44998,-100.0,-100.0
45016,-100.0,-100.0
45049,-100.0,-100.0
45065,-100.0,-100.0
45082,-100.0,-100.0
45098,-100.0,-100.0
45116,-100.0,-100.0
45134,-100.0,-100.0
45148,-100.0,-100.0
45165,-100.0,-100.0
45182,-100.0,-100.0
45198,-100.0,-100.0
45215,-100.0,-100.0
45232,-100.0,-100.0
45249,-100.0,-100.0
45265,-100.0,-100.0
45282,-100.0,-100.0
45298,-100.0,-100.0
45315,-100.0,-100.0
45332,-100.0,-100.0
45348,-100.0,-100.0
45365,-100.0,-100.0
45382,-100.0,-100.0
45398,-100.0,-100.0
45415,-100.0,-100.0
45432,-100.0,-100.0
45832,-100.0,-100.0
45849,-100.0,-100.0
45865,-100.0,-100.0
45882,-100.0,-100.0
45899,-100.0,-100.0
45915,-100.0,-100.0
45932,-100.0,-100.0
45948,-100.0,-100.0
45965,-100.0,-100.0
45982,-100.0,-100.0
45999,-100.0,-100.0
46015,-100.0,-100.0
46032,-100.0,-100.0
46048,-100.0,-100.0
46066,-100.0,-100.0
46082,-100.0,-100.0
46099,-100.0,-100.0
46115,-100.0,-100.0
46132,-100.0,-100.0
46149,-100.0,-100.0
46165,-100.0,-100.0
46182,-100.0,-100.0
46198,-100.0,-100.0
46215,-100.0,-100.0
46232,-100.0,-100.0
46249,-100.0,-100.0
46265,-100.0,-100.0
46282,-100.0,-100.0
46298,-100.0,-100.0
46315,-100.0,-100.0
46332,-100.0,-100.0
46349,-100.0,-100.0
46365,-100.0,-100.0
46382,-100.0,-100.0
46398,-100.0,-100.0
46415,-100.0,-100.0
46432,-100.0,-100.0
46448,-100.0,-100.0
46465,-100.0,-100.0
46482,-100.0,-100.0
46499,-100.0,-100.0
46515,-100.0,-100.0
46532,-100.0,-100.0
46548,-100.0,-100.0
48732,-100.0,-100.0
48749,-100.0,-100.0
48765,-100.0,-100.0
48782,-100.0,-100.0
48798,-100.0,-100.0
48815,-100.0,-100.0
48832,-100.0,-100.0
48849,-100.0,-100.0
48865,-100.0,-100.0
48882,-100.0,-100.0
48899,-100.0,-100.0
48915,-100.0,-100.0
48932,-100.0,-100.0
48949,-100.0,-100.0
48965,-100.0,-100.0
48982,-100.0,-100.0
48999,-100.0,-100.0
49015,-100.0,-100.0
49032,-100.0,-100.0
49048,-100.0,-100.0
49065,-100.0,-100.0
49082,-100.0,-100.0
49099,-100.0,-100.0
49115,-100.0,-100.0
49132,-100.0,-100.0
49149,-100.0,-100.0
49166,-100.0,-100.0
49182,-100.0,-100.0
49198,-100.0,-100.0
49215,-100.0,-100.0
49232,-100.0,-100.0
49249,-100.0,-100.0
49265,-100.0,-100.0
49282,-100.0,-100.0
49298,-100.0,-100.0
49316,-100.0,-100.0
49332,-100.0,-100.0
49349,-100.0,-100.0
49365,-100.0,-100.0
49382,-100.0,-100.0
49399,-100.0,-100.0
49415,-100.0,-100.0
49432,-100.0,-100.0
49449,-100.0,-100.0
49465,-100.0,-100.0
49482,-100.0,-100.0
49498,-100.0,-100.0
49515,-100.0,-100.0
50275,-100.0,-100.0
50276,-100.0,-100.0
50293,-100.0,-100.0
50298,-100.0,-100.0
50328,-100.0,-100.0
50332,-100.0,-100.0
50344,-100.0,-100.0
50349,-100.0,-100.0
50362,-100.0,-100.0
50366,-100.0,-100.0
50380,-100.0,-100.0
50384,-100.0,-100.0
50387,-100.0,-100.0
50391,-100.0,-100.0
50404,-100.0,-100.0
50408,-100.0,-100.0
50421,-100.0,-100.0
50427,-100.0,-100.0
50438,-100.0,-100.0
50444,-100.0,-100.0
50456,-100.0,-100.0
50460,-100.0,-100.0
50475,-100.0,-100.0
50479,-100.0,-100.0
50491,-100.0,-100.0
50495,-100.0,-100.0
50510,-100.0,-100.0
50514,-100.0,-100.0
50527,-100.0,-100.0
50532,-100.0,-100.0
50543,-100.0,-100.0
50547,-100.0,-100.0
50562,-100.0,-100.0
50566,-100.0,-100.0
50579,-100.0,-100.0
50583,-100.0,-100.0
50596,-100.0,-100.0
50601,-100.0,-100.0
50614,-100.0,-100.0
50621,-100.0,-100.0
50623,-100.0,-100.0
50638,-100.0,-100.0
50642,-100.0,-100.0
50656,-100.0,-100.0
50660,-100.0,-100.0
50674,-100.0,-100.0
50678,-100.0,-100.0
50691,-100.0,-100.0
50695,-100.0,-100.0
50708,-100.0,-100.0
50712,-100.0,-100.0
50726,-100.0,-100.0
50730,-100.0,-100.0
50743,-100.0,-100.0
50746,-100.0,-100.0
50761,-100.0,-100.0
50765,-100.0,-100.0
50778,-100.0,-100.0
50783,-100.0,-100.0
50813,-100.0,-100.0
50820,-100.0,-100.0
50822,-100.0,-100.0
50838,-100.0,-100.0
50843,-100.0,-100.0
50856,-100.0,-100.0
50863,-100.0,-100.0
50872,-100.0,-100.0
50873,-100.0,-100.0
56171,-100.0,-100.0
56184,-100.0,-100.0
56218,-100.0,-100.0
56226,-100.0,-100.0
56237,-100.0,-100.0
56246,-100.0,-100.0
56247,-100.0,-100.0
56260,-100.0,-100.0
56270,-100.0,-100.0
56282,-100.0,-100.0
56315,-100.0,-100.0
56323,-100.0,-100.0
56356,-100.0,-100.0
56366,-100.0,-100.0
56627,-100.0,-100.0
56636,-100.0,-100.0
56665,-100.0,-100.0
56674,-100.0,-100.0
56687,-100.0,-100.0
56698,-100.0,-100.0
56727,-100.0,-100.0
56735,-100.0,-100.0
56765,-100.0,-100.0
56773,-100.0,-100.0
56785,-100.0,-100.0
56796,-100.0,-100.0
57220,-100.0,-100.0
57231,-100.0,-100.0
57265,-100.0,-100.0
57278,-100.0,-100.0
57290,-100.0,-100.0
57309,-100.0,-100.0
57319,-100.0,-100.0
57347,-100.0,-100.0
57354,-100.0,-100.0
57509,-100.0,-100.0
57521,-100.0,-100.0
57539,-100.0,-100.0
57560,-100.0,-100.0
57591,-100.0,-100.0
57601,-100.0,-100.0
57627,-100.0,-100.0
57639,-100.0,-100.0
57766,-100.0,-100.0
57777,-100.0,-100.0
57813,-100.0,-100.0
57821,-100.0,-100.0
57836,-100.0,-100.0
57850,-100.0,-100.0
57877,-100.0,-100.0
57886,-100.0,-100.0
58038,-100.0,-100.0
58047,-100.0,-100.0
58081,-100.0,-100.0
58093,-100.0,-100.0
58105,-100.0,-100.0
58116,-100.0,-100.0
58149,-100.0,-100.0
58161,-100.0,-100.0
58493,-100.0,-100.0
58506,-100.0,-100.0
58520,-100.0,-100.0
58532,-100.0,-100.0
58558,-100.0,-100.0
58584,-100.0,-100.0
58592,-100.0,-100.0
58799,-100.0,-100.0
58811,-100.0,-100.0
58851,-100.0,-100.0
58869,-100.0,-100.0
58907,-100.0,-100.0
58922,-100.0,-100.0
59093,-100.0,-100.0
59106,-100.0,-100.0
59118,-100.0,-100.0
59132,-100.0,-100.0
59289,-100.0,-100.0
59303,-100.0,-100.0
59334,-100.0,-100.0
59343,-100.0,-100.0
59513,-100.0,-100.0
59526,-100.0,-100.0
59559,-100.0,-100.0
59571,-100.0,-100.0
59800,-100.0,-100.0
59823,-100.0,-100.0
59862,-100.0,-100.0
59870,-100.0,-100.0
59903,-100.0,-100.0
59927,-100.0,-100.0
60115,-100.0,-100.0
60128,-100.0,-100.0
60160,-100.0,-100.0
60175,-100.0,-100.0
60206,-100.0,-100.0
60217,-100.0,-100.0
60890,-100.0,-100.0
60901,-100.0,-100.0
60937,-100.0,-100.0
60947,-100.0,-100.0
60966,-100.0,-100.0
60981,-100.0,-100.0
61018,-100.0,-100.0
61030,-100.0,-100.0
61042,-100.0,-100.0
61059,-100.0,-100.0
61191,-100.0,-100.0
61201,-100.0,-100.0
61217,-100.0,-100.0
61231,-100.0,-100.0
61268,-100.0,-100.0
61277,-100.0,-100.0
61289,-100.0,-100.0
61304,-100.0,-100.0
62266,-100.0,-100.0
62283,-100.0,-100.0
62299,-100.0,-100.0
62316,-100.0,-100.0
62333,-100.0,-100.0
62349,-100.0,-100.0
62366,-100.0,-100.0
62383,-100.0,-100.0
62400,-100.0,-100.0
62416,-100.0,-100.0
62433,-100.0,-100.0
62450,-100.0,-100.0
62466,-100.0,-100.0
62483,-100.0,-100.0
62500,-100.0,-100.0
62516,-100.0,-100.0
62533,-100.0,-100.0
62550,-100.0,-100.0
62566,-100.0,-100.0
62583,-100.0,-100.0
62599,-100.0,-100.0
62616,-100.0,-100.0
62633,-100.0,-100.0
62649,-100.0,-100.0
62666,-100.0,-100.0
62683,-100.0,-100.0
62700,-100.0,-100.0
62716,-100.0,-100.0
62733,-100.0,-100.0
62750,-100.0,-100.0
62766,-100.0,-100.0
62783,-100.0,-100.0
62799,-100.0,-100.0
62816,-100.0,-100.0
62833,-100.0,-100.0
62849,-100.0,-100.0
62866,-100.0,-100.0
62883,-100.0,-100.0
62900,-100.0,-100.0
62916,-100.0,-100.0
62933,-100.0,-100.0
62950,-100.0,-100.0
62966,-100.0,-100.0
62983,-100.0,-100.0
62999,-100.0,-100.0
63016,-100.0,-100.0
63032,-100.0,-100.0
63049,-100.0,-100.0
63066,-100.0,-100.0
63083,-100.0,-100.0
63100,-100.0,-100.0
63116,-100.0,-100.0
63133,-100.0,-100.0
63149,-100.0,-100.0
63166,-100.0,-100.0
63183,-100.0,-100.0
63200,-100.0,-100.0
63216,-100.0,-100.0
63233,-100.0,-100.0
63250,-100.0,-100.0
63266,-100.0,-100.0
63283,-100.0,-100.0
63300,-100.0,-100.0
63316,-100.0,-100.0
63333,-100.0,-100.0
63349,-100.0,-100.0
63366,-100.0,-100.0
63383,-100.0,-100.0
63399,-100.0,-100.0
63416,-100.0,-100.0
63433,-100.0,-100.0
63449,-100.0,-100.0
63466,-100.0,-100.0
63483,-100.0,-100.0
63500,-100.0,-100.0
63516,-100.0,-100.0
63533,-100.0,-100.0
63550,-100.0,-100.0
63566,-100.0,-100.0
63582,-100.0,-100.0
63599,-100.0,-100.0
63617,-100.0,-100.0
63633,-100.0,-100.0
63649,-100.0,-100.0
63666,-100.0,-100.0
63683,-100.0,-100.0
63699,-100.0,-100.0
63716,-100.0,-100.0
63733,-100.0,-100.0
63750,-100.0,-100.0
63766,-100.0,-100.0
63783,-100.0,-100.0
63800,-100.0,-100.0
63816,-100.0,-100.0
63833,-100.0,-100.0
63850,-100.0,-100.0
63866,-100.0,-100.0
63883,-100.0,-100.0
63899,-100.0,-100.0
63916,-100.0,-100.0
63933,-100.0,-100.0
63950,-100.0,-100.0
63966,-100.0,-100.0
63983,-100.0,-100.0
64000,-100.0,-100.0
64016,-100.0,-100.0
64033,-100.0,-100.0
64049,-100.0,-100.0
64236,-100.0,-100.0
64246,-100.0,-100.0
64282,-100.0,-100.0
64291,-100.0,-100.0
64306,-100.0,-100.0
64321,-100.0,-100.0
64353,-100.0,-100.0
64355,-100.0,-100.0
64368,-100.0,-100.0
64380,-100.0,-100.0
64416,-100.0,-100.0
64427,-100.0,-100.0
64463,-100.0,-100.0
64474,-100.0,-100.0
65023,-100.0,-100.0
65040,-100.0,-100.0
65079,-100.0,-100.0
65090,-100.0,-100.0
65116,-100.0,-100.0
65130,-100.0,-100.0
65133,-100.0,-100.0
65146,-100.0,-100.0
65150,-100.0,-100.0
65166,-100.0,-100.0
65183,-100.0,-100.0
65184,-100.0,-100.0
65200,-100.0,-100.0
65217,-100.0,-100.0
65227,-100.0,-100.0
65233,-100.0,-100.0
65241,-100.0,-100.0
65250,-100.0,-100.0
65266,-100.0,-100.0
65284,-100.0,-100.0
65301,-100.0,-100.0
65316,-100.0,-100.0
65333,-100.0,-100.0
65350,-100.0,-100.0
65366,-100.0,-100.0
65383,-100.0,-100.0
65400,-100.0,-100.0
65416,-100.0,-100.0
65433,-100.0,-100.0
65450,-100.0,-100.0
65466,-100.0,-100.0
65469,-100.0,-100.0
65501,-100.0,-100.0
65539,-100.0,-100.0
65551,-100.0,-100.0
65589,-100.0,-100.0
65601,-100.0,-100.0
65636,-100.0,-100.0
65640,-100.0,-100.0
65772,-100.0,-100.0
65784,-100.0,-100.0
65818,-100.0,-100.0
65834,-100.0,-100.0
65852,-100.0,-100.0
65870,-100.0,-100.0
65885,-100.0,-100.0
65899,-100.0,-100.0
66117,-100.0,-100.0
66128,-100.0,-100.0
66333,-100.0,-100.0
66343,-100.0,-100.0
66380,-100.0,-100.0
66391,-100.0,-100.0
66403,-100.0,-100.0
66414,-100.0,-100.0
66446,-100.0,-100.0
66457,-100.0,-100.0
66723,-100.0,-100.0
66737,-100.0,-100.0
66752,-100.0,-100.0
66767,-100.0,-100.0
66798,-100.0,-100.0
66811,-100.0,-100.0
66846,-100.0,-100.0
66861,-100.0,-100.0
66875,-100.0,-100.0
66889,-100.0,-100.0
66918,-100.0,-100.0
66923,-100.0,-100.0
67233,-100.0,-100.0
67250,-100.0,-100.0
67266,-100.0,-100.0
67283,-100.0,-100.0
67300,-100.0,-100.0
67316,-100.0,-100.0
67333,-100.0,-100.0
67350,-100.0,-100.0
67366,-100.0,-100.0
67383,-100.0,-100.0
67400,-100.0,-100.0
67416,-100.0,-100.0
67433,-100.0,-100.0
67450,-100.0,-100.0
67466,-100.0,-100.0
67483,-100.0,-100.0
67500,-100.0,-100.0
67516,-100.0,-100.0
67533,-100.0,-100.0
67550,-100.0,-100.0
67566,-100.0,-100.0
67583,-100.0,-100.0
67600,-100.0,-100.0
67616,-100.0,-100.0
67633,-100.0,-100.0
67650,-100.0,-100.0
67667,-100.0,-100.0
67683,-100.0,-100.0
67700,-100.0,-100.0
67716,-100.0,-100.0
67733,-100.0,-100.0
67750,-100.0,-100.0
67766,-100.0,-100.0
67783,-100.0,-100.0
67800,-100.0,-100.0
67816,-100.0,-100.0
67833,-100.0,-100.0
67850,-100.0,-100.0
67866,-100.0,-100.0
67883,-100.0,-100.0
67886,-100.0,-100.0
67900,-100.0,-100.0
67906,-100.0,-100.0
67916,-100.0,-100.0
67933,-100.0,-100.0
67944,-100.0,-100.0
67950,-100.0,-100.0
67955,-100.0,-100.0
67967,-100.0,-100.0
67981,-100.0,-100.0
67983,-100.0,-100.0
67991,-100.0,-100.0
68000,-100.0,-100.0
68016,-100.0,-100.0
68028,-100.0,-100.0
68033,-100.0,-100.0
68043,-100.0,-100.0
68050,-100.0,-100.0
68066,-100.0,-100.0
68081,-100.0,-100.0
68083,-100.0,-100.0
68093,-100.0,-100.0
68100,-100.0,-100.0
68117,-100.0,-100.0
68133,-100.0,-100.0
68134,-100.0,-100.0
68147,-100.0,-100.0
68150,-100.0,-100.0
68166,-100.0,-100.0
68184,-100.0,-100.0
68200,-100.0,-100.0
68217,-100.0,-100.0
68233,-100.0,-100.0
68249,-100.0,-100.0
68267,-100.0,-100.0
68283,-100.0,-100.0
68300,-100.0,-100.0
68316,-100.0,-100.0
68333,-100.0,-100.0
68350,-100.0,-100.0
68366,-100.0,-100.0
68383,-100.0,-100.0
68400,-100.0,-100.0
68417,-100.0,-100.0
68433,-100.0,-100.0
68450,-100.0,-100.0
68466,-100.0,-100.0
68483,-100.0,-100.0
68500,-100.0,-100.0
68516,-100.0,-100.0
68533,-100.0,-100.0
68539,-100.0,-100.0
68550,-100.0,-100.0
68558,-100.0,-100.0
68566,-100.0,-100.0
68583,-100.0,-100.0
68599,-100.0,-100.0
68603,-100.0,-100.0
68616,-100.0,-100.0
68623,-100.0,-100.0
68633,-100.0,-100.0
68649,-100.0,-100.0
68662,-100.0,-100.0
68666,-100.0,-100.0
68683,-100.0,-100.0
68690,-100.0,-100.0
68700,-100.0,-100.0
68705,-100.0,-100.0
68716,-100.0,-100.0
68725,-100.0,-100.0
68733,-100.0,-100.0
68750,-100.0,-100.0
68766,-100.0,-100.0
68783,-100.0,-100.0
68800,-100.0,-100.0
68816,-100.0,-100.0
68833,-100.0,-100.0
68850,-100.0,-100.0
68919,-100.0,-100.0
68935,-100.0,-100.0
68975,-100.0,-100.0
68989,-100.0,-100.0
69035,-100.0,-100.0
69052,-100.0,-100.0
69486,-100.0,-100.0
69501,-100.0,-100.0
69506,-100.0,-100.0
69527,-100.0,-100.0
69536,-100.0,-100.0
69544,-100.0,-100.0
69550,-100.0,-100.0
69568,-100.0,-100.0
69573,-100.0,-100.0
69586,-100.0,-100.0
69592,-100.0,-100.0
69604,-100.0,-100.0
69609,-100.0,-100.0
69622,-100.0,-100.0
69628,-100.0,-100.0
69639,-100.0,-100.0
69644,-100.0,-100.0
69656,-100.0,-100.0
69663,-100.0,-100.0
69673,-100.0,-100.0
69678,-100.0,-100.0
69680,-100.0,-100.0
69825,-100.0,-100.0
69837,-100.0,-100.0
69844,-100.0,-100.0
69856,-100.0,-100.0
69860,-100.0,-100.0
69872,-100.0,-100.0
69880,-100.0,-100.0
69890,-100.0,-100.0
69896,-100.0,-100.0
69900,-100.0,-100.0
69904,-100.0,-100.0
69913,-100.0,-100.0
69922,-100.0,-100.0
69932,-100.0,-100.0
69938,-100.0,-100.0
69950,-100.0,-100.0
69956,-100.0,-100.0
69968,-100.0,-100.0
70017,-100.0,-100.0
70034,-100.0,-100.0
70050,-100.0,-100.0
70067,-100.0,-100.0
70083,-100.0,-100.0
70100,-100.0,-100.0
70116,-100.0,-100.0
70133,-100.0,-100.0
70150,-100.0,-100.0
70153,-100.0,-100.0
70167,-100.0,-100.0
70174,-100.0,-100.0
70183,-100.0,-100.0
70192,-100.0,-100.0
70200,-100.0,-100.0
70201,-100.0,-100.0
70208,-100.0,-100.0
70217,-100.0,-100.0
70219,-100.0,-100.0
70225,-100.0,-100.0
70233,-100.0,-100.0
70237,-100.0,-100.0
70244,-100.0,-100.0
70250,-100.0,-100.0
70255,-100.0,-100.0
70262,-100.0,-100.0
70266,-100.0,-100.0
70272,-100.0,-100.0
70279,-100.0,-100.0
70283,-100.0,-100.0
70300,-100.0,-100.0
70307,-100.0,-100.0
70316,-100.0,-100.0
70333,-100.0,-100.0
70350,-100.0,-100.0
70367,-100.0,-100.0
70383,-100.0,-100.0
70400,-100.0,-100.0
70417,-100.0,-100.0
70433,-100.0,-100.0
70450,-100.0,-100.0
70467,-100.0,-100.0
70483,-100.0,-100.0
70500,-100.0,-100.0
70517,-100.0,-100.0
70533,-100.0,-100.0
70550,-100.0,-100.0
70567,-100.0,-100.0
70584,-100.0,-100.0
70587,-100.0,-100.0
70600,-100.0,-100.0
70601,-100.0,-100.0
70607,-100.0,-100.0
70616,-100.0,-100.0
70618,-100.0,-100.0
70627,-100.0,-100.0
70633,-100.0,-100.0
70636,-100.0,-100.0
70643,-100.0,-100.0
70650,-100.0,-100.0
70652,-100.0,-100.0
70659,-100.0,-100.0
70667,-100.0,-100.0
70669,-100.0,-100.0
70678,-100.0,-100.0
70683,-100.0,-100.0
70689,-100.0,-100.0
70695,-100.0,-100.0
70700,-100.0,-100.0
70705,-100.0,-100.0
70711,-100.0,-100.0
70716,-100.0,-100.0
70722,-100.0,-100.0
70729,-100.0,-100.0
