,A23KB5AO13NF7,A1W05TSPORJPX
0,-100.0,-100.0
1,-100.0,-100.0
8830,-100.0,-100.0
8874,-100.0,-100.0
8965,-100.0,-100.0
9020,-100.0,-100.0
9055,-100.0,-100.0
9146,-100.0,-100.0
9163,-100.0,-100.0
9180,-100.0,-100.0
9196,-100.0,-100.0
9200,-100.0,-100.0
9213,-100.0,-100.0
9230,-100.0,-100.0
9247,-100.0,-100.0
9252,-100.0,-100.0
9263,-100.0,-100.0
9280,-100.0,-100.0
9296,-100.0,-100.0
9306,-100.0,-100.0
9313,-100.0,-100.0
9330,-100.0,-100.0
9343,-100.0,-100.0
9346,-100.0,-100.0
9363,-100.0,-100.0
9380,-100.0,-100.0
9394,-100.0,-100.0
9396,-100.0,-100.0
9413,-100.0,-100.0
9430,-100.0,-100.0
9446,-100.0,-100.0
9463,-100.0,-100.0
9466,-100.0,-100.0
9479,-100.0,-100.0
9496,-100.0,-100.0
9502,-100.0,-100.0
9513,-100.0,-100.0
9529,-100.0,-100.0
9546,-100.0,-100.0
9547,-100.0,-100.0
9563,-100.0,-100.0
9580,-100.0,-100.0
9587,-100.0,-100.0
9596,-100.0,-100.0
9613,-100.0,-100.0
9629,-100.0,-100.0
9639,-100.0,-100.0
9647,-100.0,-100.0
9663,-100.0,-100.0
9664,-100.0,-100.0
9680,-100.0,-100.0
9697,-100.0,-100.0
9704,-100.0,-100.0
9713,-100.0,-100.0
9730,-100.0,-100.0
9746,-100.0,-100.0
9763,-100.0,-100.0
9772,-100.0,-100.0
9780,-100.0,-100.0
9797,-100.0,-100.0
9802,-100.0,-100.0
9813,-100.0,-100.0
9830,-100.0,-100.0
9832,-100.0,-100.0
9846,-100.0,-100.0
9863,-100.0,-100.0
9879,-100.0,-100.0
9884,-100.0,-100.0
9896,-100.0,-100.0
9913,-100.0,-100.0
9930,-100.0,-100.0
9946,-100.0,-100.0
9964,-100.0,-100.0
9980,-100.0,-100.0
9996,-100.0,-100.0
10013,-100.0,-100.0
10030,-100.0,-100.0
10046,-100.0,-100.0
10063,-100.0,-100.0
10080,-100.0,-100.0
10096,-100.0,-100.0
10099,-100.0,-100.0
10113,-100.0,-100.0
10130,-100.0,-100.0
10136,-100.0,-100.0
10146,-100.0,-100.0
10163,-100.0,-100.0
10180,-100.0,-100.0
10197,-100.0,-100.0
10213,-100.0,-100.0
10220,-100.0,-100.0
10230,-100.0,-100.0
10246,-100.0,-100.0
10263,-100.0,-100.0
10280,-100.0,-100.0
10296,-100.0,-100.0
10315,-100.0,-100.0
10330,-100.0,-100.0
10346,-100.0,-100.0
10360,-100.0,-100.0
10363,-100.0,-100.0
10380,-100.0,-100.0
10396,-100.0,-100.0
10398,-100.0,-100.0
10413,-100.0,-100.0
10430,-100.0,-100.0
10437,-100.0,-100.0
10447,-100.0,-100.0
10463,-100.0,-100.0
10476,-100.0,-100.0
10480,-100.0,-100.0
10497,-100.0,-100.0
10512,-100.0,-100.0
10513,-100.0,-100.0
10530,-100.0,-100.0
10547,-100.0,-100.0
10549,-100.0,-100.0
