,A1NRY8F9U4AYE,A2OSJ7ONK5Y0A,A3UTSRN8QLKWE,A1EK8YNHZHTW1,A2EZVULYVJOPN
88725,-100.0,,-100.0,-89.0,-51.666666666666664
88746,-100.0,,-100.0,-88.0,-51.0
88750,-100.0,,-100.0,-87.0,-50.5
88771,-100.0,,-100.0,-87.0,-50.0
88796,-100.0,,-100.0,-87.0,-48.0
88821,-100.0,,-100.0,-87.0,-46.0
88846,-100.0,,-100.0,-87.0,-45.0
88870,-100.0,,-100.0,-87.0,-43.0
88896,-100.0,,-100.0,-87.0,-41.0
88921,-100.0,,-100.0,-87.0,-40.0
88946,-100.0,,-100.0,-87.0,-38.0
88972,-100.0,,-100.0,-87.0,-36.0
88997,-100.0,,-100.0,-87.0,-35.0
89022,-100.0,,-100.0,-87.0,-33.0
89046,-100.0,,-100.0,-87.0,-31.0
89072,-100.0,,-100.0,-87.0,-30.0
89096,-100.0,,-100.0,-87.0,-28.0
89122,-100.0,,-100.0,-87.0,-26.0
89147,-100.0,,-100.0,-87.0,-25.0
89172,-100.0,,-100.0,-87.0,-23.0
89198,-100.0,,-100.0,-87.0,-21.0
89222,-100.0,,-100.0,-87.0,-20.0
89247,-100.0,,-100.0,-87.0,-18.0
89272,-100.0,,-100.0,-87.0,-16.0
89297,-100.0,,-100.0,-87.0,-15.0
89322,-100.0,,-100.0,-87.0,-13.0
89347,-100.0,,-100.0,-87.0,-11.0
89373,-100.0,,-100.0,-87.0,-10.0
89398,-100.0,,-100.0,-87.0,-8.0
89422,-100.0,,-100.0,-87.0,-6.0
89448,-100.0,,-100.0,-87.0,-5.0
89472,-100.0,,-100.0,-87.0,-3.0
89498,-100.0,,-100.0,-87.0,-1.0
89523,-100.0,,-100.0,-87.0,0.0
89549,-100.0,,-100.0,-87.0,2.0
89573,-100.0,,-100.0,-87.0,4.0
89599,-100.0,,-100.0,-87.0,5.0
89624,-100.0,,-100.0,-87.0,7.0
89649,-100.0,,-100.0,-87.0,9.0
89674,-100.0,,-100.0,-87.0,10.0
89699,-100.0,,-100.0,-87.0,12.0
89723,-100.0,,-100.0,-87.0,14.0
89749,-100.0,,-100.0,-87.0,15.0
92379,-100.0,,-100.0,-87.0,15.0
92403,-100.0,,-100.0,-87.0,15.0
92425,-100.0,,-100.0,-87.0,15.0
92433,-100.0,,-100.0,-87.0,15.0
92446,-100.0,,-100.0,-87.0,15.0
92473,-100.0,,-100.0,-87.0,15.0
92497,-100.0,,-100.0,-87.0,15.0
92506,-100.0,,-100.0,-87.0,15.0
92514,-100.0,,-100.0,-87.0,15.0
92539,-100.0,,-100.0,-87.0,15.0
92564,-100.0,,-100.0,-87.0,15.0
92574,-100.0,,-100.0,-87.0,15.0
92582,-100.0,,-100.0,-87.0,15.0
92601,-100.0,,-100.0,-87.0,15.0
92609,-100.0,,-99.5,-87.0,15.0
92619,-100.0,,-99.0,-87.0,15.0
92623,-100.0,,-98.75,-87.0,15.0
92634,-100.0,,-98.5,-87.0,15.0
92644,-100.0,,-98.25,-87.0,15.0
92653,-100.0,,-98.0,-87.0,15.0
92671,-100.0,,-97.0,-87.0,15.0
92689,-100.0,,-96.0,-87.0,15.0
92693,-100.0,,-95.33333333333333,-87.0,15.0
92703,-100.0,,-94.66666666666667,-87.0,15.0
92705,-100.0,,-94.0,-87.0,15.0
92715,-100.0,,-93.5,-87.0,15.0
92724,-100.0,,-93.0,-87.0,15.0
92740,-100.0,,-92.0,-87.0,15.0
92744,-100.0,,-91.66666666666667,-87.0,15.0
92757,-100.0,,-91.33333333333333,-87.0,15.0
92758,-100.0,,-91.0,-87.0,15.0
92763,-100.0,,-90.5,-87.0,15.0
92766,-100.0,,-90.0,-87.0,15.0
92777,-100.0,,-89.5,-87.0,15.0
92782,-100.0,,-89.0,-87.0,15.0
92800,-100.0,,-88.0,-87.0,15.0
92810,-100.0,,-87.5,-87.0,15.0
92817,-100.0,,-87.0,-87.0,15.0
92821,-100.0,,-86.33333333333333,-87.0,15.0
92827,-100.0,,-85.66666666666667,-87.0,15.0
92835,-100.0,,-85.0,-87.0,15.0
92843,-100.0,,-84.5,-87.0,15.0
92853,-100.0,,-84.0,-87.0,15.0
92871,-100.0,,-83.0,-87.0,15.0
92872,-100.0,,-82.5,-87.0,15.0
92888,-100.0,,-82.0,-87.0,15.0
92904,-100.0,,-81.5,-87.0,15.0
92905,-100.0,,-81.0,-87.0,15.0
92923,-100.0,,-80.0,-87.0,15.0
92943,-100.0,,-79.0,-87.0,15.0
92952,-100.0,,-78.75,-87.0,15.0
92958,-100.0,,-78.5,-87.0,15.0
92974,-100.0,,-78.25,-87.0,15.0
92982,-100.0,,-78.0,-87.0,15.0
92998,-100.0,,-76.5,-87.0,15.0
92999,-100.0,,-75.0,-87.0,15.0
93020,-100.0,,-74.0,-87.0,15.0
93024,-100.0,,-73.66666666666667,-87.0,15.0
93033,-100.0,,-73.33333333333333,-87.0,15.0
93034,-100.0,,-73.0,-87.0,15.0
93043,-100.0,,-72.33333333333333,-87.0,15.0
93067,-100.0,,-71.66666666666667,-87.0,15.0
93070,-100.0,,-71.0,-87.0,15.0
93086,-100.0,,-70.0,-87.0,15.0
93097,-100.0,,-69.5,-87.0,15.0
93107,-100.0,,-69.0,-87.0,15.0
93119,-100.0,,-68.66666666666667,-87.0,15.0
93120,-100.0,,-68.33333333333333,-87.0,15.0
93125,-100.0,,-68.0,-87.0,15.0
93130,-100.0,,-66.5,-87.0,15.0
93157,-100.0,,-65.0,-87.0,15.0
93158,-100.0,,-64.5,-87.0,15.0
93174,-100.0,,-64.0,-87.0,15.0
93190,-100.0,,-63.0,-87.0,15.0
93195,-100.0,,-62.0,-87.0,15.0
93216,-100.0,,-61.0,-87.0,15.0
93226,-100.0,,-60.5,-87.0,15.0
93234,-100.0,,-60.0,-87.0,15.0
93236,-100.0,,-59.666666666666664,-87.0,15.0
93253,-100.0,,-59.333333333333336,-87.0,15.0
93258,-100.0,,-59.0,-87.0,15.0
93266,-100.0,,-58.5,-87.0,15.0
93269,-100.0,,-58.0,-87.0,15.0
93290,-100.0,,-57.0,-87.0,15.0
93295,-100.0,,-56.666666666666664,-87.0,15.0
93319,-100.0,,-56.333333333333336,-87.0,15.0
93322,-100.0,,-56.0,-87.0,15.0
93331,-100.0,,-55.5,-87.0,15.0
93340,-100.0,,-55.0,-87.0,15.0
93356,-100.0,,-54.5,-87.0,15.0
93358,-100.0,,-54.0,-87.0,15.0
93374,-100.0,,-53.0,-87.0,15.0
93382,-100.0,,-52.666666666666664,-87.0,15.0
93391,-100.0,,-52.333333333333336,-87.0,15.0
93396,-100.0,,-52.0,-87.0,15.0
93403,-100.0,,-51.5,-87.0,15.0
93409,-100.0,,-51.0,-87.0,15.0
93428,-100.0,,-50.5,-87.0,15.0
93462,-100.0,,-50.0,-87.0,15.0
93463,-100.0,,-49.5,-87.0,15.0
93472,-100.0,,-49.0,-87.0,15.0
93493,-100.0,,-48.0,-87.0,15.0
93506,-100.0,,-47.0,-87.0,15.0
93507,-100.0,,-46.666666666666664,-87.0,15.0
93523,-100.0,,-46.333333333333336,-87.0,15.0
93535,-100.0,,-46.0,-87.0,15.0
93542,-100.0,,-45.5,-87.0,15.0
93565,-100.0,,-45.0,-87.0,15.0
93571,-100.0,,-44.5,-87.0,15.0
93577,-100.0,,-44.0,-87.0,15.0
93591,-100.0,,-43.0,-87.0,15.0
93613,-100.0,,-42.5,-87.0,15.0
93620,-100.0,,-42.0,-87.0,15.0
93633,-100.0,,-41.5,-87.0,15.0
93638,-100.0,,-41.0,-87.0,15.0
93650,-100.0,,-40.0,-87.0,15.0
93670,-100.0,,-39.5,-87.0,15.0
93673,-100.0,,-39.0,-87.0,15.0
93685,-100.0,,-38.0,-87.0,15.0
93692,-100.0,,-37.5,-87.0,15.0
93704,-100.0,,-37.0,-87.0,15.0
93721,-100.0,,-36.0,-87.0,15.0
93725,-100.0,,-35.75,-87.0,15.0
93738,-100.0,,-35.5,-87.0,15.0
93746,-100.0,,-35.25,-87.0,15.0
93748,-100.0,,-35.0,-87.0,15.0
93759,-100.0,,-34.0,-87.0,15.0
