,A1NRY8F9U4AYE,A2OSJ7ONK5Y0A,A3UTSRN8QLKWE,A1EK8YNHZHTW1,A2EZVULYVJOPN
206840,-100.0,,14.0,-92.0,36.0
206842,-100.0,,14.0,-92.0,36.333333333333336
206856,-100.0,,13.0,-92.0,36.666666666666664
206865,-100.0,,12.333333333333334,-92.0,37.0
206891,-100.0,,11.666666666666666,-92.0,39.0
206903,-100.0,,11.0,-92.0,39.666666666666664
206912,-100.0,,10.0,-92.0,40.333333333333336
206915,-100.0,,9.5,-92.0,41.0
206917,-100.0,,9.0,-92.0,41.5
206940,-100.0,,9.0,-92.0,42.0
206950,-100.0,,9.0,-92.0,42.5
206951,-100.0,,8.5,-92.0,43.0
206959,-100.0,,8.0,-92.0,43.5
206967,-100.0,,8.0,-92.0,44.0
206975,-100.0,,8.0,-92.0,44.4
206977,-100.0,,7.666666666666667,-92.0,44.8
206981,-100.0,,7.333333333333333,-92.0,45.2
206988,-100.0,,7.0,-92.0,45.6
206990,-100.0,,6.666666666666667,-92.0,46.0
207000,-100.0,,6.333333333333333,-92.0,46.25
207003,-100.0,,6.0,-92.0,46.5
207004,-100.0,,5.75,-92.0,46.75
207015,-100.0,,5.5,-92.0,47.0
207025,-100.0,,5.25,-92.0,47.4
207027,-100.0,,5.0,-92.0,47.8
207029,-100.0,,4.5,-92.0,48.2
207038,-100.0,,4.0,-92.0,48.6
207040,-100.0,,3.6666666666666665,-92.0,49.0
207050,-100.0,,3.3333333333333335,-92.0,49.666666666666664
207056,-100.0,,3.0,-92.0,50.333333333333336
207066,-100.0,,2.0,-92.0,51.0
207072,-100.0,,1.0,-92.0,51.666666666666664
207092,-100.0,,1.0,-92.0,52.333333333333336
207093,-100.0,,0.0,-92.0,53.0
207108,-100.0,,-1.0,-92.0,54.0
207114,-100.0,,-2.0,-92.0,55.0
207141,-100.0,,-2.0,-92.0,56.0
207163,-100.0,,-2.0,-92.0,56.5
207166,-100.0,,-2.5,-92.0,57.0
207168,-100.0,,-3.0,-92.0,58.0
207194,-100.0,,-3.0,-92.0,59.0
207197,-100.0,,-3.0,-92.0,59.5
207202,-100.0,,-3.5,-92.0,60.0
207204,-100.0,,-4.0,-92.0,60.5
207216,-100.0,,-4.0,-92.0,61.0
207227,-100.0,,-4.0,-92.0,61.666666666666664
207232,-100.0,,-4.0,-92.0,62.333333333333336
207241,-100.0,,-4.0,-92.0,63.0
207251,-100.0,,-4.0,-92.0,63.2
207252,-100.0,,-4.0,-92.0,63.4
207254,-100.0,,-4.5,-92.0,63.6
207260,-100.0,,-5.0,-92.0,63.8
207266,-100.0,,-5.5,-92.0,64.0
207273,-100.0,,-6.0,-92.0,64.5
207276,-100.0,,-6.5,-92.0,65.0
207289,-100.0,,-7.0,-92.0,65.5
207291,-100.0,,-7.5,-92.0,66.0
207306,-100.0,,-8.0,-92.0,66.5
207316,-100.0,,-8.5,-92.0,67.0
207325,-100.0,,-9.0,-92.0,68.0
207341,-100.0,,-10.0,-92.0,69.0
207349,-100.0,,-12.0,-92.0,69.66666666666667
207367,-100.0,,-13.0,-92.0,70.33333333333333
207368,-100.0,,-13.333333333333334,-92.0,71.0
207392,-100.0,,-13.666666666666666,-92.0,73.0
207397,-100.0,,-14.0,-92.0,73.25
207404,-100.0,,-14.5,-92.0,73.5
207407,-100.0,,-15.0,-92.0,73.75
207416,-100.0,,-15.2,-92.0,74.0
207428,-100.0,,-15.4,-92.0,74.66666666666667
207431,-100.0,,-15.6,-92.0,75.33333333333333
207441,-100.0,,-15.8,-92.0,76.0
207444,-100.0,,-16.0,-92.0,76.33333333333333
207452,-100.0,,-16.5,-92.0,76.66666666666667
207453,-100.0,,-17.0,-92.0,77.0
207457,-100.0,,-17.0,-92.0,77.33333333333333
207460,-100.0,,-17.0,-92.0,77.66666666666667
207467,-100.0,,-17.5,-92.0,78.0
207471,-100.0,,-18.0,-92.0,78.25
207477,-100.0,,-18.5,-92.0,78.5
207490,-100.0,,-19.0,-92.0,78.75
207492,-100.0,,-19.5,-92.0,79.0
207511,-100.0,,-20.0,-92.0,80.0
207517,-100.0,,-20.5,-92.0,81.0
207538,-100.0,,-21.0,-92.0,81.5
207543,-100.0,,-21.5,-92.0,82.0
207562,-100.0,,-22.0,-92.0,82.0
207573,-100.0,,-23.0,-92.0,82.0
207584,-100.0,,-24.0,-92.0,82.0
207614,-100.0,,-24.5,-92.0,82.0
207615,-100.0,,-25.0,-92.66666666666667,82.0
207624,-100.0,,-26.0,-93.33333333333333,82.0
207639,-100.0,,-26.0,-94.0,82.0
207640,-100.0,,-26.0,-94.0,82.0
207642,-100.0,,-26.25,-94.0,82.0
207653,-100.0,,-26.5,-95.0,82.0
207657,-100.0,,-26.75,-95.0,82.0
207666,-100.0,,-27.0,-95.5,82.0
207678,-100.0,,-27.5,-96.0,82.0
207679,-100.0,,-28.0,-96.5,82.0
207680,-100.0,,-28.166666666666668,-97.0,82.0
207681,-100.0,,-28.333333333333332,-97.0,82.0
207685,-100.0,,-28.5,-97.0,82.0
207702,-100.0,,-28.666666666666668,-98.0,82.0
207706,-100.0,,-28.833333333333332,-99.0,82.0
207708,-100.0,,-29.0,-99.0,82.0
207709,-100.0,,-29.5,-99.0,82.0
207710,-100.0,,-30.0,-99.0,82.0
207728,-100.0,,-30.5,-99.5,82.0
207733,-100.0,,-31.0,-100.0,82.0
207750,-100.0,,-32.0,-100.0,82.0
207759,-100.0,,-33.0,-100.0,82.0
207777,-100.0,,-34.0,-100.0,82.0
207791,-100.0,,-35.0,-100.0,82.0
207802,-100.0,,-35.0,-100.0,82.0
207818,-100.0,,-36.0,-100.0,82.0
207850,-100.0,,-38.0,-100.0,82.0
207861,-100.0,,-39.0,-100.0,82.0
207873,-100.0,,-40.0,-100.0,82.0
207880,-100.0,,-40.5,-100.0,82.0
207895,-100.0,,-41.0,-100.0,82.0
207903,-100.0,,-41.5,-100.0,82.0
207905,-100.0,,-42.0,-100.0,82.0
207908,-100.0,,-42.5,-100.0,82.0
207926,-100.0,,-43.0,-100.0,82.0
207928,-100.0,,-43.333333333333336,-100.0,82.0
207932,-100.0,,-43.666666666666664,-100.0,82.0
207941,-100.0,,-44.0,-100.0,82.0
207953,-100.0,,-44.5,-100.0,82.0
207957,-100.0,,-45.0,-100.0,82.0
207965,-100.0,,-47.0,-100.0,82.0
207983,-100.0,,-48.0,-100.0,82.0
207999,-100.0,,-49.0,-100.0,82.0
208016,-100.0,,-50.0,-100.0,82.0
208035,-100.0,,-51.0,-100.0,82.0
208052,-100.0,,-52.0,-100.0,82.0
208069,-100.0,,-53.0,-100.0,82.0
208086,-100.0,,-54.0,-100.0,82.0
208106,-100.0,,-54.5,-100.0,82.0
208107,-100.0,,-55.0,-100.0,82.0
208124,-100.0,,-57.0,-100.0,82.0
208130,-100.0,,-57.333333333333336,-100.0,82.0
208134,-100.0,,-57.666666666666664,-100.0,82.0
208139,-100.0,,-58.0,-100.0,82.0
208154,-100.0,,-58.5,-100.0,82.0
208157,-100.0,,-59.0,-100.0,82.0
208182,-100.0,,-59.0,-100.0,82.0
208192,-100.0,,-60.0,-100.0,82.0
208198,-100.0,,-61.0,-100.0,82.0
208216,-100.0,,-62.0,-100.0,82.0
208234,-100.0,,-63.0,-100.0,82.0
208260,-100.0,,-64.0,-100.0,82.0
208270,-100.0,,-65.0,-100.0,82.0
208287,-100.0,,-66.0,-100.0,82.0
208305,-100.0,,-67.0,-100.0,82.0
208306,-100.0,,-67.5,-100.0,82.0
208326,-100.0,,-68.0,-100.0,82.0
208330,-100.0,,-68.33333333333333,-100.0,82.0
208334,-100.0,,-68.66666666666667,-100.0,82.0
208340,-100.0,,-69.0,-100.0,82.0
208355,-100.0,,-69.5,-100.0,82.0
208356,-100.0,,-70.0,-100.0,82.0
208358,-100.0,,-70.5,-100.0,82.0
208373,-100.0,,-71.0,-100.0,82.0
208380,-100.0,,-71.5,-100.0,82.0
208391,-100.0,,-72.0,-100.0,82.0
208398,-100.0,,-73.0,-100.0,82.0
208415,-100.0,,-75.0,-100.0,82.0
208433,-100.0,,-76.0,-100.0,82.0
208449,-100.0,,-77.0,-100.0,82.0
208468,-100.0,,-78.0,-100.0,82.0
208487,-100.0,,-79.0,-100.0,82.0
208505,-100.0,,-80.0,-100.0,82.0
208520,-100.0,,-81.0,-100.0,82.0
208538,-100.0,,-82.0,-100.0,82.0
208557,-100.0,,-82.5,-100.0,82.0
208558,-100.0,,-83.0,-100.0,82.0
208573,-100.0,,-85.0,-100.0,82.0
208581,-100.0,,-85.33333333333333,-100.0,82.0
208585,-100.0,,-85.66666666666667,-100.0,82.0
208591,-100.0,,-86.0,-100.0,82.0
208605,-100.0,,-86.5,-100.0,82.0
208607,-100.0,,-87.0,-100.0,82.0
208614,-100.0,,-87.5,-100.0,82.0
208616,-100.0,,-88.0,-100.0,82.0
208631,-100.0,,-88.5,-100.0,82.0
208634,-100.0,,-89.0,-100.0,82.0
208650,-100.0,,-90.0,-100.0,82.0
208668,-100.0,,-91.0,-100.0,82.0
208685,-100.0,,-92.0,-100.0,82.0
208702,-100.0,,-93.0,-100.0,82.0
208722,-100.0,,-94.0,-100.0,82.0
208737,-100.0,,-96.0,-100.0,82.0
208755,-100.0,,-97.0,-100.0,82.0
208758,-100.0,,-97.5,-100.0,82.0
208776,-100.0,,-98.0,-100.0,82.0
208782,-100.0,,-98.33333333333333,-100.0,82.0
208788,-100.0,,-98.66666666666667,-100.0,82.0
208790,-100.0,,-99.0,-100.0,82.0
208806,-100.0,,-99.33333333333333,-100.0,82.0
208810,-100.0,,-99.66666666666667,-100.0,82.0
208821,-100.0,,-100.0,-100.0,82.0
208831,-100.0,,-100.0,-100.0,82.0
208984,-100.0,,-100.0,-100.0,82.0
209008,-100.0,,-100.0,-100.0,82.0
209012,-100.0,,-100.0,-100.0,82.0
209032,-100.0,,-100.0,-100.0,82.0
209038,-100.0,,-100.0,-100.0,82.0
209058,-100.0,,-100.0,-100.0,82.0
210891,-100.0,,-100.0,-100.0,82.0
210913,-100.0,,-100.0,-100.0,82.0
210917,-100.0,,-100.0,-100.0,82.0
210938,-100.0,,-100.0,-100.0,82.0
210942,-100.0,,-100.0,-100.0,82.0
210963,-100.0,,-100.0,-100.0,82.0
210970,-100.0,,-100.0,-100.0,82.0
210988,-100.0,,-100.0,-100.0,82.0
215008,-100.0,,-100.0,-100.0,82.0
215017,-100.0,,-99.0,-100.0,82.0
215049,-100.0,,-97.0,-100.0,82.0
215067,-100.0,,-95.0,-100.0,82.0
215084,-100.0,,-94.0,-100.0,82.0
215105,-100.0,,-93.0,-100.0,82.0
215154,-100.0,,-90.0,-100.0,82.0
215172,-100.0,,-89.0,-100.0,82.0
215190,-100.0,,-88.0,-100.0,82.0
215215,-100.0,,-87.0,-100.0,82.0
215248,-100.0,,-85.0,-100.0,82.0
215273,-100.0,,-85.0,-100.0,82.0
215301,-100.0,,-83.0,-100.0,82.0
215322,-100.0,,-82.0,-100.0,82.0
215336,-100.0,,-81.0,-100.0,82.0
215355,-100.0,,-80.0,-100.0,82.0
215372,-100.0,,-78.0,-100.0,82.0
215396,-100.0,,-78.0,-100.0,82.0
215424,-100.0,,-76.0,-100.0,82.0
215444,-100.0,,-75.0,-100.0,82.0
215469,-100.0,,-73.0,-100.0,82.0
215487,-100.0,,-72.0,-100.0,82.0
215526,-100.0,,-69.0,-100.0,82.0
215554,-100.0,,-67.0,-100.0,82.0
215572,-100.0,,-66.0,-100.0,82.0
215588,-100.0,,-65.0,-100.0,82.0
215609,-100.0,,-64.0,-100.0,82.0
215642,-100.0,,-62.0,-100.0,82.0
215648,-100.0,,-60.0,-100.0,82.0
215666,-100.0,,-59.0,-100.0,82.0
215687,-100.0,,-59.0,-100.0,82.0
215699,-100.0,,-57.0,-100.0,82.0
215721,-100.0,,-56.0,-100.0,82.0
215736,-100.0,,-55.0,-100.0,82.0
215772,-100.0,,-54.0,-100.0,82.0
215794,-100.0,,-53.0,-100.0,82.0
215805,-100.0,,-52.0,-100.0,81.5
215820,-100.0,,-51.5,-100.0,81.0
215823,-100.0,,-51.0,-100.0,80.66666666666667
215840,-100.0,,-49.0,-100.0,80.33333333333333
215845,-100.0,,-49.0,-100.0,80.0
215865,-100.0,,-49.0,-100.0,79.0
215869,-100.0,,-48.0,-100.0,78.0
215883,-100.0,,-47.0,-100.0,77.0
215896,-100.0,,-46.0,-100.0,76.0
215919,-100.0,,-45.0,-100.0,75.5
215921,-100.0,,-44.5,-100.0,75.0
215940,-100.0,,-44.0,-100.0,74.0
215945,-100.0,,-43.0,-100.0,73.0
215953,-100.0,,-42.0,-100.0,72.0
215971,-100.0,,-41.5,-100.0,71.0
215974,-100.0,,-41.0,-100.0,70.66666666666667
215987,-100.0,,-40.0,-100.0,70.33333333333333
215996,-100.0,,-39.5,-100.0,70.0
216005,-100.0,,-39.0,-100.0,69.0
216021,-100.0,,-38.5,-100.0,68.0
216026,-100.0,,-38.0,-100.0,67.33333333333333
216040,-100.0,,-37.0,-100.0,66.66666666666667
216046,-100.0,,-36.5,-100.0,66.0
216070,-100.0,,-36.0,-100.0,65.5
216071,-100.0,,-35.5,-100.0,65.0
216096,-100.0,,-35.0,-100.0,63.0
216108,-100.0,,-34.0,-100.0,62.0
216121,-100.0,,-33.5,-100.0,61.0
216134,-100.0,,-33.0,-100.0,60.5
216145,-100.0,,-32.5,-100.0,60.0
216151,-100.0,,-32.0,-100.0,59.0
216170,-100.0,,-31.5,-100.0,58.0
216189,-100.0,,-31.0,-100.0,57.0
216195,-100.0,,-30.5,-100.0,56.0
216199,-100.0,,-30.0,-100.0,55.5
216222,-100.0,,-30.0,-100.0,55.0
216227,-100.0,,-30.0,-100.0,54.333333333333336
216239,-100.0,,-29.0,-100.0,53.666666666666664
216246,-100.0,,-28.0,-100.0,53.0
216256,-100.0,,-27.0,-100.0,52.0
216272,-100.0,,-26.5,-100.0,51.0
216275,-100.0,,-26.0,-100.0,50.333333333333336
216291,-100.0,,-25.0,-100.0,49.666666666666664
216297,-100.0,,-24.5,-100.0,49.0
216299,-100.0,,-24.0,-100.0,48.666666666666664
216316,-100.0,,-23.0,-100.0,48.333333333333336
216322,-100.0,,-22.5,-100.0,48.0
216334,-100.0,,-22.0,-100.0,47.0
216347,-100.0,,-21.5,-100.0,46.0
216352,-100.0,,-21.0,-100.0,45.333333333333336
216368,-100.0,,-20.0,-100.0,44.666666666666664
216372,-100.0,,-19.5,-100.0,44.0
216386,-100.0,,-19.0,-100.0,43.5
216397,-100.0,,-18.0,-100.0,43.0
216404,-100.0,,-17.0,-100.0,42.333333333333336
216420,-100.0,,-16.0,-100.0,41.666666666666664
216421,-100.0,,-16.0,-100.0,41.0
216444,-100.0,,-16.0,-100.0,40.5
216446,-100.0,,-15.0,-100.0,40.0
216456,-100.0,,-14.0,-100.0,39.0
216472,-100.0,,-13.5,-100.0,38.0
216473,-100.0,,-13.0,-100.0,37.333333333333336
216490,-100.0,,-12.0,-100.0,36.666666666666664
216496,-100.0,,-11.5,-100.0,36.0
216498,-100.0,,-11.0,-100.0,35.333333333333336
216516,-100.0,,-10.0,-100.0,34.666666666666664
216523,-100.0,,-9.5,-100.0,34.0
216532,-100.0,,-9.0,-100.0,33.5
216548,-100.0,,-8.0,-100.0,33.0
216551,-100.0,,-7.0,-100.0,32.333333333333336
216567,-100.0,,-6.0,-100.0,31.666666666666668
216573,-100.0,,-5.5,-100.0,31.0
216586,-100.0,,-5.0,-100.0,30.0
216598,-100.0,,-4.5,-100.0,29.0
216603,-100.0,,-4.0,-100.0,28.666666666666668
216619,-100.0,,-3.0,-100.0,28.333333333333332
216625,-100.0,,-2.5,-100.0,28.0
216641,-100.0,,-2.0,-100.0,27.0
216648,-100.0,,-1.5,-100.0,26.0
216655,-100.0,,-1.0,-100.0,25.0
216673,-100.0,,0.0,-100.0,24.0
216691,-100.0,,1.0,-100.0,23.5
216698,-100.0,,2.0,-100.0,23.0
216708,-100.0,,3.0,-100.0,22.0
216723,-100.0,,3.5,-100.0,21.0
216724,-100.0,,4.0,-100.0,20.333333333333332
216731,-100.0,,5.0,-100.0,19.666666666666668
216748,-100.0,,5.5,-100.0,19.0
216750,-100.0,,6.0,-100.0,18.666666666666668
216767,-100.0,,7.0,-100.0,18.333333333333332
216773,-100.0,,7.5,-100.0,18.0
216784,-100.0,,8.0,-100.0,17.0
216798,-100.0,,8.5,-100.0,16.0
216802,-100.0,,9.0,-100.0,15.333333333333334
216818,-100.0,,10.0,-100.0,14.666666666666666
216824,-100.0,,10.5,-100.0,14.0
216836,-100.0,,11.0,-100.0,13.5
216849,-100.0,,11.5,-100.0,13.0
216856,-100.0,,12.0,-100.0,12.333333333333334
216872,-100.0,,14.0,-100.0,11.666666666666666
216873,-100.0,,14.5,-100.0,11.0
216890,-100.0,,15.0,-100.0,10.0
216899,-100.0,,15.5,-100.0,9.0
216906,-100.0,,16.0,-100.0,8.5
216924,-100.0,,17.0,-100.0,8.0
216931,-100.0,,18.0,-100.0,7.0
216949,-100.0,,19.0,-100.0,6.0
216974,-100.0,,20.0,-100.0,4.0
216985,-100.0,,21.0,-100.0,3.5
216999,-100.0,,21.5,-100.0,3.0
217002,-100.0,,22.0,-100.0,2.0
217024,-100.0,,22.5,-100.0,1.0
217029,-100.0,,23.0,-100.0,0.33333333333333337
217037,-100.0,,24.0,-100.0,-0.33333333333333326
217049,-100.0,,24.5,-100.0,-1.0
217055,-100.0,,25.0,-100.0,-1.3333333333333333
217072,-100.0,,26.0,-100.0,-1.6666666666666665
217074,-100.0,,26.5,-100.0,-2.0
217089,-100.0,,27.0,-100.0,-3.0
217099,-100.0,,27.5,-100.0,-4.0
217106,-100.0,,28.0,-100.0,-4.666666666666667
217123,-100.0,,29.0,-100.0,-5.333333333333333
217124,-100.0,,29.5,-100.0,-6.0
217143,-100.0,,30.0,-100.0,-6.333333333333333
217148,-100.0,,32.0,-100.0,-6.666666666666667
217150,-100.0,,32.666666666666664,-100.0,-7.0
217175,-100.0,,33.333333333333336,-100.0,-9.0
217182,-100.0,,34.0,-100.0,-10.0
217200,-100.0,,35.0,-100.0,-11.0
217220,-100.0,,36.0,-100.0,-11.5
217225,-100.0,,36.5,-100.0,-12.0
217235,-100.0,,37.0,-100.0,-13.0
217249,-100.0,,37.5,-100.0,-14.0
217254,-100.0,,38.0,-100.0,-15.0
217275,-100.0,,39.0,-100.0,-16.0
217288,-100.0,,40.0,-100.0,-16.5
217299,-100.0,,41.0,-100.0,-17.0
217308,-100.0,,42.0,-100.0,-18.0
217325,-100.0,,43.0,-100.0,-19.0
217340,-100.0,,44.0,-100.0,-20.0
217350,-100.0,,44.5,-100.0,-21.0
217351,-100.0,,45.0,-100.0,-21.333333333333332
217364,-100.0,,46.0,-100.0,-21.666666666666668
217374,-100.0,,46.5,-100.0,-22.0
217382,-100.0,,47.0,-100.0,-23.0
217399,-100.0,,47.5,-100.0,-24.0
217400,-100.0,,48.0,-100.0,-24.666666666666668
217417,-100.0,,49.0,-100.0,-25.333333333333332
217425,-100.0,,49.5,-100.0,-26.0
217435,-100.0,,50.0,-100.0,-26.5
217450,-100.0,,51.0,-100.0,-27.0
217452,-100.0,,52.0,-100.0,-27.666666666666668
217469,-100.0,,53.0,-100.0,-28.333333333333332
217475,-100.0,,53.5,-100.0,-29.0
217487,-100.0,,54.0,-100.0,-30.0
217500,-100.0,,54.5,-100.0,-31.0
217505,-100.0,,55.0,-100.0,-31.333333333333332
217522,-100.0,,56.0,-100.0,-31.666666666666668
217526,-100.0,,56.5,-100.0,-32.0
217540,-100.0,,57.0,-100.0,-33.0
217550,-100.0,,57.5,-100.0,-34.0
217557,-100.0,,58.0,-100.0,-34.666666666666664
217574,-100.0,,59.0,-100.0,-35.333333333333336
217576,-100.0,,59.5,-100.0,-36.0
217582,-100.0,,60.0,-100.0,-36.5
217601,-100.0,,60.0,-100.0,-37.0
217626,-100.0,,60.0,-100.0,-39.0
217651,-100.0,,60.0,-100.0,-41.0
217676,-100.0,,60.0,-100.0,-42.0
217701,-100.0,,60.0,-100.0,-44.0
217727,-100.0,,60.0,-100.0,-46.0
217752,-100.0,,60.0,-100.0,-48.0
217777,-100.0,,60.0,-100.0,-49.0
217803,-100.0,,60.0,-100.0,-51.0
217827,-100.0,,60.0,-100.0,-52.0
217852,-100.0,,60.0,-100.0,-54.0
217877,-100.0,,60.0,-100.0,-56.0
217902,-100.0,,60.0,-100.0,-57.0
217927,-100.0,,60.0,-100.0,-59.0
217952,-100.0,,60.0,-100.0,-61.0
217977,-100.0,,60.0,-100.0,-63.0
218003,-100.0,,60.0,-100.0,-64.0
218028,-100.0,,60.0,-100.0,-66.0
218053,-100.0,,60.0,-100.0,-68.0
218078,-100.0,,60.0,-100.0,-69.0
218129,-100.0,,60.0,-100.0,-72.0
218178,-100.0,,60.0,-100.0,-75.0
218204,-100.0,,60.0,-100.0,-76.0
219909,-100.0,,60.0,-100.0,-76.0
219915,-100.0,,61.0,-100.0,-76.0
219949,-100.0,,63.0,-100.0,-76.0
219966,-100.0,,64.0,-100.0,-76.0
219984,-100.0,,66.0,-100.0,-76.0
220002,-100.0,,67.0,-100.0,-76.0
220024,-100.0,,67.0,-100.0,-76.0
220037,-100.0,,69.0,-100.0,-76.0
220054,-100.0,,70.0,-100.0,-76.0
220071,-100.0,,71.0,-100.0,-76.0
220089,-100.0,,72.0,-100.0,-76.0
220113,-100.0,,73.0,-100.0,-76.0
220131,-100.0,,76.0,-100.0,-76.0
220149,-100.0,,77.0,-100.0,-76.0
220165,-100.0,,78.0,-100.0,-76.0
220184,-100.0,,79.0,-100.0,-76.0
220201,-100.0,,80.0,-100.0,-76.0
220218,-100.0,,81.0,-100.0,-76.0
220236,-100.0,,82.0,-100.0,-76.0
220253,-100.0,,83.0,-100.0,-76.0
220272,-100.0,,84.0,-100.0,-76.0
220307,-100.0,,87.0,-100.0,-76.0
220324,-100.0,,88.0,-100.0,-76.0
220340,-100.0,,89.0,-100.0,-76.0
220350,-100.0,,89.0,-100.0,-76.0
220365,-100.0,,90.0,-100.0,-76.0
220383,-100.0,,91.0,-100.0,-76.0
220411,-100.0,,92.0,-100.0,-76.0
220442,-100.0,,93.0,-100.0,-76.0
220470,-100.0,,96.0,-100.0,-76.0
220490,-100.0,,97.0,-100.0,-76.0
220523,-100.0,,99.0,-100.0,-76.0
220540,-100.0,,100.0,-100.0,-76.0
221197,-100.0,,100.0,-100.0,-76.0
221216,-100.0,,99.0,-100.0,-76.0
221249,-100.0,,97.0,-100.0,-76.0
221267,-100.0,,96.0,-100.0,-76.0
221285,-100.0,,95.0,-100.0,-76.0
221302,-100.0,,94.0,-100.0,-76.0
221321,-100.0,,92.0,-100.0,-76.0
221338,-100.0,,91.0,-100.0,-76.0
221358,-100.0,,90.0,-100.0,-76.0
221390,-100.0,,88.0,-100.0,-76.0
221408,-100.0,,87.0,-100.0,-76.0
221414,-100.0,,86.0,-100.0,-76.0
221434,-100.0,,85.0,-100.0,-76.0
221448,-100.0,,84.0,-100.0,-76.0
221466,-100.0,,82.0,-100.0,-76.0
221485,-100.0,,81.0,-100.0,-76.0
221501,-100.0,,80.0,-100.0,-76.0
221520,-100.0,,79.0,-100.0,-76.0
221553,-100.0,,77.0,-100.0,-76.0
221589,-100.0,,75.0,-100.0,-76.0
221610,-100.0,,74.0,-100.0,-76.0
221631,-100.0,,71.0,-100.0,-76.0
221648,-100.0,,70.0,-100.0,-76.0
221684,-100.0,,68.0,-100.0,-76.0
221703,-100.0,,67.0,-100.0,-76.0
221742,-100.0,,66.0,-100.0,-76.0
221771,-100.0,,63.0,-100.0,-76.0
221789,-100.0,,62.0,-100.0,-76.0
221806,-100.0,,61.0,-100.0,-76.0
221823,-100.0,,60.0,-100.0,-76.0
221841,-100.0,,59.0,-100.0,-76.0
221857,-100.0,,58.0,-100.0,-76.0
221884,-100.0,,56.0,-100.0,-76.0
221917,-100.0,,55.0,-100.0,-76.0
221948,-100.0,,54.0,-100.0,-76.0
221970,-100.0,,52.0,-100.0,-76.0
221997,-100.0,,51.0,-100.0,-76.0
222029,-100.0,,49.0,-100.0,-76.0
222046,-100.0,,49.0,-100.0,-76.0
222066,-100.0,,46.0,-100.0,-76.0
222099,-100.0,,44.0,-100.0,-76.0
222117,-100.0,,43.0,-100.0,-76.0
222135,-100.0,,42.0,-100.0,-76.0
222152,-100.0,,41.0,-100.0,-76.0
222170,-100.0,,40.0,-100.0,-76.0
222191,-100.0,,39.0,-100.0,-76.0
222205,-100.0,,38.0,-100.0,-76.0
222223,-100.0,,37.0,-100.0,-76.0
222240,-100.0,,35.0,-100.0,-76.0
222259,-100.0,,35.0,-100.0,-76.0
222276,-100.0,,34.0,-100.0,-76.0
222288,-100.0,,33.0,-100.0,-76.0
222299,-100.0,,32.0,-100.0,-76.0
222317,-100.0,,31.0,-100.0,-76.0
222335,-100.0,,30.0,-100.0,-76.0
222366,-100.0,,29.0,-100.0,-76.0
222376,-100.0,,28.0,-100.0,-76.0
222388,-100.0,,27.0,-100.0,-76.0
222418,-100.0,,26.0,-100.0,-76.0
222450,-100.0,,25.0,-100.0,-76.0
222461,-100.0,,25.0,-100.0,-76.0
222475,-100.0,,24.0,-100.0,-76.0
222487,-100.0,,23.0,-100.0,-76.0
222499,-100.0,,23.0,-100.0,-76.0
222526,-100.0,,22.0,-100.0,-76.0
222543,-100.0,,21.0,-100.0,-76.0
222554,-100.0,,20.0,-100.0,-76.0
222588,-100.0,,19.0,-100.0,-76.0
222600,-100.0,,18.0,-100.0,-76.0
222620,-100.0,,17.0,-100.0,-76.0
222629,-100.0,,16.0,-100.0,-76.0
222640,-100.0,,16.0,-100.0,-76.0
222671,-100.0,,15.0,-100.0,-76.0
222686,-100.0,,14.0,-100.0,-76.0
222700,-100.0,,13.0,-100.0,-76.0
222710,-100.0,,12.0,-100.0,-76.0
222721,-100.0,,11.0,-100.0,-76.0
222748,-100.0,,10.0,-100.0,-76.0
222760,-100.0,,9.0,-100.0,-76.0
222785,-100.0,,9.0,-100.0,-76.0
222791,-100.0,,8.0,-100.0,-76.0
222805,-100.0,,8.0,-100.0,-76.0
222834,-100.0,,6.0,-100.0,-76.0
222852,-100.0,,5.0,-100.0,-76.0
222877,-100.0,,4.0,-100.0,-76.0
222891,-100.0,,3.0,-100.0,-76.0
222902,-100.0,,2.0,-100.0,-76.0
222917,-100.0,,1.0,-100.0,-76.0
222941,-100.0,,0.0,-100.0,-76.0
222950,-100.0,,-1.0,-100.0,-76.0
222968,-100.0,,-2.0,-100.0,-76.0
222993,-100.0,,-3.0,-100.0,-76.0
223004,-100.0,,-4.0,-100.0,-76.0
223028,-100.0,,-4.0,-100.0,-76.0
223038,-100.0,,-5.0,-100.0,-76.0
223054,-100.0,,-6.0,-100.0,-76.0
223073,-100.0,,-7.0,-100.0,-76.0
223091,-100.0,,-8.0,-100.0,-76.0
223108,-100.0,,-9.0,-100.0,-76.0
223124,-100.0,,-11.0,-100.0,-76.0
223132,-100.0,,-12.0,-100.0,-76.0
223149,-100.0,,-13.0,-100.0,-76.0
223167,-100.0,,-14.0,-100.0,-76.0
223185,-100.0,,-15.0,-100.0,-76.0
223205,-100.0,,-16.0,-100.0,-76.0
223219,-100.0,,-17.0,-100.0,-76.0
223237,-100.0,,-18.0,-100.0,-76.0
223255,-100.0,,-19.0,-100.0,-76.0
223273,-100.0,,-21.0,-100.0,-76.0
223290,-100.0,,-22.0,-100.0,-76.0
223306,-100.0,,-23.0,-100.0,-76.0
223324,-100.0,,-24.0,-100.0,-76.0
223331,-100.0,,-25.0,-100.0,-76.0
223349,-100.0,,-26.0,-100.0,-76.0
223366,-100.0,,-27.0,-100.0,-76.0
223385,-100.0,,-28.0,-100.0,-76.0
